,#genes,genes
1,233,"['Prkcd', 'Pcp4', 'Tcf7l2', 'Slc6a11', 'Adarb1', 'Cplx1', 'Ntng1', 'Zic1', 'Rora', 'Sparc', 'Nsmf', 'Eps8l2', 'Nefh', 'Atp2a2', 'Kcnc2', 'Atp1b1', 'Lef1', 'Plcb4', 'Tnnt1', 'Plekhg1', 'Ptpn4', 'Pdp1', 'Ramp3', 'Shox2', 'Gabra4', 'Slc17a6', 'Pvalb', 'Ndrg4', 'Kcnj10', 'Atp1a2', 'Rgs4', 'Grm1', 'Cit', 'Elmo1', 'Ccdc136', 'Kitl', 'Pcp4l1', 'Scrt1', 'Rims3', 'Rab37', 'Vamp1', 'Amotl1', 'Gm43398', 'Ptpn3', 'Pitpnc1', 'Synpo2', 'Tpd52l1', 'Spock3', 'Serpine2', 'F2r', 'Patj', 'Sptbn1', 'Slc24a2', 'Edil3', 'Rgs16', 'Rab3c', 'Opn3', 'Chrna4', 'Vav3', 'Ldhb', 'Rcan2', 'Spock1', 'Shank3', 'Kcnc1', 'Atp1b2', 'Gabrd', 'Hspa12a', 'Kndc1', 'Fndc5', 'Clmn', 'Ina', 'Lhfp', 'Nexn', 'Fam20c', 'Zmat4', 'Rap1gds1', 'Spock2', 'Trnp1', 'Rasd1', 'Camk2n2', 'Olig1', 'Nrip3', 'Rgs8', 'Tiam1', 'Sgpp2', 'Gprc5b', 'Aldh1a1', 'Cpne9', 'Abhd12b', 'Map4', 'Slc24a3', 'Hcn4', 'Agt', 'Timp3', 'Ogfrl1', 'Atp6ap2', 'Sptssb', 'Scn4b', 'Rnf152', 'Pitpna', 'Vipr2', 'Megf9', 'Sh3d19', 'Aplp2', 'Gbx2', 'Epb41l3', 'Thsd7a', 'Prkch', 'B630019K06Rik', 'Hcn2', 'Bok', 'Kcna2', 'Cend1', 'Tmem163', '1810041L15Rik', 'Sash1', 'Slc38a1', 'Cacng4', 'Rbms3', 'Cacna1g', 'Ttll7', 'Zbtb4', 'Fzd10', 'Rit2', 'Tanc1', 'Sema4g', 'Rassf3', 'Endou', 'Socs6', 'Crim1', 'Fhdc1', 'Chst11', 'St3gal4', 'Necab2', 'Pla2g7', 'Lrrtm1', 'Glud1', 'Ckmt1', 'Nacc2', 'Nmnat2', 'Inpp5a', 'Hspa4l', 'Plekhd1', 'Rorb', 'Peak1', 'Sfxn5', 'Samd5', 'Gpc1', 'Paqr8', 'Epha4', 'Zfhx3', 'Syt9', 'Xylt2', 'Aatk', 'Etnppl', 'Inpp5j', 'Mcam', 'Dnm1l', 'Cacng5', 'Ergic1', 'Dpp6', 'Mcf2', 'Syt7', 'Reep2', 'Enho', 'Tsc22d3', 'L1cam', 'Setd7', 'Lrtm2', 'Parvb', 'Acsl3', 'Adcy8', 'Grm4', '1700019D03Rik', 'Rcsd1', 'Gpr153', 'Il1rap', 'Reps2', 'Nell1', 'Zic4', 'Adarb2', 'Clec2l', 'Napepld', 'Plxdc1', 'Mb21d2', 'Adra1b', 'Ggt7', 'Zfhx4', 'Fam19a4', 'Tespa1', 'Zfp385a', 'Adgrf5', 'Itih3', 'Ptpn1', 'Wnt3', 'Glo1', 'Shisa6', 'Gnal', 'Clasp2', 'Btbd17', 'Lamtor3', 'Tunar', 'Rab33a', 'Tmem25', 'Pcdh9', 'Wbscr17', 'Grin2d', 'Paqr7', 'Csdc2', 'Pdhb', 'Lhx9', 'Ildr2', 'Srpk2', 'Ret', 'Lrrc3', 'Hdac9', 'Robo3', 'Tnfrsf12a', 'Nt5dc3', 'Gdpd5', 'Ctnnd1', 'Fem1c', 'Arhgap44', 'Cacnb2', 'Ptprj', 'Rgs7', 'Slitrk6', 'Mlc1', 'Gm9022', 'Slc6a9', 'Cables2', 'Eif1ax', 'Paqr4']"
2,53,"['mt-Rnr2', 'mt-Rnr1', 'Gm20594', 'Gm42418', 'Ift46', 'Gm26917', 'Rn18s-rs5', 'Fbn1', 'Malat1', 'Mir6236', 'Lars2', 'Gm42959', 'Mir6240', 'Gm2651', 'Lbx1', 'Gm15564', 'Fam212a', 'Gm12896', 'Taco1os', 'Gm24245', 'Apc', 'Luzp2', 'Gm37194', 'Mios', 'Phox2a', 'BC001981', 'Gm24270', 'Pom121l2', 'Itgb8', 'Dgkb', 'Gm12061', 'Gm7292', 'Emilin2', 'AA474408', 'Gm24601', 'Esr1', 'Nop9', 'Ankrd12', 'Cachd1', 'Gm25911', 'Arhgap27', 'Gm23935', 'Gm43352', 'Nkx2-2', 'Prex2', 'Gas2l3', 'Gm1045', 'Cd300a', 'Nyap2', 'Tnrc6b', 'Pou2f2', 'Lnpep', 'Csmd3']"
3,168,"['Mbp', 'Plp1', 'Fth1', 'Mobp', 'Mal', 'Apod', 'Ndrg2', 'Trf', 'Tubb4a', 'Cnp', 'Plekhb1', 'Cldn11', 'Scd2', 'Apoe', 'Sparcl1', 'Gatm', 'Cryab', 'Car2', 'Clu', 'Hsp90aa1', 'Qk', 'Qdpr', 'Bcas1', 'Ugt8a', 'Ermn', 'Gfap', 'Gstm1', 'Gnas', 'Tspan2', 'Fnbp1', 'S100b', 'Gad1', 'Selenop', 'Abat', 'Slc12a2', 'Mag', 'Zbtb20', 'Gng11', 'Csrp1', 'Fth-ps3', 'Pla2g16', 'Six3', 'Sept4', 'Vat1l', 'Neat1', 'Slain1', 'Dbi', 'Gpr37', 'Pde8a', 'Fgfr2', 'Rpl26', 'Tmem88b', 'Gjb1', 'Il33', 'Evi2a', 'Fa2h', 'Rhog', 'Clic4', 'Fth-ps2', 'Carhsp1', 'Ndrg1', 'Rnf13', 'Cd81', 'Ppp1r14a', 'Hipk2', 'Erbin', 'Lpar1', 'Opalin', 'Pip4k2a', 'Sirt2', 'Litaf', 'Cd82', 'Mog', 'Gm6977', 'RP23-269H21.1', 'Prr18', 'Ptp4a2', 'Scd1', 'Psat1', 'Lbh', 'Pacs2', 'Slc27a1', 'Lamp1', 'Ctsd', 'C4a', 'Mapt', 'Aspa', 'Anln', 'Lrrc1', '5031439G07Rik', 'Tmcc3', 'Chchd2', 'Ptma', 'Sox10', 'Thbs4', 'Gna12', 'Plin3', 'Ubash3b', 'Npc1', 'Fuca1', 'Adipor2', 'Sox2ot', 'Dock5', 'Cd9', 'Dip2a', 'Daam1', 'Degs1', 'Polr2m', 'Cnn3', 'Plekhh1', 'Tmem229a', 'Jam3', 'Dbndd2', 'C4b', 'Trim59', 'Capzb', 'Cd24a', 'A2m', 'Gm43841', 'Car14', 'Plekhg3', 'Zfp664', 'Serpinb1a', 'Tgtp1', 'Ccdc153', 'Gjc3', 'Josd2', 'Pltp', 'Otud7b', 'Agap1', 'Ppp2r3a', 'Caskin2', 'Pllp', 'Foxn3', 'Dusp26', 'Frmd8', 'Hist1h2bc', 'Tmem63a', 'Dnajb2', 'Tgfb2', 'Trim36', 'Aldh2', 'Pkp4', 'Adamts4', 'Tmem129', 'Pmp22', 'Elovl5', 'Ndufv3', 'Gm6576', 'Csf1r', 'Svip', 'Gnai2', 'Gm5075', 'Kank4', 'Terf1', 'Zbtb7b', 'Sdf2l1', 'Vamp3', 'Vamp8', 'Gm13268', 'Taldo1', 'Lgals3bp', 'Rps24-ps2', 'Magt1', 'Mtfr1l', 'Carns1', 'Fign', 'Gm15440']"
4,76,"['Gm29216', 'Supt7l', 'Gm13340', 'Sez6', 'Gm10925', 'mt-Co1', 'mt-Cytb', 'mt-Nd4', 'mt-Tm', 'mt-Atp6', 'Aldoc', 'Cpe', 'Mt3', 'mt-Tf', 'Pip5k1a', 'Lrrc17', 'mt-Tv', 'Mt1', 'Gm13339', 'mt-Ti', 'Ncdn', 'Ppp1r9b', 'Kcnab2', 'Eef2', 'mt-Tp', 'Glul', 'mt-Tl1', 'Gpr37l1', 'Gm11410', 'mt-Tl2', 'Mt2', 'mt-Tn', 'Rab7', 'Gm11512', 'mt-Th', 'Syp', 'Akr7a5', 'Cyp46a1', 'Frrs1l', 'Git1', 'mt-Tw', 'mt-Ta', 'Prdx6', 'Fam213a', 'Gja1', 'Ap2a1', 'Cntfr', 'Hsd11b1', 'Ogdh', 'Slc9a3r1', 'Fgfr3', 'Asna1', 'Hepacam', 'Tmcc2', 'Rhob', 'Gars', 'Gltp', 'Gabbr1', 'Mid1ip1', 'Gm15728', '2810433D01Rik', 'Ywhaq', 'Vps8', 'Shank1', 'Ctss', 'Flt1', 'Acsbg1', 'Eps15', 'Abcd1', 'Lmtk3', 'Msrb1', 'Bnip3l', 'Dennd5a', 'RP23-424C4.8', 'Larp1b', 'Avpi1']"
5,74,"['Enpp2', 'Ppp1r1b', 'Ttr', 'Penk', 'Gpr88', 'Kl', 'Folr1', 'Clic6', 'Kcne2', 'Calml4', 'Igfbp2', 'Ace', 'Cox8b', 'F5', '1500015O10Rik', 'Prlr', 'Sostdc1', 'Kcnj13', 'Col8a2', 'Igf2', 'Col8a1', 'Trpm3', 'Otx2', 'Sulf1', 'Tmem72', 'Ezr', 'Cab39l', 'Lbp', 'Slc4a5', 'Pcolce2', 'Oprk1', 'Rdh5', 'Fxyd1', 'Car12', 'Arsg', 'Slc16a6', 'Msx1', 'Col9a3', 'Arl3', 'Htr2c', 'Slc13a4', 'Wdr86', 'Cul4b', 'Ctnna1', 'Ifi27', 'Stk39', 'Cldn2', 'Tbc1d9', 'Gpx8', 'Ahcyl2', 'Mest', 'Slc4a2', 'Gatad2a', 'Perp', 'Cd63-ps', 'Lamp2', 'Rbm47', 'Meis2', 'Slco1c1', 'Zic3', 'Ucp2', 'Abca8a', 'Cdkn1c', 'Txnip', 'Wfdc2', 'Aebp1', 'Strip2', 'Pdia4', 'Coch', 'Cd59a', 'Enpp6', 'Hist1h1c', 'Prps2', 'Abhd2']"
6,31,"['Camk2n1', 'Nrgn', 'Egr1', 'Olfm1', 'Atp1a1', 'Prkcb', 'Mef2c', 'Enc1', 'Gpm6a', 'Tmsb4x', 'Homer1', '3110035E14Rik', 'Slc17a7', 'Ier5', 'Chn1', 'Tspan7', 'Dclk1', 'Arpp19', 'Satb2', 'Sv2b', 'Kalrn', 'Stx1a', 'Ppp3r1', 'Gm11549', 'Mpped1', 'Itpr1', 'Tbr1', 'Lingo1', 'Phf24', 'R3hdm1', 'Nr4a1']"
7,23,"['Calm2', 'Scn1b', 'Vsnl1', 'Efhd2', 'Cck', 'Syt1', 'Calm1', 'Atp2b2', 'Ndufa4', 'Lamp5', 'Diras2', 'Dnm1', 'Cx3cl1', '1110008P14Rik', 'Nptn', 'Ywhag', 'Ndrg3', 'Osbpl1a', 'Cyfip2', 'Vamp2', 'Cacnb4', 'Glrb', 'Clstn1']"
8,22,"['Gm24447', 'Gm26035', 'Rnu2-10', 'Gm26461', 'Rn7s1', 'Gm23624', 'Gm25106', 'Rnu5g', 'Gm24265', 'Rn7s2', 'Gm23971', 'Gm22614', 'Gm24146', 'Rn7sk', 'Gm23287', 'Gm22513', 'Gm26316', 'Gm25890', 'Gm24407', 'Gm23973', 'Gm24497', 'Ccni']"
9,67,"['Snap25', 'Eef1a2', 'Tmsb10', 'Aplp1', 'Adcy1', 'Pcsk1n', 'Calm3', 'Sncb', 'Ubb', 'Dynll2', 'Stxbp1', 'Actb', 'Aldoa', 'Snrpn', 'Syt13', 'Ywhaz', 'Dlgap3', 'Rab6b', 'Pip5k1c', 'Tcf25', 'Clip3', 'Sh3gl2', 'Stmn3', 'Cox6c', 'Epn1', 'Mapk10', 'Hspa8', 'Atp5a1', 'Chchd10', 'Bsn', 'Map1a', 'Syn1', 'Rtn3', 'Gng3', 'Rab6a', 'Cox6a1', 'Pacsin1', 'Eno2', 'Gm7899', 'Cox7c', 'Snap91', 'Tppp', 'Pink1', 'Rnf187', 'Stx1b', 'Ubc', 'Cox4i1', 'Grin1', 'Fscn1', 'Gm1821', 'Atp6v1g2', 'Syngr1', 'Tubb5', 'Gsk3a', 'Pgk1', 'Gm5575', 'Hk1', 'Gm43743', 'Myl12b', 'Prrt3', 'Fam219a', 'Atp6v0a1', 'Tecr', 'Klc2', 'Kif3c', 'Ap2m1', 'Ell2']"
10,76,"['Gabra1', 'Hlf', 'Ckb', 'AI593442', 'Tuba1a', 'Atp5b', 'Ywhah', 'Mdh1', 'Atp2b1', 'Nefm', 'Slc25a4', 'Nat8l', 'Rasgrp1', 'Pkm', 'Atp5g3', 'Scg5', 'Psap', 'Sema7a', 'Rtn4', 'Scn1a', 'Nudt4', 'Nefl', 'Thy1', 'App', 'Kcnj3', 'Nsf', 'Pcbp2', 'Npdc1', 'Ahcyl1', 'Hapln4', 'Ndufb2', 'Napa', 'Hsp90ab1', 'Ctsb', 'Dpysl2', 'Mpc1', 'Maged1', 'Sv2a', 'Kcnip4', 'Gm20721', 'Mdh2', 'Rpl28-ps3', 'Ndufa2', 'Gm8326', 'Ghitm', 'Gm8355', 'Rpl38-ps2', 'Gm5601', 'Grina', 'Klc1', 'Hnrnpk', 'Cox8a', 'Slc12a5', 'Brinp1', 'Tuba4a', 'Got1', 'Ppp2r1a', 'Reep1', 'Esrra', 'Fgf12', 'Gm26631', 'Atp5f1', 'Hsph1', 'Cops3', 'Atp5k', 'Ndufs6', 'Gnb2', 'Dnaja2', 'Igip', 'Romo1', 'Gm11401', 'Rbfox1', 'Galnt9', 'Atl1', 'Osbpl3', 'Ubqln1']"
