,#genes,genes
1,50,"['Slc6a11', 'Sparc', 'Tcf7l2', 'Prkcd', 'Slc17a6', 'Pcp4', 'Nsmf', 'Ntng1', 'Adarb1', 'Zic1', 'Kcnj10', 'Shox2', 'Rora', 'Scd2', 'Ptpn4', 'Spock3', 'Mbp', 'Amotl1', 'Pdp1', 'Plcb4', 'Nefh', 'Grm1', 'Atp2a2', 'Agt', 'Rgs16', 'Plekhg1', 'Aldoc', 'Selenop', 'Ramp3', 'Tnnt1', 'Qk', 'Ptpn3', 'Ccdc136', 'Gabra4', 'Vav3', 'Slc24a3', 'Elmo1', 'Kcnc2', 'Synpo2', 'Aldh1a1', 'Rab3c', 'Tmem163', 'Lef1', 'Atp1a2', 'Rab37', 'Serpine2', 'Hcn4', 'Mt1', 'Cit', 'Nell1']"
2,121,"['Nrgn', 'Camk2n1', 'Ppp3ca', 'Mef2c', 'Kalrn', 'Camk2a', 'Olfm1', 'Slc17a7', 'Atp1a1', 'Lamp5', 'Egr1', 'Chn1', 'Prkcb', 'Gpm6a', 'Homer1', 'Sptbn2', 'Ddn', 'Cabp1', 'Psd', 'Enc1', 'Dnm1', 'Epop', 'Stx1a', 'Tcf4', 'Ppp3r1', '3110035E14Rik', 'Lmo4', 'Gas7', 'Tbr1', 'Stac2', 'Ngef', 'Nptx1', 'Sipa1l1', 'Dgkz', 'Tmem132a', 'Fmnl1', 'Zbtb18', 'Rbfox3', 'Mmp17', 'Cplx2', 'Ptk2b', 'Mast3', 'Arf3', 'Igfbp4', '2010300C02Rik', 'Camkk2', 'Pip5k1c', 'Phyhip', 'Cnksr2', 'Dlgap1', 'Dclk1', 'Neurod2', 'Gm28661', 'R3hdm1', 'Lingo1', 'Fam131a', 'Fam212b', 'Itpka', 'Mpped1', 'Cd74', 'Cdk5r2', 'Bsn', 'Mgll', 'Tmem178', 'Chgb', 'Kcnh7', 'Syt1', 'Shisa7', 'Kcnip2', 'Satb2', '1110008P14Rik', 'Wasf1', 'Chrm1', 'Osbp2', 'Cyfip2', 'Foxg1', 'Plk2', 'Ier5', 'Slc8a2', 'Sh3bgrl3', 'Ly6e', 'Golga7b', 'Clstn1', 'Agap2', 'Epn1', '1700020I14Rik', 'Kcnq2', 'Ptms', 'Selenow', 'Grin2b', 'Syn1', 'Atp6v1g2', 'Serpini1', 'Camkv', 'Vsnl1', 'Calm2', 'Kcnq5', 'Mical2', 'Gm765', 'Zmat2', 'Mmd', 'Prkca', 'Ifi27l2a', 'Tuba4a', 'Rprml', 'Ccni', 'Plcb1', 'Itpr1', 'Dab1', 'Fbxw7', 'Ccl27a', 'Rasl11b', 'Hcn1', 'Fam131b', 'Dact2', 'Matk', 'Svop', 'B4galnt1', 'Fhl2', 'Egr4', 'Cpne5']"
3,22,"['Plp1', 'Mobp', 'Qdpr', 'Eps8l2', 'Pitpnc1', 'Gatm', 'S100b', 'Patj', 'Car2', 'Edil3', 'Fth1', 'Clmn', 'Nrip3', 'Cnp', 'Plekhb1', 'Kndc1', '1810041L15Rik', 'Tpd52l1', 'Prkch', 'Atp1b2', 'Atp6ap2', 'Ndrg1']"
4,64,"['Nap1l5', 'Hap1', 'Gap43', 'Nr2f2', 'Nnat', 'Ahi1', 'Zcchc12', '6330403K07Rik', 'Ndn', 'Scg2', 'Resp18', 'Camk2d', 'Peg3', 'Wdr6', 'Calb1', 'Baiap3', 'Impact', 'Gpx3', 'Pgrmc1', 'Zwint', 'AW551984', 'Timp2', 'Araf', 'Tmem255a', 'Ctnnb1', 'Ngb', 'Gm6272', 'Pnck', 'Gprasp2', 'Otp', 'Dner', 'Col25a1', 'Peg10', 'Gabrg1', 'Gal', 'Cdh4', 'Dlk1', 'Tmem47', 'Tac1', 'Glra3', 'Cartpt', 'Irs4', 'Gpr101', 'Rpl22l1', 'Tceal9', 'Gabrq', 'Gaa', 'Rps12', 'Pcdh17', 'Nts', 'Usp29', 'Tspan3', 'Maged1', 'Gprasp1', 'Fabp7', 'Ptprz1', 'Rplp1', 'Plpp3', 'Tmem130', 'Sytl4', 'Rps28', 'Krt1', '2900052N01Rik', 'Hs6st2']"
5,97,"['Nptxr', 'Hpcal4', 'Nov', 'Lypd1', 'Atp2b4', 'Ids', 'Enpp2', 'Arpp21', 'Gda', 'Ttr', 'Rn7s1', 'Arhgap33', 'Cadm1', 'Gm26461', 'Gm42418', 'Sorbs2', 'Ppp1r1b', 'Rn18s-rs5', 'Negr1', 'Kl', 'Rprm', 'Folr1', 'Sostdc1', 'Rtn1', 'Snca', 'Alcam', '1500015O10Rik', 'Mapk1', 'Gpr88', 'Kcnj13', 'Rn7s2', 'Slc22a17', 'Nsg2', 'Lars2', 'F5', 'Kif5a', 'Ptn', 'Arl4a', 'Igfbp2', 'Syn2', 'Kcng1', 'Hrk', 'Tusc3', 'Clic6', 'Pnmal2', 'Kcne2', 'Slc16a2', 'Doc2a', 'Fnbp1l', 'Ccnd1', 'Ap1s1', 'Ak5', 'Cdkn1c', 'Lbp', 'Rgs12', 'Ankrd63', 'Pak6', 'Gnb4', 'Snhg11', 'Syt5', 'Gabra2', 'Cldn2', 'Ptpn14', 'Trp53i11', 'Map2k1', 'Myo5b', 'Car12', 'Grp', 'Rbp1', 'Cyb5r3', 'Rfx3', 'Cdh13', 'Col8a2', 'Meis2', 'Gm20501', 'Fbn1', 'Col8a1', 'Rai14', 'Cul4b', 'Thra', 'Ace', 'Steap1', 'Mboat7', 'Gpx8', 'Bmp3', 'Wfdc2', 'Ephx1', 'Ptprt', 'Grm5', 'Perp', 'Unc5d', 'Myh7', 'C1ql3', 'Hsbp1', 'Tbc1d9', 'Col9a3', 'Slc13a4']"
6,30,"['Cd81', 'Tmsb10', 'Scd1', 'Itih3', 'Nrsn2', '2310022B05Rik', 'Abat', 'Sparcl1', 'Uchl1', 'Ndrg2', 'Unc13c', 'Igsf1', 'Rit2', 'Slc6a9', 'Cxx1a', 'Mid1ip1', 'Zfp423', 'Parpbp', 'Acsbg1', 'Cacna1g', 'Calb2', 'Scoc', 'Slc4a4', 'Dbi', 'Grb10', 'Crim1', 'Sash1', 'Klhl13', 'Glud1', 'Fgf1']"
7,102,"['Adcy1', 'Cck', 'Actb', 'Scn1b', 'Hpca', 'Kcnab2', 'Dkk3', 'Eef1a2', 'Neurod6', 'Diras2', 'Cabp7', 'Grin2a', 'Tmsb4x', 'Pou3f1', 'Camta2', 'Eno2', 'Gm10925', 'Wipf3', 'Npdc1', 'Sorl1', 'mt-Tf', 'Snap25', 'Opcml', 'Nrep', 'Epha4', 'Pantr1', 'Atp2b2', 'Osbpl1a', 'Nrn1', 'Ighm', 'Iqgap2', 'Scn8a', 'Fibcd1', 'mt-Atp6', 'Napa', 'Cadm2', 'C1qtnf4', 'Epha7', 'Nfix', 'mt-Nd1', 'Tcf25', 'Tecpr1', 'Mapk10', 'Fam107a', 'Nefl', 'Nat8l', 'Sema3e', 'Sptan1', 'Sipa1l3', 'Robo3', 'Ndufb9', 'Zfpm1', 'Gm13339', 'Dlgap3', 'Snph', 'Arhgef15', 'Kbtbd11', 'Lurap1l', 'B3gat3', 'Gria1', 'Rnf187', 'Ndufv1', 'Lrrc10b', 'Ntm', 'Trim2', 'Syne1', 'Hunk', 'Syt2', 'Grm2', 'Kcnj3', 'Strbp', 'Nr3c2', 'Plcl2', 'Cds1', 'Ube2e2', 'Stx1b', 'Arap2', 'Arpc2', 'Olfml2b', 'Lct', 'Usp2', 'Pou3f3', 'Galnt9', 'Zfp651', 'Spink8', 'Atp5c1', 'Map1lc3b', 'Arpc3', 'Chst2', 'Ggt7', 'Lrrc47', 'Rbm19', 'Mdh2', 'Frrs1l', 'Lmo1', 'Luzp1', 'Brsk2', 'Gm2115', 'Osbpl3', 'Timm23', 'Uqcc2', 'Gm16536']"
8,36,"['Baiap2', 'Kcnh3', 'Pld3', 'Rasgef1a', 'Ttc9b', 'Phactr1', 'Kcnj4', 'Celf5', 'Hs3st2', 'Pde1a', 'Camk4', 'Cacng3', 'Ipcef1', 'Sv2b', 'Fam81a', 'Ctxn1', 'Icam5', 'Caln1', 'Pitpnm2', 'Nrxn2', 'Grasp', 'Akap5', 'Kcnv1', 'Neurl1a', 'Ncald', 'Kctd1', 'Tspan7', 'Cckbr', 'Slc30a3', 'Gm24265', 'Gm11549', 'Actn4', 'Synpo', 'Nlk', 'Rab15', 'Fbxl16']"
9,49,"['Apod', 'Pcp4l1', 'Trf', 'Cryab', 'Mal', 'Chrna4', 'Il33', 'Tubb4a', 'Cldn11', 'Ina', 'Ermn', 'Hsp90aa1', 'Mag', 'Nexn', 'Gjb1', 'Mog', 'Slain1', 'Pacs2', 'Plekhh1', 'Abca2', 'Kif5b', 'Nfasc', 'Slc38a1', 'Ppp1r14a', 'Pgk1', 'Fa2h', 'Mrvi1', 'Fhdc1', 'Ick', 'Lypla2', 'Ccp110', 'Kctd17', 'Rdx', 'Reep2', 'Klk6', 'Sirt2', 'Ctif', 'Sh3d19', 'Nrxn3', 'Plekhd1', 'Pmp22', 'Slc44a1', 'Ttyh2', 'Relt', 'Sec62', 'Ugt8a', 'Sec11c', 'Aspa', 'Skp1a']"
10,38,"['Hpcal1', 'Prkacb', 'Ly6h', 'Map2', 'Gm10076', 'Vat1l', 'Rpl41', 'Gad2', 'Marcks', 'Lmo3', 'Gm26917', 'Marcksl1', 'Spint2', 'Slc1a3', 'Glra2', 'Pea15a', 'Penk', 'Htr2c', 'Sulf1', 'Pkia', 'Sesn3', 'Cox8b', 'Gm23134', 'Nedd4', 'Trhr', 'Mapk3', 'Sdc2', 'Prlr', 'Acvr2a', 'Gpr39', 'Rsph9', 'Gng4', 'Scn7a', 'Igf2', 'Lrpap1', 'Cyp26b1', 'Smoc1', 'Hes5']"
11,38,"['Fndc5', 'Cplx1', 'Scrt1', 'Gm29216', 'Ncdn', 'AI593442', 'Rims3', 'Slc24a2', 'Atp2b1', 'Ldhb', 'Syt9', 'Hlf', 'Cpne9', 'Ndufa4', 'Gm13340', 'Rcan2', 'Rap1gds1', 'Hspa8', 'Chchd10', 'Sema7a', 'Wbscr17', 'Cox6c', 'Tanc1', 'Gabbr1', 'Atf4', 'Eef2', 'Hspa12a', 'Atp5b', 'Gabrd', 'Scn4b', 'Mt3', 'Clstn2', 'Gm8355', 'Pvalb', 'Dusp5', 'Rgs4', 'Ywhah', 'Atp1b1']"
12,18,"['mt-Rnr1', 'Gm24447', 'mt-Rnr2', 'Gm26035', 'Gm23624', 'Arpp19', 'Basp1', 'Gm25106', 'Rnu2-10', 'Kcnh1', 'Rnu5g', 'mt-Nd6', 'Cobl', 'Igfbp6', 'Rasgrf2', 'Gm24146', 'Rasgef1c', 'Gm22513']"
13,18,"['Vat1', 'Pmch', 'Camk2n2', 'Mrap2', 'Bex2', 'Cbln1', 'B630019K06Rik', 'A730017C20Rik', 'Maged2', 'A230065H16Rik', 'Arxes2', 'Tppp3', 'Tspyl4', 'Blcap', 'Isl1', 'Hcrt', 'C530008M17Rik', 'Bex1']"
14,28,"['Fam134b', 'Ubb', 'Dbndd1', 'Mb21d2', 'Ccdc184', 'Arl3', 'Ogfrl1', 'Atpaf1', 'Eml2', 'Hspa4l', 'Gpc1', 'Samd5', 'Mesdc1', 'Stmn3', 'Sall2', 'Aatk', 'Cct8', 'Sgpp2', 'Epb41l3', 'Shisa6', 'Agpat5', 'Arhgap12', 'Ndufa5', 'Jup', 'Ccdc92', 'Tmcc2', 'Clvs1', '1700019D03Rik']"
