"cluster","#genes","genes"
"1","48","Cyp51, Mageh1, Tbc1d22a, Gpatch8, Gm7117, Gm7482, Rapgefl1, Rph3a, Fam173a, Casc4, Gm4366, Tmx2, Gm16519, mt-Nd2, Dbx2, Ogfod1, Api5, Adrm1, Entpd4, Atp6v0a2, Tox, Gap43, Hddc2, Ciapin1, Borcs7, Wdr45, Gm11964, Smarca4, Ppm1g, Tesk1, Dnajc7, Gm10175, Zfp24, Dusp8, Kcnc4, Lhx2, Slc25a19, 2810433D01Rik, Ppp1ca, Mfap1a, Mak16, Slc44a2, Dcaf7, Zfand2a, Gm13182, Tsc22d1, Gm15421, Sdccag8"
"2","80","Mbp, Fth1, Gatm, Cldn11, Cnp, Plp1, Mobp, Apod, Ermn, Qdpr, Trf, Ndrg1, Car2, Plekhb1, Olig1, Bcas1, Mal, Myrf, Cryab, Scd2, Fa2h, Mog, Slain1, Gpr37, Qk, Fth-ps3, Evi2a, Neat1, Csrp1, Arsg, Tspan2, Phldb1, Plekhh1, Psat1, Mag, Tmem88b, Il33, Prrg1, Wnk1, Slc12a2, Kif5a, Sept4, Gng11, Prr18, Anln, Nde1, Serinc5, Sox2ot, Ugt8a, Gna12, Cers2, Ppp1r14a, Fnbp1, Cntn2, Tubb4a, Kif5b, Pkp4, Pllp, Trim59, Cpox, Rnf13, Ttyh2, Aplp1, Aspa, Dock10, Desi1, Pla2g16, S1pr5, Sox10, Spg20, Pacs2, Litaf, Zbtb20, Gal3st1, Opalin, Pde8a, Lgi3, 5031439G07Rik, Tppp3, Npc1"
"3","60","Cd24a, Foxj1, Txnip, Gm45396, Ifitm3, Msx1, 1500015O10Rik, Kl, Bsg, Ace, Lbp, Col8a2, Sulf1, Otx2, Enkur, Dnah6, Sncg, Fam183b, Plxnb2, Cd63, Igfbp2, Pltp, Dbi, Gm9780, Sostdc1, Rsph1, Col9a3, Gm42418, Gm26669, Ccdc180, Rn18s-rs5, Clic6, Cdhr3, Ccdc146, Prelp, Gm15564, Plac9a, Kcne2, Cab39l, Rn7s1, Enpp2, Rbm47, Cd63-ps, Rdh5, F5, Mpp7, Snora28, Cdkn1c, Rnf138rt1, Cgnl1, 1700007K13Rik, Aqp4, Vim, Sowahc, Hspb8, Slc13a4, Fhad1, Ccdc153, Igf2, Fam216b"
"4","210","Kirrel3, Gm27029, 9130221H12Rik, Gm7781, Zcchc24, Rprd1b, Pstk, Scyl3, B3gnt9, Apex1, Gm25911, Eif2b2, Mcrs1, Atp1b3, Clic4, Slc22a23, Caskin2, Fbrsl1, Yeats4, Gm12691, Efcab14, Ciao1, Zkscan2, Tm9sf4, Gm13889, Zdhhc2, Top3b, Hsd17b11, Txn2, Unc5b, Gm24270, Cops8, Rbmx, D930016D06Rik, C030029H02Rik, Sgta, Gm6240, Fyb, Vwa8, Irak2, Tmem136, Commd2, Gm4812, C530005A16Rik, Gltp, Sec23b, Adh5, Rcbtb1, Rgs14, Mrps12, Lamtor5, Ccp110, Gm14794, Arl6ip6, Map2k3, Gm11191, Zc3h18, Grin2c, Gm7424, Lman2, Rpl31-ps20, Smc1a, Ypel4, Zfp715, Lix1, RP23-58B7.2, Dnm2, Rps27rt, RP23-99K2.5, Gm24245, Ctso, Rexo1, Cdc37l1, Prkar2a, Kif15, Mycbp2, Gm15745, Oard1, A130014A01Rik, Gpd1l, Fzd4, Rorb, RP23-136F8.1, Cyb561d1, Creb3, Rbmxl1, Nup35, Tm9sf3, Man2a1, Ppox, Gtpbp1, Hps3, Car5b, Phkg2, Ica1l, Dhrs7b, Katnb1, Dynlt1b, Gm7666, Slc44a1, Amotl2, 9330102E08Rik, Tspan14, RP23-136K21.4, Rrs1, Adipor2, Npm3, Ythdf2, Fam132a, Pih1d1, Wfdc1, RP24-86L13.2, Gab1, Lsm11, Cdkn1a, Wdr59, Hs1bp3, Thumpd3, Zfp787, Tmem173, Scand1, Sox8, Rpl17, Nap1l4, Aldh9a1, Phlpp1, Ctdsp1, Gabarap, Ncoa1, Fndc10, Prob1, Gm11989, Bloc1s3, Gm13365, Atf2, 9530059O14Rik, Ranbp10, Morc3, Kcna2, Abca7, Gjc3, Dynlt1a, Elovl1, Arntl2, Zfp384, Gm6341, RP24-82M14.1, Srbd1, Nkain4, Mirg, Psmb4, Akt2, Gm12732, Fkbp15, Tbc1d19, Rnf157, Atad3a, Kcnn3, Ppp1r8, Gm12770, Syndig1, Rpl10-ps1, Arhgef18, Gm7722, Lrrc28, BC030336, Slc12a9, Elovl6, Gm17994, Tekt5, Fbxl3, Mmd2, Rps27, Gm11639, Tmem87a, Gm6686, Recql5, Gm7123, Gm42547, Ldlrad3, Knop1, Ppif, Gm11631, Mkln1, Lin7b, Fam117b, Ube2j1, Vps13b, Kmt2d, Tor1aip1, Scd3, Dstn, Rab31, Gm5812, Sirt1, 4930453N24Rik, Fyco1, Igbp1, Gm40319, Cntfr, Ecd, Thrsp, Ppp4c, Igfn1, Polr2j, Zfp944, Phax, Eif2ak3, Cln3, Mdga2"
"5","127","Tcf7l2, Ntng1, Rora, Shox2, Pcp4, Prkcd, Ramp3, Adarb1, Ptpn4, Amotl1, Synpo2, Plcb4, Rgs16, Plekhg1, Gabra4, Slc17a6, Pdp1, Cplx1, Zic1, Slc6a11, Patj, Tnnt1, Prkch, Ccdc136, Rab37, Cit, Vav3, Nefh, Grm1, Uchl1, Lef1, Rap1gds1, Hlf, Edil3, Pitpnc1, Spock3, Kitl, Kcnc2, Vamp1, Nrip3, Atp2a2, Tmsb10, Gm43398, Cbln1, Elmo1, Kndc1, Opn3, Sptbn1, Eps8l2, Nsmf, Scrt1, Ctxn3, Clmn, Rgs4, Rab3c, Zfhx3, Dbndd1, Rims3, Shank3, Abhd12b, Nexn, Gabbr2, Hcn4, Mb21d2, Socs6, Sptssb, Nell1, Ubb, Cxx1a, Zmat4, Camk2n2, Atp6ap2, Zfp804a, Cbln4, Cpne9, F2r, Sh3d19, Slitrk6, Pcp4l1, Lhfp, Rbms3, Grm4, Trnp1, Hspa8, Samd5, Zic2, Tpd52l1, Chchd10, Fam20c, Stmn3, Tunar, Ogfrl1, Aldh1a1, Fzd5, Ldhb, Gnal, St3gal4, Slc24a2, Gm13340, Elavl2, Gpr153, Megf9, Ildr2, Kcnc1, 1700019D03Rik, Cited1, Aldoc, Lrrtm1, Tespa1, Gm8355, Epn3, Calb2, Adgrf5, 1810041L15Rik, Ptpn3, Meg3, Ubc, Gm1821, Rit2, Syt9, Foxp2, Ctnnb1, Mrvi1, Atp2a1, Ina, Lhx9, Gabrd"
"6","52","Ebag9, Nle1, Strn3, Vezt, Rbm24, Gm35040, 2010300C02Rik, Gm6905, Chrdl1, Spry1, Ubxn6, Gm20342, Tmub1, Magohb, Rprd1a, Rgs12, Cops7b, A730017L22Rik, Arhgap19, Gm15484, 9230114K14Rik, Tube1, 5730455P16Rik, Fam149b, 1700028P14Rik, Kif9, Lsm14a, Ccnl1, Bag6, Wdr60, Slco3a1, Agpat2, Gm19620, Synrg, Gm11007, Rorc, Vps41, Lrrc45, Serinc2, Synpr, Fam160a2, Nsun4, Tstd2, Ccl25, Gm11472, Fbxl2, Kat2a, RP23-13J14.1, Mfsd6, Zfyve19, Phtf1os, 2810455O05Rik"
"7","76","Polr3gl, Gm6630, Zfp661, Sema4d, Zfp445, Gm6451, Elp4, Ssr1, Ptgfrn, 1500035N22Rik, Pcdh17, Dbnl, Snx22, Dhrs4, Gm7807, Tmem8b, Ttc38, Gm20481, Tmem145, Coq5, Exog, Trim39, Gm5764, Trmt61a, Gm6851, Dclk3, Usp17ld, Foxj2, Hcls1, Adamts2, Slc20a2, Dpp4, Gm5422, Ppib, Armcx5, Rnf149, Crot, Msl1, Zfand3, Ccne2, Bcdin3d, Capza1, Hist1h2bl, Yipf5, Eif2ak1, Snx17, Sh2d3c, Nckap5, Gm38030, Rsf1, Gm3854, Rpl23a-ps3, Kpna6, Tspyl3, Pvalb, Faim, Rbm6-ps1, Gm6710, Gm29668, 1700096K18Rik, Ticrr, Zbtb24, Flrt1, Sh3rf1, RP24-454N4.2, Mre11a, Mrps36-ps1, Asb14, Sh3rf2, Snrpert, Naa35, Dhcr24, Angptl6, Pgs1, Ythdf1, Pex3"
"8","117","RP23-88C11.5, Rps19-ps5, Rp9, 2900011O08Rik, Bcl2l13, Rabepk, 4930523C07Rik, Mast1, Kcnj12, Cdc37, Spen, Cyp2s1, Rictor, Gm44799, Gm2965, Trpt1, Trim47, Cenpm, Psmd12, Aamdc, Gm7867, Smcr8, Stk11ip, Stat5b, March9, Rint1, Gm12517, Klhl5, Ppcdc, Cdc14b, Lrp4, Ift57, Ppip5k1, Gm7805, Zswim4, Dhx40, Dusp14, Riox1, Tubgcp6, Nxph3, Nr2f1, 3110062M04Rik, S1pr3, Tspyl5, Gatc, Flywch2, Supt4a, Rap2b, Heca, Rftn1, Sema3f, Gm14274, Nek6, Gm13015, Stambp, Xab2, Aldh1a3, Dnajb11, Gm6931, Srxn1, RP23-104K14.2, Paf1, Ssh2, Smc6, Aard, Txlng, Klhl18, Slc9a8, Mturn, Zfp553, Scarb1, Gm42829, Npl, Dpf2, Parvg, Gm16701, Ndufs1, Dph5, Ccdc28a, Eva1a, Gmppb, Gm15970, Tpt1-ps1, Lmnb1, Gm20072, Gk5, 1700025G04Rik, Csgalnact1, Gm16853, Gm6100, Abcf2, Slirp, Gm12943, Olfr95, Ttc32, Hey2, Slc1a5, Ggps1, Dhx29, B4galt3, Rnf113a1, Pbx3, Tmem132c, Zfp14, Impad1, Rsph3b, Dusp7, Gm12009, Slf1, Psmg1, Slc46a3, Sgip1, Pes1, Wls, Slc38a9, 2810459M11Rik, Timm13"
"9","65","Lmf2, Engase, Txndc12, E030024N20Rik, Armc5, Cdc42ep1, Nosip, Tmem14c, L3hypdh, Frem3, RP23-335K20.1, Coq4, Slc9a2, Gm9885, Gm8880, Bmpr2, Gm21399, Fbxo6, Kri1, Bloc1s5, Ube2n-ps1, Pou2f1, Lrfn2, Cdipt, Pak2, Letm1, Gm13567, Gm15432, Gadl1, Col9a2, Rpl19, Dpm1, Gm43984, Gm6378, Mrpl20, Pex19, Cdh10, Cpt1c, Gm4879, Ahcy, Gm1947, Slc13a5, Eps8l1, Rnf166, Map3k10, Tyw3, Aak1, Map2k6, Pcna-ps2, Tnni1, Gm13875, Mfsd11, Fbxl22, Gm16416, Tmem59l, Gm4202, Fam195b, P4ha1, Mrm2, Gm9432, Trhr, Vgll4, Gm10355, Gm29236, Des"
"10","33","Gmppa, Card10, Zcwpw1, Mid1, Gm13047, Cdhr1, B230216N24Rik, Slc19a2, Gpr176, Tmem266, Tdrp, Foxred1, Gm28439, Gm12366, Pgap2, Tpcn1, Rab32, Lin28b, Gm8539, Rps8-ps3, Igfbp3, RP23-419K14.11, Dll1, Gm45855, Gm2061, Gm29593, Heatr3, Macrod1, Gm8004, Gm43250, Ebf2, Slc25a37, Akr1c18"
