"cluster","#genes","genes"
"1","254","Gene5060, Gene2600, Gene7358, Gene9836, Gene9263, Gene3060, Gene4044, Gene5612, Gene9500, Gene9581, Gene2645, Gene7413, Gene1128, Gene6947, Gene2003, Gene5306, Gene4940, Gene8612, Gene1482, Gene9596, Gene6023, Gene7732, Gene871, Gene2853, Gene6279, Gene8891, Gene3419, Gene9673, Gene88, Gene5263, Gene8595, Gene8235, Gene4859, Gene721, Gene3940, Gene3317, Gene9876, Gene6018, Gene2653, Gene2148, Gene7373, Gene5261, Gene6312, Gene5171, Gene3448, Gene1767, Gene4362, Gene3, Gene2939, Gene7886, Gene4322, Gene5472, Gene6877, Gene1462, Gene9567, Gene6710, Gene6403, Gene5787, Gene5296, Gene7313, Gene9432, Gene3292, Gene1830, Gene1066, Gene8627, Gene8946, Gene2590, Gene911, Gene3910, Gene1863, Gene3450, Gene2012, Gene9662, Gene5643, Gene3462, Gene1984, Gene3717, Gene4800, Gene4498, Gene1157, Gene2218, Gene9570, Gene4898, Gene4833, Gene7528, Gene3210, Gene7151, Gene7225, Gene8074, Gene550, Gene6157, Gene2229, Gene5924, Gene4803, Gene8991, Gene3873, Gene3362, Gene3153, Gene8387, Gene6166, Gene9740, Gene9413, Gene9692, Gene63, Gene2857, Gene8228, Gene7724, Gene5300, Gene5140, Gene4655, Gene1532, Gene9223, Gene6895, Gene2766, Gene9492, Gene9518, Gene2184, Gene9619, Gene2804, Gene6043, Gene993, Gene745, Gene6860, Gene9808, Gene6939, Gene4662, Gene7946, Gene3761, Gene4324, Gene3066, Gene5541, Gene6109, Gene3694, Gene4895, Gene5482, Gene8858, Gene2824, Gene8424, Gene4130, Gene4527, Gene6177, Gene6614, Gene2378, Gene6855, Gene6472, Gene9016, Gene2733, Gene3986, Gene846, Gene5403, Gene4793, Gene939, Gene7940, Gene3272, Gene3735, Gene177, Gene6044, Gene6807, Gene45, Gene5024, Gene9770, Gene3908, Gene680, Gene7794, Gene3013, Gene6925, Gene1975, Gene85, Gene6994, Gene4645, Gene3914, Gene6286, Gene5701, Gene4844, Gene391, Gene4517, Gene3558, Gene7068, Gene4429, Gene9859, Gene9194, Gene6024, Gene3295, Gene4431, Gene3715, Gene1082, Gene9803, Gene5531, Gene4698, Gene6471, Gene3674, Gene7164, Gene7458, Gene9487, Gene7677, Gene5937, Gene4002, Gene4000, Gene9747, Gene3671, Gene9578, Gene7030, Gene5056, Gene8695, Gene7579, Gene9599, Gene4908, Gene8350, Gene6300, Gene5066, Gene7303, Gene3783, Gene7133, Gene9554, Gene3030, Gene1449, Gene2113, Gene15, Gene7572, Gene8309, Gene2444, Gene3040, Gene8000, Gene9006, Gene3516, Gene7690, Gene3892, Gene260, Gene7362, Gene2785, Gene8049, Gene3005, Gene1274, Gene478, Gene5330, Gene496, Gene5743, Gene230, Gene411, Gene3773, Gene1324, Gene2362, Gene6038, Gene5432, Gene744, Gene5587, Gene8269, Gene2159, Gene9481, Gene9640, Gene5921, Gene324, Gene5312, Gene995"
"10","35","Gene6244, Gene6630, Gene9309, Gene3652, Gene7584, Gene9992, Gene7737, Gene5887, Gene1539, Gene4635, Gene6815, Gene8746, Gene3633, Gene1899, Gene1075, Gene2249, Gene1267, Gene9039, Gene4239, Gene5561, Gene924, Gene7656, Gene426, Gene2816, Gene1219, Gene7264, Gene4995, Gene8067, Gene2107, Gene2129, Gene9767, Gene5514, Gene2880, Gene3909, Gene2391"
"16","23","Gene3789, Gene7954, Gene7222, Gene5798, Gene6784, Gene3446, Gene7276, Gene554, Gene8615, Gene8600, Gene7906, Gene2195, Gene5364, Gene4872, Gene8437, Gene9230, Gene1242, Gene3277, Gene8546, Gene8556, Gene8998, Gene3686, Gene6442"
"4","94","Gene5990, Gene1056, Gene9777, Gene146, Gene2043, Gene4750, Gene160, Gene2459, Gene4415, Gene5774, Gene2461, Gene9438, Gene7754, Gene9310, Gene3882, Gene6491, Gene2411, Gene6633, Gene8086, Gene3745, Gene3186, Gene3642, Gene3135, Gene3085, Gene6003, Gene1058, Gene9189, Gene6545, Gene8779, Gene6742, Gene3726, Gene4402, Gene5217, Gene2409, Gene7071, Gene2428, Gene9141, Gene6893, Gene4507, Gene8324, Gene8065, Gene4039, Gene5460, Gene3211, Gene3517, Gene5099, Gene9507, Gene6577, Gene8625, Gene6780, Gene4261, Gene179, Gene1048, Gene9412, Gene7312, Gene9557, Gene2432, Gene7233, Gene574, Gene770, Gene4945, Gene6985, Gene4551, Gene9253, Gene6519, Gene8056, Gene4142, Gene3263, Gene6821, Gene5578, Gene7489, Gene4981, Gene6949, Gene9994, Gene9926, Gene2947, Gene9391, Gene7999, Gene974, Gene6980, Gene8947, Gene1945, Gene3681, Gene7445, Gene6091, Gene5073, Gene6033, Gene9621, Gene2354, Gene1667, Gene2865, Gene3574, Gene1829, Gene1460"
"2","150","Gene2259, Gene1228, Gene5379, Gene2384, Gene4849, Gene7679, Gene6457, Gene9080, Gene7502, Gene6110, Gene9610, Gene5532, Gene4801, Gene2057, Gene3420, Gene9746, Gene1844, Gene8236, Gene9790, Gene8500, Gene4591, Gene3619, Gene414, Gene3239, Gene3700, Gene5148, Gene2530, Gene2097, Gene8348, Gene5001, Gene9024, Gene5620, Gene8201, Gene1710, Gene3844, Gene6179, Gene2276, Gene9552, Gene2883, Gene9476, Gene4315, Gene9449, Gene7009, Gene3673, Gene1531, Gene9794, Gene4641, Gene3512, Gene4852, Gene4678, Gene9149, Gene2469, Gene794, Gene7796, Gene6531, Gene26, Gene1736, Gene6970, Gene3885, Gene474, Gene3944, Gene213, Gene3824, Gene3449, Gene4112, Gene3093, Gene8303, Gene590, Gene7069, Gene8710, Gene9708, Gene9057, Gene3753, Gene5488, Gene7567, Gene3756, Gene418, Gene7123, Gene8244, Gene7514, Gene4864, Gene3567, Gene322, Gene3097, Gene1220, Gene5967, Gene3501, Gene5585, Gene3653, Gene957, Gene6884, Gene9219, Gene5043, Gene5745, Gene1681, Gene1631, Gene7968, Gene7262, Gene464, Gene8005, Gene6883, Gene5560, Gene6729, Gene2605, Gene2400, Gene9530, Gene3594, Gene5588, Gene7895, Gene1310, Gene4403, Gene7122, Gene6480, Gene1377, Gene796, Gene5414, Gene4734, Gene1664, Gene8266, Gene1839, Gene3094, Gene1925, Gene1566, Gene1714, Gene8352, Gene2662, Gene5597, Gene9051, Gene1632, Gene6719, Gene1080, Gene5252, Gene6649, Gene7273, Gene7117, Gene4433, Gene6989, Gene9401, Gene7650, Gene3297, Gene5086, Gene4963, Gene7622, Gene4025, Gene2225, Gene4230, Gene9005, Gene6222, Gene1481, Gene2139"
"5","80","Gene2133, Gene269, Gene5498, Gene503, Gene1522, Gene7047, Gene8644, Gene4484, Gene6052, Gene5563, Gene5723, Gene6259, Gene30, Gene2760, Gene8894, Gene4207, Gene2731, Gene6679, Gene5939, Gene9027, Gene6301, Gene9360, Gene5912, Gene7506, Gene3243, Gene2656, Gene9653, Gene5088, Gene826, Gene8703, Gene8922, Gene5556, Gene1813, Gene3280, Gene9880, Gene593, Gene8941, Gene2299, Gene1214, Gene6623, Gene1156, Gene7315, Gene4771, Gene6252, Gene5522, Gene8247, Gene584, Gene8663, Gene1025, Gene4272, Gene6170, Gene2573, Gene8111, Gene7669, Gene6800, Gene9569, Gene553, Gene7422, Gene8869, Gene6203, Gene9127, Gene7271, Gene1620, Gene9311, Gene6559, Gene4150, Gene5008, Gene1635, Gene2153, Gene7224, Gene7935, Gene8688, Gene7451, Gene789, Gene7306, Gene6086, Gene8439, Gene5871, Gene7658, Gene5201"
"18","21","Gene8560, Gene953, Gene2307, Gene4804, Gene6115, Gene4657, Gene1547, Gene4659, Gene8185, Gene4922, Gene125, Gene9813, Gene3054, Gene1629, Gene280, Gene8849, Gene4499, Gene9874, Gene2796, Gene5061, Gene1935"
"6","63","Gene8453, Gene7743, Gene2264, Gene5675, Gene1079, Gene937, Gene5599, Gene8014, Gene9887, Gene3834, Gene5212, Gene3379, Gene645, Gene6397, Gene9561, Gene3169, Gene517, Gene8507, Gene8888, Gene8720, Gene9758, Gene2021, Gene7624, Gene927, Gene9979, Gene3106, Gene9119, Gene3268, Gene8283, Gene7485, Gene1918, Gene6956, Gene8120, Gene4861, Gene659, Gene669, Gene9361, Gene3398, Gene5023, Gene4936, Gene3666, Gene3897, Gene1165, Gene7929, Gene9473, Gene2374, Gene9899, Gene2167, Gene3984, Gene9108, Gene2388, Gene6824, Gene1881, Gene7820, Gene491, Gene3452, Gene2769, Gene6842, Gene614, Gene3616, Gene9317, Gene4501, Gene6137"
"3","104","Gene9282, Gene8913, Gene5538, Gene1958, Gene4306, Gene9679, Gene5710, Gene1034, Gene9691, Gene105, Gene7072, Gene5678, Gene401, Gene963, Gene3240, Gene2207, Gene8045, Gene2056, Gene1037, Gene1411, Gene5690, Gene4254, Gene8786, Gene4092, Gene663, Gene1335, Gene9991, Gene4375, Gene2467, Gene1169, Gene5348, Gene8169, Gene3133, Gene8002, Gene1826, Gene3707, Gene5283, Gene6375, Gene2934, Gene5683, Gene9240, Gene4094, Gene236, Gene737, Gene6351, Gene9030, Gene4428, Gene4223, Gene7664, Gene4291, Gene1961, Gene9060, Gene3264, Gene2333, Gene397, Gene908, Gene5506, Gene3490, Gene1295, Gene4043, Gene1969, Gene7269, Gene8621, Gene7822, Gene757, Gene8682, Gene5344, Gene2331, Gene8511, Gene2916, Gene6848, Gene1872, Gene1796, Gene5695, Gene3335, Gene8232, Gene5371, Gene5628, Gene1254, Gene4342, Gene1983, Gene2141, Gene1031, Gene857, Gene9086, Gene9072, Gene7645, Gene2976, Gene4520, Gene8537, Gene1560, Gene8553, Gene7939, Gene5633, Gene1783, Gene784, Gene4290, Gene4741, Gene5012, Gene8409, Gene7950, Gene6954, Gene3058, Gene4009"
"17","22","Gene9872, Gene7272, Gene4988, Gene8211, Gene7344, Gene3743, Gene725, Gene3488, Gene91, Gene6961, Gene9329, Gene7267, Gene2664, Gene3476, Gene3638, Gene1655, Gene4326, Gene2569, Gene6336, Gene9420, Gene479, Gene4"
