"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","1421","down","63","Gene9592, Gene3525, Gene5329, Gene5447, Gene6868, Gene9085, Gene3725, Gene893, Gene5362, Gene5326, Gene4999, Gene8738, Gene2823, Gene1555, Gene5068, Gene4265, Gene1722, Gene5089, Gene1035, Gene7865, Gene1332, Gene8753, Gene3262, Gene4245, Gene7118, Gene2199, Gene9593, Gene4635, Gene3819, Gene6745, Gene9467, Gene295, Gene1946, Gene1274, Gene4700, Gene4715, Gene1307, Gene3250, Gene87, Gene484, Gene5234, Gene8009, Gene7317, Gene6981, Gene5703, Gene8581, Gene4201, Gene8280, Gene7860, Gene8426, Gene9751, Gene2997, Gene4650, Gene8367, Gene1616, Gene1460, Gene1342, Gene4110, Gene6781, Gene9877, Gene8572, Gene3712, Gene6344"
"2","1","1249","down","523","Gene4265, Gene5362, Gene8280, Gene2823, Gene87, Gene8753, Gene4000, Gene3819, Gene1332, Gene4635, Gene634, Gene5277, Gene2003, Gene4684, Gene2416, Gene1555, Gene3983, Gene6786, Gene8447, Gene2706, Gene7645, Gene8254, Gene6171, Gene1383, Gene1659, Gene2086, Gene7009, Gene1580, Gene6781, Gene7798, Gene7085, Gene7833, Gene1373, Gene3201, Gene2919, Gene8973, Gene4536, Gene1274, Gene9875, Gene9849, Gene9751, Gene4110, Gene3807, Gene5089, Gene3250, Gene4125, Gene7020, Gene7928, Gene6243, Gene7179, Gene1616, Gene7865, Gene764, Gene2385, Gene1691, Gene3718, Gene6331, Gene3411, Gene7287, Gene8682, Gene8194, Gene4655, Gene4078, Gene8527, Gene1946, Gene8253, Gene3120, Gene8476, Gene6021, Gene4201, Gene5846, Gene7371, Gene6333, Gene6868, Gene231, Gene2654, Gene1209, Gene1426, Gene2082, Gene1722, Gene3507, Gene3532, Gene2753, Gene6638, Gene431, Gene6844, Gene5253, Gene1342, Gene227, Gene8426, Gene5383, Gene8270, Gene9743, Gene6737, Gene9295, Gene8636, Gene1844, Gene5844, Gene1948, Gene8787, Gene321, Gene3270, Gene6568, Gene5417, Gene9754, Gene8390, Gene6662, Gene1663, Gene5112, Gene7199, Gene1428, Gene9891, Gene5343, Gene4430, Gene5992, Gene1907, Gene8878, Gene6708, Gene4670, Gene3260, Gene5035, Gene5196, Gene9674, Gene8073, Gene4650, Gene4089, Gene9592, Gene1272, Gene6585, Gene317, Gene2477, Gene6015, Gene9106, Gene1307, Gene4066, Gene6658, Gene1821, Gene4133, Gene5186, Gene9246, Gene2414, Gene7936, Gene9600, Gene4763, Gene7354, Gene7639, Gene4835, Gene4797, Gene6529, Gene8839, Gene885, Gene1410, Gene2943, Gene5491, Gene6084, Gene1798, Gene6491, Gene9729, Gene3329, Gene2135, Gene4221, Gene8588, Gene9593, Gene1579, Gene2141, Gene8772, Gene4826, Gene6623, Gene3219, Gene1330, Gene81, Gene9063, Gene6258, Gene9207, Gene6679, Gene2423, Gene7948, Gene7633, Gene3485, Gene780, Gene2321, Gene2471, Gene296, Gene6995, Gene1885, Gene6771, Gene5624, Gene2877, Gene1380, Gene4190, Gene7687, Gene6070, Gene3530, Gene657, Gene4490, Gene484, Gene7175, Gene7116, Gene4690, Gene5970, Gene8443, Gene6753, Gene4807, Gene2631, Gene2707, Gene2565, Gene6694, Gene8737, Gene8968, Gene3722, Gene1377, Gene6748, Gene4570, Gene7666, Gene5082, Gene4270, Gene6155, Gene9499, Gene2390, Gene8965, Gene7864, Gene4489, Gene9556, Gene8519, Gene2776, Gene9470, Gene7699, Gene7541, Gene5489, Gene2415, Gene5886, Gene8790, Gene9057, Gene4074, Gene9828, Gene1452, Gene7980, Gene9370, Gene3186, Gene7775, Gene3720, Gene9226, Gene7576, Gene4187, Gene3287, Gene6887, Gene542, Gene1664, Gene9899, Gene611, Gene3230, Gene1460, Gene2719, Gene4653, Gene881, Gene9954, Gene5921, Gene1661, Gene6385, Gene6535, Gene1774, Gene4583, Gene7024, Gene2694, Gene1197, Gene3032, Gene9288, Gene5305, Gene4470, Gene3602, Gene3516, Gene3879, Gene4299, Gene1164, Gene2628, Gene9290, Gene9676, Gene8052, Gene1088, Gene8953, Gene5459, Gene7748, Gene2205, Gene8352, Gene7977, Gene8657, Gene9699, Gene7622, Gene7083, Gene6700, Gene6371, Gene5094, Gene6250, Gene7695, Gene6173, Gene448, Gene109, Gene7098, Gene9388, Gene8236, Gene7650, Gene9673, Gene2384, Gene9586, Gene2635, Gene7843, Gene5919, Gene8433, Gene992, Gene9507, Gene8711, Gene9152, Gene1073, Gene9121, Gene1223, Gene4526, Gene4941, Gene1104, Gene6105, Gene495, Gene6475, Gene1689, Gene9365, Gene1439, Gene7742, Gene3738, Gene199, Gene5320, Gene567, Gene4725, Gene2049, Gene8874, Gene8564, Gene4862, Gene2393, Gene1358, Gene994, Gene145, Gene3860, Gene8852, Gene8290, Gene2434, Gene8044, Gene5033, Gene1570, Gene2092, Gene9446, Gene2246, Gene5906, Gene76, Gene4943, Gene2189, Gene690, Gene2107, Gene1956, Gene7443, Gene1799, Gene739, Gene6624, Gene1805, Gene18, Gene7753, Gene4545, Gene2624, Gene1406, Gene5456, Gene1793, Gene4642, Gene5225, Gene5658, Gene8009, Gene4072, Gene2872, Gene9148, Gene5287, Gene9857, Gene2572, Gene5394, Gene3350, Gene3557, Gene2230, Gene2473, Gene2754, Gene53, Gene8616, Gene9540, Gene3890, Gene5070, Gene1740, Gene8417, Gene6929, Gene4350, Gene6489, Gene7740, Gene8340, Gene3410, Gene7119, Gene8744, Gene6981, Gene3180, Gene9143, Gene2268, Gene6913, Gene1191, Gene528, Gene7661, Gene5664, Gene1118, Gene579, Gene8826, Gene1905, Gene305, Gene3995, Gene4982, Gene893, Gene1335, Gene8061, Gene773, Gene2559, Gene9419, Gene513, Gene7368, Gene4291, Gene1288, Gene6312, Gene22, Gene5322, Gene6148, Gene7778, Gene3556, Gene6232, Gene8069, Gene2478, Gene884, Gene5168, Gene2891, Gene2175, Gene3117, Gene7882, Gene6382, Gene3254, Gene5690, Gene8905, Gene5791, Gene4382, Gene750, Gene3472, Gene5747, Gene3873, Gene5507, Gene1190, Gene8362, Gene8840, Gene9282, Gene2289, Gene9441, Gene2444, Gene3924, Gene9313, Gene9334, Gene5926, Gene3923, Gene44, Gene24, Gene1673, Gene726, Gene4118, Gene9095, Gene8142, Gene1412, Gene8045, Gene2114, Gene9315, Gene1292, Gene8827, Gene246, Gene9695, Gene3094, Gene1438, Gene1857, Gene8562, Gene1480, Gene8147, Gene123, Gene7808, Gene2810, Gene3037, Gene3961, Gene2782, Gene5490, Gene5208, Gene6160, Gene6821, Gene5068, Gene991, Gene6294, Gene1833, Gene64, Gene5811, Gene2288, Gene3489, Gene7815, Gene2833, Gene8651, Gene9583, Gene2517, Gene2551, Gene6135, Gene6656, Gene2083, Gene960, Gene9182, Gene6396, Gene3778, Gene6275, Gene2940, Gene5720, Gene9893, Gene51, Gene8572, Gene3712, Gene9085, Gene8367"
"3","2","1077","down","117","Gene2219, Gene1555, Gene6929, Gene431, Gene7266, Gene448, Gene634, Gene1946, Gene484, Gene2082, Gene1821, Gene2919, Gene1332, Gene8753, Gene7845, Gene9592, Gene4110, Gene5089, Gene3219, Gene4635, Gene391, Gene5447, Gene495, Gene3819, Gene3718, Gene2086, Gene3725, Gene3525, Gene5703, Gene7798, Gene3983, Gene5277, Gene7085, Gene2565, Gene1836, Gene8447, Gene2823, Gene5362, Gene7009, Gene5675, Gene8636, Gene9085, Gene4265, Gene1530, Gene295, Gene4372, Gene6868, Gene8254, Gene3270, Gene4684, Gene542, Gene413, Gene9751, Gene1274, Gene8738, Gene8253, Gene7645, Gene1948, Gene9540, Gene7371, Gene8367, Gene87, Gene7354, Gene3180, Gene4525, Gene7091, Gene706, Gene3697, Gene6491, Gene321, Gene5394, Gene6275, Gene2810, Gene3250, Gene6887, Gene4570, Gene5329, Gene5208, Gene6932, Gene8426, Gene780, Gene1664, Gene7695, Gene1159, Gene9754, Gene18, Gene9816, Gene8527, Gene9556, Gene9891, Gene7639, Gene9313, Gene4032, Gene4000, Gene2003, Gene1377, Gene8073, Gene44, Gene2114, Gene4133, Gene8476, Gene4670, Gene960, Gene9600, Gene2776, Gene5035, Gene1579, Gene2753, Gene5846, Gene6753, Gene881, Gene7199, Gene81, Gene6529, Gene9593, Gene8280, Gene3712"
"4","3","925","down","258","Gene5362, Gene7928, Gene9849, Gene611, Gene2477, Gene7179, Gene7865, Gene3201, Gene1691, Gene231, Gene3120, Gene7287, Gene1383, Gene3807, Gene2416, Gene4265, Gene2943, Gene4000, Gene3250, Gene8682, Gene1373, Gene6844, Gene8280, Gene5112, Gene7833, Gene634, Gene2215, Gene4655, Gene9499, Gene7699, Gene4125, Gene764, Gene6737, Gene2246, Gene6568, Gene6786, Gene1580, Gene7330, Gene3411, Gene2003, Gene4725, Gene8194, Gene1332, Gene7295, Gene9690, Gene7936, Gene8968, Gene8839, Gene9592, Gene2321, Gene8447, Gene8753, Gene9699, Gene4835, Gene7622, Gene5277, Gene885, Gene9148, Gene7175, Gene3219, Gene9888, Gene8973, Gene8476, Gene1821, Gene1426, Gene5624, Gene4536, Gene6333, Gene9057, Gene2125, Gene2270, Gene9063, Gene9313, Gene1641, Gene3952, Gene7980, Gene2753, Gene5970, Gene6160, Gene4851, Gene2877, Gene6021, Gene9828, Gene3819, Gene9743, Gene6331, Gene5326, Gene2919, Gene7666, Gene4807, Gene5992, Gene4430, Gene5343, Gene7854, Gene3738, Gene3983, Gene6250, Gene7843, Gene9875, Gene5089, Gene9857, Gene8786, Gene4763, Gene4943, Gene3525, Gene3587, Gene2823, Gene7864, Gene4110, Gene6694, Gene8352, Gene6232, Gene5447, Gene9246, Gene9751, Gene6311, Gene6995, Gene1118, Gene1722, Gene4066, Gene542, Gene8527, Gene5287, Gene4072, Gene1191, Gene7645, Gene6664, Gene7650, Gene1956, Gene5320, Gene6640, Gene4200, Gene8878, Gene1661, Gene9226, Gene4470, Gene552, Gene4008, Gene7661, Gene9676, Gene7131, Gene1740, Gene4635, Gene8367, Gene3923, Gene4074, Gene7371, Gene2719, Gene4385, Gene8190, Gene8340, Gene893, Gene317, Gene3666, Gene4526, Gene3105, Gene3718, Gene3478, Gene5791, Gene9161, Gene6932, Gene1406, Gene2663, Gene3260, Gene3961, Gene9346, Gene1638, Gene4684, Gene3530, Gene5225, Gene5329, Gene1485, Gene9507, Gene5186, Gene9695, Gene6756, Gene8270, Gene2288, Gene4268, Gene6465, Gene2205, Gene2478, Gene9154, Gene3890, Gene6746, Gene8645, Gene1288, Gene8142, Gene8118, Gene1452, Gene251, Gene5033, Gene7015, Gene3100, Gene8226, Gene4490, Gene5916, Gene8788, Gene1689, Gene3994, Gene9185, Gene2528, Gene5543, Gene8069, Gene9085, Gene321, Gene3329, Gene4670, Gene7639, Gene6658, Gene7344, Gene9199, Gene3995, Gene53, Gene9106, Gene1844, Gene87, Gene7742, Gene7948, Gene3117, Gene9891, Gene4849, Gene9388, Gene1885, Gene6656, Gene5035, Gene2083, Gene2414, Gene1272, Gene3573, Gene513, Gene2940, Gene172, Gene9425, Gene6312, Gene7, Gene6396, Gene3879, Gene8426, Gene1073, Gene9816, Gene6275, Gene7949, Gene1579, Gene6753, Gene8073, Gene9674, Gene5846, Gene7199, Gene9877, Gene9600, Gene5507, Gene5720, Gene9593, Gene81, Gene6344, Gene3712, Gene1307"
"5","4","904","down","54","Gene1460, Gene6868, Gene9849, Gene3725, Gene8738, Gene7325, Gene611, Gene1722, Gene7179, Gene7928, Gene231, Gene3201, Gene2215, Gene8581, Gene2477, Gene3120, Gene9699, Gene1691, Gene3952, Gene5326, Gene2246, Gene5459, Gene8839, Gene2004, Gene2135, Gene7948, Gene8376, Gene8367, Gene5624, Gene4536, Gene7317, Gene4000, Gene5703, Gene5507, Gene4835, Gene2943, Gene8194, Gene885, Gene7980, Gene893, Gene180, Gene9499, Gene1641, Gene2049, Gene9877, Gene2631, Gene9313, Gene6932, Gene8786, Gene3100, Gene1307, Gene6344, Gene9085, Gene3712"
"6","5","624","down","197","Gene7991, Gene7156, Gene3507, Gene1307, Gene2823, Gene7633, Gene4201, Gene3614, Gene4221, Gene4650, Gene6762, Gene3712, Gene6781, Gene1720, Gene9085, Gene6079, Gene8837, Gene1668, Gene9875, Gene6070, Gene8009, Gene8965, Gene4265, Gene6171, Gene8867, Gene1292, Gene7872, Gene992, Gene7865, Gene1332, Gene1659, Gene9032, Gene9592, Gene1274, Gene3532, Gene4078, Gene5068, Gene5981, Gene8572, Gene8596, Gene8367, Gene6790, Gene6344, Gene3807, Gene1709, Gene1555, Gene7317, Gene1661, Gene3819, Gene5362, Gene6981, Gene2385, Gene8753, Gene3525, Gene9743, Gene6800, Gene1798, Gene6662, Gene51, Gene8791, Gene567, Gene1342, Gene2289, Gene6619, Gene5447, Gene5277, Gene3983, Gene4858, Gene8935, Gene5846, Gene2635, Gene8226, Gene2991, Gene87, Gene7325, Gene5089, Gene6250, Gene4635, Gene253, Gene6679, Gene1616, Gene2120, Gene1272, Gene3250, Gene7024, Gene8772, Gene8147, Gene6333, Gene764, Gene8758, Gene6243, Gene2706, Gene1844, Gene7611, Gene6638, Gene2003, Gene301, Gene8254, Gene4684, Gene5614, Gene9030, Gene1412, Gene7645, Gene1946, Gene2952, Gene1451, Gene9751, Gene1632, Gene7275, Gene7541, Gene2877, Gene2082, Gene9586, Gene7434, Gene8270, Gene6021, Gene2415, Gene1162, Gene5219, Gene8280, Gene4175, Gene9469, Gene9877, Gene3049, Gene7753, Gene6623, Gene449, Gene8951, Gene8737, Gene8527, Gene6331, Gene8738, Gene7085, Gene788, Gene3557, Gene4536, Gene9593, Gene6868, Gene7371, Gene8804, Gene2416, Gene2658, Gene9790, Gene8441, Gene6786, Gene4434, Gene5992, Gene9117, Gene8962, Gene5082, Gene1330, Gene76, Gene7175, Gene321, Gene4076, Gene6105, Gene4000, Gene4489, Gene2358, Gene6529, Gene4364, Gene6311, Gene9365, Gene8008, Gene8426, Gene9588, Gene6945, Gene8073, Gene7199, Gene4110, Gene1439, Gene2414, Gene9674, Gene9106, Gene5186, Gene875, Gene6491, Gene9891, Gene4670, Gene8476, Gene5919, Gene9295, Gene2585, Gene2753, Gene415, Gene4133, Gene3260, Gene4074, Gene9600, Gene2628, Gene2559, Gene6275, Gene9556, Gene6386, Gene7924, Gene5035, Gene81"
"7","6","525","up","6","Gene1307, Gene4201, Gene3712, Gene8367, Gene8572, Gene6344"
"8","6","525","down","599","Gene6762, Gene8837, Gene6222, Gene5442, Gene6981, Gene6079, Gene3952, Gene7330, Gene8867, Gene2215, Gene6790, Gene2823, Gene1292, Gene4221, Gene6781, Gene6800, Gene9085, Gene2749, Gene4078, Gene8971, Gene1555, Gene7435, Gene8758, Gene6346, Gene611, Gene9877, Gene8009, Gene7921, Gene4267, Gene1821, Gene301, Gene220, Gene8179, Gene1990, Gene3675, Gene1451, Gene5279, Gene7317, Gene3543, Gene9030, Gene6070, Gene8304, Gene2952, Gene9498, Gene2533, Gene8772, Gene972, Gene3488, Gene7275, Gene3100, Gene1842, Gene1175, Gene8951, Gene7289, Gene5239, Gene1946, Gene1162, Gene6662, Gene1342, Gene5068, Gene5219, Gene4200, Gene4175, Gene2082, Gene3532, Gene3507, Gene7505, Gene9032, Gene2246, Gene1632, Gene6664, Gene3282, Gene2385, Gene7383, Gene3563, Gene1412, Gene4603, Gene1668, Gene6016, Gene8514, Gene1200, Gene495, Gene5659, Gene3588, Gene5675, Gene7752, Gene484, Gene1616, Gene7928, Gene9214, Gene7633, Gene9586, Gene4364, Gene6623, Gene4858, Gene9849, Gene2635, Gene9790, Gene3243, Gene1638, Gene8803, Gene2358, Gene1274, Gene788, Gene737, Gene6679, Gene2987, Gene5402, Gene6945, Gene415, Gene2775, Gene5967, Gene2984, Gene3284, Gene9875, Gene9223, Gene7325, Gene3049, Gene2585, Gene6386, Gene755, Gene9588, Gene7949, Gene7284, Gene172, Gene1659, Gene2270, Gene5543, Gene9313, Gene8226, Gene1078, Gene8720, Gene1612, Gene3557, Gene8365, Gene4268, Gene391, Gene8645, Gene3978, Gene9365, Gene6971, Gene6491, Gene6280, Gene87, Gene1323, Gene9027, Gene7062, Gene3219, Gene1459, Gene381, Gene2415, Gene1641, Gene5846, Gene9599, Gene3788, Gene6913, Gene5919, Gene9848, Gene1525, Gene5698, Gene9593, Gene6638, Gene2545, Gene5864, Gene3468, Gene8551, Gene8926, Gene8008, Gene5983, Gene5333, Gene7179, Gene76, Gene875, Gene3725, Gene6243, Gene6604, Gene3878, Gene9258, Gene5870, Gene5082, Gene1812, Gene4072, Gene6549, Gene4489, Gene3341, Gene2214, Gene7020, Gene4270, Gene2783, Gene380, Gene7873, Gene9467, Gene4089, Gene120, Gene6113, Gene6371, Gene8935, Gene4076, Gene1025, Gene3982, Gene4650, Gene4635, Gene7611, Gene2255, Gene3417, Gene5490, Gene8753, Gene8954, Gene8355, Gene1177, Gene3913, Gene9528, Gene4517, Gene1844, Gene7259, Gene1703, Gene9592, Gene6756, Gene8022, Gene6182, Gene4686, Gene7117, Gene1652, Gene1808, Gene9545, Gene5447, Gene1228, Gene974, Gene8786, Gene4401, Gene8410, Gene7351, Gene7050, Gene6105, Gene2706, Gene4385, Gene8644, Gene9699, Gene7015, Gene1399, Gene1332, Gene8737, Gene5314, Gene122, Gene4008, Gene1225, Gene5861, Gene6232, Gene8149, Gene1470, Gene148, Gene5089, Gene9722, Gene4525, Gene2626, Gene417, Gene5315, Gene1709, Gene2502, Gene7077, Gene7629, Gene9341, Gene7051, Gene2658, Gene9081, Gene231, Gene24, Gene3154, Gene8170, Gene2655, Gene6783, Gene4715, Gene1855, Gene2386, Gene7750, Gene585, Gene9502, Gene1488, Gene5189, Gene7919, Gene5832, Gene4143, Gene5991, Gene6323, Gene7642, Gene2434, Gene7070, Gene539, Gene4308, Gene7130, Gene5916, Gene6746, Gene2669, Gene4265, Gene7991, Gene3636, Gene8804, Gene2572, Gene314, Gene3469, Gene6777, Gene365, Gene4614, Gene1691, Gene2114, Gene3032, Gene4835, Gene199, Gene4017, Gene4851, Gene7106, Gene674, Gene2477, Gene8865, Gene2362, Gene3525, Gene3819, Gene6956, Gene7208, Gene4479, Gene2810, Gene3485, Gene3214, Gene8001, Gene8581, Gene9857, Gene5019, Gene1727, Gene1272, Gene3410, Gene1032, Gene5703, Gene447, Gene4680, Gene186, Gene8254, Gene1237, Gene9173, Gene4746, Gene1571, Gene4077, Gene9540, Gene1995, Gene3983, Gene7252, Gene8123, Gene7669, Gene5525, Gene960, Gene5843, Gene6046, Gene1001, Gene3953, Gene8426, Gene3923, Gene6265, Gene3490, Gene4188, Gene5397, Gene7119, Gene8790, Gene2349, Gene256, Gene8968, Gene2877, Gene7986, Gene8028, Gene6867, Gene8862, Gene3970, Gene4549, Gene5112, Gene255, Gene7387, Gene1730, Gene6261, Gene991, Gene8406, Gene1799, Gene3277, Gene1814, Gene6529, Gene3073, Gene937, Gene1543, Gene1208, Gene8964, Gene1380, Gene6585, Gene1034, Gene8319, Gene7402, Gene8519, Gene8429, Gene6278, Gene7690, Gene3567, Gene1250, Gene3259, Gene9295, Gene8839, Gene2103, Gene8015, Gene6333, Gene9751, Gene6645, Gene8729, Gene1733, Gene253, Gene9948, Gene542, Gene9674, Gene347, Gene189, Gene7538, Gene5277, Gene624, Gene4493, Gene4584, Gene5785, Gene7662, Gene7591, Gene4684, Gene7287, Gene4904, Gene3120, Gene5841, Gene5757, Gene5448, Gene2919, Gene5962, Gene4882, Gene2444, Gene8848, Gene9040, Gene195, Gene7371, Gene4999, Gene2175, Gene3732, Gene7884, Gene8829, Gene1300, Gene9343, Gene166, Gene7085, Gene5559, Gene8788, Gene8965, Gene6374, Gene9416, Gene3454, Gene7975, Gene8270, Gene9441, Gene9134, Gene3316, Gene9673, Gene9554, Gene502, Gene5749, Gene1159, Gene1767, Gene4601, Gene8731, Gene3311, Gene9176, Gene5537, Gene6567, Gene6597, Gene3556, Gene7698, Gene6392, Gene2866, Gene7530, Gene1661, Gene3676, Gene9354, Gene1436, Gene7675, Gene5939, Gene6380, Gene7924, Gene2487, Gene3779, Gene2974, Gene7936, Gene8738, Gene9919, Gene4232, Gene2153, Gene631, Gene5528, Gene5562, Gene3121, Gene9904, Gene8764, Gene3745, Gene1030, Gene4792, Gene7013, Gene3589, Gene3702, Gene6275, Gene5765, Gene9505, Gene2016, Gene9556, Gene2964, Gene1226, Gene8657, Gene4379, Gene9539, Gene7362, Gene51, Gene3759, Gene1317, Gene8221, Gene8130, Gene7900, Gene1589, Gene800, Gene4032, Gene3874, Gene5507, Gene1740, Gene8456, Gene9182, Gene6821, Gene6368, Gene4455, Gene7199, Gene9466, Gene4133, Gene1513, Gene8630, Gene1836, Gene6868, Gene7512, Gene1522, Gene499, Gene6135, Gene2869, Gene5624, Gene5879, Gene5756, Gene3939, Gene6148, Gene2192, Gene3961, Gene2456, Gene131, Gene2642, Gene7, Gene356, Gene6214, Gene9063, Gene8073, Gene2414, Gene6160, Gene1066, Gene7980, Gene180, Gene449, Gene321, Gene9454, Gene2261, Gene1798, Gene251, Gene8315, Gene6678, Gene1548, Gene8527, Gene8896, Gene5886, Gene7699, Gene7038, Gene9729, Gene7843, Gene2707, Gene7251, Gene686, Gene3738, Gene1577, Gene881, Gene7233, Gene7865, Gene5897, Gene9865, Gene1377, Gene232, Gene2940, Gene1579, Gene8236, Gene9600, Gene6250, Gene81, Gene5186, Gene2753"
