,#genes,genes
1,97,"['Nrgn', 'Camk2n1', 'Ppp3ca', 'Camk2a', 'Calm1', 'Olfm1', 'Syt1', 'Homer1', 'Prkcb', 'Dkk3', 'Chn1', 'Tcf4', 'Atp2b1', '1700020I14Rik', 'Mef2c', 'Slc17a7', 'Ppp3r1', 'Psd', 'Adcy1', '1110008P14Rik', 'Cck', 'Kalrn', '3110035E14Rik', 'Mal2', 'Egr1', 'Calm2', 'Zfp365', 'Tmsb4x', 'Dlgap1', 'Lamp5', 'Lmo4', 'Snap25', 'Nrn1', 'Baiap2', 'Dgkz', 'Neurod6', 'Sv2b', 'Foxg1', 'Enc1', 'Ier5', 'Khdrbs3', 'Rasgrp1', 'Hivep2', 'Arpp19', 'Cacnb4', 'Scn1b', 'Lingo1', 'Gpm6a', 'Ncald', 'Satb2', 'Zbtb18', 'Grin2a', 'Sorl1', 'Ephx4', 'Itpr1', 'Gria2', 'Sipa1l1', 'Fam131a', 'Fam81a', 'Tbr1', 'Mpped1', 'Ptk2b', 'Rapgef4', 'Rbfox3', 'Atp1a1', 'Fbxw7', 'Osbpl1a', '2010300C02Rik', 'Zeb2', 'Hpca', 'Purb', 'Rbfox1', 'Ddn', 'Cyfip2', 'Cnksr2', 'Plcb1', 'Phactr1', 'Ano3', 'Atp1b1', 'Syne1', 'Pou3f1', 'Mical2', 'Camkk2', 'Atp2b2', 'Cadm2', 'AI593442', 'Pantr1', 'Plk2', 'Fbxl16', 'Dclk1', 'Slc24a2', 'Clstn1', 'Epha4', 'Sort1', 'Celf2', 'Frrs1l', 'Neurod2']"
2,91,"['Sparc', 'Nap1l5', 'Slc6a11', 'Zcchc12', 'Slc17a6', 'Agt', '6330403K07Rik', 'Resp18', 'Peg3', 'Nnat', 'Scg2', 'Gprasp2', 'Ndn', 'Gap43', 'Ahi1', 'Hap1', 'Dlk1', 'Tuba1a', 'Nrsn2', 'Dzank1', 'Calb2', 'Tmem255a', 'Itih3', 'Wdr6', 'AW551984', 'Kcnj10', 'Tmem130', 'Selenop', 'Baiap3', 'Gnas', 'B630019K06Rik', 'Gaa', 'Dgkk', 'Impact', 'Serpine2', 'Gpx3', 'Rpl22l1', 'Cd81', 'Zwint', 'Camk2d', 'Aldh1a1', 'Pcbd1', 'Amotl1', 'Gprasp1', 'Gabrg1', 'Tmie', 'Arhgap36', 'Pnck', 'Timp2', 'Scd1', 'Slc4a4', 'Irs4', 'A730017C20Rik', 'Rpl26', 'Rpl38-ps2', 'Cxx1a', '2310022B05Rik', 'Htr2c', 'Araf', 'Dner', 'Peg10', 'Zfhx3', 'Igsf1', 'Grb10', 'Timp3', 'Tuba1b', 'Etnppl', 'Pmch', 'Otp', 'Ngb', 'Gpr101', 'Rps27', 'Rpl35', 'Mgst1', 'Arxes2', 'Rpl32', 'Rps21', 'Ache', 'Bex1', 'Pitx2', 'Prmt2', 'Maged1', 'Lrig1', 'Zfp423', 'Phlda3', 'Dnm3', 'Tmem47', 'Gm15772', 'Rpn2', 'Enho', 'Gm10136']"
3,126,"['Rps8', 'Gm11353', 'Gm37108', 'Rpl6', 'Eef1a1', 'Rpl13', 'Rpl17', 'Rps16', 'Rpl19', 'Rps8-ps1', 'Rpl11', 'Rpl23a', 'Fau', 'Rps19', 'Gm6969', 'mt-Rnr2', 'Hnrnpa0', 'Gm9843', 'Rpl14', 'Chd3os', 'Gm5687', 'Rpl35a', 'Gm29257', 'Rps3a1', 'Prkacb', 'Gm7027', 'Gm3362', 'Rps16-ps2', 'Rpsa-ps2', 'Rps23', 'Sv2a', 'Rpl23', 'Rps7', 'Gm24951', 'Gm15843', 'Matr3', 'Rpl4', 'Gm20721', 'Rpl14-ps1', 'Gm8606', 'Hlf', 'Gm10076', 'Cox7a2l', 'Prkar1a', 'Rpl6l', 'Eif3e', 'Rpsa', 'Rps8-ps4', 'Rps5', 'Gm14414', 'Elavl2', 'Rps3a3', 'Celf4', 'Ddx6', 'Bend6', 'Rpl12', 'Kcnip4', 'RP24-142I9.2', 'Rpl9', 'Gm13408', 'Gm6745', 'RP23-149L23.1', 'Gm13623', 'Gm10335', 'Hpf1', 'Nap1l3', 'Gm7600', 'Rpl17-ps9', 'Gm12254', 'RP23-70B19.5', 'Rps19-ps2', 'Psip1', 'Dtx1', 'Gm12466', 'Cdc123', 'Rpl13a', 'Gm15198', 'Gm7206', 'Rps2', 'Map1b', 'Rpl17-ps4', 'mt-Ts1', 'Rps8-ps2', 'Eif4a2', 'Slc25a4', 'Igip', 'Pfdn2', 'Khdrbs1', 'Morf4l1', 'Rpl30-ps11', 'Rps23-ps2', 'Gm28661', 'Pfdn1', 'Gm10036', 'Gm6472', 'Nol7', 'Usp9x', 'Rps19-ps13', 'Flywch1', 'Gm7565', 'Gm33051', 'Rpl17-ps5', 'Gm28911', 'Erp29', 'Rps11-ps2', 'Pcbp2', 'Phyh', 'RP23-464F18.3', 'Gm20594', 'Gm7091', 'Gm16585', 'Ubqln2', 'Gm8623', 'Rpl23a-ps5', 'Rpl13a-ps1', 'Wdr37', 'Fam45a', 'Gm5093', 'Impad1', 'Rpl31-ps11', 'Fkbp3', 'Srsf7', 'Pdzd9', 'Mrfap1', 'Olfm3', 'Gm5586']"
4,90,"['mt-Atp8', 'Ndfip1', 'Eid1', 'mt-Rnr1', 'mt-Nd6', 'Tspan13', 'Gabra1', 'App', 'Elavl4', 'Ywhab', 'Actr3', 'Nme7', 'Gabrb3', 'Cap1', 'Ntm', 'Ccni', 'Tmem30a', 'Syt11', 'Arpc5', 'Abhd12', 'Scn1a', 'Sgip1', 'Basp1', 'Zdhhc2', 'Scn2a', 'Gucy1b3', 'Nrsn1', 'Ndfip2', 'Atp6v1a', 'Tshz2', 'Vsnl1', 'Ybx1', 'Gm17494', 'Actr2', 'Fam221b', 'Syt13', 'Gm6352', 'Gm22953', 'Atl1', 'Gnao1', 'Ogfrl1', 'Gabrg2', 'Rpl7a', 'mt-Co2', 'Necab1', 'Pdia3', 'Lrrtm2', 'Zyg11b', 'Glg1', '5730455P16Rik', 'Gm5869', 'Xiap', 'Tpt1', 'Psma7', 'Camta1', 'Tspyl1', 'Tmem184c', 'Mmp11', 'Eif4g3', 'Gm8822', 'Dpy19l1', 'Vti1b', 'Rangap1', 'Rp9', 'Ubl3', 'Rpl13-ps1', 'Gm26723', 'Tcea1', 'Olfr77', 'Rpl31-ps17', 'Ankrd13c', 'Oxr1', 'Gm6421', 'Aktip', 'Ptges3', 'Becn1', 'Cacng2', 'Itpa', 'Dpysl2', 'Hdgfrp3', 'Gm26631', 'Cdh11', 'Mia3', 'Nsf', 'Tmem234', 'Ubqln1', 'Dnaja2', 'Ctsb', 'Gm26619', 'Zdhhc17']"
5,98,"['Cpe', 'Apoe', 'mt-Tm', 'Sparcl1', 'Ndrg2', 'mt-Cytb', 'Abat', 'Scd2', 'Aldoc', 'Gm13339', 'Atp1a2', 'mt-Tv', 'mt-Tl1', 'Atp1b2', 'Rpl38', 'Rnd2', 'Rps15', 'Gm10736', 'mt-Tl2', 'Dbi', 'mt-Tn', 'Fam213a', 'Gm11410', 'Camk2n2', 'Pcsk1n', 'mt-Nd4', 'Spock2', 'mt-Ta', 'mt-Te', 'mt-Th', 'S100b', 'Sod1', 'Pea15a', 'Acsbg1', 'Ctnnb1', 'Cxx1b', 'Gm14303', 'Vat1l', 'Rpl37a', 'mt-Nd3', 'Ubc', 'mt-Tc', 'Minos1', 'Ubb', 'Tppp3', 'Chchd2', 'mt-Ti', 'Rpl31-ps12', 'Scoc', 'Ywhae', 'Rpl39-ps', 'Tubb2a', 'Bex2', 'Mapk3', 'Tspan3', 'Gm19366', 'Evl', 'Meg3', 'mt-Tf', 'Phactr2', 'Gng3', 'Sema4g', 'Usp11', 'Anxa5', 'Plekhb2', 'Chmp5', 'Rps15-ps2', 'Tubb4b', 'Ckmt1', 'Kcnh2', 'Fads1', 'Slc14a1', 'mt-Tp', 'Sall2', 'Insig1', 'Ntsr2', '1500009C09Rik', 'Zeb1', 'Tmcc2', 'Nkx6-2', '2900052N01Rik', 'RP23-58B7.2', 'Prdx2', 'Hint1', 'Laptm4a', 'Srp14', 'Nrbp2', 'Chil1', 'Mcfd2', 'mt-Tq', 'Nmnat2', 'Gm8692', 'Capn2', 'Lhx1os', 'Macf1', 'Itm2a', 'Maged2', 'Gm15148']"
6,17,"['Kcnh7', 'Efhd2', 'Ppp2r2c', 'Ndrg3', 'Ppp3cb', 'Rock2', 'Brinp1', 'Arpc2', 'Abi2', 'Bcl11a', 'Dnajb5', 'Tspan5', 'Cx3cl1', 'Serpini1', 'Adgrl1', 'Klf9', 'Pak7']"
7,87,"['Aplp1', 'Gm29216', 'mt-Co3', 'Clu', 'Mt1', 'Sptbn1', 'Gm28437', 'Malat1', 'Hsp90aa1', 'Atp5a1', 'Aldoa', 'Usmg5', 'Mt3', 'Psap', 'Mt2', 'Gstm1', '2010107E04Rik', 'Trf', 'Ndufa3', 'Ttn', 'Tubb4a', 'Ywhaz', 'Cldn11', 'Kif1b', 'Pcp4', 'Apod', 'Gm13340', 'mt-Atp6', 'Kif1a', 'Mif', 'Cplx1', 'Stxbp1', 'Spock1', 'Pebp1', 'Zbtb20', 'Eno1', 'Uba52', 'Hspa8', 'Cox6c', 'Chchd10', 'Uqcr10', 'Hk1', 'Gm14539', 'Cryab', 'Prdx1', 'Srrm2', 'Atp5d', 'Cyp46a1', 'Oaz1', 'Atp5k', 'Gng5', 'Cfl1', 'Pkm', 'Sncb', 'Pgk1', 'Cox4i1', 'Cops9', 'Cpne6', 'Lxn', 'Grn', 'Ndufa12', 'Stmn3', 'Nedd8', 'Slc9a3r1', 'Ndufv3', 'Gm11273', 'Snhg9', 'Cox5b', 'Ctnna1', 'Atxn10', 'Gfap', 'Hist2h2aa2', 'Gm10169', 'Vps52', 'Adar', 'Ndufb11', 'Pltp', 'Map7d1', 'Capns1', 'Rnf187', 'Tspan33', 'Gm8797', 'Hist1h2bc', 'Uba1', 'Gm5575', 'Cox6b1', 'Laptm4b']"
8,20,"['Arpp21', 'Stx1a', 'Rasgef1a', 'Pde1a', 'Gm11549', 'Mmp17', 'Rprml', 'Ngef', 'Prkce', 'Kcnv1', '9130024F11Rik', 'Nlk', 'Fezf2', 'Ttc9b', 'Vip', 'Gria3', '9330121K16Rik', 'Plppr4', 'Epop', 'Dynll1']"
9,17,"['Tcf7l2', 'Cbln4', 'Cbln2', 'Cbln1', 'Ctxn3', 'Rit2', 'Lhfpl3', 'Rps24', 'Tspyl4', 'Rims3', 'Klhl13', 'Lypd6', 'Ptch1', 'Foxp2', 'Cd83', 'Chga', 'Gas5']"
10,20,"['Pgrmc1', 'Cga', 'Nxph1', 'Gm15421', 'Gpr50', 'Fzd5', 'Parpbp', 'Rps27a', 'Tceal9', 'Asb4', 'Rps9', 'Gm11478', 'Rps26', 'Pnmal2', 'Rpl3', 'Pomc', 'Zcchc18', 'Vat1', 'Rps11', 'Rps24-ps3']"
