,#genes,genes
1,179,"['Prkcd', 'Pcp4', 'Adarb1', 'Rora', 'Ptpn4', 'Pdp1', 'Zic1', 'Tnnt1', 'Ramp3', 'Lef1', 'Cplx1', 'Amotl1', 'Shox2', 'Ntng1', 'Plcb4', 'Nsmf', 'Ccdc136', 'Gabra4', 'Rab37', 'Synpo2', 'Ptpn3', 'Atp2a2', 'Grm1', 'Patj', 'Cit', 'Elmo1', 'Nefh', 'Ndrg4', 'Rgs16', 'Bok', 'Vav3', 'Plekhg1', 'Vamp1', 'Rap1gds1', 'Rab6b', 'Hspa12a', 'Ldhb', 'Eps8l2', 'Kitl', 'Pcp4l1', 'Edil3', 'Rasd1', 'Gabrd', 'Nrip3', 'Fam20c', 'Rab3c', 'Ttll7', 'Grm4', 'Kcnc2', 'Shank3', 'Spock3', 'Hcn4', 'Gm43398', 'Gabbr2', 'Xylt2', 'Syt9', 'Gnal', 'Tiam1', 'Zmat4', 'Vipr2', 'Ctnnb1', 'Gbx2', 'Ogfrl1', 'Syt7', 'Tanc1', 'Cpne9', 'Atp6ap2', 'Ptprj', '1810041L15Rik', 'Clmn', 'Rgs8', 'Rasl11a', 'Gpr153', 'St3gal4', 'Trnp1', 'Megf9', 'Pitpnc1', 'Adgrf5', 'Dbndd1', 'Cacng5', 'Lhfp', 'Uchl1', 'Rbms3', 'Sh3d19', 'Kndc1', 'Lrrtm1', 'Inpp5a', 'Slc29a1', 'Ina', 'Mrvi1', 'Ildr2', 'Ncs1', 'Tpd52l1', 'Prkch', 'Rsrc1', 'Slc24a3', 'Sgpp2', 'Cacna1g', 'Nexn', 'Fzd10', '1700019D03Rik', 'Lrtm2', 'Pcdh9', 'Mb21d2', 'Kcnd2', 'Adra1b', 'Atpaf1', 'Abhd12b', 'Adarb2', 'Adamts15', 'Adgra1', 'Tmem163', 'Cntfr', 'Dagla', 'Lrrn2', 'Eml1', 'Reep2', 'Vwc2', 'Opn3', 'Gm3510', 'Fndc4', 'B230334C09Rik', 'D130058E05Rik', 'Rnf152', 'Thsd7a', 'Gpc1', 'Samd5', 'Mef2a', 'Nell1', 'Tmem41a', 'Tunar', 'Wbscr17', 'Tespa1', 'Sema5a', 'Fam19a4', 'Nmnat2', 'Wnt9b', 'Heg1', 'Slitrk6', 'Fam222a', 'Rap1gap', 'Endou', 'Il1rap', 'Hdac9', 'Gpr4', 'Gjc1', 'Tubb3', 'Sptssb', 'Gdf11', 'Zfp804a', 'Gpr12', 'Nt5dc3', 'Gss', 'Fkbp4', 'Fign', 'Creg1', 'Sall2', 'Txnrd1', 'Sox13', 'Avpi1', 'Peak1', 'L1cam', 'Atp2a1', 'Kcna4', 'Ppp1r13b', 'Mctp2', 'Cacna1c', 'Slc25a33', 'Chrna4', 'F2r', 'Shisa9', 'Mturn', 'Syndig1l', 'Eif5a2', 'B4galt5', 'Eps8', 'Fhdc1', 'Epn3', 'Flt3']"
2,68,"['Nap1l5', 'Sparc', 'Nnat', '6330403K07Rik', 'Zcchc12', 'Resp18', 'Ahi1', 'Agt', 'Peg3', 'Scg2', 'Dlk1', 'Ndn', 'Gprasp2', 'Gap43', 'Hap1', 'Baiap3', 'Itih3', 'AW551984', 'Nrsn2', 'Gpx3', 'Calb2', 'Dzank1', 'Peg10', 'Tmem255a', 'Impact', 'Abat', 'B630019K06Rik', 'Dgkk', 'Tuba1a', 'Wdr6', 'Tmem130', 'Cga', 'Zwint', 'Gaa', 'Rpl22l1', 'Irs4', 'Gpr50', 'Gnas', 'Pmch', 'Rit2', 'Gprasp1', 'Pnck', 'Tuba1b', 'Otp', 'Rpl38-ps2', 'Pitx2', 'Arhgap36', 'Cd81', 'Timp2', 'Parpbp', 'A730017C20Rik', 'Nts', 'Pcbd1', 'Tmie', 'Maged1', 'Igsf1', '2310022B05Rik', 'Gabrg1', 'Pnmal2', 'Prmt2', 'Arxes2', 'Araf', 'Phlda3', 'Gm13215', 'Grb10', 'Bex1', 'Zcchc18', 'Tmem47']"
3,46,"['Camk2n1', 'Olfm1', 'Nrgn', 'Camk2a', 'Ppp3ca', 'Mef2c', 'Calm1', 'Syt1', '1110008P14Rik', 'Homer1', 'Enc1', 'Chn1', '1700020I14Rik', 'Zfp365', 'Nrn1', 'Gpm6a', 'Mal2', 'Lamp5', 'Arpp21', 'Cacnb4', 'Atp1a1', 'Ppp3r1', 'Egr1', 'Lingo1', 'Calm2', 'Fam81a', 'Ncald', 'Satb2', 'Lmo4', 'Ier5', 'Arpp19', 'Rapgef4', 'Khdrbs3', 'Sipa1l1', 'Efhd2', 'Hivep2', 'Fbxw7', 'Ephx4', 'Plcb1', 'Sorl1', 'Cnksr2', 'Phactr1', 'Cyfip2', 'Rbfox3', 'Ano3', 'Kcnh7']"
4,17,"['mt-Atp8', 'Rps8', 'Gm11353', 'Gm37108', 'Eef1a1', 'mt-Nd6', 'Ndfip1', 'Eid1', 'App', 'Rpl6', 'Rps16', 'mt-Rnr1', 'Tmem30a', 'Hnrnpa0', 'Ywhab', 'Gm6969', 'Gm20721']"
5,203,"['Mbp', 'Mobp', 'Plp1', 'Cldn11', 'Apod', 'Trf', 'Plekhb1', 'Fth1', 'Qdpr', 'Cryab', 'Tubb4a', 'Bcas1', 'Cnp', 'Qk', 'S100b', 'Mal', 'Car2', 'Sept4', 'Gatm', 'Mag', 'Ermn', 'Csrp1', 'Gpr37', 'Tmem88b', 'Ndrg1', 'Tspan2', 'Myrf', 'Sez6l2', 'Ugt8a', 'Mog', 'Gm6977', 'Olig1', 'Desi1', 'Fth-ps2', 'Cers2', 'Pkp4', 'Prr18', 'Fa2h', 'Erbin', 'Ppp1r14a', 'Psat1', 'Chchd2', 'Il33', 'Pacs2', 'Sirt2', 'Gltp', 'Slain1', 'Anln', 'Pip4k2a', 'Ttyh2', 'Gjc3', 'Litaf', 'Serpinb1a', 'Metrn', 'Itm2b', 'Aspa', 'Adgrg1', 'Fth-ps3', 'Lgi3', 'Wnk1', 'Rhog', 'Kif5b', 'Evi2a', 'Phldb1', 'Clic4', 'Klk6', 'Plekhh1', 'Lpar1', 'Dbndd2', 'Rnf13', 'Fnbp1', 'Pdlim2', 'Mdh1', 'Tmem125', 'Gjb1', 'Myo6', 'Ccp110', 'Opalin', 'Dnajb2', 'Tprn', 'Hapln2', 'Gjc2', 'Tmem63a', 'Pllp', 'Rdx', 'Slc44a1', 'Lamp1', 'Carhsp1', 'Cntn2', 'Grb14', 'Sox2ot', 'Aatk', 'Dhrs1', '5031439G07Rik', 'Atp1b3', 'Tmcc3', 'Gm15440', 'Arhgap23', 'Dock10', 'Gna12', 'Mapt', 'Pde8a', 'Map7d1', 'Dync1li2', 'Micall1', 'Nfasc', 'Tnfaip6', 'Zcchc24', 'Rhou', 'Ppp2r3a', 'Ywhaq', 'Cux1', 'Prr5l', 'Eml2', 'Nhsl2', 'Adipor2', 'Pdk2', 'Slc14a1', 'Insc', 'Olig2', 'S1pr5', 'Trp53inp2', 'Gm11694', 'Otud7b', 'Fgf1', 'Foxn3', 'Sox10', 'Itm2a', 'Tmbim1', 'Elovl1', 'Pmp22', 'Eif3f', 'Abca2', 'Ypel2', 'S100a16', 'Jam3', 'Tprkb', 'Gab1', 'Reep3', 'Rnf141', 'Rbbp4', 'Pink1', 'Fam234a', 'March8', 'Pdlim1', 'Rcbtb1', 'Plcl1', 'Slc38a2', 'Tjp2', 'Sec62', 'Frmd8', 'Ptpn11', 'A2m', '1500009C09Rik', 'Smim1', 'Ap3m1', 'Magt1', 'Serinc5', 'Nipal4', 'Cpm', 'Mpp7', 'Bin1', 'Ogfr', 'Efhd1', 'Carns1', 'Fbxo32', 'Phlpp1', 'Atp5h', 'Rif1', 'Ssfa2', 'Hepacam', 'Enpp6', 'Ccnk', '2810468N07Rik', 'Tsc22d4', 'Adamts4', 'Ninj2', 'Ubxn1', 'Trim59', 'Gm5847', 'Slc25a38', 'Ado', 'Zfp771', 'Lipa', 'Npc1', '4930402H24Rik', 'Bpgm', 'Nbr1', 'Fgfr2', 'Bfsp2', 'Grhpr', 'Pbxip1', 'Ndufb10', 'Ceacam2', 'Gm12732', 'Lims2', 'Gal3st1', 'RP23-360L4.4', 'Taldo1', 'Ncl', 'Rrbp1', 'RP23-103E4.3', 'Oxsr1']"
6,225,"['Enpp2', 'Clic6', 'Ttr', 'Kl', 'Folr1', 'Prlr', 'Gm26917', 'Igfbp2', '1500015O10Rik', 'Sostdc1', 'Gm42418', 'Otx2', 'Kcne2', 'Cox8b', 'Sulf1', 'Igf2', 'Cab39l', 'Prr32', 'Lars2', 'Rn18s-rs5', 'Tmem72', 'Calml4', 'Trpm3', 'Cldn2', 'Kcnj13', 'Cul4b', 'Car12', 'Sowahc', 'Stk39', 'Bsg', 'Cd63', 'Col9a3', 'Ifi27', 'Rdh5', 'Msx1', 'Mir6236', 'Wfdc2', 'Spint2', 'Ace', 'Pla2g16', 'Slc12a2', 'Rbm47', 'Lbp', 'Wdr86', 'Neat1', 'Slc4a2', 'Hist1h2bc', 'Col8a2', 'Slc4a5', 'Fxyd1', 'Ezr', 'Ap1s2', 'Slc13a4', 'Gm24245', 'Cox6b2', 'Ak7', 'Col8a1', 'Gm15564', 'Ppp1r1b', 'Tbc1d9', 'Gm45396', 'Cd82', 'Rbp1', 'Cldn1', 'Acad8', 'Fbn1', 'Dynlrb2', 'Abhd2', 'Aqp1', 'Ahcyl2', 'Krt18', 'Six3', 'Cdkn1c', 'Ucp2', 'Pifo', 'Cnn3', 'Trpv4', 'Gpx8', 'Slc2a12', 'Cox7a1', 'Ctnna1', 'Serpinb1b', 'Snora73b', 'Elovl7', 'Baiap2l1', 'Tgfb2', 'Cd9', 'Prps2', 'Mdfic', 'Hemk1', 'Strip2', 'Lbx1', 'Gsn', 'Steap1', 'Pla2g5', 'Gcn1l1', 'Zfp185', 'Plxnb2', 'Mgp', 'Defb11', 'Car14', 'Stxbp4', 'Lamp2', 'Pltp', 'Cdr2', 'Aldh2', 'Dstn', 'Gm20501', 'Iqub', 'Ctsd', 'Nqo1', 'S100a1', 'Slc16a2', 'Atp5g1', 'Prelp', 'Frmpd1os', 'Arsg', 'Gstp-ps', 'Rbms1', 'Aebp1', 'Mir6240', 'Sox9', 'Fam212a', 'Arl4a', 'Intu', 'Slc31a1', 'Gm24270', 'Steap2', 'Fam84b', 'Ltc4s', 'Pcolce2', 'Pcolce', 'Tead1', 'Cfap61', 'Cald1', 'Npc2', 'Sgk1', 'Tbx1', 'Slc29a4', 'Parva', 'Perp', 'Rps27l', 'Vamp8', 'Olfml1', 'Notch2', 'Ctnnal1', 'Acaa2', 'Mlf1', 'Dhrs3', 'Rsph1', 'Mrps21', 'Nme5', 'Ndufa1', 'Nop9', 'Phox2a', 'Ifnar2', 'Atp6v0e', 'Lgals3', 'Tmem98', 'Snora28', 'Itpripl1', 'Ddr1', 'Slc12a4', 'Ppfibp2', 'Id3', 'Agtrap', 'Idh2', 'Nbas', 'Grn', 'Tgtp1', 'Vcam1', 'Atox1', 'Mcee', 'Zfyve16', 'Mitf', 'Slco1c1', 'Cgnl1', 'Stxbp3', 'Slc16a8', 'Tinagl1', 'Rsph4a', 'Col23a1', 'A230001M10Rik', 'Angptl2', 'Gm15776', 'Prcd', 'Cfap44', 'Emilin2', 'BC001981', 'Dhrs11', 'Ptma', 'Tcn2', 'Nfe2l2', 'C4b', 'Pcm1', 'Slc39a4', 'Gm23935', 'Mccc1', 'Hey2', 'Ift74', 'Nwd1', 'Myo7a', 'Glis3', 'Lama5', 'Oca2', 'Sema3b', 'Rsph10b', 'Npr3', 'Fzd7', 'Fgd4', '4430402I18Rik', 'Emb', 'Efcab12', 'Nid2', 'Lepr', 'Tcea3', 'Slc25a32', 'BC067074', 'Plin3', 'Gm7669', 'Ccdc96', 'Myo10', 'Fhad1', 'Mob1b', 'mt-Nd4l']"
7,16,"['Rpl11', 'Rpl13', 'Rpl19', 'Rps19', 'Fau', 'mt-Rnr2', 'Rpl17', 'Gm5687', 'Gm9843', 'Rps8-ps1', 'Rpl23a', 'Rpl35a', 'Rpl14', 'Rps3a1', 'Rps16-ps2', 'Rpsa-ps2']"
8,17,"['Psd', 'Ddn', 'Tcf4', 'Dkk3', 'Tmsb4x', 'Dlgap1', 'Baiap2', 'Ptk2b', 'Dgkz', 'Gria2', '2010300C02Rik', 'Nptx1', 'Zbtb18', 'Foxg1', 'Fbxl16', 'Rbfox1', 'Fam131a']"
9,37,"['Cpe', 'mt-Tm', 'Malat1', 'Gm29216', 'Aplp1', 'Mt1', 'Apoe', 'Gm13339', 'mt-Co3', 'Clu', 'mt-Tl1', 'mt-Tv', 'Rps15', 'mt-Cytb', 'Pcsk1n', 'Gm10736', 'Gm13340', 'Rpl38', 'Mt2', 'mt-Tn', 'Mt3', 'mt-Ta', 'Uba52', 'mt-Atp6', 'mt-Tf', 'mt-Te', 'Gm28437', 'mt-Tl2', 'Gm11410', 'mt-Ti', 'mt-Th', 'mt-Nd4', 'Rpl31-ps12', 'Ttn', 'mt-Tc', 'mt-Tp', 'Srrm2']"
10,27,"['Snap25', 'Prkcb', 'Slc1a2', 'Cck', '3110035E14Rik', 'Kalrn', 'Arf3', 'Slc17a7', 'Sv2b', 'Itpr1', 'Pde1a', 'Tspan7', 'Mpped1', 'Stx1a', 'Tbr1', 'Ctxn1', 'Sptbn2', 'Dclk1', 'Wasf1', 'Psd3', 'Ttc9b', 'Camkk2', 'R3hdm1', 'Pgm2l1', 'Snca', 'Ngef', 'Gm11549']"
