"cluster","#genes","genes"
"1","20","Lsm14b, Nr4a1, Aamdc, Lamtor4, Snx32, Fam49a, Tom1l2, Gm6075, Phf1, Dfna5, Bcl2l13, Atl2, Abr, B3galt2, Tada1, Dtnb, Opcml, Metap2, Qrich1, Osbpl6"
"2","105","Gm15564, Gm26917, Rn18s-rs5, Mir6236, Mir6240, Gm24245, Gm42418, Gm24270, Lars2, Kl, Msx1, Clic6, Rimbp3, Fbn1, AA474408, Cdkn1c, Cox8b, Igf2, Otx2, Gm24407, Rbm47, Gm22122, Enpp2, Trpm3, Gcn1l1, Igfbp2, Gm25911, Gm24265, Fam212a, Tnfaip8, Sowahc, Gm5869, Cul4b, Col8a2, Kcne2, Cox6b2, Slc4a5, Ppp1r1b, Ezr, Baiap2l1, Cab39l, Eef1a1, Lbx1, Calml4, Ttr, 1500015O10Rik, Sostdc1, Gm15776, Emilin2, Tmem72, Drc7, Slc13a4, BC001981, Wdr86, F5, Arhgap27, Msi2, Spint2, Krt18, Tead1, Lbp, Tbc1d9, Cachd1, Kcnj13, Gm23935, Prr32, Stk39, Gm25179, Abca4, Vcam1, Rsph1, Pla2g5, Cdc14b, Mdfic, Gpx8, Nop9, Dnali1, Meig1, Brwd3, Col9a3, Vat1l, Krt8, Crb3, Mospd1, Folr1, Zfp185, Atp11c, Car12, Tc2n, Vamp8, Dnah6, Rd3, Cdr2, Col8a1, Slc2a12, Snora28, Rdh5, Ucp2, Sult1c2, Kif27, Prlr, Gm24459, Spef2, Gm12061, RP24-314J18.1"
"3","183","Csrp1, Malat1, Mbp, Gsn, Ndrg1, Mal, Ermn, Mog, Tspan2, Qdpr, Mobp, Car2, Cldn11, Cryab, Frmd8, Tubb4a, Pik3c2b, Aplp1, Apod, Ppp1r14a, Plp1, Neat1, Mag, Npc1, Gab1, Fth1, Erbin, Ugt8a, Evi2a, Cers2, Il33, Trf, Ttyh2, Plekhb1, Rab31, Slc12a2, Fth-ps2, Cnp, Sema6a, Sez6l2, Scd2, Fnbp1, Ado, Gm15440, Lpar1, Prpf8, C4b, Pllp, Prr5l, Jam3, Wscd1, Tm7sf3, Strn3, Myrf, Pla2g16, Sirt2, S100b, Litaf, Sept4, 5031439G07Rik, Hepacam, Klhl4, Gm973, Rcbtb1, Opalin, Slain1, Fth-ps3, Rps12-ps10, Ccnl2, Srrm1, Nfatc3, Cntn2, Entpd5, Dnajb2, Gjb1, Zfp219, Bcas1, Ckap5, Clu, Dusp26, Carns1, Adipor2, Ankrd11, Bag3, Zbtb20, Nkx2-2, Lamp1, Gm44609, Gm28320, Gtf3c4, Plekhh2, Tgfa, Pnpla6, RP24-119O6.2, Wnk1, Plin3, Creb5, Plxnb1, Gm8464, Rps15, Irf2bp2, S100a16, Gpr37, Plekhh1, Ppp4r1l-ps, Hapln2, Gprc5b, Pcsk6, Gm8840, Grb14, Eml2, Myo1d, Myo6, Tjp2, Ubxn1, Lzts2, Rps4x-ps, Bfsp2, Tpt1-ps1, Padi2, Sdk2, Plxdc2, Gm12504, Gkap1, Shtn1, Cc2d1b, Bace1, Rtkn, Psat1, Pcbp4, Klhl7, Sox2ot, Zfp995, Ube2w, Ankrd13a, Anapc2, Acox3, Aspa, Il2, Capns1, Dync1li2, Znrd1, Otud7b, Prdx6, Elovl5, Vcp, Gpkow, Mdm4-ps, Psma2, Cdyl, Spg20, Gclm, Cep70, Pkn2, Vtn, S1pr5, Gpt, Mdm4, Akr7a5, Acaa1a, Pip5k1a, Hdac11, Galnt6, Hook3, Frem1, Rpl28-ps3, Cdc42ep2, Ndnf, Gm7901, Prpf40a, C4a, Rdx, Rps19-ps5, Gm15766, Qk, Mat2a, Fam214b, Pafah1b1-ps1, Gm42583, Car14, Tfg, Gm13226, Stau1"
"4","75","Rps12-ps4, Uba5, 6330403K07Rik, Slit1, Comtd1, Snx2, C77080, Tnfrsf11a, Cct3, Zfr2, Trpm2, Cmtr1, Lrrtm4, 2210016F16Rik, Ltbp4, Gm12599, Gm13094, Med4, Syt14, Cdh9, Camk2d, Gm11960, Kdelr2, Rabl3, Tmem255a, Acta1, Alg10b, Slc39a3, Mtus2, Zfp617, Gm45529, Zfp217, Gm4832, Ddx49, Fkrp, Spsb4, Foxk1, Rpl13-ps1, Kdm4c, Abce1, Vps33a, Lyrm1, Nkx2-4, Zfp346, Scamp2, Ppp1r12a, Mmaa, 2900093K20Rik, Pcdhb3, Gm11191, Ccdc167, N4bp2l1, Prrg3, Zfp758, Jph1, Rin1, Grik3, Fto, Rps23-ps2, Zbtb10, Mcts1, 1700029J07Rik, Mrpl38, Zfp362, Gpr61, Alg8, Casp2, Rbms1, Gm16519, Ankrd34b, Dpf2, Mrpl55, Scfd1, Rps26-ps1, Phc1"
"5","45","Chn1, Calm2, Tmsb4x, Snca, Snap25, Calm1, Enc1, Nrgn, Nptx1, Mmp17, Calm3, Kalrn, Nptxr, Wasf1, Crym, Pgm2l1, Rtn1, Nr4a2, Arf3, 3110035E14Rik, Sv2b, Syn1, Olfm1, Ywhaz, Prkcb, Sh3gl2, Ptk2b, Diras2, Cplx2, Dnm1, Syt1, Bhlhe22, Ppp3r1, Fam131a, Cck, Gm1821, Ywhag, Snap91, Ncdn, Pja2, Zhx2, Klhl2, Pde1a, Zbtb18, Psd"
"6","109","Pcp4, Prkcd, Nefh, Adarb1, Ptpn4, Shox2, Atp2a2, Ntng1, Rora, Ramp3, Tcf7l2, Pdp1, Plekhg1, Ptpn3, Slc6a11, Gabra4, Slc17a6, Tnnt1, Rgs4, Plcb4, Cplx1, Grm1, Synpo2, Ccdc136, Kcnc2, Nsmf, Elmo1, Kitl, Zic1, Nrip3, Abhd12b, Vamp1, Ndrg4, Amotl1, Lef1, Rgs16, Hcn4, Patj, Kcnj10, Rgs8, Trnp1, Spock1, St3gal4, Rab37, Spock3, Eps8l2, Uchl1, Spock2, Vipr2, Rap1gds1, Edil3, Gm43398, Ldhb, Vav3, Cpne9, Nrxn3, Atp6ap2, Rap1gap, Hspa12a, Pitpnc1, F2r, Ttll7, Tmem163, Cit, Lhfp, 1810041L15Rik, Gpr153, Slc24a2, Hlf, Adcy8, Aplp2, Slc9a3r1, Ildr2, Gabbr2, Kcnc1, Sacm1l, Rab3c, Aldoc, Pcp4l1, Sptbn1, Tpd52l1, Grm4, Scrt1, Cpe, Adra1b, Gabrd, Aldh1a1, Atp1b1, Nexn, Nell1, Slc6a17, AI593442, Atp2b1, Zmat4, Gjc1, Nacc2, Tespa1, Rasd1, Slc24a3, Shank3, Kndc1, Cacng5, Atp1a2, Hcn2, Chst8, Slitrk6, Fem1c, Zfhx3, Dlgap3"
"7","89","Erc2, Gcat, Chrnb3, Nwd2, Krtcap2, Ankrd10, Vps11, Acd, Gm21967, Rad52, Gtpbp4, Tac2, Spry3, Isy1, Msrb2, Gm6919, Gm2214, Syt6, Bex3, Gng8, Ccdc71l, Cep83os, Calb2, Lipo4, B230206L02Rik, Arhgef15, Arsa, Amacr, Heatr5b, Fam160a2, C530008M17Rik, mt-Ts1, Mtss1l, Nosip, Ano10, Gm5710, Dxo, Letm1, Parvb, Pik3cd, Fbl, Gm28221, Rnf8, Mettl10, Cd24a, Ubap2l, Dym, Gm15927, St14, Gm42522, Eva1a, Necab2, RP24-501E5.2, Hyi, Morn4, Rpp14, Gm10699, Rpl19-ps12, Brinp1, Gm5741, Nudt17, Abtb2, Ppp4r3a, Dok5, E230029C05Rik, Mrps26, Ptpn11, Chordc1, Mcf2, Ints11, Gm11575, Pknox1, Gnb1l, Grip2, Mcoln1, Pex1, Scube1, Tom1, Nbas, Psmf1, Senp8, Prdm8, Klhdc8b, Gemin6, Usp27x, Rad1, Dbnl, Ddx51, Mrps18b"
"8","46","Apbb2, Ctdp1, Dhx34, 1700001O22Rik, Wdr92, Dctd, RP24-84C23.4, Pgp, Cdh19, Mmab, Psmc3ip, Brip1os, Parp14, Idnk, Gulp1, Zfp592, Nprl2, Dock1, Gm12235, Mon1b, Mfsd8, Rasl11b, Stxbp2, Gm43857, Pum3, Haus1, Casp8ap2, Hspa14, Mkln1, Crbn, Nhlrc2, Cep97, Frrs1, Lnpep, Gm4775, Gm45749, Gm7927, Tm9sf4, Tnip1, Gm12110, Gm8599, 3632451O06Rik, Riok1, Tet1, Plekho1, Zfp467"
"9","138","Gm8330, Nts, BC085271, Gm15798, Rasgrp2, Bud31, Thtpa, Zdhhc13, Mrgbp, Gatad1, Sdcbp, Ccp110, Gm2225, Gm5847, Nudt16, Gm17799, Leprot, Zcchc12, Tatdn1, Insr, Arnt2, Spag7, Ptpn1, Tsc22d1, Zc3h7a, Cxxc4, 2310009A05Rik, Capn5, Sgta, Tmem8b, Kcnq1ot1, Chrac1, Llgl1, Mrps9, Lsm8, Tmem246, Gm11956, Edn1, Plxnc1, Zfp141, RP23-136K21.4, Cds2, Irs4, Gm1673, Gm5697, Tmem179, Gm9522, Gm12340, Itih3, Mvk, Tomm7, Nrsn2, Gpr62, Baz2a, Igsf1, Gnai3, Rpl10a-ps1, Gabrq, Tspyl2, Jagn1, Braf, Gm30280, Zfp518a, Gm17258, Aldh2, Bloc1s4, Gm2962, Cwf19l2, Cept1, Gm15446, Gm45768, Spry4, Trim46, Carmil1, Trmt10a, Zfp606, Pptc7, Med10, Gm12643, Nars2, Nin, Atg9b, 1110065P20Rik, Zwint, Akap1, Vstm2l, Socs5, Prickle3, Gm7669, Gm44559, Rpl10, Gm14335, Gm20620, Rpl38-ps2, C77370, Gm44389, Gm14274, Tpcn1, Gm13573, Entpd3, Gm14288, Slc7a1, Vps18, Slc26a2, Slc12a9, Trappc2l, Cd55, Synm, Hars, Scn3a, Kcnq3, Gm10355, Dpm1, Sla, Zfp566, Rfx5, Tbl1x, Carmil2, Gm9803, Polr2m, Mir99ahg, Gm4535, Cnot8, Nos3, Ninj2, Itga8, Gaa, Pgap1, Sfxn5, Rps19-ps7, Gm37895, Mysm1, Tmie, Frat2, Fam169a, Zdhhc18, Prex2, Maoa"
"10","37","Pigv, Gm15853.1, Mmachc, Zdhhc20, P2rx7, Gm10093, Gm8304, Nfkbid, Ampd3, Serpinh1, 2610507B11Rik, Mtdh, Rpl35a-ps4, Arfip1, Alas1, Fcer1g, Runx1, 9330118I20Rik, Actr5, Usp53, Serpinf2, Adrb2, Gpbp1l1, Serinc5, Coq9, Atp8a1, Prox1os, Cdc42ep1, Gm5711, Tec, Nod1, Cdc7, Pcgf1, Mrpl10, Gm12991, Gm13137, Plpp1"
