"cluster","#genes","genes"
"1","316","Rftn2, Wdr26, Pfkp, Pou3f2, RP23-13B8.12, Strn4, Ctso, Bnip3, Agpat3, Gm11694, Gdap1, Kif16b, Psma1, Fgfr1, Ptpn11, Rplp1-ps1, Gm17018, Ccne1, Adss, Itpka, Ssfa2, Specc1, Sybu, Hs2st1, Dars, Slc1a6, Mapt, Dpp9, Plgrkt, Celf2, Zmat3, RP23-246F14.1, Hmbox1, Samd4b, 2810001G20Rik, Trim35, Tulp4, Ehbp1l1, Gm8925, Gm8129, Stum, Gm14303, Insig2, Gm15500, Mapk8, Slitrk2, Rab26, Imp4, Ehbp1, Pmm1, Gnaq, Ric8b, Atp5h, Bms1, Gm11408, Bmi1, Foxg1, Pafah1b1, Fam188a, Rhbdd1, Rab7, Cartpt, Ttbk2, RP23-464F18.3, Ftx, Prpf38b, Gm7634, Slitrk5, Ddx25, BC005624, Rps16-ps2, Rplp2, Prune2, Eif1a, Gm5805, Nfib, Cib1, Ubtf, Tceal9, Egln1, Gm5525, Bri3bp, Arhgap21, Eif3c, Psmd1, Rpl13-ps1, Csnk1g1, 1700030K09Rik, Usp5, Synpr, Clpb, Hsd17b4, Ndufc1, Bcl9, Hnrnpu, Xrn2, Ppfia1, Serp2, D230025D16Rik, Pcmtd2, Nov, Gng2, Acsl3, Zdhhc14, Nptxr, Rps16, Ccnt2, Pak6, Rps29, Birc6, Plaa, Nit2, Il17d, Dnaja2, Vasn, Sccpdh, Emc8, Vta1, Sec61a1, Stk3, Gm15497, Gm10250, Rpl38-ps2, Samd8, Rab11fip5, Fam171b, Rsrc2, Coro2b, Entpd3, Crocc, Serpini1, Foxn2, Commd4, Prcc, Plekhb2, Ankib1, Rpl17, Arsa, Aida, Zfp329, Slc17a5, Tfdp1, Ccdc12, Ranbp6, Psma4, Ap3m2, Dcaf8, Osbpl3, Gripap1, Src, Nono, RP23-48A24.3, Zswim8, Rb1, Atp8a1, Rps4x, Mfap1a, Chst2, Rpl38, Abca7, Ift122, Lrrc8b, Gm26819, Idua, Gfpt1, Tepsin, Apopt1, Bcl7b, Cxcl14, Mogs, Lrrtm1, Thoc2, Ubr5, Dctn6, Kantr, Ints12, 1700066M21Rik, Htatip2, Gm44076, Gtf2f1, Jph4, Usp10, Rtn2, Pogz, Rprml, Coq2, Rhoa, Emc2, Sf3b4, Lztr1, Dohh, Gm8805, Hexa, Rps19-ps7, Rpl26, Dcun1d3, Pbdc1, Nisch, Pde4b, 1810043G02Rik, Gramd3, Atp6v1h, Rab24, Pdk3, Rpl19-ps9, Senp7, Rpl26-ps2, Fem1b, Slc6a1, Spcs1, Arhgef17, Mgat4a, Rps6-ps3, Brinp3, Rps6, Zfp689, Gpx4, Rps11-ps1, Gm45774, Ndufaf2, Rpl17-ps8, Cand1, Gm10059, Hsp90ab1, Tmem181a, Msn, Ntrk2, Zfp697, Pard6a, Pard6g, Ddx54, Gm44777, Rps27rt, Gm8731, Psmb4, Akain1, Ndnf, Slc25a44, Igfbp4, Slc40a1, Camkk2, Gm15172, Zfp112, Adck5, Farsb, Esd, Psmb3, Rpl17-ps9, Enoph1, Acat1, Senp3, RP23-396N20.1, Hnrnpdl, Med28, Wasf3, Trap1, Dcaf12l2, Zfp239, Srebf1, Ddit4l, Tpr, Rgs12, Snrnp70, Fgfr3, Ccar1, Ksr1, Gm15772, Ddb1, AC149090.1, Gm17435, Ankrd40, Prkci, Ube3a, Pink1, Gm14327, Apip, Snap23, Ddb2, Gtpbp2, Pdha1, Agfg2, Hexim2, Med24, Eloc, Gm11598, Ganab, Gpr12, Fundc2, Rasgrf2, Ubr3, mt-Ts2, Fuca1, Lmtk3, Wnk2, Csnk1a1, Pop4, Atp6v1b2, Gm10136, Cetn3, Gm12350, Mrps18b, Chmp2b, Gprin1, Timm22, Eif3f, Elk4, Gm45420, Gabrg3, Epb41l2, Ldah, Foxk1, Prdm5, Rell1, Tube1, Wbp1l, Parva"
"2","88","Pltp, Vim, Ccdc34, Gm9780, Dbi, Id4, 1110017D15Rik, Gstm1, Fth1, Nnat, Cd9, Cnp, Zfp160, Rnase4, U2surp, Sox9, Tmem212, Rnmt, Heca, Ccdc3, Ccdc153, Rsph4a, Cd24a, Tppp3, Npc1, Med8, Serpinh1, Cldn11, Spef2, Rarres2, S100a6, Gltp, Chmp7, 1700007K13Rik, Actn1, Ptpn14, Ddr1, Mia, Gm3239, Kmt5a, Cd63, Foxj1, Syf2, Plac9a, S100a16, Spag6l, Qk, Efcab10, Crygn, Bptf, Rpl36-ps3, Cdhr3, Dsg2, Mag, Mt3, Phtf1, Usp19, Tspan2, Mbp, Ptma, Cfap54, Mal, Appl2, Adora2b, Cfap70, Ugt8a, Rpl30-ps3, Trf, Gm13532, Ankrd44, Ddx49, Mrps21, Plp1, Mobp, Dnah12, 1700016K19Rik, Calu, Tmem245, Il33, Gm5075, Dnm2, Gpr37, Iqcb1, Pkn2, Plac9b, Erp29, St3gal6, Mog"
"3","267","Wnk3, Cpsf3, Orc4, Plekha5, Mib1, Fut8, Prkar1b, Cul9, Gm11478, Fbxo10, Nt5c, Gm6987, Cir1, Eif3e, Serpinb6a, Zfp512, Thoc7, Ube2j2, Pank2, Ctsa, Lims1, Mir9-3hg, Pacrg, Cldnd1, Ankrd13b, Bsn, Wdr59, Gm11945, Gm7380, Thoc3, Slco1c1, Arxes1, Gm38247, Rhot2, Gm6768, Ctnnd2, Chuk, Cycs, Gm37941, Gm45855, Tmem126a, Nek6, Med30, Rapgef4, Ralgapb, Mirg, Dock8, Pcbp3, Syp, Adgrl3, Zyg11b, Gm15400, Ptgs1, Gigyf2, Rabgap1, Tob1, Rnf5, Trmt6, Ubl7, Hcfc1, Hpca, Cox7b, Mtss1, Gm20417, Gabra5, C2cd5, Gm5121, Tm9sf2, Ulk4, Cnih4, Kazald1, Nrarp, Nr3c1, Sh3rf3, Ecel1, Fam134b, Mrpl19, RP24-82M14.1, Ggt7, Nudt11, Mink1, Mff, Ergic2, Gm13132, Map2k2, Ppp2r5a, Farp2, Dido1, Ccdc184, Coa7, Saysd1, Ppp1r9b, Gm29236, Atxn7, Dopey2, Gm13717, Epc1, Plxnb1, Zfp128, Smim4, Fst, Zfp330, Slc50a1, Gm14567, Ube2a, Prps1, Tmem215, Cisd2, Pomgnt2, Arhgap44, Snx9, Slc30a9, Lman2l, Lnx1, Gm8526, Gga2, Smim10l1, Chd6, Gm8957, Phactr3, Smarca5, Fbxl22, B9d2, Syncrip, Wwc2, Arhgef28, 2310035C23Rik, Cstb, Opa1, Abcg1, Gm24146, Gm39288, Cdc23, Gm7990, Xpo1, Dtx4, Mitf, Tcirg1, Klhl7, Armc8, Rbm28, Gm8268, Itsn1, Mapk8ip2, Gm13453, Tmem175, Vps13b, Nap1l2, Dmd, Tln1, Timm9, Rp9, Ccnl1, Fyco1, Pclo, Lrrc58, Fmnl2, Btf3, Chtf18, Hist2h2be, Emc3, Rps23-ps1, Akap6, Zdhhc4, Faim2, Fbxl3, 6030419C18Rik, Thrb, Dgkd, Eif3i, Dhrs7b, Eif3s6-ps1, Eps15, Cox11, Ncam1, mt-Tq, Trnp1, Coro2a, Gm43597, Cnr1, Ap3m1, Ncoa4, Scn9a, Cwc25, Gm5760, Crb1, Rrs1, Prtn3, Sez6, Gart, Gm4525, Gnl2, Exosc9, Zfyve1, Cyld, B4galt6, Prdm11, 4930453N24Rik, Rap1gap, Selenoh, Atg4b, Rtn3, Gm8100, C1qtnf4, RP23-240G3.2, Kit, Vps37d, Kcnk1, Swsap1, Gm4654, Atp13a3, Cabp7, Pi4kb, Prpf39, Rbx1, Arhgap1, Rps23, Stim1, Clk3, Gm5944, Rps8-ps4, Hnrnpll, Txlng, Mrpl30, Csnk1g2, Gm18822, Ccdc107, Rab2a, Mapk8ip3, Arpc3, Gm15464, Angpt1, Vmn2r83, Phf12, Cfap36, Gm28580, Mrps33, Mrps5, Osbpl2, Smim7, Apba1, Gtf3c6, Gm5292, Il11ra1, Ppm1d, 2010107E04Rik, Pias2, Gm4575, Tbl1xr1, Habp4, Adgrl1, Rpp14, Gm12403, Gm3695, Kcnj3, Malt1, Dbf4, Brf2, Gm22739, Hdlbp, Ptprs, Gm45772, Ric3, Nell2, Gm13292, Minos1, Clasrp"
"4","23","Prkcb, Mef2c, Calm1, Nptx1, Ubac2, Iqsec3, Calm3, Psd, Mcmbp, Snap25, Dlg2, Adcy1, RP23-55G19.3, Fbxo38, Gm6788, Rpp30, Tmsb4x, Gfod1, Gm6564, Rnf167, Hectd1, Nrxn1, Fabp3-ps1"
"5","27","Eya3, Exosc5, Slc27a4, Clptm1l, Ap1m1, Rbm17, Lsm14b, Rab3b, Camk2n1, Syt16, Mtcl1, Sec14l1, Coq10a, Chtop, Acat3, Adgrg1, Pdzph1, Cwc22, Nup50, Rrm2b, Zmiz1, Eif2s2, Sptbn2, Slc25a17, Pdyn, Pan3, Fam91a1"
"6","25","Cab39l, Prps2, Lars2, Vat1l, Clic6, Gm24245, Trpm3, Kl, Gm15564, Gm24270, Tpt1, Cdk4, Msx1, Sowahc, Stk39, Gm24265, D1Ertd622e, Ppp1r1b, Gm24407, F5, Ybx1, Rilpl2, Cdr2, Prlr, Gm26461"
"7","53","Fahd1, Tmem50b, Arhgef18, Jak1, Gm8451, Nsun2, Dek, Gm10076, Gnaz, Gltscr2, B4galnt4, Rnf122, Gm8292, Gm7832, Ap1s1, Rpl18-ps1, Lypd1, Kin, Gm15710, Paqr7, Gm12922, Dhdds, Chrm3, Rabggtb, Golga1, Ublcp1, Mast2, Mtfmt, Rasl10a, Eif4g1, Pde3b, Mthfs, Txn1, Cav1, Lsm7, Zcchc8, Nelfb, Enox1, Zcchc9, Eci1, Parm1, Nsd2, Svop, Tpm3-rs7, Prex1, Becn1, Gtf3c2, Tnr, 1700047M11Rik, Gpr137, Neurod1, Pnpla7, Zfp654"
"8","79","Wdyhv1, Ndufaf4, Chchd3, Gm13827, Gm17415, Ttc4, Nsd1, Tmx1, Gpr146, Prdx5, Dhx38, 2210418O10Rik, Gm10080, Ssr2, Phactr4, Epb41l4aos, Sfxn1, D430019H16Rik, Foxj3, Slu7, Gm26782, RP23-333M15.9, Wipi2, Zfp12, Dcakd, Kcnh3, Gm8894, Mapk4, Smarcc2, Gab2, Evc2, Hist2h2aa2, Smg7, Fndc10, Surf4, Mthfsd, Grcc10, Zfp532, Gm13047, Gm2986, Flt1, Vav3, Trim32, Vps50, Dnajb1, Churc1, Dars2, Elp5, Setd1a, Gm24588, Atxn7l3, Zfp715, RP23-434A12.2, Ttyh3, Rpl36-ps4, Frg2f1, Zfp281, Copg2, Dph6, Adprh, Gm44609, 1190002N15Rik, Mpi, 1110051M20Rik, Eloa, Gm5942, B3gat2, Ntm, Gm8822, Ssr1, Fndc4, Rap2a, Noc2l, Arhgap15, Actr3, Smu1, Arglu1, Ctsd, Chtf8"
"9","36","Fsd1l, BC018473, Nifk, Gm43309, Tex261, Sirpa, Rgl1, Ufsp2, Magi2, RP23-128C4.4, Rpsa-ps9, Smarca4, Grk3, Zc3h12b, Crim1, Coa5, Socs7, Cacna1a, Slc30a4, Ier5, Gm27441, Selenoi, Dvl1, Elmod1, Myg1, Naxd, Gm26631, Hira, Fam174a, Npy5r, Agtpbp1, Uchl5, Tceal5, Pibf1, BC028528, Gm10240"
"10","116","Arl2, Gm12411, Mef2a, 6430548M08Rik, Snrpb, Tbc1d15, Gm8019, Rab9b, Ppp4r4, RP23-416I23.9, Gm16297, Gm42933, Gm4076, Igf1r, Pcbp4, Fdps, Cops3, Tmem127, Gm9104, Gm12469, Adra2c, Snhg8, Polr2l, Rps19-ps11, Pianp, Nr2c2, Gcsh, Zmym5, Thap2, Rps11-ps4, Gm6394, Clcn6, Gm5054, Utp23, Rps19-ps2, Gm15798, Gtf2h5, Cenpb, 1600029O15Rik, Clstn2, Rps12-ps1, Npas2, C1qa, Gpr68, Eid1, Mtmr6, Usp31, Tesk1, Zcchc24, Gabbr2, Slc38a2, Scyl2, Zfp62, Gm14586, Polr3k, RP23-136F8.1, Sall4, Atox1, Pgp, Gm15727, Plch2, Rps15a-ps3, Rpl21-ps11, Med16, Gle1, Shank2, Crbn, Rasa1, Gm12944, Gm10224, Prrc2c, Lgi3, Adamtsl1, Rtn4r, Ddx1, Ptprf, Abhd8, Bag4, St8sia4, D10Wsu102e, Uba5, Acot7, Tle2, Wdr6, Itgb3bp, Gm6429, Gm8464, Srsf7, Hspa1b, Gm11363, mt-Tn, Gm13757, Rnf115, Vdac3, Ythdf3, Arrb1, Cnih3, Snx10, Fmc1, Gm4799, Smoc2, Camk1d, Acox1, Zrsr2, Gm9135, Zfp346, Nup107, Arpc2, Gm10268, Slc22a15, Ythdc1, Vps51, Dad1, Mob4, Sos2, Gm11759"
