,#genes,genes
1,208,"['Gene5060', 'Gene2600', 'Gene2003', 'Gene612', 'Gene3060', 'Gene9836', 'Gene5612', 'Gene9581', 'Gene7413', 'Gene6917', 'Gene1482', 'Gene1128', 'Gene7358', 'Gene4527', 'Gene4898', 'Gene2645', 'Gene8612', 'Gene2853', 'Gene9500', 'Gene4044', 'Gene605', 'Gene5306', 'Gene7461', 'Gene6328', 'Gene5924', 'Gene7732', 'Gene1532', 'Gene7517', 'Gene871', 'Gene7313', 'Gene4940', 'Gene8595', 'Gene6312', 'Gene2653', 'Gene3986', 'Gene3419', 'Gene3317', 'Gene8074', 'Gene9260', 'Gene3362', 'Gene88', 'Gene6018', 'Gene5300', 'Gene1863', 'Gene3', 'Gene1280', 'Gene6157', 'Gene6403', 'Gene5171', 'Gene721', 'Gene6159', 'Gene3165', 'Gene9191', 'Gene4469', 'Gene3511', 'Gene995', 'Gene4442', 'Gene9876', 'Gene8942', 'Gene5062', 'Gene4655', 'Gene9596', 'Gene1597', 'Gene1082', 'Gene9070', 'Gene6705', 'Gene7159', 'Gene9861', 'Gene5669', 'Gene5519', 'Gene3735', 'Gene6877', 'Gene9296', 'Gene3184', 'Gene5678', 'Gene745', 'Gene6939', 'Gene9441', 'Gene4324', 'Gene5513', 'Gene8640', 'Gene4908', 'Gene2456', 'Gene6947', 'Gene9594', 'Gene9413', 'Gene3438', 'Gene7034', 'Gene846', 'Gene2504', 'Gene8651', 'Gene5466', 'Gene6994', 'Gene8387', 'Gene2012', 'Gene9673', 'Gene7068', 'Gene4431', 'Gene3023', 'Gene5858', 'Gene9640', 'Gene5263', 'Gene9740', 'Gene2551', 'Gene5140', 'Gene9747', 'Gene7301', 'Gene9161', 'Gene9812', 'Gene1174', 'Gene4322', 'Gene6449', 'Gene9072', 'Gene6483', 'Gene6192', 'Gene6748', 'Gene4404', 'Gene6166', 'Gene911', 'Gene7303', 'Gene9547', 'Gene5884', 'Gene7794', 'Gene7356', 'Gene4005', 'Gene244', 'Gene9016', 'Gene9789', 'Gene761', 'Gene6471', 'Gene2185', 'Gene7677', 'Gene3075', 'Gene3940', 'Gene3005', 'Gene1861', 'Gene3761', 'Gene324', 'Gene4508', 'Gene1083', 'Gene2944', 'Gene7370', 'Gene158', 'Gene5009', 'Gene653', 'Gene3694', 'Gene5719', 'Gene8627', 'Gene680', 'Gene5537', 'Gene4844', 'Gene4227', 'Gene1797', 'Gene2589', 'Gene1274', 'Gene4168', 'Gene617', 'Gene9343', 'Gene4429', 'Gene8235', 'Gene7774', 'Gene1203', 'Gene676', 'Gene4645', 'Gene1786', 'Gene9100', 'Gene8382', 'Gene5261', 'Gene8309', 'Gene4793', 'Gene6855', 'Gene5845', 'Gene8049', 'Gene3674', 'Gene5743', 'Gene8695', 'Gene5292', 'Gene8172', 'Gene5989', 'Gene828', 'Gene3306', 'Gene7151', 'Gene5610', 'Gene6414', 'Gene4392', 'Gene76', 'Gene2323', 'Gene3525', 'Gene6659', 'Gene1250', 'Gene5587', 'Gene3081', 'Gene9619', 'Gene7030', 'Gene3066', 'Gene9993', 'Gene4694', 'Gene4931', 'Gene8891', 'Gene2009', 'Gene8373', 'Gene4019', 'Gene5304', 'Gene411', 'Gene108', 'Gene6942', 'Gene2804', 'Gene8277']"
2,57,"['Gene6244', 'Gene2492', 'Gene8560', 'Gene6630', 'Gene3652', 'Gene1405', 'Gene3633', 'Gene9992', 'Gene5485', 'Gene7737', 'Gene4601', 'Gene7584', 'Gene2307', 'Gene8219', 'Gene4804', 'Gene5814', 'Gene5596', 'Gene131', 'Gene1439', 'Gene4657', 'Gene4917', 'Gene6333', 'Gene3054', 'Gene1539', 'Gene2249', 'Gene3003', 'Gene2016', 'Gene1283', 'Gene1547', 'Gene150', 'Gene4625', 'Gene9186', 'Gene2275', 'Gene6115', 'Gene5039', 'Gene953', 'Gene9681', 'Gene1267', 'Gene2798', 'Gene2925', 'Gene6815', 'Gene9039', 'Gene5502', 'Gene4635', 'Gene4006', 'Gene1899', 'Gene2892', 'Gene1076', 'Gene7343', 'Gene8185', 'Gene8849', 'Gene1013', 'Gene4968', 'Gene1629', 'Gene5887', 'Gene6532', 'Gene8041']"
3,108,"['Gene5990', 'Gene2259', 'Gene9777', 'Gene1056', 'Gene5774', 'Gene1228', 'Gene146', 'Gene2459', 'Gene5379', 'Gene9897', 'Gene7773', 'Gene9557', 'Gene8500', 'Gene1685', 'Gene160', 'Gene7725', 'Gene4852', 'Gene3239', 'Gene8236', 'Gene9449', 'Gene8715', 'Gene1570', 'Gene2759', 'Gene3637', 'Gene4864', 'Gene9169', 'Gene5885', 'Gene6746', 'Gene4023', 'Gene856', 'Gene2043', 'Gene4750', 'Gene2530', 'Gene5588', 'Gene8710', 'Gene5815', 'Gene8375', 'Gene7510', 'Gene4579', 'Gene3071', 'Gene9889', 'Gene3422', 'Gene3732', 'Gene9219', 'Gene8244', 'Gene9790', 'Gene6545', 'Gene8779', 'Gene3700', 'Gene1907', 'Gene5278', 'Gene5620', 'Gene4591', 'Gene8776', 'Gene482', 'Gene5826', 'Gene2716', 'Gene7195', 'Gene9701', 'Gene3567', 'Gene4058', 'Gene2571', 'Gene8826', 'Gene4260', 'Gene5950', 'Gene8825', 'Gene5321', 'Gene5365', 'Gene2883', 'Gene9310', 'Gene4259', 'Gene3093', 'Gene8280', 'Gene1166', 'Gene4277', 'Gene4238', 'Gene974', 'Gene6110', 'Gene4243', 'Gene2662', 'Gene3235', 'Gene7069', 'Gene6528', 'Gene5417', 'Gene7009', 'Gene4530', 'Gene5086', 'Gene9358', 'Gene3097', 'Gene9211', 'Gene711', 'Gene6371', 'Gene888', 'Gene1714', 'Gene1760', 'Gene9192', 'Gene1835', 'Gene2211', 'Gene4112', 'Gene7722', 'Gene3844', 'Gene7968', 'Gene8485', 'Gene3134', 'Gene3619', 'Gene815', 'Gene2668', 'Gene2057']"
4,48,"['Gene1522', 'Gene274', 'Gene2133', 'Gene8757', 'Gene6575', 'Gene5928', 'Gene8905', 'Gene5563', 'Gene1635', 'Gene3580', 'Gene83', 'Gene2760', 'Gene503', 'Gene8644', 'Gene8154', 'Gene4289', 'Gene4364', 'Gene5577', 'Gene27', 'Gene2507', 'Gene8922', 'Gene789', 'Gene5992', 'Gene5091', 'Gene6760', 'Gene4022', 'Gene4273', 'Gene7271', 'Gene1765', 'Gene4716', 'Gene658', 'Gene1208', 'Gene2602', 'Gene2006', 'Gene8732', 'Gene8554', 'Gene3947', 'Gene9127', 'Gene6899', 'Gene3388', 'Gene3405', 'Gene7613', 'Gene7701', 'Gene7678', 'Gene4296', 'Gene1025', 'Gene8247', 'Gene2950']"
5,102,"['Gene4790', 'Gene8913', 'Gene9282', 'Gene9872', 'Gene5710', 'Gene2207', 'Gene1034', 'Gene8537', 'Gene7272', 'Gene2056', 'Gene908', 'Gene725', 'Gene4216', 'Gene8910', 'Gene1958', 'Gene4306', 'Gene8511', 'Gene9679', 'Gene9041', 'Gene4375', 'Gene8699', 'Gene7194', 'Gene9420', 'Gene292', 'Gene5611', 'Gene9443', 'Gene8169', 'Gene4092', 'Gene1969', 'Gene1396', 'Gene4342', 'Gene6966', 'Gene3123', 'Gene5045', 'Gene6498', 'Gene1651', 'Gene3446', 'Gene4428', 'Gene7163', 'Gene2976', 'Gene6622', 'Gene3576', 'Gene2141', 'Gene360', 'Gene3335', 'Gene9364', 'Gene8392', 'Gene3240', 'Gene3847', 'Gene2916', 'Gene236', 'Gene3581', 'Gene7933', 'Gene4062', 'Gene5943', 'Gene1501', 'Gene57', 'Gene7836', 'Gene6806', 'Gene3324', 'Gene6512', 'Gene401', 'Gene2704', 'Gene668', 'Gene9353', 'Gene4098', 'Gene2333', 'Gene558', 'Gene4542', 'Gene757', 'Gene6378', 'Gene3006', 'Gene515', 'Gene8409', 'Gene3190', 'Gene8085', 'Gene7267', 'Gene211', 'Gene2648', 'Gene1955', 'Gene3044', 'Gene9683', 'Gene6375', 'Gene7173', 'Gene2029', 'Gene7210', 'Gene3597', 'Gene5865', 'Gene1031', 'Gene8197', 'Gene1335', 'Gene6234', 'Gene1291', 'Gene8561', 'Gene49', 'Gene4290', 'Gene1029', 'Gene9092', 'Gene1127', 'Gene6520', 'Gene1677', 'Gene2157']"
6,21,"['Gene7443', 'Gene9961', 'Gene9360', 'Gene8258', 'Gene6311', 'Gene8179', 'Gene8052', 'Gene7695', 'Gene6450', 'Gene6061', 'Gene5264', 'Gene9258', 'Gene1171', 'Gene6415', 'Gene5494', 'Gene7487', 'Gene4389', 'Gene9780', 'Gene8229', 'Gene2837', 'Gene9572']"
7,16,"['Gene5197', 'Gene387', 'Gene4038', 'Gene7954', 'Gene1828', 'Gene8145', 'Gene1534', 'Gene6365', 'Gene8550', 'Gene2351', 'Gene114', 'Gene678', 'Gene7700', 'Gene6105', 'Gene7616', 'Gene8989']"
8,18,"['Gene519', 'Gene3065', 'Gene7259', 'Gene1106', 'Gene6598', 'Gene7110', 'Gene9140', 'Gene4993', 'Gene400', 'Gene5029', 'Gene3249', 'Gene2134', 'Gene5915', 'Gene5034', 'Gene9587', 'Gene1258', 'Gene4460', 'Gene5918']"
9,229,"['Gene2065', 'Gene5250', 'Gene2617', 'Gene6690', 'Gene6317', 'Gene8678', 'Gene9289', 'Gene6219', 'Gene7266', 'Gene467', 'Gene6036', 'Gene5510', 'Gene7884', 'Gene80', 'Gene4528', 'Gene4467', 'Gene6276', 'Gene5407', 'Gene3656', 'Gene7483', 'Gene3370', 'Gene4363', 'Gene5957', 'Gene9326', 'Gene8701', 'Gene6536', 'Gene5389', 'Gene6585', 'Gene3610', 'Gene7311', 'Gene1331', 'Gene7468', 'Gene4733', 'Gene407', 'Gene9655', 'Gene8883', 'Gene2293', 'Gene4011', 'Gene7193', 'Gene7983', 'Gene6337', 'Gene6078', 'Gene7856', 'Gene2224', 'Gene4390', 'Gene5728', 'Gene7817', 'Gene3461', 'Gene1878', 'Gene5233', 'Gene9389', 'Gene4686', 'Gene9414', 'Gene3822', 'Gene879', 'Gene6680', 'Gene3340', 'Gene5192', 'Gene9168', 'Gene4996', 'Gene1823', 'Gene352', 'Gene3126', 'Gene7352', 'Gene5048', 'Gene3596', 'Gene2240', 'Gene4575', 'Gene1241', 'Gene4366', 'Gene2687', 'Gene4132', 'Gene4959', 'Gene2620', 'Gene3255', 'Gene1638', 'Gene5716', 'Gene6963', 'Gene951', 'Gene1956', 'Gene5650', 'Gene4780', 'Gene4400', 'Gene6339', 'Gene1937', 'Gene2747', 'Gene1673', 'Gene6735', 'Gene825', 'Gene6432', 'Gene6426', 'Gene2808', 'Gene8745', 'Gene9765', 'Gene2921', 'Gene6271', 'Gene3775', 'Gene6770', 'Gene5471', 'Gene7465', 'Gene5557', 'Gene4695', 'Gene7650', 'Gene3852', 'Gene9577', 'Gene8754', 'Gene8867', 'Gene4302', 'Gene3884', 'Gene6155', 'Gene8591', 'Gene2135', 'Gene7942', 'Gene9097', 'Gene3245', 'Gene5450', 'Gene1294', 'Gene6629', 'Gene4275', 'Gene1217', 'Gene1880', 'Gene730', 'Gene7758', 'Gene8274', 'Gene7911', 'Gene9395', 'Gene2999', 'Gene7548', 'Gene8765', 'Gene6065', 'Gene2997', 'Gene6476', 'Gene5998', 'Gene4468', 'Gene7145', 'Gene3188', 'Gene1456', 'Gene4063', 'Gene4634', 'Gene8018', 'Gene2594', 'Gene8737', 'Gene5316', 'Gene3536', 'Gene2499', 'Gene8684', 'Gene6444', 'Gene202', 'Gene2615', 'Gene5649', 'Gene9972', 'Gene4283', 'Gene8951', 'Gene4091', 'Gene2300', 'Gene8586', 'Gene8195', 'Gene7951', 'Gene107', 'Gene5070', 'Gene9954', 'Gene441', 'Gene1432', 'Gene118', 'Gene5988', 'Gene5732', 'Gene8467', 'Gene3509', 'Gene2146', 'Gene2904', 'Gene2758', 'Gene1865', 'Gene5405', 'Gene3390', 'Gene2649', 'Gene8781', 'Gene7205', 'Gene4456', 'Gene216', 'Gene9855', 'Gene2234', 'Gene7391', 'Gene8943', 'Gene9825', 'Gene6578', 'Gene5262', 'Gene4120', 'Gene1196', 'Gene4565', 'Gene4235', 'Gene8091', 'Gene2717', 'Gene9390', 'Gene4560', 'Gene4774', 'Gene9280', 'Gene9404', 'Gene5886', 'Gene2992', 'Gene5686', 'Gene2834', 'Gene8466', 'Gene5002', 'Gene6605', 'Gene3840', 'Gene8208', 'Gene5362', 'Gene615', 'Gene3064', 'Gene2646', 'Gene7092', 'Gene1558', 'Gene4925', 'Gene773', 'Gene4907', 'Gene1892', 'Gene5227', 'Gene1867', 'Gene3928', 'Gene852', 'Gene9227', 'Gene4958', 'Gene3794', 'Gene351', 'Gene203', 'Gene6595', 'Gene9464', 'Gene8791', 'Gene6370']"
10,32,"['Gene4876', 'Gene2308', 'Gene5961', 'Gene7586', 'Gene2145', 'Gene4911', 'Gene1709', 'Gene2664', 'Gene231', 'Gene471', 'Gene3721', 'Gene2696', 'Gene7837', 'Gene9967', 'Gene6834', 'Gene2294', 'Gene4036', 'Gene7554', 'Gene7813', 'Gene5120', 'Gene2219', 'Gene2838', 'Gene1636', 'Gene3476', 'Gene8211', 'Gene5155', 'Gene7146', 'Gene1333', 'Gene2866', 'Gene7716', 'Gene4126', 'Gene2796']"
