,#genes,genes
1,277,"['Gene8178', 'Gene7138', 'Gene9226', 'Gene8792', 'Gene2001', 'Gene7903', 'Gene5545', 'Gene1571', 'Gene838', 'Gene4949', 'Gene8532', 'Gene3214', 'Gene2891', 'Gene8491', 'Gene3953', 'Gene4832', 'Gene8010', 'Gene388', 'Gene4772', 'Gene735', 'Gene5361', 'Gene4734', 'Gene7390', 'Gene5993', 'Gene5845', 'Gene5564', 'Gene1906', 'Gene7867', 'Gene8077', 'Gene9403', 'Gene886', 'Gene9653', 'Gene4773', 'Gene2014', 'Gene3902', 'Gene9414', 'Gene5843', 'Gene3298', 'Gene4448', 'Gene381', 'Gene3403', 'Gene8751', 'Gene1933', 'Gene3192', 'Gene8191', 'Gene9510', 'Gene9179', 'Gene5651', 'Gene5574', 'Gene3532', 'Gene5648', 'Gene6282', 'Gene7874', 'Gene1700', 'Gene4370', 'Gene1441', 'Gene1331', 'Gene212', 'Gene889', 'Gene2834', 'Gene1086', 'Gene3576', 'Gene8470', 'Gene3285', 'Gene2280', 'Gene5480', 'Gene1107', 'Gene225', 'Gene3659', 'Gene4045', 'Gene7906', 'Gene8571', 'Gene1429', 'Gene3912', 'Gene5165', 'Gene6175', 'Gene5375', 'Gene8620', 'Gene8942', 'Gene4393', 'Gene7033', 'Gene1608', 'Gene7542', 'Gene9189', 'Gene3067', 'Gene2133', 'Gene5247', 'Gene9865', 'Gene1245', 'Gene6911', 'Gene3945', 'Gene5467', 'Gene968', 'Gene6898', 'Gene8129', 'Gene6962', 'Gene1887', 'Gene8404', 'Gene949', 'Gene3526', 'Gene477', 'Gene5959', 'Gene5584', 'Gene2739', 'Gene1405', 'Gene7819', 'Gene2041', 'Gene9311', 'Gene8909', 'Gene8222', 'Gene66', 'Gene4039', 'Gene8797', 'Gene123', 'Gene6134', 'Gene93', 'Gene2234', 'Gene279', 'Gene307', 'Gene9173', 'Gene7678', 'Gene6721', 'Gene7965', 'Gene2586', 'Gene9822', 'Gene5891', 'Gene8311', 'Gene3917', 'Gene4981', 'Gene1528', 'Gene4756', 'Gene4218', 'Gene661', 'Gene52', 'Gene5808', 'Gene1823', 'Gene1690', 'Gene2016', 'Gene8264', 'Gene7411', 'Gene8154', 'Gene6385', 'Gene4238', 'Gene7019', 'Gene5137', 'Gene3572', 'Gene916', 'Gene6570', 'Gene8640', 'Gene2306', 'Gene4194', 'Gene8104', 'Gene7195', 'Gene1240', 'Gene2104', 'Gene8629', 'Gene5819', 'Gene8223', 'Gene2148', 'Gene5024', 'Gene9809', 'Gene8346', 'Gene4864', 'Gene5245', 'Gene2597', 'Gene4461', 'Gene5193', 'Gene8201', 'Gene1927', 'Gene3787', 'Gene6994', 'Gene6165', 'Gene2640', 'Gene1730', 'Gene5971', 'Gene7103', 'Gene3304', 'Gene8767', 'Gene709', 'Gene3627', 'Gene9193', 'Gene9581', 'Gene1894', 'Gene7345', 'Gene8051', 'Gene8398', 'Gene2301', 'Gene287', 'Gene3819', 'Gene2369', 'Gene2563', 'Gene9919', 'Gene158', 'Gene8489', 'Gene5085', 'Gene3793', 'Gene5385', 'Gene6099', 'Gene9108', 'Gene8763', 'Gene3676', 'Gene9613', 'Gene1813', 'Gene9462', 'Gene1438', 'Gene7095', 'Gene9536', 'Gene2099', 'Gene6929', 'Gene8610', 'Gene8681', 'Gene2038', 'Gene2790', 'Gene8355', 'Gene2825', 'Gene41', 'Gene8218', 'Gene3365', 'Gene6787', 'Gene9702', 'Gene6049', 'Gene1108', 'Gene4818', 'Gene6563', 'Gene4868', 'Gene8063', 'Gene8553', 'Gene9765', 'Gene4001', 'Gene6421', 'Gene4348', 'Gene4159', 'Gene5219', 'Gene4578', 'Gene9349', 'Gene8568', 'Gene7366', 'Gene9717', 'Gene9288', 'Gene6645', 'Gene7660', 'Gene8777', 'Gene9957', 'Gene8275', 'Gene974', 'Gene5621', 'Gene9850', 'Gene6243', 'Gene5194', 'Gene8893', 'Gene4964', 'Gene1350', 'Gene5526', 'Gene7492', 'Gene5290', 'Gene8335', 'Gene9995', 'Gene8186', 'Gene8190', 'Gene9946', 'Gene8783', 'Gene1000', 'Gene4581', 'Gene1950', 'Gene1196', 'Gene8456', 'Gene8747', 'Gene5772', 'Gene7427', 'Gene5357', 'Gene7948', 'Gene2728', 'Gene9075', 'Gene3723', 'Gene801', 'Gene4004', 'Gene4309']"
2,199,"['Gene3818', 'Gene8550', 'Gene4254', 'Gene3986', 'Gene4515', 'Gene4087', 'Gene4488', 'Gene4938', 'Gene7424', 'Gene6543', 'Gene2212', 'Gene9032', 'Gene9985', 'Gene8655', 'Gene6649', 'Gene1981', 'Gene9927', 'Gene4439', 'Gene1799', 'Gene8673', 'Gene9538', 'Gene1635', 'Gene3432', 'Gene4985', 'Gene4204', 'Gene2900', 'Gene7290', 'Gene5866', 'Gene788', 'Gene232', 'Gene8334', 'Gene7871', 'Gene3206', 'Gene8906', 'Gene5566', 'Gene7802', 'Gene1412', 'Gene2320', 'Gene9555', 'Gene4236', 'Gene1845', 'Gene3305', 'Gene9482', 'Gene7583', 'Gene3110', 'Gene5947', 'Gene3908', 'Gene3791', 'Gene657', 'Gene9769', 'Gene6618', 'Gene3105', 'Gene2895', 'Gene4916', 'Gene3852', 'Gene7636', 'Gene5912', 'Gene6956', 'Gene4440', 'Gene1462', 'Gene5174', 'Gene7979', 'Gene425', 'Gene5895', 'Gene6454', 'Gene7474', 'Gene4919', 'Gene5708', 'Gene8771', 'Gene2736', 'Gene3418', 'Gene5459', 'Gene1406', 'Gene6427', 'Gene3749', 'Gene5848', 'Gene5973', 'Gene7647', 'Gene3778', 'Gene1976', 'Gene2857', 'Gene1664', 'Gene3905', 'Gene8806', 'Gene411', 'Gene7241', 'Gene9267', 'Gene7373', 'Gene4588', 'Gene7639', 'Gene3948', 'Gene8839', 'Gene3026', 'Gene4598', 'Gene2076', 'Gene6930', 'Gene7947', 'Gene4701', 'Gene4602', 'Gene1016', 'Gene878', 'Gene7944', 'Gene5486', 'Gene179', 'Gene6868', 'Gene9853', 'Gene2151', 'Gene9987', 'Gene5820', 'Gene9251', 'Gene1095', 'Gene1497', 'Gene8706', 'Gene1869', 'Gene165', 'Gene3242', 'Gene2582', 'Gene6042', 'Gene6226', 'Gene2585', 'Gene32', 'Gene4977', 'Gene8992', 'Gene4419', 'Gene6967', 'Gene7640', 'Gene9372', 'Gene1615', 'Gene5301', 'Gene7827', 'Gene6737', 'Gene3157', 'Gene4264', 'Gene3714', 'Gene7355', 'Gene240', 'Gene6951', 'Gene7549', 'Gene3567', 'Gene9386', 'Gene3227', 'Gene5450', 'Gene9937', 'Gene2326', 'Gene2448', 'Gene2417', 'Gene3292', 'Gene9647', 'Gene6401', 'Gene9067', 'Gene9732', 'Gene7159', 'Gene6856', 'Gene6854', 'Gene1216', 'Gene9412', 'Gene8621', 'Gene4906', 'Gene2683', 'Gene7449', 'Gene3323', 'Gene5125', 'Gene3700', 'Gene8615', 'Gene5977', 'Gene8785', 'Gene8567', 'Gene3708', 'Gene7111', 'Gene6939', 'Gene3122', 'Gene33', 'Gene5759', 'Gene6130', 'Gene6542', 'Gene6756', 'Gene2371', 'Gene4028', 'Gene61', 'Gene791', 'Gene3088', 'Gene2620', 'Gene6026', 'Gene1586', 'Gene8802', 'Gene7987', 'Gene854', 'Gene7295', 'Gene3229', 'Gene6027', 'Gene1661', 'Gene7282', 'Gene3740', 'Gene2970', 'Gene2754', 'Gene8827', 'Gene2430', 'Gene6122', 'Gene7107']"
3,70,"['Gene4460', 'Gene7003', 'Gene8151', 'Gene433', 'Gene4584', 'Gene7353', 'Gene8774', 'Gene7084', 'Gene6504', 'Gene6173', 'Gene2803', 'Gene1946', 'Gene5421', 'Gene8867', 'Gene5129', 'Gene7224', 'Gene3512', 'Gene8235', 'Gene5182', 'Gene4913', 'Gene1144', 'Gene453', 'Gene7198', 'Gene7939', 'Gene8651', 'Gene6477', 'Gene4346', 'Gene2962', 'Gene397', 'Gene2816', 'Gene4481', 'Gene9504', 'Gene2649', 'Gene3589', 'Gene3098', 'Gene3482', 'Gene297', 'Gene2947', 'Gene2312', 'Gene9494', 'Gene6586', 'Gene4486', 'Gene8212', 'Gene8103', 'Gene5535', 'Gene5924', 'Gene6003', 'Gene2246', 'Gene602', 'Gene2325', 'Gene6086', 'Gene946', 'Gene5546', 'Gene2632', 'Gene2543', 'Gene9119', 'Gene3232', 'Gene8071', 'Gene7275', 'Gene9010', 'Gene8800', 'Gene1040', 'Gene417', 'Gene4688', 'Gene6356', 'Gene6693', 'Gene4736', 'Gene7594', 'Gene3600', 'Gene6262']"
4,321,"['Gene9659', 'Gene4351', 'Gene3786', 'Gene5890', 'Gene228', 'Gene1774', 'Gene2464', 'Gene5076', 'Gene4206', 'Gene7928', 'Gene9854', 'Gene6971', 'Gene7344', 'Gene8945', 'Gene1591', 'Gene4157', 'Gene3961', 'Gene8287', 'Gene9958', 'Gene3692', 'Gene8159', 'Gene5426', 'Gene7873', 'Gene5204', 'Gene2079', 'Gene7922', 'Gene2981', 'Gene3906', 'Gene6492', 'Gene3268', 'Gene8592', 'Gene573', 'Gene4552', 'Gene2382', 'Gene1038', 'Gene8646', 'Gene8840', 'Gene4116', 'Gene177', 'Gene8365', 'Gene9493', 'Gene9187', 'Gene9740', 'Gene1791', 'Gene3278', 'Gene6539', 'Gene270', 'Gene5792', 'Gene9488', 'Gene4364', 'Gene1978', 'Gene555', 'Gene2349', 'Gene5183', 'Gene9749', 'Gene378', 'Gene4662', 'Gene4431', 'Gene9430', 'Gene3170', 'Gene2615', 'Gene3884', 'Gene4839', 'Gene4175', 'Gene5087', 'Gene1345', 'Gene5151', 'Gene5911', 'Gene6332', 'Gene3426', 'Gene9868', 'Gene7263', 'Gene7230', 'Gene9002', 'Gene6198', 'Gene8133', 'Gene3771', 'Gene759', 'Gene4650', 'Gene1642', 'Gene6825', 'Gene4420', 'Gene4178', 'Gene9877', 'Gene7114', 'Gene9783', 'Gene2260', 'Gene7899', 'Gene3623', 'Gene4774', 'Gene116', 'Gene8963', 'Gene5978', 'Gene5778', 'Gene1384', 'Gene9689', 'Gene2355', 'Gene4805', 'Gene4641', 'Gene7209', 'Gene6901', 'Gene5445', 'Gene7885', 'Gene2990', 'Gene6140', 'Gene3641', 'Gene1490', 'Gene9181', 'Gene3859', 'Gene8357', 'Gene2167', 'Gene1766', 'Gene4213', 'Gene6909', 'Gene2806', 'Gene9693', 'Gene2722', 'Gene7151', 'Gene8155', 'Gene1921', 'Gene9866', 'Gene2061', 'Gene7165', 'Gene5553', 'Gene8172', 'Gene3163', 'Gene2537', 'Gene5936', 'Gene9361', 'Gene544', 'Gene6964', 'Gene6980', 'Gene9444', 'Gene6046', 'Gene3361', 'Gene7653', 'Gene1793', 'Gene5103', 'Gene9735', 'Gene8364', 'Gene2229', 'Gene664', 'Gene6551', 'Gene3977', 'Gene958', 'Gene9646', 'Gene7071', 'Gene9828', 'Gene3525', 'Gene9728', 'Gene8043', 'Gene4016', 'Gene5705', 'Gene5485', 'Gene2143', 'Gene5106', 'Gene2901', 'Gene4294', 'Gene8400', 'Gene2390', 'Gene3481', 'Gene9642', 'Gene2804', 'Gene4925', 'Gene5192', 'Gene6727', 'Gene4095', 'Gene3489', 'Gene3810', 'Gene2163', 'Gene4538', 'Gene4195', 'Gene7305', 'Gene1506', 'Gene979', 'Gene8978', 'Gene9805', 'Gene9562', 'Gene7073', 'Gene391', 'Gene7231', 'Gene5587', 'Gene3909', 'Gene9379', 'Gene5694', 'Gene3746', 'Gene524', 'Gene5438', 'Gene8820', 'Gene9736', 'Gene5951', 'Gene6022', 'Gene908', 'Gene7397', 'Gene6891', 'Gene8707', 'Gene5881', 'Gene2192', 'Gene6695', 'Gene1743', 'Gene2607', 'Gene1157', 'Gene6258', 'Gene302', 'Gene659', 'Gene6806', 'Gene7839', 'Gene4198', 'Gene6851', 'Gene7828', 'Gene7757', 'Gene8394', 'Gene1127', 'Gene562', 'Gene5058', 'Gene9888', 'Gene9572', 'Gene9455', 'Gene3942', 'Gene9719', 'Gene8588', 'Gene1003', 'Gene5800', 'Gene6423', 'Gene6254', 'Gene5312', 'Gene3502', 'Gene9365', 'Gene4989', 'Gene3290', 'Gene5756', 'Gene2483', 'Gene3036', 'Gene9355', 'Gene1545', 'Gene7253', 'Gene4416', 'Gene7975', 'Gene9546', 'Gene1169', 'Gene6144', 'Gene7387', 'Gene1321', 'Gene7808', 'Gene671', 'Gene350', 'Gene2009', 'Gene3004', 'Gene6900', 'Gene4757', 'Gene707', 'Gene2288', 'Gene4274', 'Gene7418', 'Gene4724', 'Gene4388', 'Gene5817', 'Gene2807', 'Gene5324', 'Gene5650', 'Gene5563', 'Gene5243', 'Gene853', 'Gene7865', 'Gene4673', 'Gene4083', 'Gene9433', 'Gene2693', 'Gene1236', 'Gene506', 'Gene7274', 'Gene159', 'Gene3880', 'Gene9918', 'Gene5803', 'Gene955', 'Gene7322', 'Gene9270', 'Gene354', 'Gene7333', 'Gene8088', 'Gene6307', 'Gene2714', 'Gene2908', 'Gene6405', 'Gene9287', 'Gene2731', 'Gene6506', 'Gene9213', 'Gene5447', 'Gene366', 'Gene9673', 'Gene3306', 'Gene2351', 'Gene2919', 'Gene7356', 'Gene920', 'Gene8849', 'Gene9220', 'Gene7336', 'Gene2105', 'Gene6677', 'Gene3255', 'Gene2641', 'Gene5942', 'Gene9408', 'Gene2685', 'Gene2488', 'Gene919', 'Gene2969', 'Gene1119', 'Gene8225', 'Gene6660', 'Gene3770', 'Gene5552', 'Gene9818', 'Gene9238', 'Gene7971', 'Gene5956', 'Gene5887', 'Gene1520']"
5,529,"['Gene6766', 'Gene4452', 'Gene1421', 'Gene5983', 'Gene5529', 'Gene3180', 'Gene7303', 'Gene6777', 'Gene7738', 'Gene8028', 'Gene1643', 'Gene258', 'Gene1050', 'Gene2877', 'Gene4666', 'Gene6981', 'Gene1382', 'Gene625', 'Gene1121', 'Gene5469', 'Gene173', 'Gene7016', 'Gene8444', 'Gene6453', 'Gene9391', 'Gene516', 'Gene7339', 'Gene1353', 'Gene8230', 'Gene5015', 'Gene2491', 'Gene665', 'Gene9993', 'Gene6253', 'Gene1653', 'Gene5932', 'Gene1660', 'Gene6748', 'Gene3582', 'Gene6209', 'Gene9109', 'Gene1687', 'Gene146', 'Gene7218', 'Gene1542', 'Gene4398', 'Gene3658', 'Gene2554', 'Gene6577', 'Gene2829', 'Gene929', 'Gene309', 'Gene8597', 'Gene4136', 'Gene5627', 'Gene490', 'Gene7736', 'Gene5533', 'Gene9341', 'Gene8281', 'Gene4533', 'Gene3329', 'Gene6070', 'Gene1503', 'Gene8239', 'Gene2420', 'Gene8788', 'Gene2342', 'Gene2930', 'Gene7068', 'Gene6892', 'Gene632', 'Gene5299', 'Gene6400', 'Gene4730', 'Gene7544', 'Gene5743', 'Gene3555', 'Gene5839', 'Gene3125', 'Gene9371', 'Gene2139', 'Gene7610', 'Gene7833', 'Gene1935', 'Gene6617', 'Gene1607', 'Gene2670', 'Gene4006', 'Gene6659', 'Gene3779', 'Gene592', 'Gene8389', 'Gene1613', 'Gene4784', 'Gene5723', 'Gene7456', 'Gene848', 'Gene999', 'Gene8067', 'Gene4267', 'Gene750', 'Gene3238', 'Gene8196', 'Gene8326', 'Gene9474', 'Gene7194', 'Gene3651', 'Gene6919', 'Gene3560', 'Gene6679', 'Gene3235', 'Gene3280', 'Gene615', 'Gene1735', 'Gene4191', 'Gene2848', 'Gene3438', 'Gene2505', 'Gene8625', 'Gene2250', 'Gene8409', 'Gene6692', 'Gene2669', 'Gene8480', 'Gene8598', 'Gene1816', 'Gene4991', 'Gene9248', 'Gene7429', 'Gene6044', 'Gene841', 'Gene5199', 'Gene8446', 'Gene4312', 'Gene2495', 'Gene1534', 'Gene5095', 'Gene8426', 'Gene4980', 'Gene1451', 'Gene5224', 'Gene4316', 'Gene8013', 'Gene2729', 'Gene3373', 'Gene6913', 'Gene5543', 'Gene9813', 'Gene114', 'Gene6189', 'Gene7327', 'Gene2049', 'Gene5197', 'Gene7921', 'Gene3398', 'Gene4765', 'Gene7526', 'Gene80', 'Gene2451', 'Gene7927', 'Gene6150', 'Gene3470', 'Gene9707', 'Gene7029', 'Gene4201', 'Gene8474', 'Gene8577', 'Gene8955', 'Gene5028', 'Gene8459', 'Gene5958', 'Gene4411', 'Gene1277', 'Gene1456', 'Gene3796', 'Gene5664', 'Gene8149', 'Gene8441', 'Gene4432', 'Gene9144', 'Gene3279', 'Gene9007', 'Gene5990', 'Gene6220', 'Gene4421', 'Gene5298', 'Gene375', 'Gene6109', 'Gene5075', 'Gene3657', 'Gene687', 'Gene6312', 'Gene6813', 'Gene8304', 'Gene99', 'Gene5397', 'Gene8351', 'Gene6395', 'Gene741', 'Gene3775', 'Gene4813', 'Gene6168', 'Gene5216', 'Gene4647', 'Gene7176', 'Gene9156', 'Gene2145', 'Gene5276', 'Gene7989', 'Gene7957', 'Gene7598', 'Gene3119', 'Gene833', 'Gene9552', 'Gene6075', 'Gene8490', 'Gene1509', 'Gene7571', 'Gene716', 'Gene653', 'Gene5286', 'Gene631', 'Gene7441', 'Gene9133', 'Gene2222', 'Gene5961', 'Gene8308', 'Gene1651', 'Gene7513', 'Gene2945', 'Gene9473', 'Gene6968', 'Gene5126', 'Gene5696', 'Gene4569', 'Gene575', 'Gene8576', 'Gene8069', 'Gene8109', 'Gene752', 'Gene3811', 'Gene6831', 'Gene8271', 'Gene7125', 'Gene9804', 'Gene5744', 'Gene1110', 'Gene5514', 'Gene4887', 'Gene42', 'Gene8374', 'Gene2184', 'Gene8510', 'Gene6465', 'Gene3784', 'Gene6455', 'Gene3521', 'Gene1686', 'Gene3007', 'Gene1466', 'Gene8180', 'Gene6415', 'Gene2686', 'Gene9295', 'Gene4084', 'Gene9204', 'Gene9446', 'Gene1271', 'Gene2130', 'Gene4629', 'Gene4624', 'Gene3030', 'Gene7649', 'Gene5785', 'Gene4361', 'Gene5957', 'Gene6759', 'Gene3453', 'Gene6558', 'Gene7343', 'Gene4425', 'Gene3846', 'Gene8244', 'Gene5023', 'Gene7375', 'Gene8234', 'Gene6111', 'Gene1389', 'Gene1721', 'Gene6037', 'Gene9870', 'Gene2190', 'Gene393', 'Gene1574', 'Gene2967', 'Gene1010', 'Gene9503', 'Gene1188', 'Gene1261', 'Gene6412', 'Gene1207', 'Gene5026', 'Gene1877', 'Gene271', 'Gene5693', 'Gene2207', 'Gene9904', 'Gene954', 'Gene1631', 'Gene2303', 'Gene4088', 'Gene3417', 'Gene7057', 'Gene5491', 'Gene4145', 'Gene333', 'Gene6711', 'Gene6845', 'Gene3883', 'Gene2210', 'Gene2356', 'Gene1269', 'Gene2625', 'Gene2671', 'Gene5642', 'Gene7234', 'Gene8433', 'Gene1513', 'Gene4286', 'Gene2636', 'Gene6024', 'Gene7623', 'Gene2265', 'Gene3369', 'Gene1320', 'Gene8296', 'Gene8835', 'Gene8831', 'Gene8814', 'Gene163', 'Gene9682', 'Gene2123', 'Gene3010', 'Gene4442', 'Gene1459', 'Gene6507', 'Gene7521', 'Gene1181', 'Gene7182', 'Gene10', 'Gene2085', 'Gene4559', 'Gene6809', 'Gene9104', 'Gene936', 'Gene7166', 'Gene1704', 'Gene9872', 'Gene2202', 'Gene1135', 'Gene1543', 'Gene6344', 'Gene4771', 'Gene2811', 'Gene6720', 'Gene8380', 'Gene3415', 'Gene9279', 'Gene471', 'Gene9609', 'Gene4044', 'Gene6432', 'Gene6313', 'Gene7595', 'Gene2680', 'Gene6502', 'Gene2028', 'Gene3465', 'Gene4814', 'Gene8920', 'Gene4462', 'Gene9348', 'Gene2635', 'Gene1226', 'Gene4338', 'Gene3914', 'Gene6257', 'Gene9113', 'Gene913', 'Gene7719', 'Gene6108', 'Gene6696', 'Gene3751', 'Gene3799', 'Gene2257', 'Gene4762', 'Gene4652', 'Gene9857', 'Gene8392', 'Gene2360', 'Gene3450', 'Gene3406', 'Gene1289', 'Gene7554', 'Gene6742', 'Gene1909', 'Gene3376', 'Gene2380', 'Gene6761', 'Gene7658', 'Gene2629', 'Gene7533', 'Gene3985', 'Gene805', 'Gene6815', 'Gene2205', 'Gene8795', 'Gene7334', 'Gene4888', 'Gene4580', 'Gene9889', 'Gene5027', 'Gene3805', 'Gene5340', 'Gene3368', 'Gene2172', 'Gene9556', 'Gene6446', 'Gene3783', 'Gene4353', 'Gene4626', 'Gene1786', 'Gene9695', 'Gene6820', 'Gene2665', 'Gene8679', 'Gene785', 'Gene2952', 'Gene623', 'Gene1814', 'Gene6336', 'Gene4860', 'Gene1578', 'Gene5428', 'Gene377', 'Gene118', 'Gene6473', 'Gene5734', 'Gene7203', 'Gene8407', 'Gene1594', 'Gene5943', 'Gene7522', 'Gene4870', 'Gene4693', 'Gene6685', 'Gene7993', 'Gene7104', 'Gene7083', 'Gene8297', 'Gene9418', 'Gene9292', 'Gene7187', 'Gene8302', 'Gene3774', 'Gene7985', 'Gene1457', 'Gene4971', 'Gene1679', 'Gene7771', 'Gene1177', 'Gene4530', 'Gene1230', 'Gene3055', 'Gene7889', 'Gene7638', 'Gene6158', 'Gene4435', 'Gene3282', 'Gene2478', 'Gene3640', 'Gene5904', 'Gene2065', 'Gene4553', 'Gene249', 'Gene1751', 'Gene5801', 'Gene9692', 'Gene5315', 'Gene8488', 'Gene5997', 'Gene7566', 'Gene6574', 'Gene4785', 'Gene2331', 'Gene6749', 'Gene6724', 'Gene2469', 'Gene5659', 'Gene1949', 'Gene9323', 'Gene6149', 'Gene3737', 'Gene7981', 'Gene8495', 'Gene2856', 'Gene9542', 'Gene3080', 'Gene761', 'Gene3041', 'Gene7951', 'Gene3743', 'Gene8094', 'Gene4664', 'Gene9218', 'Gene7834', 'Gene4205', 'Gene8107', 'Gene7897', 'Gene9247', 'Gene9198', 'Gene1951', 'Gene3359', 'Gene8097', 'Gene6885', 'Gene1854', 'Gene9838', 'Gene184']"
6,19,"['Gene3960', 'Gene6362', 'Gene4455', 'Gene5639', 'Gene1339', 'Gene9370', 'Gene9789', 'Gene7831', 'Gene745', 'Gene9784', 'Gene2719', 'Gene7677', 'Gene8341', 'Gene8782', 'Gene7507', 'Gene103', 'Gene6657', 'Gene6160', 'Gene6295']"
7,31,"['Gene6061', 'Gene2549', 'Gene7505', 'Gene5940', 'Gene2626', 'Gene2308', 'Gene3246', 'Gene9893', 'Gene5549', 'Gene6197', 'Gene2851', 'Gene3741', 'Gene1977', 'Gene1965', 'Gene6797', 'Gene7937', 'Gene7445', 'Gene3310', 'Gene2208', 'Gene5232', 'Gene7694', 'Gene9481', 'Gene5994', 'Gene2289', 'Gene1900', 'Gene9781', 'Gene7361', 'Gene2127', 'Gene6827', 'Gene8731', 'Gene4628']"
8,22,"['Gene5262', 'Gene3745', 'Gene1434', 'Gene2000', 'Gene7634', 'Gene9518', 'Gene5981', 'Gene4838', 'Gene6682', 'Gene9775', 'Gene1426', 'Gene3690', 'Gene6142', 'Gene9441', 'Gene2567', 'Gene473', 'Gene9378', 'Gene670', 'Gene3500', 'Gene9806', 'Gene8123', 'Gene9984']"
9,98,"['Gene7228', 'Gene5590', 'Gene9914', 'Gene7580', 'Gene654', 'Gene3458', 'Gene8292', 'Gene2201', 'Gene6181', 'Gene5716', 'Gene455', 'Gene2923', 'Gene5327', 'Gene3360', 'Gene3644', 'Gene6796', 'Gene3308', 'Gene3114', 'Gene7354', 'Gene3201', 'Gene4179', 'Gene1395', 'Gene840', 'Gene7670', 'Gene6990', 'Gene2832', 'Gene6762', 'Gene3668', 'Gene9278', 'Gene2741', 'Gene6091', 'Gene9200', 'Gene12', 'Gene1273', 'Gene7845', 'Gene2348', 'Gene9564', 'Gene246', 'Gene9006', 'Gene9266', 'Gene244', 'Gene3753', 'Gene7256', 'Gene6417', 'Gene229', 'Gene2795', 'Gene8089', 'Gene4764', 'Gene9860', 'Gene8505', 'Gene129', 'Gene1265', 'Gene277', 'Gene311', 'Gene3568', 'Gene3075', 'Gene9675', 'Gene5872', 'Gene26', 'Gene2950', 'Gene2659', 'Gene9520', 'Gene1493', 'Gene678', 'Gene2255', 'Gene8946', 'Gene9645', 'Gene4633', 'Gene1777', 'Gene4423', 'Gene4229', 'Gene5683', 'Gene8616', 'Gene6072', 'Gene1796', 'Gene1907', 'Gene9443', 'Gene7815', 'Gene6691', 'Gene1418', 'Gene1205', 'Gene2590', 'Gene3034', 'Gene2839', 'Gene1313', 'Gene6322', 'Gene820', 'Gene3927', 'Gene3556', 'Gene3617', 'Gene3720', 'Gene6880', 'Gene4319', 'Gene2691', 'Gene5356', 'Gene6527', 'Gene4627', 'Gene1621']"
10,42,"['Gene5605', 'Gene9969', 'Gene9833', 'Gene4472', 'Gene5634', 'Gene2788', 'Gene6548', 'Gene3302', 'Gene7682', 'Gene7672', 'Gene5606', 'Gene4449', 'Gene7579', 'Gene2634', 'Gene1415', 'Gene1827', 'Gene5226', 'Gene8203', 'Gene1172', 'Gene9639', 'Gene5646', 'Gene1420', 'Gene868', 'Gene1254', 'Gene9664', 'Gene7659', 'Gene3573', 'Gene5620', 'Gene9000', 'Gene7300', 'Gene5948', 'Gene7674', 'Gene7283', 'Gene7611', 'Gene4280', 'Gene5001', 'Gene1482', 'Gene3345', 'Gene5453', 'Gene9268', 'Gene2272', 'Gene7403']"
