,#genes,genes
1,68,"['Camk2n1', 'Nrgn', 'Snap25', 'Egr1', 'Ppp3ca', 'Homer1', 'Chn1', 'Scn1b', 'Atp1a1', 'Calm2', 'Enc1', 'Lamp5', 'Prkcb', 'Calm1', 'Mef2c', 'Satb2', 'Camk2a', 'Arpp19', 'Psd', 'Ppp3r1', 'Ier5', 'Efhd2', 'Tspan7', 'Kalrn', 'Slc17a7', 'Osbpl1a', 'Syt1', 'Itpr1', 'Stx1a', 'Lmo4', 'Fbxl16', 'Mical2', 'Sptbn2', 'Vsnl1', 'Cyfip2', 'Cabp1', 'Dlgap1', 'Fam81a', 'Pip5k1c', '3110035E14Rik', 'Ctxn1', 'Plcb1', 'Dclk1', 'Sipa1l1', 'Fmnl1', 'Mpped1', 'Fam131a', 'Phactr1', 'Tbr1', '1700020I14Rik', 'Tcf4', 'Zfp365', 'Foxg1', 'Tmsb4x', 'Zbtb18', 'Arc', 'Arf3', 'Kcnb1', 'Ptk2b', 'Ngef', 'Camk4', 'Epop', 'Rbfox1', '9130024F11Rik', 'Fam212b', 'Rbfox3', 'Hivep2', 'Camkk2']"
2,46,"['Sparc', 'Slc6a11', 'Slc17a6', 'Tcf7l2', 'Agt', 'Prkcd', 'Mbp', 'Apoe', 'Zic1', 'Shox2', 'Mobp', 'Ubb', 'Hspa8', 'Pcp4', 'Nefh', 'Selenop', 'Sparcl1', 'Plp1', 'Cpe', 'Adarb1', 'Tnnt1', 'Scd2', 'Apod', 'Ramp3', 'Abat', 'Ubc', 'Amotl1', 'Ntng1', 'Plcb4', 'Ccdc136', 'Plekhb1', 'Qdpr', 'Rora', 'Serpine2', 'Aldh1a1', 'Vav3', 'Ldhb', 'Lef1', 'Plekhg1', 'Zfhx3', 'Itih3', 'Spock3', 'Aldoc', 'Ptpn4', 'Ermn', 'Grm1']"
3,50,"['Olfm1', 'Nov', 'Nptxr', 'Gda', 'Hpcal4', 'Arpp21', 'Gpm6a', 'Baiap2', 'Celf4', 'Ptn', 'Atp2b4', 'Ncald', 'Gria2', 'Mapk1', 'Sorbs2', 'Syn2', 'Ids', 'Map2', 'Sv2b', 'Grm5', 'Nsg2', 'Lmo3', 'Pkia', 'Snca', 'Rasgef1a', 'Negr1', 'Fam19a1', 'Ttc9b', 'Pde1a', 'Marcks', 'Gpr88', 'Filip1', 'Arhgap33', 'Slc1a3', 'Cadm1', 'Psd3', 'Ak5', 'Myo5b', 'Meis2', 'Dgkb', 'Wfs1', 'Map2k1', 'Napb', 'Plxnd1', 'Neurl1a', 'Gpr83', 'Plppr4', 'Gucy1a3', 'Akap5', 'Anks1b']"
4,60,"['Gm29216', 'Gm13340', 'Mt3', 'Fth1', 'mt-Tm', 'Gm10925', 'mt-Tf', 'Cplx1', 'Mt1', 'Slc24a2', 'Gm13339', 'Aldoa', 'mt-Co1', 'Eef1a2', 'Atp2a2', 'mt-Atp6', 'Cox6a1', 'Cox8a', 'Cox6c', 'Scrt1', 'Pcsk1n', 'Nat8l', 'Snrpn', 'Rcan2', 'mt-Tv', 'Glul', 'mt-Tp', 'Gm28661', 'mt-Ti', 'Sema7a', 'Chchd10', 'mt-Tl1', 'Sncb', 'Mt2', 'mt-Nd1', 'Rims3', 'Cntnap1', 'Kcnab2', 'Tcf25', 'Pdp1', 'Cxx1a', 'mt-Nd4', 'Peg13', 'Fth-ps3', 'Pou3f1', 'Gm5514', 'Scg5', 'AI593442', 'Gm12184', 'Spock1', 'Gm8326', 'Nrep', 'Atp1b1', 'Rph3a', 'Fbxo2', 'Mdh1', 'Got1', 'Ndufa4', 'Gng3', 'Gm43743']"
5,16,"['Qk', 'Ndrg2', 'Cnp', 'Gprc5b', 'Atp1b2', 'Gatm', 'Edil3', 'Bcas1', 'Synpo2', 'Kndc1', 'Trf', 'Patj', 'Ckmt1', 'Atp1a2', 'Rgs16', 'Elmo1']"
6,15,"['Gm26035', 'Gm24447', 'Lingo1', 'Nlk', 'Gm23624', 'Basp1', 'Id2', 'Kcnh7', 'Ephx4', 'Mal2', 'Gm11549', 'Rnu5g', 'Dgkz', 'Cckbr', 'Dkk3']"
7,33,"['Cck', 'Adcy1', 'Atp2b2', 'Dnm1', 'Calm3', 'Mgll', '1110008P14Rik', 'Hpca', 'Camk2g', 'Gabra1', 'Ppp1r9b', 'Actb', 'Bhlhe40', 'Atp2b1', 'Igfbp4', 'Camta2', 'Stac2', 'Diras2', 'Anxa11', 'Epn1', 'Sort1', 'Cacnb4', 'Mlip', 'Prickle1', 'Napa', 'Cdr1', 'Fscn1', 'Ly6e', 'Dusp3', 'Dnajc21', 'Mapk10', 'Efr3a', 'Fam107a']"
8,36,"['mt-Rnr2', 'Lypd1', 'Ahi1', 'Gm20594', 'Zcchc12', 'mt-Rnr1', 'Pgrmc1', 'Ift46', 'Nr2f2', 'Camk2d', 'Hpcal1', 'Gm26917', 'Nnat', 'Trhr', 'Gap43', 'Acvr2a', 'Gm42418', 'Gpr101', 'Hap1', 'Ly6h', 'Lbx1', 'Gm42959', 'Pcdh17', 'Unc13c', 'Mir6236', 'Timp2', 'Efnb3', 'Gabrg1', 'Calb1', 'Cartpt', 'Runx1', 'Tenm1', 'Gm20732', 'Klhl35', 'Arhgap6', 'Dner']"
9,36,"['Tubb4a', 'Cldn11', 'Hsp90aa1', 'Cryab', 'Tmsb10', 'Sept4', 'Atp5a1', 'Fndc5', 'Ndufa3', 'Il1rap', 'Ppp1r14a', 'Rap1gds1', 'Lamp1', 'Pink1', 'Cox7b', 'Pitpnc1', 'Bok', 'Csrp1', 'Cxx1b', 'Htra1', 'Gm1821', 'Litaf', 'Cit', 'Eef2', 'Sez6l2', 'Aplp2', 'Zfp385a', 'Kif1a', 'Ndufv3', 'Fth-ps2', 'Laptm4b', 'Hcn2', 'Paqr8', 'Gm43398', 'Gm8797', 'Vipr2']"
10,101,"['Supt7l', 'Sez6', 'Malat1', 'Lrrc17', 'Aplp1', 'Kif5a', 'Pip5k1a', '2810433D01Rik', 'Syn1', 'Stxbp1', 'Prdx6', 'mt-Ta', 'Ptms', 'Map1a', 'Syne1', 'Sh3gl2', 'Rab6b', 'Scg3', 'Rasgrp1', 'Ypel3', 'Ezr', 'Ywhaz', 'Rab11b', 'Dlgap3', 'Cfl1', 'Ptprd', 'mt-Tn', 'Syngr1', 'Asna1', 'Rab7', 'Inf2', 'Syp', 'Pacsin1', 'Sh3bgrl3', 'Tppp', 'Zbtb7a', 'Myh9', 'Mlf2', 'Sept7', 'Ap2m1', 'Snph', 'Scn8a', 'Gm15590', 'Rnf187', 'Serinc2', 'Smarcc2', 'Gpm6b', 'Maz', 'Atp6v0a1', 'Ube2m', 'Zfp207', 'Psmc3', 'Pde4a', 'Map1lc3b', 'Hivep1', 'Gsk3a', 'Atxn1', 'Adap1', 'Vegfb', 'Brsk1', 'Acadl', 'Pdap1', 'Ubald1', 'Scaf1', 'Gabbr1', 'Mbnl2', 'Map6d1', 'Zfp91', 'Cdk16', 'Lasp1', 'Prrt1', 'Kctd13', 'Lrrc75a', 'Zfp628', 'Ap2b1', 'Wdtc1', 'Psme3', 'Cdkl5', 'Sf3b1', 'Gm20878', 'RP23-55G19.3', 'Eno2', 'Trhde', 'Sra1', 'Midn', 'Pcdh1', 'Incenp', 'Cdk2ap1', 'Gsr', 'Gls', 'Erdr1', 'Psenen', 'Vmp1', 'Fut9', 'Spryd4', 'Trim9', 'Hnrnpul2', 'Gm2415', 'Wdr47', 'Pdik1l', 'Vps52']"
