,col,#genes,genes
0,V1,60,"['Gene8154', 'Gene7973', 'Gene4141', 'Gene7865', 'Gene1636', 'Gene1710', 'Gene9563', 'Gene2535', 'Gene3697', 'Gene5698', 'Gene2350', 'Gene6871', 'Gene7206', 'Gene6868', 'Gene4478', 'Gene5161', 'Gene3974', 'Gene857', 'Gene1612', 'Gene8764', 'Gene9896', 'Gene4256', 'Gene2927', 'Gene5397', 'Gene690', 'Gene3577', 'Gene6998', 'Gene5702', 'Gene4446', 'Gene7513', 'Gene9211', 'Gene6886', 'Gene7862', 'Gene8981', 'Gene984', 'Gene4341', 'Gene8929', 'Gene5937', 'Gene5258', 'Gene6798', 'Gene6647', 'Gene3262', 'Gene7839', 'Gene5253', 'Gene9102', 'Gene5163', 'Gene2030', 'Gene1022', 'Gene2368', 'Gene5391', 'Gene9829', 'Gene5157', 'Gene4625', 'Gene8281', 'Gene4965', 'Gene2077', 'Gene358', 'Gene1591', 'Gene4442', 'Gene7671']"
1,V10,52,"['Gene6316', 'Gene6535', 'Gene6456', 'Gene9491', 'Gene8383', 'Gene8989', 'Gene3143', 'Gene5113', 'Gene6778', 'Gene8126', 'Gene5006', 'Gene3142', 'Gene2890', 'Gene2184', 'Gene6969', 'Gene6951', 'Gene7057', 'Gene8790', 'Gene8638', 'Gene762', 'Gene9709', 'Gene667', 'Gene6071', 'Gene9001', 'Gene7832', 'Gene116', 'Gene3304', 'Gene5860', 'Gene3098', 'Gene9727', 'Gene8309', 'Gene610', 'Gene1330', 'Gene4599', 'Gene7240', 'Gene8609', 'Gene2249', 'Gene1203', 'Gene273', 'Gene2057', 'Gene3354', 'Gene1801', 'Gene1897', 'Gene3400', 'Gene8528', 'Gene6250', 'Gene108', 'Gene4359', 'Gene5820', 'Gene6527', 'Gene267', 'Gene2189']"
2,V11,79,"['Gene5233', 'Gene6329', 'Gene341', 'Gene2580', 'Gene4379', 'Gene9128', 'Gene2417', 'Gene5380', 'Gene5188', 'Gene8278', 'Gene8427', 'Gene4750', 'Gene1714', 'Gene1224', 'Gene4201', 'Gene7964', 'Gene4589', 'Gene2107', 'Gene1007', 'Gene6001', 'Gene3335', 'Gene8767', 'Gene123', 'Gene2467', 'Gene5641', 'Gene4638', 'Gene8064', 'Gene6728', 'Gene6040', 'Gene6841', 'Gene8912', 'Gene535', 'Gene3580', 'Gene8958', 'Gene4647', 'Gene3051', 'Gene840', 'Gene3783', 'Gene1609', 'Gene9015', 'Gene2865', 'Gene992', 'Gene9081', 'Gene5703', 'Gene3077', 'Gene4831', 'Gene2814', 'Gene7147', 'Gene5232', 'Gene6458', 'Gene3594', 'Gene6420', 'Gene1839', 'Gene4208', 'Gene9496', 'Gene2581', 'Gene2372', 'Gene136', 'Gene5074', 'Gene6554', 'Gene5882', 'Gene3494', 'Gene1985', 'Gene7733', 'Gene4328', 'Gene9427', 'Gene2050', 'Gene2556', 'Gene4872', 'Gene1211', 'Gene4216', 'Gene5247', 'Gene6770', 'Gene9962', 'Gene5080', 'Gene5909', 'Gene1691', 'Gene5873', 'Gene4793']"
3,V13,30,"['Gene9347', 'Gene6874', 'Gene640', 'Gene5186', 'Gene9907', 'Gene2832', 'Gene1279', 'Gene9191', 'Gene5218', 'Gene8693', 'Gene5929', 'Gene9578', 'Gene8993', 'Gene5758', 'Gene7844', 'Gene7408', 'Gene2383', 'Gene3172', 'Gene7802', 'Gene5011', 'Gene2384', 'Gene9843', 'Gene6005', 'Gene1457', 'Gene9528', 'Gene5478', 'Gene8084', 'Gene3533', 'Gene7892', 'Gene7424']"
4,V14,47,"['Gene191', 'Gene2883', 'Gene6810', 'Gene3205', 'Gene2198', 'Gene4339', 'Gene6813', 'Gene7026', 'Gene5856', 'Gene2022', 'Gene8349', 'Gene7306', 'Gene716', 'Gene2185', 'Gene1209', 'Gene5709', 'Gene4538', 'Gene7969', 'Gene8430', 'Gene7808', 'Gene5936', 'Gene4698', 'Gene3309', 'Gene9306', 'Gene767', 'Gene9033', 'Gene1835', 'Gene1929', 'Gene8555', 'Gene7917', 'Gene3283', 'Gene1794', 'Gene7144', 'Gene5868', 'Gene8607', 'Gene873', 'Gene537', 'Gene3625', 'Gene8163', 'Gene5999', 'Gene197', 'Gene1852', 'Gene7753', 'Gene5444', 'Gene3251', 'Gene1904', 'Gene5908']"
5,V15,21,"['Gene9755', 'Gene8972', 'Gene140', 'Gene5546', 'Gene3420', 'Gene1388', 'Gene2516', 'Gene2232', 'Gene9332', 'Gene9877', 'Gene1779', 'Gene564', 'Gene8055', 'Gene1378', 'Gene7800', 'Gene1188', 'Gene6186', 'Gene1284', 'Gene5182', 'Gene8036', 'Gene6599']"
6,V16,64,"['Gene6128', 'Gene230', 'Gene1968', 'Gene9780', 'Gene7613', 'Gene7309', 'Gene3973', 'Gene8723', 'Gene9370', 'Gene6838', 'Gene1931', 'Gene1870', 'Gene4990', 'Gene2297', 'Gene1445', 'Gene8777', 'Gene4103', 'Gene1156', 'Gene7847', 'Gene2203', 'Gene5657', 'Gene2737', 'Gene7247', 'Gene3655', 'Gene1711', 'Gene3921', 'Gene3776', 'Gene7185', 'Gene3401', 'Gene2140', 'Gene950', 'Gene543', 'Gene410', 'Gene7714', 'Gene1539', 'Gene9026', 'Gene3944', 'Gene1786', 'Gene8766', 'Gene9963', 'Gene4369', 'Gene7069', 'Gene9011', 'Gene7231', 'Gene217', 'Gene8100', 'Gene1950', 'Gene9225', 'Gene6383', 'Gene6583', 'Gene154', 'Gene4397', 'Gene1988', 'Gene2348', 'Gene8032', 'Gene8881', 'Gene7572', 'Gene5695', 'Gene8125', 'Gene1327', 'Gene1939', 'Gene4360', 'Gene7948', 'Gene1154']"
7,V17,24,"['Gene3311', 'Gene7307', 'Gene870', 'Gene3967', 'Gene6539', 'Gene2069', 'Gene3314', 'Gene5806', 'Gene7080', 'Gene8567', 'Gene3954', 'Gene3990', 'Gene7694', 'Gene8702', 'Gene6908', 'Gene8075', 'Gene2256', 'Gene2944', 'Gene3644', 'Gene135', 'Gene1482', 'Gene9777', 'Gene4711', 'Gene8974']"
8,V19,42,"['Gene1818', 'Gene8424', 'Gene8571', 'Gene9478', 'Gene1075', 'Gene1403', 'Gene7194', 'Gene6084', 'Gene1043', 'Gene3894', 'Gene2699', 'Gene5560', 'Gene7501', 'Gene3228', 'Gene7431', 'Gene4007', 'Gene5085', 'Gene7826', 'Gene1862', 'Gene9712', 'Gene7527', 'Gene6320', 'Gene1706', 'Gene9438', 'Gene2675', 'Gene2279', 'Gene9395', 'Gene3249', 'Gene8737', 'Gene5109', 'Gene8295', 'Gene9723', 'Gene3758', 'Gene3248', 'Gene1474', 'Gene8643', 'Gene7257', 'Gene9512', 'Gene9585', 'Gene1574', 'Gene8504', 'Gene5693']"
9,V2,103,"['Gene7350', 'Gene7754', 'Gene8360', 'Gene8350', 'Gene4149', 'Gene8789', 'Gene8000', 'Gene6862', 'Gene2854', 'Gene8141', 'Gene4759', 'Gene1380', 'Gene7893', 'Gene6858', 'Gene1214', 'Gene7876', 'Gene2790', 'Gene2566', 'Gene5723', 'Gene1092', 'Gene9601', 'Gene9483', 'Gene5924', 'Gene4993', 'Gene8984', 'Gene644', 'Gene6695', 'Gene4299', 'Gene8949', 'Gene9971', 'Gene2133', 'Gene2304', 'Gene8816', 'Gene919', 'Gene6769', 'Gene4931', 'Gene6292', 'Gene7607', 'Gene661', 'Gene4163', 'Gene4093', 'Gene7932', 'Gene4118', 'Gene5551', 'Gene886', 'Gene8291', 'Gene2569', 'Gene6475', 'Gene4984', 'Gene5015', 'Gene8155', 'Gene4520', 'Gene2906', 'Gene8743', 'Gene3742', 'Gene7232', 'Gene495', 'Gene6422', 'Gene6773', 'Gene2397', 'Gene5808', 'Gene8831', 'Gene590', 'Gene7886', 'Gene7238', 'Gene4547', 'Gene8601', 'Gene3484', 'Gene8192', 'Gene8802', 'Gene8445', 'Gene7834', 'Gene4061', 'Gene9422', 'Gene4110', 'Gene604', 'Gene3747', 'Gene2391', 'Gene5609', 'Gene5816', 'Gene1883', 'Gene3461', 'Gene6940', 'Gene9584', 'Gene2559', 'Gene3001', 'Gene5538', 'Gene2595', 'Gene5770', 'Gene1369', 'Gene3046', 'Gene4372', 'Gene2720', 'Gene4941', 'Gene6613', 'Gene7374', 'Gene6958', 'Gene7593', 'Gene5312', 'Gene5048', 'Gene1682', 'Gene2816', 'Gene2284']"
