genes_number,genes_names
532,Sparc Slc6a11 mt-Tm mt-Tl1 Scd2 Sparcl1 Nap1l5 Ndrg2 mt-Tv Resp18 Aldoc mt-Tl2 mt-Nd4 Ndn Apoe Gap43 mt-Cytb Slc17a6 mt-Tf Clu Zwint Zcchc12 Gm29216 Tcf7l2 Ahi1 mt-Tn Glul mt-Ta Mbp Gm10925 Map2 Hap1 Wdr6 Gm28437 Selenop Pcsk1n Hpcal1 Marcks Cd81 mt-Nd5 Camk2d Mt1 Agt mt-Nd3 Calb2 Prkacb Ids Scg2 mt-Th Peg3 mt-Tw mt-Nd1 Rps21 Rplp1 mt-Nd2 Gm6272 Slc1a3 Gprasp2 Timp2 Nov mt-Ti Celf4 mt-Tc Sez6 Gprasp1 mt-Rnr1 Gm28661 Pea15a mt-Rnr2 Gm13340 Cst3 Chchd2 Qk Dzank1 Impact Ctnnb1 Cplx1 Slc6a1 Tuba1a Sptbn1 Gm11410 Serpine2 Rpl38 Mobp Oaz1 Cadm1 Gaa Itih3 Nnat mt-Tq Tspyl4 Rit2 Cxx1a Plekhb1 Gm28438 Ttc3 Rps15 Camk2n2 Plp1 Negr1 Abat Syt4 Pcp4 Tubb2a Nsg2 Tspan3 Rpl22l1 Atp1a2 mt-Co1 Rcn2 mt-Te mt-Tp Tmsb10 AW551984 Maged1 Atp1b2 Rpl38-ps2 Dner Nr2f2 Gnas 6330403K07Rik Gm13341 Rpl41 Bex2 Nrsn2 Prkcd Fam213a Canx Rpl37a Dpysl2 Kcnj10 Glud1 Lrrc17 Arxes2 Cntn1 Supt7l Polr2m Ly6h Rps24 Cldn11 Ttyh1 Pnmal2 Prkar1a Rpl31 Zcchc18 Hlf Qdpr Gm10076 Meg3 Plpp3 Ntrk2 mt-Co2 Rpl27a Gm10073 Bex1 Rpl32 Hsp90aa1 Gnai2 Tmem130 Ctsb Baiap3 Rps28 Ncam1 Cox6c Cbln2 Efnb3 Rps20 mt-Nd4l Slc22a17 Gstm1 Sod1 Marcksl1 Ptprz1 Tmem30a Slc25a3 A730017C20Rik Rps19 Pdp1 Ramp3 Fth1 Mdh1 Calb1 Zfp423 mt-Ts2 Stmn2 mt-Tt Scd1 Lypd1 Plekhb2 Rps27 Saraf Gm5963 Ubc Scoc Rpl26 Pgrmc1 Rnf11 Cox7a2 Hmgcs1 Rps29 Tmem255a Rpl37 Bex3 Tprgl Map1b Gja1 Pdha1 Adarb1 Mboat7 Igsf1 Eef2 Shox2 Cdc42 Apod B630019K06Rik Alcam Slc4a4 Evl Rpl39-ps Vstm2l Gm4149 Rgs4 2900052N01Rik G3bp2 Hint1 Acvr2a Gm14303 Ddah1 Uchl1 Rpl10 Cbln4 Cox6a1 Nedd4 Ubqln2 Trf Ptpn4 Rpl8 Spock2 Gm11942 Smarca2 Luzp2 Sdc3 Ndufa3 Lsamp Lamp1 Edil3 Eef1a1 Cbarp Hnrnpk Cox7c Nisch mt-Tr Cox6b1 Eif4a2 Fhl1 Rps14 Gabra3 Chchd10 Cxx1b Pja1 Rps3 Rpl35 2810433D01Rik Tmx4 Rpl4 Syt5 Pam Syngr3 Tceal9 Olig1 Rpl11 Cox4i1 Cox7b Kif15 Gm15421 Adar Rpl3 Rac1 Phyhipl Rps25 Tuba1b Reep5 Mif Lonrf2 Ddx5 Grin3a Dnm3 Cnp Prdx1 Gstm5 Rack1 Dbi Gdi1 2010107E04Rik Acsbg1 Gas5 Gpx3 Pitx2 Sec62 Usp22 Amotl1 Unc13c Cacna2d1 Tubb5 Atp5g3 Araf Tmem47 Dcaf12l1 H3f3b Rpl37rt Rpl39 Gabarap Gm11512 Ccdc136 Ube2e3 Mapk3 Sesn3 Pkia Ldhb Rps8 Hacd3 Sdha Mtss1l Gm11478 Elavl2 Rab3c Bsg Hspa5 Dynll2 Plcxd2 Atp5b Arl6ip1 Rora Rpl36 Tagln3 Rps17 Fxyd6 Hnrnpa2b1 Rps12 Atp5k Necap1 Rnd2 Kcnc4 Fgf13 Hdac11 Sv2a Mal Pip5k1a Rps11 Snhg11 Rasgrf2 Pcbp2 Grb10 Gm10269 Rps10 Macf1 Ahcyl1 Adcyap1 Purb Spint2 Plcb4 Car2 Uqcrq Hprt Ntng1 Pnck Gm10126 B2m Kif5b Vat1l Ndufc1 Rpl36a 2900011O08Rik Tmem229a Rab1a Gm20594 Gm3511 Tmem59 Pla2g7 Srp14 Syt17 Ran Rps23 Nat8l Gm15427 Abhd8 Pnmal1 Mt2 Cd200 Ndufa12 Sash1 Rplp2 Rpl14 Enah Bend6 Rims3 Podxl2 Usmg5 Rpl38-ps1 Paqr8 Plxnc1 Ndufb8 Spag9 Vamp1 Hs6st2 Usp29 Calr Bri3bp Dennd5a Ndufv3 Hnrnpa0 Rprm Prmt2 Rpl23 Ctbp1 Prdx2 Rgs17 Ptbp2 Gabarapl2 Cct6a Ralyl Rps26 Rnf14 Rps15a Epm2aip1 Magee1 Etnppl Gpr37l1 Cacybp Gad1 Ttll7 Stx7 Atp5f1 Chl1 Atp5j2 Pgk1 Tm9sf3 Laptm4a Rps5 Disp2 Nrxn3 Hsp90b1 Ube3a Eif4g2 Bnip3l Mff Mlc1 Slc25a5 Pak3 Sirt2 Tmcc2 Fads1 Cntnap1 Acsl3 Rcan2 Tmod2 Fem1b Ndufv2 Dcaf7 Wrb Gm9843 S100a1 Ghitm Copg1 Capns1 Uhmk1 Xiap Fndc3a 2210013O21Rik Tspyl1 Cmtm4 Cbln1 Ckmt1 Rpl7 Fnbp1l Zic1 Ndufc2 Rab11a Kitl Pfdn5 Slc25a18 Rps9 Rps6-ps1 Nedd8 Spcs1 Gm19366 Son Slc9a3r1 Gm14586 Anxa5 Ap1s2 Prkaca Mtch1 Sqstm1 Sgsm1 Gm12338 Oat Uqcr10 Gm8172 Gabbr2 Scrt1 Ube2b Dazap2 Rn7s1 Gprc5b Wdr89 Doc2b Rpl6 Cox5b Rab21 Malat1 Atp5o Cdh13 Rps27rt Acly Tpi1 Atp8a1 Tubb2b Tnnt1 Gsta4 Nenf Timp3 Ckb Fbxo3 Fam19a5 Gm26461 Rabac1 Unc5d Pcdh7 Tshz2 Nova1 March6
241,Camk2a Mef2c Camk2n1 Gda Ddn Hpcal4 Nptxr Ptn Atp1a1 Zfp365 Cck Olfm1 Slc17a7 Nrgn Gpm6a Psd Arf3 Atp2b4 Arpp21 Arpp19 Fbxl16 Dlgap3 Pld3 Stx1a Slc30a3 Cbx6 Ttc9b Lingo1 Sptbn2 Homer1 Clstn1 Atp2b2 Calm1 Mapk1 Sv2b Egr1 mt-Atp8 Enc1 Icam5 1110008P14Rik Nsmf Lamp5 Rab6b Ctxn1 Adcy1 Fam81a Rasgef1a Cacng3 Osbpl1a Psd3 Cplx2 Syt1 Agap2 Camkk2 3110035E14Rik Arhgap32 Ngef Prkcb Kalrn Calm2 Chn1 Phactr1 Mpped1 Baiap2 Pde1a R3hdm1 Kcnf1 Neurl1a Itpr1 Tcf4 Lmo3 Pip5k1c Cyfip2 Dgkz Cdk5r2 Dlgap1 Foxg1 Camk4 Celf2 Sptan1 Sipa1l1 Actb Epop Epn1 Sorbs2 Gm26035 Sowaha Ppp3ca Gria3 Cx3cl1 Phf24 Arhgap33 Cabp1 Prkce Satb2 Gas7 Nrxn2 Vamp2 Celf5 Sept8 Lmo4 Nptn Eef1a2 Mtpn Ndrg4 Slc39a10 Gm24447 Cobl Dlg4 Mkl2 Plcb1 Nlk mt-Nd6 Nrn1 Plppr4 Diras2 Bhlhe22 Stum Chst1 Sirpa Kcnv1 Slc6a17 Thy1 Arc Gpr88 Fam49a Cacnb3 Fam171b Mink1 Ncald Ier5 Snca Wsb2 Ntm Ppp3r1 C1qtnf4 Ptms C2cd2l Ptprn Mfge8 AI593442 Dbpht2 Scn2a Gria2 Lrrc4c Kcnj4 Ppp2r2c Camta2 Kif5c Ppp3cb Ndrg3 D430041D05Rik Itpka Tmem132a Ipcef1 Tbr1 Dkk3 Phyhip 1700020I14Rik Fbxw7 Rbfox3 Ensa Syt16 Erc2 Gprin1 Car10 Gm23624 Dusp14 Srgap3 Camkv Smim13 Kcnb1 Nptx1 D430019H16Rik Wasf1 Fam131a R3hdm4 Rab40b Grin2b Cdk17 Igfbp4 Nfib Fam19a1 Mal2 Strn4 Gabrb3 Mical2 Nr4a1 Pgbd5 Mtfp1 Kifc2 Scn1b Crym Dlg2 Nrcam Opcml Mast3 Fxyd7 Shank1 Fam3c Snph Hrk Fam163b Selenow Ski Cnksr2 Tmsb4x Git1 Kcnh7 Mgll Syt7 Ppp1ca Dlgap4 Ak5 Cacnb4 Slc25a23 2010300C02Rik Hspa12a Plk2 Khdrbs3 Mmd Fmnl1 Rnu5g Brinp1 Chrm1 Mmp17 Eif4g3 Cadm3 Ptprs Apbb1 Ppp1r1b Palm Ptk2b Kcnab2 Ppp2r2b Pdcd4 Gria1 Asap1 Ap1s1 Plxnd1 S100a10
227,Slc1a2 Gm13339 Tspan7 Aplp1 mt-Co3 Stxbp1 Stmn1 Cpe mt-Atp6 Gng3 Rtn1 Thra Prkar1b Gpm6b Sncb Ywhag Ubb Syn1 Kif1a Pgm2l1 Kif1b Kif5a Dclk1 Ywhaz Atp5a1 Basp1 Vsnl1 Snap25 Slc12a5 Psap Efhd2 Klc1 Scg5 Slc25a4 Hsbp1 Map1lc3b Ldha Pak1 Rtn3 Cspg5 Skp1a Rab2a Nrxn1 Tcf25 Atp6ap2 Snx10 Gnao1 Serpini1 Crip2 Syngr1 Ywhah Cfl1 Atp6v1d Spred1 Cox8a Cdk5r1 Serinc1 Cyp46a1 Prnp Jph4 Ywhab Fkbp1a Gabrg2 Map1a Ywhae Nrsn1 Atp2a2 Syn2 Snap91 Tsc22d1 Tusc3 Gabra1 Atp6v1b2 Scg3 App Ppp1r9b Olfm2 Stx1b Dynlrb1 Apc Serinc3 Rps13 Nr2f1 Napb Stmn3 Trim9 Gdi2 Astn1 Pja2 Ube2ql1 Ptprd Pink1 Syp Myl12b Atp1b1 Gabbr1 Gm7808 Mapre2 Tuba4a Gnb1 Tecr Mapk10 Hk1 Aldoa Atp6v1g2 Pfn2 Add1 Ank2 Dmtn Nme1 Dmwd Mllt11 Cltc Zfr Dnajc5 Nap1l1 Actg1 Epb41l1 Ap2m1 Cep170b Emc10 Atpif1 Pfkp Atxn10 Rab6a Clta Spock1 Snap47 Sept7 Sub1 Rnf187 Itm2b Id2 Mdh2 Vapa Bsn Aplp2 Rtn4 Itm2c Atp6v1a Tmem59l Ppp2ca Tanc2 Gabarapl1 Pbx1 Hnrnpu Dnm1 Wbp2 Gpd2 Myo5a Map2k1 Calm3 Rbfox2 Matr3 Ociad1 Synj1 Ywhaq Vgf Pebp1 Atp5d Cdk14 Ndufa4 Rapgef4 Amph Oxr1 Camk2g Pafah1b1 Fam168b Fam107a Trim2 Rusc1 Gm11273 Atp6v1e1 Brk1 Sh3gl2 Clcn4 Gm11808 Pacsin1 Smim10l1 Dact3 Myt1l Hsph1 Ppp1cb Slc4a10 Prdx6 Arf1 Atp6v1c1 Pkm Eno2 Rab7 Eif4h Tceal5 Tomm20 Ncoa1 Clip3 Mbnl2 Pafah1b2 Srebf2 Pdhb Ptpra Mgea5 Dnaja1 Rasgrf1 Fez1 Kpna1 Rph3a Chd3os Grk3 Atp6v1f Hspa8 Fut9 Gm14539 Snrpn Uba1 Ppp1r9a Dusp3 Bzw1 Ttn Kpna4 Zmiz2 Reps2 Serbp1 Tom1l2 Caln1 Eif5a Glrb Swi5
