"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","405","down","154","Malat1, Gm28661, Gm42418, Gm13341, Gm26917, mt-Nd3, mt-Co2, mt-Nd1, Gm28438, Olfm1, Lars2, Gm26035, Mir6236, Rn18s-rs5, mt-Atp8, Gm24447, Mir6240, Ppp3ca, mt-Nd6, Rps26, Gpm6a, Gm10076, Enc1, Atp1b1, Rnu2-10, Gm23624, Ndrg4, Kif5b, Gm25106, Rgs7bp, Gm15564, Hpca, Tmem30a, Nsg2, Apc, Fam212a, Rps21, Rcan3, Pura, Slc1a2, Tspan13, Kazald1, Mpc2, Rps8, Fbn1, Ptgds, Vsnl1, Efhd2, Lbx1, Syt1, Fau, Qk, Gm12346, Ndrg3, Ywhab, Gm12155, Hnrnpa0, Sept5, Gm9843, Map2, Gm24245, Rps16-ps2, Nrn1, Ndfip2, Gabra1, Zbtb20, Serpini1, Gm26723, Nptn, Egr1, Aplp1, Mrfap1, Chst1, Lingo1, Atp2b1, Arhgap5, Matr3, Gm26461, RP23-149L23.1, Clmn, Gabrb3, Rn7s1, Snhg14, Foxg1, Ndufa4, Atp5j, Atp5e, Slc6a1, Itm2c, Ap2a2, Hbb-bs, Slc22a17, Kcnip4, Ptk2b, Rpl35a, Phactr1, Rpl11, Luzp2, Elmod1, Macf1, Scn1b, Nap1l2, Gm8623, Junb, Dtx1, Nme7, Tmx4, Mal2, Arhgef4, Calm3, Aco2, Lamp5, Selenok, Cabp7, Srrm2, Gm5963, Scg2, Pcbp2, Scn1a, Wdr89, 1110008P14Rik, Mios, Tspyl1, Pcsk1n, Pld3, Ndufa6, Gnb2, Ndufa1, Npdc1, Gstm1, Gucy1b3, Ctsd, Tubb4a, Gabrg2, Tmem184c, Ntm, Atp1b2, Timm13, Slc46a3, Tmsb10, Hbb-bt, Ift46, Psma7, Sem1, Csrp1, Spcs2, Cryab, Kcnj3, Pi4ka, Tspan5, Gm43373, Gatm, Plp1, Slc6a11"
"2","1","229","up","5","Plp1, Mobp, Apod, Mal, Prkcd"
"3","1","229","down","371","Mbp, Sez6, Supt7l, Scd2, Fth1, Olfm1, Qdpr, Cnp, Plekhb1, Sparc, Gatm, Lrrc17, Gm29216, Qk, Slc6a11, Ndrg2, Cryab, Tubb4a, Car2, Cldn11, Ndrg1, Enc1, Csrp1, Atp1b2, Trf, Ermn, Atp1a2, Nrgn, Aldoc, S100b, Selenop, Gpm6a, Aplp1, Tspan2, Sept4, Camk2n1, Bcas1, Gda, Apoe, Il33, Gria2, Kcnj10, Sparcl1, Tcf7l2, mt-Rnr1, Olig1, Fnbp1, Rhog, mt-Tm, Psd, Baiap2, Ptk2b, Gm24447, Camk2a, Atp1a1, Rcan2, Tmem88b, Cd81, Nptx1, Myrf, Tmem229a, Amotl1, Ppp3ca, Mt1, Desi1, Mag, mt-Tv, Mef2c, Plekhg1, mt-Rnr2, Mt2, Zic1, Sirt2, Malat1, Egr1, Sv2b, Hsp90aa1, Clmn, Nptxr, Plekhh1, Zbtb18, S100a16, Gng11, 3110035E14Rik, Gpr37, Agt, Gm26035, Ppp1r14a, Gjb1, Sox2ot, Lamp1, Chn1, Litaf, Clic4, Spock3, Anln, Ppp3r1, Rnf13, Mog, Sox10, Cntn2, Pip4k2a, Pcsk1n, Secisbp2l, Pacs2, Mpped1, Fth-ps3, Serpinb1a, Glul, Slc6a9, Snca, Nacc2, Evi2a, Gm26461, Tmbim1, Homer1, Foxg1, 2010300C02Rik, Dync1li2, Ddn, Mt3, Edil3, Hcn2, Hpcal4, Plk2, Efhd2, Slc17a7, Aspa, Pip5k1a, Pmp22, Tmsb4x, Mmp17, Pla2g16, Scd1, Lef1, Ttyh2, Nov, Gm20594, Calm2, Elmo1, Icam5, Fam131a, Slc12a2, Epb41l3, Ttll7, mt-Atp8, Arpp21, Serpine2, Rora, Adarb1, Gfap, Ids, mt-Ta, Dbi, mt-Tf, Tmsb10, Dgkz, mt-Tl2, Tmcc3, Clu, Pkp4, Kndc1, Fa2h, Sez6l2, Zfhx3, Stmn4, Grin2a, Phlpp1, Ubc, Ntng1, Prdx6, Rgs16, Aldh1a1, Slain1, Ugt8a, Rgs8, Gstm1, Pcp4, Adipor2, Serpini1, Otud7b, Mid1ip1, Neat1, Slc44a1, Abca2, Tppp3, Psd3, Mapt, Fam81a, Pea15a, Synpo2, Gm23624, Ier5, Pllp, Ptma, Ccdc136, Cnksr2, Npc1, Chst1, Lingo1, Ankrd13a, Gnai2, Zfp365, Tmem30a, Ttc9b, Necab2, Gjc3, Gna12, Phldb1, Pld3, Vav3, Gucy1b3, Rn7s1, Sowaha, Rasgef1a, Arhgef10, Abat, Slc48a1, Erbin, Sipa1l1, Ift46, Nefh, Tbr1, Ephx4, Ccp110, Cplx2, Shox2, Nsg2, Cxx1a, Plcb4, Slc17a6, Tenm1, Fgf1, Crym, Elovl5, Ano3, Hpca, Plppr4, Kif3a, Dkk3, Ngef, Jam3, Efnb3, Cpox, Gabrb3, Sptbn2, Lpar1, Tcf4, 1810041L15Rik, Gnal, Inpp5a, Ctxn1, Pde1a, 5031439G07Rik, Pitpnc1, Ppp2r3a, Cdc37l1, Gpr22, Rhob, Dennd5a, Aplp2, Dnajb2, Endod1, Pcp4l1, Dst, Cit, Gprc5b, Grm1, Slc8a2, Sec11c, Tnnt1, Ramp3, Wnk1, Mmd, Wscd1, Mical2, Fbxw7, Neurod2, Sirpa, Celf5, Gabra5, Nrsn2, Rnf7, Macf1, Sptbn1, 1110008P14Rik, Rnd2, Kif1b, Myo6, R3hdm1, Cers2, Kalrn, Glo1, Gltp, Tacc1, Gpr37l1, Prkcb, Gria3, Hexb, Zmat4, Rock2, Bcan, Rab3c, Sash1, Ctss, Igfbp4, Cyfip2, Vamp1, Prr18, Stx1a, Id2, Spock2, Agap1, Nrip3, Dbn1, Cdc42bpa, Lamp5, Lrrc4c, Pcdh9, Wasf1, Slc4a4, Zbtb7a, Acsbg1, Nrn1, Tppp, Khdrbs3, Tusc3, Scrt1, Csdc2, C4b, Cend1, Etnppl, Tsc22d4, 2310022B05Rik, Ube2ql1, Sfxn5, Zcchc24, Sec62, Phyhip, Calb2, Glud1, Zbtb20, Unc13c, Ddah1, Kif5b, Gm42418, Cck, Hepacam, Prdx1, Ncald, Neurod6, Ndfip2, Cap2, Taldo1, Asrgl1, Cplx1, Kcnd2, Klhl2, Dixdc1, Zcchc12, Coro2b, Pdp1, Kcnc1, Rit2, Gm26917, Kitl, Kcnc2, Ptpn4, Nsmf, Gns, Ptpn3"
"4","2","171","up","10","Gm42418, Gm26917, Rn18s-rs5, mt-Rnr2, Lars2, mt-Rnr1, Mir6236, Ift46, Gm20594, Mir6240"
"5","2","171","down","1117","Gm29216, Gm10925, Gm28661, Gm28437, mt-Cytb, mt-Nd1, Fth1, Mbp, Gm13341, mt-Co1, mt-Co2, Atp1b1, Gm13340, mt-Nd2, Lbx1, Fam212a, mt-Nd4, Mobp, Supt7l, Sez6, Plp1, Gm15564, Fbn1, Ndrg4, App, Cst3, Kazald1, Rcan3, mt-Co3, Slc46a3, Gm24245, mt-Atp6, Atp5b, Snap25, Vsnl1, Cplx1, Cldn11, Ubb, Rtn4, Ywhah, Gnas, Atp2a2, mt-Nd3, Gm24270, Qdpr, Ywhab, mt-Tf, Pcp4, Mdh1, Tuba1a, Trf, Gabra1, Atp5a1, Ckb, Apod, Ppp3ca, Lrrc17, Sept5, Cox8a, Prkcd, Cpe, Pkm, Mal, Cck, mt-Tv, Itm2b, Plekhb1, Rtn3, Syt11, Slc25a4, mt-Tm, Ctsb, Mios, Gm28438, Cachd1, Scn1b, Hspa8, Gm23935, Cox6a1, Nap1l5, Dynll2, Gm7292, Glul, Nptn, Calm2, Gatm, mt-Tl2, Ndufa4, Rap1gds1, AA474408, Ldhb, Cox6c, Ywhag, Hsp90aa1, Map2, Gm11410, mt-Te, Eef1a2, RP23-269H21.1, Scrt1, Olig1, Malat1, Gabbr1, Tcf25, Syt1, mt-Ti, Ncdn, Dnm1, Hpca, Cycs, Tspan2, Cox4i1, Nefl, Rps21, Ndrg3, Glrb, Cd81, Ndrg1, Dpysl2, Nsf, Psap, Scd2, Gm25911, Aco2, Serinc1, Car2, Vamp2, Slc17a6, Arhgap27, Dgkb, Cox7b, Nsmf, Atp5f1, Trnp1, Stmn4, Stmn2, Cnp, Sez6l2, Faim2, Pink1, Bsg, Cox7c, Rims3, Tuba1b, Gm13339, Osbpl1a, Pdp1, Napa, Tpi1, Bin1, Atp5g3, Stmn1, Thy1, Sv2a, Chgb, Atp2b1, mt-Tl1, Kcnj10, Slc1a2, Cfl1, Epb41l3, mt-Tc, Ctsd, Actb, Rasgrp1, Ndufb9, Sparcl1, Tspan7, Mrfap1, Rpl38-ps2, Atp6ap2, Tspyl4, Gm8172, Ndufa6, Tubb4a, Rcan2, Idh3b, n-R5-8s1, Apc, Purb, Gnao1, Cox7a2, Mag, Rpl38, Ndrg2, Gpatch1, Scg2, Rps8, Hsp90ab1, Pip5k1a, Snrpn, Rufy3, Prkar1a, Tcf7l2, Gm11966, Slc25a5, Atp6v1e1, Sort1, mt-Ta, Clasp1, Eef2, Atp1a2, Ntng1, AI593442, Ndufc1, Basp1, Ndufa10, Slc6a1, Slc24a2, Eno2, Apbb1, Grin1, Scg5, Gnb2, Clstn1, Tmsb4x, Ywhaq, Eif4a2, Atp5j, Fau, Rpl37, Nat8l, Gm14539, Mdh2, Rps3a2, Cyc1, Gng3, Stmn3, Selenop, Gm11273, Atp5o, Eif4h, Uqcrc1, Tnrc6b, Cox5a, Aplp2, Ttll7, Nme7, Sncb, Mpc2, Hsph1, Ugt8a, Aldoa, Gm43743, Rab2a, Map4, Rnf187, Cryab, Efhd2, Atp5c1, Got1, Aldoc, Pitpna, Rps26, Sept8, Maged1, Tubb2a, Gdi1, Adcy1, mt-Tq, Kcnip4, Csde1, Gm11512, Kcnc1, Canx, Pebp1, Cxx1a, Aplp1, Gm8355, mt-Tp, Gabrg2, BC002163, Slc6a11, Pgk1, Rbfox1, Ankrd12, Apoe, Zwint, Atp5e, Hnrnpk, Elmod1, Syt13, Atp5k, Oxr1, Mt3, Pcsk1n, Sept4, Rpl8, Ptpn4, Sparc, Slc48a1, Snap47, Prnp, Rab6b, Ndufa3, Fam134a, Gm5575, Gm20721, Hspa9, Itm2c, Cend1, 1110008P14Rik, Ndufs6, Arhgef4, Tmx4, Dnaja1, Serinc3, Gm9843, Atp6v1b2, Slc22a17, Rps13, Rnf14, Gm5601, Atp6ap1, Abca2, Ubqln2, Scn1a, Cnbp, Pten, Ndufb8, Tmx2, Ociad1, Neurod6, Sqstm1, Ahcyl1, Eif1, Plcb4, Brinp1, Ramp3, Ndfip2, Vcp, Zic1, Ghitm, Ppp2ca, Ermn, Gabarapl1, Actg1, Map1b, mt-Tn, Bcas1, Gdi2, Ndufb2, Gm10073, Vamp1, Clip3, Rasgrf1, Kcnc2, Grina, Cox7a2l, Idh3a, Spock1, Rpl34, Rps27, Ndufs2, Atp2b2, Gm11478, Rps29, Uqcrq, Atp6v0d1, Chd3os, Rab6a, Chchd2, Rpl13-ps3, Hspa5, Rnf13, Gde1, Dync1i1, Scamp5, Mt1, Matr3, Gpi1, Vps8, Slain1, Vdac1, Scd1, Gpr37l1, Tuba4a, Gad1, Prex2, Ndufa13, Uchl1, Sema7a, Cox6b1, Gpr37, Pip4k2a, Selenok, Sdha, Rps6-ps1, Uqcrh, Ywhae, Sh3gl2, Arhgap5, Mpc1, Myl12b, Slc38a2, Rabac1, Cox5b, Ctnnb1, Gm12155, Lamp1, Clu, Serpini1, Hnrnpa3, Rhob, Rtn1, Lrrtm1, S100b, Gm7899, Klc1, Neat1, Rps28, Laptm4b, Sucla2, Git1, Chchd10, Rpl36a, Gm12338, Hint1, Aldh1a1, Nrsn1, Csrp1, Gm7589, Tubb3, Mff, Disp2, Gng11, Rps9, Rfx3, Pvalb, Slc25a3, Gm15772, Gm8326, Rac1, Olfm1, Ubc, Nrip3, Rps10, Nap1l2, Rpl11, Gm5963, Adarb1, Arpc1a, Syt7, Dlg2, Slc24a3, Rpl37rt, Nefh, Elavl2, Atp6v1c1, Aes, Cd47, Uqcr10, Dzank1, Rps17, Fkbp3, Lmbrd1, Prkcb, Pcsk2, Peg13, Tspan13, Fam49b, Gm11353, Cops9, Vdac2, Gm7808, Atp5j2, Desi1, Gm4750, Rpl6l, Laptm4a, mt-Tw, Gabra4, Gm9385, Ppp3r1, Edil3, Abat, Gpm6a, Tspan5, Gm10076, Rpl4, Mlf2, Oaz1, Nars, RP24-91J7.1, Ndufa11, Ndufa7, Tspyl1, Syngr1, Diras2, Npdc1, Zfp706, Fasn, Tspan3, Stxbp1, Acot7, Ift20, Mast3, Sptan1, Fez1, Acly, Slc20a1, Calr, Vgf, Ndufa2, Luzp2, Sirt2, Pfn2, Arl6ip1, Psmb5, Ndufa5, Gm14586, Atp5d, Cntn1, Prdx5, Nrn1, Pja2, Scoc, Gstm5, Nsg2, Cx3cl1, Tppp, Rpl28-ps3, Sec11c, Fa2h, Elavl3, Cntn2, Gm6061, Ndufb6, Gm5436, Atp5h, Pcbp2, Slc25a12, Dnaja2, Hnrnpa2b1, Elmo1, Ina, Mal2, Grm1, Dkk3, Rheb, Rnf220, Usmg5, Nme1, Gm5093, Rpsa, Rpl27a, Opcml, Mapk10, Rps7, Nudt4, Arl1, Rps3, Epha4, Sod1, Nmnat2, Nsg1, Nrgn, Camk2b, Egr1, Rpl13, Herpud1, Nefm, Kcnab1, Hnrnpa0, mt-Th, Arl3, Reep5, Gm10443, Tmem30a, Smim10l1, Gm5905, Kcnab2, Gorasp2, Lingo1, Coa3, Atp6v0a1, Selenom, Atp6v0b, Ppp2r1a, Rgs4, B4gat1, Atf4, Usp5, Galnt9, Mtch1, Pfdn5, Ly6e, Gas5, Rpl32, Mapk8ip1, Tmbim6, Dusp3, Gm13623, Ptpn3, Reep1, mt-Tt, Eif5a, Ndufv1, Sel1l, Epdr1, Cltc, Arpc2, Minos1, Hcn2, Rora, Map1lc3b, Lynx1, Spock3, Sipa1l1, Ndufc2, Tmsb10, Vapa, Kcnj3, Pllp, 2900011O08Rik, Snph, Rpl27, Plekhb2, Slc17a7, Lgi3, Gm26723, Abhd8, Pafah1b2, Timm22, Ppp1ca, Uqcc2, Sumo1, Ap2a2, Gna12, Camk2n2, BC031181, Ogfrl1, Reep2, Selenow, Rpl23, Fth-ps3, Rps27a, Khdrbs3, Map7d1, Dctn2, RP23-43M12.2, Gm12918, Uqcrc2, Gm11808, Rps25, Rab18, Prdx6, Ociad2, Dld, Atp5g1, Hspa12a, Akr1a1, Chst1, Bok, Gm9794, Trim2, Ndufb11, Mir703, Camk2g, Ptov1, Sept7, Atp2b4, Nckap1, Olfm3, Syt4, Emc4, Tprgl, Wdr89, Emc10, H3f3b, Gm14303, Ndn, Igip, Pls3, Snhg14, Atp6v1d, Rps16-ps2, Rpl18, Slc12a2, Tmem9b, Clcn4, Ap2m1, Rpl10, Kifap3, Atp6v1g2, Pkp4, Syn1, Dync1li2, Il33, Eef1g, Amfr, Cadm4, Prickle1, 6330403K07Rik, Prpf19, Ptprz1, Ttyh2, Snap91, Rpl5, Map1lc3a, Pmm1, Ywhaz, Fndc5, Pea15a, Mapre2, Hcfc1r1, Chmp4b, Wbp2, Gpr162, Dnajc15, Rell2, Fry, Phyh, Asap1, Trim35, Psma7, Rpl31, Fndc4, Impact, P4hb, Cxx1b, Spock2, Ndufv2, Shox2, Cyfip2, Evi2a, Rundc3a, Gm10053, Ctbp1, Rps10-ps2, Atp1b3, Capns1, Hbb-bs, Srp54b, C1qtnf4, Cct6a, Elob, Ubl5, Chn1, Saraf, Gm16286, Tmcc2, Rps18, Uqcr11, Camk2d, Rab7, Ndufa12, Pcbp1, Myrf, Tmem88b, Glyr1, Phf24, Stx12, Cltb, Rps4x, Gnl1, Txn1, Cpox, Dynlrb1, Sorl1, mt-Atp8, Pmch, Kcnd2, Uqcrb, Mllt11, Peg3, Gabarapl2, Zmiz2, Asns, Smpd1, Suclg1, Xbp1, Gm6394, Pak1, Ppp2r2a, Tmem151a, Timm8b, Ip6k1, Mapk8ip2, Epn1, Pex5l, Hnrnpu, Ndufab1, Actr3b, Npc1, Eif4g3, Ppm1e, Litaf, Vegfb, Lrp11, Psmb4, Dixdc1, BC005537, Slc38a1, Stx1b, Ap2a1, Stac2, Gm12481, Pja1, Fam20c, Ckmt1, Rpl30, Rgs16, Rnf11, Zfp180, Map7d2, Aatk, Ddb1, Strap, Ndufb10, Inpp5a, Pdhb, Ptprd, Gnai1, Ube2e1, Agap3, Nudt3, Kif3a, Cdc42, Rpn2, Fh1, Eif1b, Fam57b, Rpl3-ps1, Lmo4, Wscd1, Rpl18a, Eif3f, Ppp1cb, Phactr1, C1qbp, Adap1, Cops7a, Srpk2, Serbp1, Kif1a, Dlgap3, Prdx2, Rpl10a-ps1, Gabarap, Psat1, Degs1, Gps1, Cct8, Nenf, Gm7380, Cabp7, Scn8a, Gpx4, Dnajb6, Tmem147, Mog, Dnajb2, Paip2, Ndufb4, Negr1, Tmeff1, Sccpdh, Atp1b2, Cadps, Fnbp1, Ube2k, Adar, Hexb, Slc44a1, Adgra1, Slc1a1, Sypl, Gabbr2, Cacna1a, Tecr, Srp54a.1, Kcnk1, Mcts1, Rps11-ps2, Sptbn1, Magee1, Tagln3, Rangap1, Scn2a, St3gal5, Tsc22d4, Cxcl14, Psmc5, Map2k4, Rpsa-ps12, Atp6v0e2, Psmb6, Rps3a1, Gprc5b, Adora1, Ndufs7, Tomm40, Cnih1, Ccdc136, Ccl27a, Foxg1, Ank, Adprh, Pacs2, Slc25a46, Atxn10, Cdk16, Clic4, Mt2, Ptp4a1, Timm13, Wsb2, Jkamp, Rbx1, Pi4ka, Pfkl, Tsn, Vmp1, Sirt3, Tmem50b, B3gat3, Zeb2, Agpat3, Spcs2, Cct5, Cers2, Actr3, Clptm1, Enc1, Sik3, Mapk9, 2410015M20Rik, Slc25a11, Klc2, Mia3, Rack1, Cacnb4, Igsf8, Slc6a17, Cds2, Amd1, Syngr3, Gm12251, Cldnd1, Dirc2, Cap2, Ubald1, Grk2, Rplp0, Selenof, Pmp22, Rnf112, Ptprn, Fam81a, Tmem256, Ppp2r2d, Dtx1, Pantr1, Nov, Matk, Atp9a, Megf9, Amotl1, Tmem59l, Clstn2, Ddx1, Trp53inp2, Cited2, Psmb7, Cds1, Atp6v1f, Arhgdia, Zfp651, Rer1, Actn4, Fam134b, Coro1a, Ndufa1, Scamp1, Ensa, Cbarp, 3110035E14Rik, Ola1, Tmem234, Psmc2, Sult4a1, Actr1b, Sbf1, Gm1673, Snx3, Rpl10a, Ppp1r16b, Clvs1, Nedd8, Gabrb3, Mrps24, Eif1ax, Nr2f2, Hapln4, Cntnap1, Hdac11, Brk1, Ntm, Prox1, Rab11b, Tle4, Rit2, Gm10175, Tmem229a, Cdk5r2, Prdx1, Inf2, Mrpl42, Tubb5, Tgoln1, Fam19a5, Arhgap44, Myl6, Brsk2, Dmtn, Mapt, Ssr2, B4galnt1, Cisd1, Pla2g7, 2210016L21Rik, Auh, Serpine2, Add1, Kndc1, Dlgap4, Mfsd14b, Tmed10, Syp, Fkbp8, Cdip1, Ramp1, Prkca, Hlf, Esrra, Evl, Ppp1r14a, Prr18, Ndufs1, Ppp5c, Ss18l2, Eif3k, Csf1r, Pou3f1, Arpc4, Camkk1, Tmem38a, Wdr82, Ncs1, Spon1, Sf3b5, Pigq, Arpc5l, Crmp1, Secisbp2l, 1500009C09Rik, Abhd17a, Sar1a, Lamp5, Fkbp2, Rnf41, Rusc1, Cnih2, Arc, Os9, Lrp1, Agrn, Pfdn6, Sh3glb2, Npy, Mapk8ip3, Bend6, Tmem179, Mgrn1, Ptpn5, Tnnt1, Ado, Kalrn, Ube2l3, Blcap, Dagla, Nit1, Txn2, Rnf208, Fam234b, Zyx, Klhdc3, Fxyd7, Csnk2b, Copa, Ndufs8, Zer1, Tmem222, Lancl1, Lrrn2, Bcan, Sdhb, Pde1b, Cit, Pdia6, Golga7b, Suds3, Fscn1, Ufd1l, Hbb-bt, Gstm1, Kctd13, Adam11, Lypd1, Hspbp1, Nptxr, Ppp1r13b, Gm26035, Naa38, Becn1, Fbxo44"
"6","3","100","down","552","Nrgn, Snap25, mt-Rnr2, mt-Rnr1, Calm3, Slc17a7, Calm1, Ttr, Chn1, Ctxn1, Kalrn, Aldoa, Prkcb, Eef1a2, Calm2, Sncb, Homer1, Dnm1, 3110035E14Rik, Dclk1, Ywhaz, Snrpn, Gm20594, Psd, Diras2, Scn1b, Fmnl1, Syn1, Satb2, Arf3, Malat1, Actb, Pde1a, Adcy1, Mical2, Rtn1, Cck, Pip5k1c, Atp1a1, Eno2, Stxbp1, Mapk10, Nckap1, Fxyd7, Fam131a, Sh3gl2, Stac2, Sv2b, Mmp17, Enpp2, Egr1, Tspan7, Ttc9b, Pcsk1n, Pgm2l1, Pfn2, Basp1, Kif21a, Gng3, Usmg5, Ptgds, Arhgap39, Sptbn2, Ptms, Itpr1, 1110008P14Rik, Rbfox3, Ier5, Cap2, Dlgap1, Stx1a, Atp6v1g2, Gm10419, Vsnl1, Skp1a, Mef2c, Ubald1, Dynlrb1, Cfl1, Myt1l, Epb41l1, Dkk3, Zfp365, Ap2m1, Myl12b, Klc2, Klf9, Nptx1, Mapre3, Efhd2, Rab6a, Atp2b2, Ppp3ca, Rock2, Plcb1, Mt3, Pacsin1, Gm6061, Scn8a, Ppp3r1, 1700020I14Rik, Celf5, Syngr1, Eps15, Rab6b, Serinc1, Igfbp4, Selenow, Peg13, Gpm6a, Tbr1, Cplx1, Mpped2, Ipcef1, Cox6c, Fam81a, RP23-55G19.3, Mpp2, Egr4, Sparc, Khdrbs3, Dynll1, Olfm2, Mpped1, Syp, Gls, Atp6v1e1, Rnf126, Map1a, Phyhip, Zbtb18, Gsk3a, Gm26035, Grin1, Cdk5r2, Tmsb4x, Gria2, Scg5, Camk2g, Strbp, Gm14539, Baiap2, Rimbp2, Cabp1, Clstn1, Arc, Flot2, Prkcd, Tagln3, Kifap3, Celf2, D17Wsu92e, Arpp19, Rtn3, Ube2ql1, R3hdm2, Zer1, Cx3cl1, Stmn3, Arf5, Cox8a, B3gat3, Fkbp1a, Clip3, Plk2, Smim13, Rasgrf1, Serpini1, Fam212b, Vamp2, Smarcc2, Tmem198, Mlf2, Adgrb1, Oxr1, Igsf21, Psd3, Enc1, Mast3, Rtn2, Atp6v1c1, Syt1, Wsb2, Ensa, Gm11549, Far1, Hpca, Epn1, Atp6v1d, Trim9, Cbx6, Tpgs1, Ift46, Dlg4, Stmn1, Icam5, Rn18s-rs5, Sbno1, Fbxw7, Rap1gds1, Slc24a2, Crym, Adgrb2, Gm1821, Sema3e, Neurod6, Adcy2, Aplp1, Rundc3a, Ube3b, Cnih2, Atp1b1, Pbx1, Coro1a, Pja2, Sept3, Ccl27b, Dgkz, Gm24447, Hbb-bs, Wasf1, Ttc3, Ndufa4, Zic1, Snap91, Tcf25, Srcin1, Ndufa3, Cadm3, Ttyh3, Fabp3, Prkar1b, Wbp2, Eif4h, Mbp, Higd2a, Fam57b, Gria3, Rab2a, Eri3, R3hdm4, Scrt1, Idh3a, Ypel3, Sh3bp1, Mff, Atpif1, Fezf2, Rap1gap2, Dusp3, Brsk1, Ngef, Uhmk1, Foxg1, Ano3, Garnl3, Ppp2r2c, Rasl11b, Prnp, Sh3bgrl3, Arap2, Syt4, Pak1, Gas7, Gm15800, mt-Nd6, Fam163b, Got1, Phf24, Nptn, Ephx4, Spred1, Eid1, Nr4a2, Klhdc3, Doc2a, Asap1, Kif5a, Rbfox2, Nsf, Rnf11, Trim32, Tuba4a, Crip2, Pkm, Pdap1, Magi2, Cadm2, Efr3a, Tcf4, Stx1b, Dlg2, Mgll, Camkv, Frrs1l, Gm6265, Tmsb10, Pcdh1, Mllt11, Agt, Spire1, Cyfip2, Tcf7l2, Camk2n1, Gda, Camk4, Pip4k2c, Ndufa8, Kcnip2, Ube2m, Pclo, Ndrg3, A830018L16Rik, Efnb3, Pink1, Git1, Mtpn, Ptprs, Rnf44, Mras, Abi1, Kcnb1, Tubb5, Skil, Tubb4b, Nlk, Ociad1, Hmgcs1, Herc3, Rn7s1, Ccl27a, Dnajc5, Slc6a17, Tsc22d1, Mrps24, Dync1h1, Nfix, Napb, Igsf8, Gm42418, Scand1, Klc1, Jph3, Rasgrp1, Atp6v0d1, Scamp1, Kcna2, Trf, Alg2, Celsr2, Eno1, Gpd2, mt-Atp8, R3hdm1, Capza2, Ppp1r9a, Thra, Gng13, Ptk2b, Clstn2, Nr2f2, Rapgefl1, Zmiz2, Dusp14, Dynlt3, Cacnb3, Synj1, Etl4, Adgrl1, Agap3, Brk1, Lingo1, Gpd1, Snca, Atxn10, Mgst3, Stk25, Ppp2r1a, Kifc2, Selenop, Nedd8, Gde1, Hpcal4, Ttll7, Atp9a, Neurod2, Mmd, Rpusd1, Cplx2, Rab11a, Lancl1, Aak1, Sub1, Ndufv1, Ntng1, Slc12a5, Slc25a3, Tmem151a, Slc17a6, Tmem132a, Fut9, Ank3, Ndufv3, Epop, Phyhipl, Osbpl1a, Bex2, Elmod1, Fam131b, Ppp3cb, Bzw1, Agtpbp1, Tspan5, Apod, Mfn2, Grin2a, Ctbp1, Chchd10, Rasgef1a, Sdcbp, Arf1, Nop10, Scaf1, Snx3, Faim2, Atp2c1, Zc3h15, Nefl, Snx10, Otub1, Nat8l, Lpgat1, Madd, Fkbp8, Ncdn, Sirpa, Rab11b, Camk2d, Nrsn1, Cntnap1, Chchd6, Chst1, Rasd2, Yaf2, Vps26b, Snap47, Sf3b1, Cdkl5, Rrp1, Pianp, Sorl1, Igf2, Vim, Iqsec2, Ldha, Kcnip3, Snrpb, Ppp1cb, Trappc9, Hk1, Actr3, Slc46a3, Tmem9b, Slc25a22, Limd2, Rnf187, Hprt, Mobp, Kcnab1, Sec14l1, Ptprz1, Cdk5r1, C4b, Calb1, Srrm2, Ppp2r5a, Emc10, Jund, Tomm34, Gabrg2, Opcml, Ppa1, Necab2, Caly, Slc8a2, Uchl1, Ergic1, Kcnab2, Atp6v0a1, Mal2, Rprm, Nktr, Rph3a, Ptpn4, Ahnak, Chgb, Nars, Nptx2, Syngr3, Slc6a11, Car10, Zcchc12, Pfkp, Gm26461, Cnp, Vat1l, Camkk2, Olfm1, Tmem59l, Map1lc3b, Nell2, 2010300C02Rik, Cobl, Tmem47, Klhl2, Gm26917, Rpsa-ps9, Rapgef4, Fam49a, Ppfia2, Qk, Lynx1, Osbpl8, Nptxr, Btbd10, Kl, Id2, Tnnt1, Fis1, Iqsec1, Unc5a, Rbx1, Cd81, Mag, Aqp4, Arpp21, Ndrg1, Plp1, Hbb-bt, Wipf3, Trim2, Nrxn1, Pvalb, Mir6240, Spock3, Npdc1, Plcxd2, Pmch, Plcb4, Neat1, Mal, Camk2b"
