"cluster","#genes","genes"
"1","147","Apod, Plekhb1, Mobp, Trf, Plp1, Olig1, Cryab, Cldn11, Mbp, Fth1, Clu, Car2, Qdpr, Mag, Cnp, Litaf, Mal, Dbi, Scd2, Apoe, Ndrg1, Mog, Qk, Gatm, Ermn, Igf2, Igfbp2, Calml4, Opalin, Tmem88b, Sept4, Cd9, Gpr37, Pllp, Msx1, Slc12a2, Myrf, Tmem98, Tubb4a, Trpm3, Prdx6, Folr1, Ttyh2, Sox10, Mt1, Bcas1, Kl, Enpp2, Tspan2, Csrp1, Cd82, Gsn, Cox8b, Gfap, Fxyd1, Slc44a1, Lpar1, Ezr, Cldn2, Pacs2, Clic6, Fa2h, Cd63, Mt2, Gpm6b, Ugt8a, 1500015O10Rik, Wdr86, Col8a2, Fgfr2, Anln, Pcolce2, Sostdc1, Pcolce, Dab2, Kcne2, Col9a3, Gm15776, Rdx, Aqp4, Trim59, Ddr1, Erbin, Elovl7, Rsph1, Glul, Prelp, Gstm1, Neat1, Myoc, Lbp, Kcnj13, Car14, Pltp, Fam161a, Gal3st1, Evi2a, Prr5l, Gna12, Psat1, Slc4a5, Gjc3, Bsg, Ttr, Otx2, F5, Npc1, Prlr, Ahnak, Krt8, Sntn, Gm45396, Il33, Ace, Gltp, Arsg, Rbp1, Hipk2, Foxj1, Desi1, Zbtb20, Pla2g16, Aplp1, Ppfibp2, Rarres2, Rhog, Gjb1, Gab1, Kat2b, Ppp1r14a, Jam3, Drc7, Txnip, Cox6b2, Klk6, Padi2, Prdx1, Mgp, Gjc2, Vtn, Gm25911, Stxbp3, Cd81, Sox9, Cers2, Gpx8, Ifi27"
"2","28","Gm24447, Gm23624, Rnu5g, Gm26035, Gm23287, Gm24265, Rn7s1, Rnu2-10, Gm23345, Gm25106, Gm24407, Gm26461, Gm24497, Eef1a1, Gm25890, Gm22513, mt-Rnr2, Rnu11, Gm26063, Gm22122, Gm25085, Gm22958, Gm23153, Gm23971, Gm22317, Gm24146, Gm22739, Pgrmc1"
"3","114","Nrgn, Kalrn, Tmsb4x, Snap25, Chn1, Psd, Prkcb, Cck, Calm2, Nptx1, Arf3, Diras2, Sptbn2, Calm3, Actb, Dnm1, Dgkz, Ptk2b, Itpr1, Camta2, Slc17a7, Mef2c, Neurod6, Syn1, Grin2a, Fkbp1a, 3110035E14Rik, Fam163b, Mical2, Zbtb18, Enc1, Hpca, 1110008P14Rik, Camk2n1, Ppp3ca, Ncdn, Gm11549, Fam131a, Homer1, Aldoa, Wasf1, Camk2a, Nckap1, Fmnl1, Snca, Mmp17, Egr1, Adcy1, Cnih2, Gpm6a, Malat1, Ptms, Sv2b, Cyfip2, Gpd1, Sipa1l1, Ctxn1, Iqgap2, Baiap2, Slc8a2, Ywhaz, Rprml, Igfbp4, Cnksr2, Adgrb2, Neurod2, Ier5, Chgb, Pip5k1c, Kcnab1, Lct, Epn1, Dkk3, Ttc9b, Satb2, Stac2, Usmg5, Dlgap1, Atp1a1, Plk2, Pde1a, Plcb1, Stum, Gria2, Cpne6, Cplx2, Atp2b1, Stx1a, Fam212b, Nptxr, Mkl2, Trim2, Camkk2, Crym, Prrt1, Tbr1, Arpp19, Tmem178, Pja2, Sncb, Atp6v1g2, Ddn, Nptn, Clstn2, Mmd, Cabp7, Ppp3r1, R3hdm1, Pfn2, Scn1b, Sh3gl2, Atp1b1, Capza2, Fosl2"
"4","170","Adarb1, Rora, Prkcd, Ramp3, Amotl1, Ptpn4, Pcp4, Synpo2, Cit, Sptbn1, Plcb4, Nefh, Ptpn3, Rgs16, Pdp1, Shox2, Ccdc136, Tcf7l2, Zic1, Plekhg1, Slc6a11, Tnnt1, Cpne9, Lef1, Rgs4, Atp2a2, Vav3, Spock2, Gpr153, Hcn4, Cplx1, Elmo1, Atp1a2, Ntng1, Atp1b2, Rab37, Patj, Aldoc, Pitpnc1, Kcnj10, Gm43398, Eps8l2, Grm1, Gabrd, Vamp1, Syt9, Rap1gds1, Ndrg2, Tmem56, Rgs8, Kitl, Fam20c, Spock1, Scn2b, Gabra4, 1810041L15Rik, Edil3, Grm4, Trnp1, Mgst3, Nell1, Rims3, Rab3c, Hspa12a, Scrt1, Slc17a6, Adgrf5, Spock3, Vipr2, Kif1a, Reep2, Xylt2, Nsmf, Camk2n2, Ndrg4, Zfhx3, Kcnc2, Cyp46a1, Prkch, Acsbg1, Adra1b, Sh3d19, Cpe, Nmnat2, Kndc1, Abhd12b, Fam19a4, Chrna4, Shank3, Gabbr2, Slc9a3r1, Lhfp, Nrip3, Ldhb, Clmn, Gpc1, Scn4b, Gabbr1, Mb21d2, Ildr2, Pcp4l1, Slc6a17, F2r, Rab6b, Slc25a5, Gm29216, Slc14a1, Adcy8, Hspa8, Csdc2, Atp5a1, Pkm, Cldn12, Aldh1a1, Mrvi1, Lrtm2, Cacng5, Adgra1, Fndc5, Myo5a, Tmem163, Clasp2, Aplp2, Ina, Nexn, Cacna1g, Adamts15, Hlf, Stmn3, Sparcl1, Osbpl5, Nrsn2, Ncs1, mt-Tv, Dbndd1, Hcn2, Syp, Cdkl5, Chchd10, Zfp804a, Epha8, Serpine2, Tpd52l1, Vwc2, Gm3510, Dlgap3, Atp6ap2, Rsrc1, mt-Te, Fndc4, Nrxn3, Tubb3, Bok, Gbx2, Cdk5r1, Peg13, Map1a, Ctxn3, Gnal, Abat, Syndig1l, Uchl1, Nrip2, Ctnnb1, Pik3cd, Cxx1a, Frmpd1, Slc12a8, Scd1, Nt5dc3"
"5","26","Hpcal1, Nnat, Lypd1, Peg10, Tac1, Hap1, Ahi1, Nr2f2, Baiap3, Cartpt, Rpl38, Ly6h, Gpr101, Gpx3, Unc5d, Rpl41, Rpl37a, Pnck, 6330403K07Rik, Rpl38-ps2, Rpl22l1, Trhr, Atp2b4, Rps15, Gm6272, Irs4"
"6","66","mt-Atp8, mt-Co1, Syt1, 1700020I14Rik, Calm1, Zyg11b, Lpgat1, Adgrl1, Anks1b, Mmp11, Sv2a, Sgip1, Fam221b, Gm6352, Eif4a-ps4, Cx3cl1, Prepl, Got2-ps1, Gm7027, Gm17494, Gm25581, Elavl1, Rb1cc1, Ndfip1, Nkain2, Gm12715, Rock2, Eid1, Cpsf2, D130040H23Rik, Brd7, Opcml, Nsf, Ap3s1-ps2, Atp6v1a, Ppp1r2-ps4, Flywch1, Leprotl1, Rpl13-ps1, C230034O21Rik, Epha4, Arpc2, Tcte1, Pkia, Ddx6, Gm6776, Rhob, Cadm2, Nedd4, Camta1, H2afx, Ntm, Hmgcll1, Syne1, Gm14292, Gm8752, Ddx41, Lrrtm2, Pou3f1, Sgtb, Nt5m, Ogfrl1, Naa15, Gm12428, Zfp329, Nol7"
"7","251","Pnpla7, Nup37, Gm6919, Actg-ps1, Bmp2, Slx1b, Prcc, Ret, Ano10, Mrps36-ps2, Gm10193, Gm12922, Acad10, Zkscan5, Dnajc2, Rpl21-ps12, Serf1, Dpm1, Ccdc59, Gm8206, Tmem268, 4931414P19Rik, Gm5617, Bag2, Lcp1, Ablim2, B3gnt7, Mafk, Gopc, Gm5141, Glt1d1, Irx3os, Ethe1, Decr1, RP23-6C18.3, Papss2, Rbm11, Fbrsl1, Rhbdd3, Pcdhb9, Gm6560, Zfp710, Zc3hav1l, Hspa1b, Cdk5rap3, Fgd4, Slc29a4, 8430429K09Rik, Agfg2, Gm13604, H2-T22, Gm14227, Tbrg4, Trmt2a, Eogt, Zmym6, Rangrf, Otud3, H13, Gm18432, Smim15, Zfp97, Plekhj1, Sfrp4, Gm6741, Toe1, Psmd6, Ptpre, Iqcb1, Adrb2, Ptch2, Ndnf, Mllt1, Gm4342, Gm6263, Slc52a2, Kcna5, Bax, A530017D24Rik, Ift80, Pigw, Trim67, Dera, Gm45605, RP23-240G3.2, Cstf1, Dnmt3b, Sltm, Gmcl1, Phtf1, Pcdhb16, Eno3, C130012C08Rik, Alms1, Gm13679, Prcp, Gm11658, Gm7291, Gm5239, 2810468N07Rik, Patl1, BC085271, Kif16b, Cpne5, Twnk, Gm43672, Fam131b, Notch2, Nwd1, C1ql1, Cdc42bpb, 9430020K01Rik, Zfp950, Gm28882, Gm13212, Gm7901, Casp1, Carmil1, Tamm41, Ythdc2, Aard, Trabd, Per2, Dusp18, Mgme1, Gm21781, Bbs4, Gm14053, Tal1, Gm8250, Hars2, Zcwpw1, Chd2, Mum1l1, Polg2, Gm9517, Gm38104, Mllt10, Mtg1, 2810408I11Rik, Rpl21-ps4, Fzd9, Gnl3, Zfp287, Gm16303, Gm13378, Syt6, Gm38190, 2810428J06Rik, Adamts5, Rsrp1, Fam173a, Gm10132, Gm11989, Gm2623, Cav1, Ypel1, Rpgr, Scaf4, Sema6c, Gm5857, Eda, Fam185a, Mapk3, Cd164, Mpnd, RP24-282C4.4, Rpl7a-ps7, Gm9575, Ly6g6f, Ercc3, Gm10169, Gm42547, Slfn5, Cdkl4, Tex15, Ptprb, Golt1b, Leng8, Mfng, 1190005I06Rik, Lrrc57, A4galt, Gm43028, Gm10232, Gm10420, Morc2b, Sigirr, Ppfia4, Ccdc148, Eif2ak1, Fkbp9, Apbb2, Zkscan4, Yipf2, Glmn, Epha10, Arhgef7, Gm16276, Anapc1, Mrgbp, Plcd1, Phb, 1500009L16Rik, Slc16a3, Nanp, U2af1, Cactin, Gm6304, Eif2b2, Gm7063, Qpctl, Gm8173, Zfp846, Fgfrl1, Gm34783, Gm19938, Gm12318, Zfp691, Tecpr2, Slc25a17, 3222401L13Rik, Gm17798, Gm9252, Gm12422, Rhoh, Ppp1r26, Vps72, Rmst, Rmdn1, Shisa5, Sde2, C230096K16Rik, Fam135b, Sec62, Usp25, Gm37928, Rbbp9, Gper1, Gm9899, Zhx2, Gm11979, Egln3, Gm5309, Gm18000, Hbs1l, Nhp2, Smoc1, Cyth2, Pcbd2, Gm10123"
"8","83","Gnpda1, AI987944, Syt3, Rbpsuh-rs3, Atp6v1f, Tecr, Dll3, Tomm6os, Phyhipl, Adcy7, BC049715, Notch4, Pibf1, Cenpt, 9130230N09Rik, AI846148, Atxn7l1, Pard6g, Atp5g3, Nrp1, Gm13736, Efna5, Mto1, Gm42413, Cdv3, 4732414G09Rik, Osbpl7, Itih3, RP23-134L22.1, Epb41l5, Atm, Stard4, Nprl2, Sesn3, Pou2f1, Ak1, Gm15294, Pdlim4, Cxx1c, Gm42689, Ing5, Drd1, Ptcd3, Ndufs3, Ankrd6, Smim18, Ksr2, Usp13, Gm14263, 1700027J19Rik, Zbtb6, Gm12230, 1700037H04Rik, Megf10, Chmp3, Adcyap1, 4930594C11Rik, Asns, Pkn1, Aig1, Tns1, Ap5z1, Lbhd1, A630072M18Rik, Mib2, Ucp2, Ino80b, Adgrl4, Tceal3, Sema4d, Gm13508, Scube3, Nkx6-1, Gm13050, Adck5, Rnps1, Dnajc21, Rasl11b, 1700052K11Rik, AI413582, Cpne8, Gm13552, Med12l"
"9","52","Tagln2, Gm13341, Fcgr1, Klf16, Rnf207, Zap70, Zfp459, Fkbp14, Pcdhb5, Hspbap1, Arsk, Tbx18, Mier3, Inhbb, B4galt3, Mboat1, Gm28437, Robo4, Ttc22, Gm6946, Ciapin1, Gm16702, Gm27032, Dgcr14, Gm13035, Rps11-ps5, Saal1, Kremen1, Gm8394, Ephx1, Mas1, Galnt4, Gm13488, Fxn, Zfp446, Caskin1, Syde2, Afap1l1, Col1a2, Med26, Poc5, Il10rb, Siva1, Gm10076, Fam134a, Cmtr2, Mlh1, 1700008O03Rik, Chml, Paf1, Dpagt1, Fgf22"
"10","94","Elf1, Zbtb2, RP23-257F18.1, Lipe, Gm14418, BC065397, Zfp605, Prrg1, Cdc25b, 2410022M11Rik, Slc6a6, Gm4760, Wtap, Oasl2, Mrpl40, Trappc2, Ppia, Nek8, Map2k6, Anp32b-ps1, Dmgdh, Gm37459, Bola3, Leng1, Gm45201, Gm12846, Aars2, Gm11696, Etaa1os, Gm6710, Pcdhb22, Gm8412, Gm22613, Gorab, Gpr135, Tmeff2, Tpp1, Setd6, Gm42992, Jrk, Best1, Crlf3, Myo19, Zkscan8, Zcchc11, Cybb, Rpl29-ps2, Mir124a-1hg, Zdhhc4, Ppp1r10, Olfr767, Elfn2, Hilpda, Gm26690, Mrps18a, Nsmaf, Apbb1ip, RP24-370M23.1, Bcl7b, Rnf19b, Gm20159, Prpf6, Gm17040, Tmem26, Zfp871, Tnfsf12, Cep192, Atp8b1, Gm7638, Glyctk, Gpr68, Aldh3b2, Zfp112, Scrib, Sox11, Rapgef6, Tuba3b, Zfp747, Gm21399, B930025P03Rik, Nup62cl, RP23-371B13.5, Samd15, RP23-419K14.11, Zc2hc1c, Fam136b-ps, Mylk4, St8sia3os, Aplf, Fam13b, Fggy, Kcnma1, Alg12, Ggcx"
