,#genes,genes
1,354,"['Gene8588', 'Gene864', 'Gene6201', 'Gene4648', 'Gene2921', 'Gene3651', 'Gene1921', 'Gene4749', 'Gene6653', 'Gene608', 'Gene3922', 'Gene4478', 'Gene1135', 'Gene1541', 'Gene7890', 'Gene6487', 'Gene4935', 'Gene2171', 'Gene6070', 'Gene8165', 'Gene2946', 'Gene3123', 'Gene126', 'Gene2582', 'Gene6607', 'Gene5166', 'Gene7701', 'Gene5616', 'Gene1071', 'Gene9989', 'Gene5045', 'Gene8068', 'Gene4027', 'Gene9695', 'Gene3336', 'Gene6463', 'Gene5136', 'Gene9482', 'Gene4628', 'Gene7011', 'Gene4415', 'Gene3901', 'Gene3814', 'Gene1466', 'Gene1837', 'Gene9953', 'Gene5953', 'Gene7270', 'Gene7030', 'Gene597', 'Gene1878', 'Gene1637', 'Gene533', 'Gene5565', 'Gene9271', 'Gene9985', 'Gene8947', 'Gene8313', 'Gene9703', 'Gene3883', 'Gene5177', 'Gene7535', 'Gene6380', 'Gene1803', 'Gene9475', 'Gene7361', 'Gene9295', 'Gene8882', 'Gene344', 'Gene1592', 'Gene6082', 'Gene3312', 'Gene3780', 'Gene6230', 'Gene3582', 'Gene809', 'Gene9716', 'Gene9371', 'Gene958', 'Gene3521', 'Gene2157', 'Gene2741', 'Gene7557', 'Gene4952', 'Gene3714', 'Gene1127', 'Gene8366', 'Gene1959', 'Gene2858', 'Gene4578', 'Gene4405', 'Gene8227', 'Gene1377', 'Gene7850', 'Gene2088', 'Gene4710', 'Gene7373', 'Gene2839', 'Gene9496', 'Gene794', 'Gene3794', 'Gene909', 'Gene6195', 'Gene8944', 'Gene9128', 'Gene7809', 'Gene2773', 'Gene2001', 'Gene1373', 'Gene2878', 'Gene8497', 'Gene7399', 'Gene6705', 'Gene7984', 'Gene7978', 'Gene1124', 'Gene6239', 'Gene9569', 'Gene4746', 'Gene5840', 'Gene8358', 'Gene2328', 'Gene3028', 'Gene5692', 'Gene9114', 'Gene25', 'Gene7757', 'Gene7382', 'Gene4981', 'Gene44', 'Gene9942', 'Gene5215', 'Gene7371', 'Gene1553', 'Gene5464', 'Gene2792', 'Gene9535', 'Gene2763', 'Gene3575', 'Gene2986', 'Gene7005', 'Gene2764', 'Gene6593', 'Gene3639', 'Gene7888', 'Gene6885', 'Gene4471', 'Gene1653', 'Gene3887', 'Gene6704', 'Gene3893', 'Gene9469', 'Gene874', 'Gene7922', 'Gene9005', 'Gene2314', 'Gene3629', 'Gene1907', 'Gene7982', 'Gene4527', 'Gene9083', 'Gene6870', 'Gene1601', 'Gene2943', 'Gene7129', 'Gene1023', 'Gene1591', 'Gene9886', 'Gene8726', 'Gene3896', 'Gene7944', 'Gene9123', 'Gene8650', 'Gene9016', 'Gene5876', 'Gene6120', 'Gene3935', 'Gene7322', 'Gene1348', 'Gene418', 'Gene2014', 'Gene2882', 'Gene1845', 'Gene2551', 'Gene3149', 'Gene9270', 'Gene9913', 'Gene3262', 'Gene165', 'Gene2541', 'Gene5650', 'Gene436', 'Gene6222', 'Gene3092', 'Gene778', 'Gene1233', 'Gene9447', 'Gene7304', 'Gene9914', 'Gene3705', 'Gene8903', 'Gene1570', 'Gene4602', 'Gene199', 'Gene5896', 'Gene4421', 'Gene5783', 'Gene6042', 'Gene4975', 'Gene5806', 'Gene7897', 'Gene3404', 'Gene6189', 'Gene8291', 'Gene2032', 'Gene2853', 'Gene8100', 'Gene7497', 'Gene4129', 'Gene9843', 'Gene8405', 'Gene1414', 'Gene9686', 'Gene6326', 'Gene8752', 'Gene5189', 'Gene3716', 'Gene1015', 'Gene7648', 'Gene7261', 'Gene5828', 'Gene8569', 'Gene1219', 'Gene7505', 'Gene8644', 'Gene6730', 'Gene6168', 'Gene9381', 'Gene4447', 'Gene2799', 'Gene6282', 'Gene8415', 'Gene5851', 'Gene1923', 'Gene1447', 'Gene3428', 'Gene5001', 'Gene8934', 'Gene2606', 'Gene8940', 'Gene7163', 'Gene5966', 'Gene7488', 'Gene5703', 'Gene1085', 'Gene7056', 'Gene8997', 'Gene2012', 'Gene3611', 'Gene2009', 'Gene145', 'Gene7979', 'Gene6363', 'Gene3981', 'Gene3005', 'Gene6221', 'Gene2597', 'Gene3453', 'Gene1294', 'Gene8541', 'Gene6096', 'Gene4826', 'Gene1946', 'Gene3134', 'Gene3563', 'Gene5987', 'Gene985', 'Gene3176', 'Gene1103', 'Gene2044', 'Gene1090', 'Gene4309', 'Gene7200', 'Gene3093', 'Gene7764', 'Gene861', 'Gene190', 'Gene6894', 'Gene3375', 'Gene5960', 'Gene480', 'Gene7378', 'Gene3122', 'Gene9616', 'Gene5538', 'Gene3416', 'Gene3605', 'Gene3151', 'Gene6438', 'Gene4020', 'Gene8658', 'Gene8553', 'Gene446', 'Gene9431', 'Gene7902', 'Gene3569', 'Gene1745', 'Gene4332', 'Gene9508', 'Gene55', 'Gene8472', 'Gene6868', 'Gene4196', 'Gene3436', 'Gene1443', 'Gene8324', 'Gene8651', 'Gene3881', 'Gene5314', 'Gene591', 'Gene4701', 'Gene80', 'Gene7070', 'Gene2130', 'Gene9314', 'Gene3345', 'Gene7686', 'Gene6943', 'Gene3548', 'Gene1744', 'Gene1021', 'Gene5004', 'Gene839', 'Gene5824', 'Gene2375', 'Gene1470', 'Gene9021', 'Gene2294', 'Gene3854', 'Gene502', 'Gene1862', 'Gene7052', 'Gene8394', 'Gene6771', 'Gene8099', 'Gene584', 'Gene8896', 'Gene5353', 'Gene7993', 'Gene8084', 'Gene5252', 'Gene7996', 'Gene7142', 'Gene4367']"
2,111,"['Gene628', 'Gene9590', 'Gene8927', 'Gene7372', 'Gene142', 'Gene5765', 'Gene4652', 'Gene6404', 'Gene9322', 'Gene59', 'Gene9342', 'Gene6019', 'Gene2826', 'Gene577', 'Gene2794', 'Gene2503', 'Gene2121', 'Gene8076', 'Gene2984', 'Gene5502', 'Gene3998', 'Gene5227', 'Gene6522', 'Gene3274', 'Gene6782', 'Gene4611', 'Gene829', 'Gene1499', 'Gene921', 'Gene2505', 'Gene1598', 'Gene4922', 'Gene7791', 'Gene863', 'Gene1671', 'Gene6790', 'Gene2734', 'Gene8781', 'Gene838', 'Gene9646', 'Gene5611', 'Gene3392', 'Gene8642', 'Gene3723', 'Gene188', 'Gene1345', 'Gene4572', 'Gene8016', 'Gene7333', 'Gene2024', 'Gene7014', 'Gene9413', 'Gene2237', 'Gene2338', 'Gene5120', 'Gene6011', 'Gene5472', 'Gene5551', 'Gene6431', 'Gene5027', 'Gene7656', 'Gene8478', 'Gene4761', 'Gene1536', 'Gene9215', 'Gene1561', 'Gene3876', 'Gene7182', 'Gene5219', 'Gene4980', 'Gene4632', 'Gene9349', 'Gene8458', 'Gene2570', 'Gene8161', 'Gene9546', 'Gene5846', 'Gene8277', 'Gene9115', 'Gene681', 'Gene2369', 'Gene2123', 'Gene9722', 'Gene9306', 'Gene7733', 'Gene4060', 'Gene981', 'Gene9579', 'Gene782', 'Gene1788', 'Gene963', 'Gene692', 'Gene4953', 'Gene7695', 'Gene7502', 'Gene1882', 'Gene6829', 'Gene4203', 'Gene2450', 'Gene685', 'Gene5071', 'Gene7055', 'Gene8952', 'Gene3433', 'Gene821', 'Gene1877', 'Gene8050', 'Gene540', 'Gene9853', 'Gene1296', 'Gene5088']"
3,178,"['Gene8954', 'Gene8468', 'Gene9683', 'Gene6675', 'Gene3642', 'Gene1835', 'Gene5233', 'Gene2534', 'Gene1450', 'Gene3729', 'Gene7093', 'Gene3495', 'Gene9543', 'Gene8266', 'Gene4883', 'Gene4856', 'Gene4271', 'Gene3063', 'Gene5448', 'Gene5211', 'Gene824', 'Gene102', 'Gene550', 'Gene8262', 'Gene5182', 'Gene8595', 'Gene5029', 'Gene5771', 'Gene1072', 'Gene574', 'Gene8275', 'Gene6797', 'Gene4125', 'Gene2714', 'Gene6337', 'Gene8776', 'Gene2482', 'Gene4122', 'Gene663', 'Gene6272', 'Gene8436', 'Gene2744', 'Gene5878', 'Gene7296', 'Gene7110', 'Gene9039', 'Gene7451', 'Gene9525', 'Gene1706', 'Gene9067', 'Gene3513', 'Gene5054', 'Gene4161', 'Gene1199', 'Gene9497', 'Gene1848', 'Gene1456', 'Gene2473', 'Gene1262', 'Gene6970', 'Gene823', 'Gene843', 'Gene1206', 'Gene9234', 'Gene5217', 'Gene9770', 'Gene9410', 'Gene3079', 'Gene9063', 'Gene5275', 'Gene8936', 'Gene8433', 'Gene6157', 'Gene1619', 'Gene1472', 'Gene1025', 'Gene4365', 'Gene7198', 'Gene6144', 'Gene5848', 'Gene3485', 'Gene7472', 'Gene9073', 'Gene6059', 'Gene7645', 'Gene1067', 'Gene5727', 'Gene7725', 'Gene5949', 'Gene3825', 'Gene5402', 'Gene1880', 'Gene215', 'Gene1381', 'Gene402', 'Gene8988', 'Gene3430', 'Gene776', 'Gene988', 'Gene3866', 'Gene6218', 'Gene9050', 'Gene266', 'Gene5470', 'Gene7021', 'Gene1027', 'Gene8202', 'Gene4218', 'Gene4173', 'Gene5295', 'Gene6037', 'Gene7226', 'Gene4462', 'Gene6849', 'Gene7941', 'Gene2445', 'Gene9835', 'Gene789', 'Gene5826', 'Gene4734', 'Gene5369', 'Gene5682', 'Gene4230', 'Gene2739', 'Gene5413', 'Gene4272', 'Gene5311', 'Gene3268', 'Gene3115', 'Gene3861', 'Gene5844', 'Gene7048', 'Gene2358', 'Gene2451', 'Gene1480', 'Gene3926', 'Gene6228', 'Gene3192', 'Gene9101', 'Gene8103', 'Gene2543', 'Gene6253', 'Gene5591', 'Gene6901', 'Gene5968', 'Gene9183', 'Gene9474', 'Gene4580', 'Gene6073', 'Gene5938', 'Gene8407', 'Gene6774', 'Gene7840', 'Gene2437', 'Gene5290', 'Gene9376', 'Gene925', 'Gene6215', 'Gene9366', 'Gene2729', 'Gene6903', 'Gene7859', 'Gene6752', 'Gene603', 'Gene5447', 'Gene7305', 'Gene5719', 'Gene9982', 'Gene1051', 'Gene2590', 'Gene7112', 'Gene5334', 'Gene9157', 'Gene4689', 'Gene2787', 'Gene6638', 'Gene8849', 'Gene7612']"
4,123,"['Gene163', 'Gene5916', 'Gene2572', 'Gene4197', 'Gene5359', 'Gene6489', 'Gene7544', 'Gene8676', 'Gene7254', 'Gene9822', 'Gene408', 'Gene2716', 'Gene8729', 'Gene1337', 'Gene6674', 'Gene5552', 'Gene1082', 'Gene9511', 'Gene8748', 'Gene1190', 'Gene989', 'Gene3952', 'Gene6795', 'Gene599', 'Gene415', 'Gene6867', 'Gene5347', 'Gene9867', 'Gene6874', 'Gene4166', 'Gene3432', 'Gene9574', 'Gene3902', 'Gene7396', 'Gene3358', 'Gene9193', 'Gene501', 'Gene592', 'Gene9951', 'Gene5788', 'Gene535', 'Gene6809', 'Gene2642', 'Gene6802', 'Gene3537', 'Gene2224', 'Gene7117', 'Gene9009', 'Gene4402', 'Gene1737', 'Gene7630', 'Gene409', 'Gene6688', 'Gene7026', 'Gene63', 'Gene7461', 'Gene1159', 'Gene2690', 'Gene2867', 'Gene6863', 'Gene6204', 'Gene4808', 'Gene30', 'Gene6677', 'Gene9421', 'Gene8664', 'Gene6926', 'Gene9804', 'Gene4284', 'Gene5251', 'Gene7232', 'Gene8092', 'Gene8065', 'Gene8309', 'Gene8382', 'Gene7682', 'Gene5329', 'Gene7186', 'Gene1351', 'Gene5701', 'Gene5839', 'Gene7001', 'Gene4513', 'Gene5562', 'Gene4871', 'Gene387', 'Gene9944', 'Gene392', 'Gene8579', 'Gene5289', 'Gene9692', 'Gene1629', 'Gene6254', 'Gene1268', 'Gene3267', 'Gene2107', 'Gene3643', 'Gene6352', 'Gene956', 'Gene8722', 'Gene3098', 'Gene9074', 'Gene983', 'Gene8521', 'Gene5108', 'Gene8011', 'Gene444', 'Gene5567', 'Gene8018', 'Gene2113', 'Gene2125', 'Gene7716', 'Gene4842', 'Gene4644', 'Gene9384', 'Gene8445', 'Gene208', 'Gene5628', 'Gene348', 'Gene1084', 'Gene3703', 'Gene9205', 'Gene3480']"
5,156,"['Gene3948', 'Gene7720', 'Gene1032', 'Gene7537', 'Gene5977', 'Gene4704', 'Gene7290', 'Gene422', 'Gene8386', 'Gene4347', 'Gene7365', 'Gene3362', 'Gene4563', 'Gene5620', 'Gene4711', 'Gene6517', 'Gene8740', 'Gene5568', 'Gene8640', 'Gene9151', 'Gene3940', 'Gene654', 'Gene6883', 'Gene912', 'Gene7326', 'Gene2850', 'Gene918', 'Gene4246', 'Gene3850', 'Gene6439', 'Gene8140', 'Gene4898', 'Gene1657', 'Gene3459', 'Gene7192', 'Gene6667', 'Gene8377', 'Gene9842', 'Gene7158', 'Gene8861', 'Gene9684', 'Gene2848', 'Gene8101', 'Gene9034', 'Gene682', 'Gene1890', 'Gene4719', 'Gene9255', 'Gene3637', 'Gene1482', 'Gene6064', 'Gene8823', 'Gene6207', 'Gene1983', 'Gene2688', 'Gene3851', 'Gene7722', 'Gene7860', 'Gene7999', 'Gene9331', 'Gene6192', 'Gene9093', 'Gene865', 'Gene3108', 'Gene5637', 'Gene545', 'Gene275', 'Gene2935', 'Gene8474', 'Gene2265', 'Gene8072', 'Gene5396', 'Gene627', 'Gene9509', 'Gene7416', 'Gene2152', 'Gene431', 'Gene5051', 'Gene4427', 'Gene4737', 'Gene8203', 'Gene7153', 'Gene276', 'Gene118', 'Gene6343', 'Gene1166', 'Gene1729', 'Gene3007', 'Gene4666', 'Gene5744', 'Gene2204', 'Gene4120', 'Gene7671', 'Gene1152', 'Gene3649', 'Gene6938', 'Gene1652', 'Gene4559', 'Gene8881', 'Gene7771', 'Gene2268', 'Gene3788', 'Gene3403', 'Gene9169', 'Gene5665', 'Gene2311', 'Gene8700', 'Gene1718', 'Gene7529', 'Gene9122', 'Gene9901', 'Gene588', 'Gene8632', 'Gene8074', 'Gene9266', 'Gene7246', 'Gene3721', 'Gene283', 'Gene5104', 'Gene8419', 'Gene5684', 'Gene1621', 'Gene9523', 'Gene4566', 'Gene34', 'Gene7071', 'Gene9268', 'Gene4158', 'Gene3171', 'Gene5142', 'Gene4603', 'Gene3163', 'Gene8341', 'Gene7187', 'Gene507', 'Gene1933', 'Gene1855', 'Gene6713', 'Gene2768', 'Gene4296', 'Gene4213', 'Gene8528', 'Gene7360', 'Gene8688', 'Gene4780', 'Gene7234', 'Gene9033', 'Gene1587', 'Gene1497', 'Gene4466', 'Gene3562', 'Gene8214', 'Gene3004', 'Gene2313', 'Gene8412', 'Gene5951']"
6,40,"['Gene7094', 'Gene595', 'Gene3157', 'Gene5194', 'Gene2347', 'Gene5579', 'Gene9396', 'Gene9444', 'Gene1079', 'Gene5834', 'Gene3251', 'Gene4796', 'Gene4807', 'Gene4716', 'Gene5013', 'Gene2031', 'Gene4776', 'Gene881', 'Gene9660', 'Gene3990', 'Gene7940', 'Gene8810', 'Gene9023', 'Gene3917', 'Gene7873', 'Gene4475', 'Gene91', 'Gene3033', 'Gene7265', 'Gene8638', 'Gene1826', 'Gene6560', 'Gene1446', 'Gene3696', 'Gene4469', 'Gene9130', 'Gene194', 'Gene2449', 'Gene1817', 'Gene1931']"
7,212,"['Gene3304', 'Gene9451', 'Gene3168', 'Gene2818', 'Gene4087', 'Gene9945', 'Gene5668', 'Gene1942', 'Gene3811', 'Gene1054', 'Gene6291', 'Gene1284', 'Gene2218', 'Gene8836', 'Gene7295', 'Gene4585', 'Gene9296', 'Gene9365', 'Gene7845', 'Gene1026', 'Gene620', 'Gene9233', 'Gene9678', 'Gene9428', 'Gene6160', 'Gene673', 'Gene2701', 'Gene4619', 'Gene4183', 'Gene1216', 'Gene1935', 'Gene9519', 'Gene2640', 'Gene2568', 'Gene3993', 'Gene1444', 'Gene2343', 'Gene5046', 'Gene8692', 'Gene2462', 'Gene614', 'Gene6101', 'Gene949', 'Gene6596', 'Gene396', 'Gene7320', 'Gene2536', 'Gene8814', 'Gene3869', 'Gene2760', 'Gene1249', 'Gene8892', 'Gene270', 'Gene1785', 'Gene4907', 'Gene7473', 'Gene4043', 'Gene5687', 'Gene2288', 'Gene1659', 'Gene6255', 'Gene4013', 'Gene954', 'Gene1576', 'Gene1017', 'Gene9887', 'Gene5613', 'Gene9500', 'Gene9481', 'Gene2875', 'Gene1417', 'Gene2011', 'Gene5664', 'Gene5431', 'Gene312', 'Gene2213', 'Gene8515', 'Gene8774', 'Gene2469', 'Gene3501', 'Gene4583', 'Gene2434', 'Gene358', 'Gene8000', 'Gene7260', 'Gene3289', 'Gene3324', 'Gene3875', 'Gene5374', 'Gene5764', 'Gene4443', 'Gene548', 'Gene4914', 'Gene6301', 'Gene5704', 'Gene2942', 'Gene4327', 'Gene1140', 'Gene2339', 'Gene6131', 'Gene9022', 'Gene9104', 'Gene4887', 'Gene329', 'Gene6508', 'Gene4885', 'Gene3317', 'Gene6174', 'Gene908', 'Gene4298', 'Gene4260', 'Gene8858', 'Gene2944', 'Gene1866', 'Gene7350', 'Gene5584', 'Gene1929', 'Gene5183', 'Gene248', 'Gene6043', 'Gene9127', 'Gene3049', 'Gene6510', 'Gene6690', 'Gene1491', 'Gene1646', 'Gene2405', 'Gene9111', 'Gene1129', 'Gene3972', 'Gene725', 'Gene3408', 'Gene2407', 'Gene9702', 'Gene9612', 'Gene9816', 'Gene738', 'Gene9026', 'Gene690', 'Gene727', 'Gene6717', 'Gene2843', 'Gene6631', 'Gene6491', 'Gene3790', 'Gene4515', 'Gene6611', 'Gene7356', 'Gene7514', 'Gene9061', 'Gene3138', 'Gene1650', 'Gene351', 'Gene8162', 'Gene7437', 'Gene3493', 'Gene1956', 'Gene7247', 'Gene8990', 'Gene8316', 'Gene5550', 'Gene6460', 'Gene678', 'Gene1740', 'Gene3632', 'Gene1460', 'Gene4028', 'Gene9629', 'Gene1426', 'Gene7122', 'Gene4702', 'Gene7583', 'Gene7328', 'Gene4505', 'Gene9971', 'Gene3161', 'Gene4438', 'Gene5805', 'Gene4997', 'Gene9734', 'Gene6035', 'Gene8867', 'Gene5287', 'Gene3069', 'Gene7262', 'Gene924', 'Gene2431', 'Gene4934', 'Gene6595', 'Gene4888', 'Gene3165', 'Gene8290', 'Gene1698', 'Gene8985', 'Gene7826', 'Gene4035', 'Gene9249', 'Gene2362', 'Gene1099', 'Gene7315', 'Gene9219', 'Gene9228', 'Gene1685', 'Gene6443', 'Gene1791', 'Gene1507', 'Gene484', 'Gene4600', 'Gene509', 'Gene6087', 'Gene3549', 'Gene6769']"
8,24,"['Gene6780', 'Gene4255', 'Gene4343', 'Gene9000', 'Gene1897', 'Gene2203', 'Gene9109', 'Gene1270', 'Gene482', 'Gene1976', 'Gene3862', 'Gene8921', 'Gene439', 'Gene8424', 'Gene532', 'Gene481', 'Gene1720', 'Gene3364', 'Gene4479', 'Gene9256', 'Gene8465', 'Gene7530', 'Gene9008', 'Gene6813']"
9,22,"['Gene3758', 'Gene162', 'Gene3350', 'Gene9224', 'Gene2634', 'Gene4762', 'Gene2682', 'Gene7647', 'Gene4905', 'Gene5583', 'Gene7415', 'Gene8370', 'Gene4406', 'Gene8070', 'Gene133', 'Gene7018', 'Gene1454', 'Gene2138', 'Gene7954', 'Gene8956', 'Gene7920', 'Gene3179']"
10,23,"['Gene5195', 'Gene750', 'Gene6828', 'Gene1883', 'Gene9747', 'Gene2791', 'Gene5170', 'Gene24', 'Gene2979', 'Gene2635', 'Gene2047', 'Gene4742', 'Gene4030', 'Gene5033', 'Gene1360', 'Gene8498', 'Gene7037', 'Gene2248', 'Gene3022', 'Gene1895', 'Gene699', 'Gene3852', 'Gene4144']"
