,method,best_Jaccard_index_for_cluster
122,nsNMF,0.05728395061728395
123,nsNMF,0.020872865275142316
124,nsNMF,0.07863000482392668
125,nsNMF,0.022526934378060724
126,SingleCellHaystack (k=3),0.09583333333333334
127,SingleCellHaystack (k=3),0.08429458740017746
128,SingleCellHaystack (k=3),0.10307767464582315
129,SingleCellHaystack (k=3),0.055025996533795495
130,SingleCellHaystack (k=3),0.15497478220999542
131,SingleCellHaystack (k=3),0.08823529411764706
132,SingleCellHaystack (k=5),0.09583333333333334
133,SingleCellHaystack (k=5),0.07156133828996282
134,SingleCellHaystack (k=5),0.07051282051282051
135,SingleCellHaystack (k=5),0.033183856502242155
136,SingleCellHaystack (k=5),0.12152614225153086
137,SingleCellHaystack (k=5),0.08823529411764706
138,SingleCellHaystack (k=6),0.09583333333333334
139,SingleCellHaystack (k=6),0.07156133828996282
140,SingleCellHaystack (k=6),0.07051282051282051
141,SingleCellHaystack (k=6),0.033183856502242155
142,SingleCellHaystack (k=6),0.12152614225153086
143,SingleCellHaystack (k=6),0.08823529411764706
144,SPIRAL (Jaccard index=0.05),0.15173764072442486
145,SPIRAL (Jaccard index=0.05),0.16356316054353295
146,SPIRAL (Jaccard index=0.05),0.06357894736842105
147,SPIRAL (Jaccard index=0.05),0.1293060409385921
148,SPIRAL (Jaccard index=0.05),0.23692003948667326
149,SPIRAL (Jaccard index=0.05),0.10046511627906977
150,SPIRAL (Jaccard index=0.5),0.22497661365762395
151,SPIRAL (Jaccard index=0.5),0.18063872255489022
152,SPIRAL (Jaccard index=0.5),0.2432560340747752
153,SPIRAL (Jaccard index=0.5),0.12469196648595367
154,SPIRAL (Jaccard index=0.5),0.27148253068932954
155,SPIRAL (Jaccard index=0.5),0.17969494756911344
156,SPIRAL (Jaccard index=0.75),0.22497661365762395
157,SPIRAL (Jaccard index=0.75),0.18063872255489022
158,SPIRAL (Jaccard index=0.75),0.2432560340747752
159,SPIRAL (Jaccard index=0.75),0.1293060409385921
160,SPIRAL (Jaccard index=0.75),0.27148253068932954
161,SPIRAL (Jaccard index=0.75),0.17969494756911344
162,Seurat,0.07382265591854052
163,Seurat,0.05260960334029228
164,Seurat,0.11200338123415046
165,Seurat,0.08272610372910416
166,Seurat,0.09023215067893123
167,Seurat,0.07658058771148708
168,Slingshot+tradeSeq (nPoints=20),0.11898980087421078
169,Slingshot+tradeSeq (nPoints=20),0.07028112449799197
170,Slingshot+tradeSeq (nPoints=20),0.031654676258992806
171,Slingshot+tradeSeq (nPoints=20),0.02986425339366516
172,Slingshot+tradeSeq (nPoints=20),0.1279527559055118
173,Slingshot+tradeSeq (nPoints=20),0.05649717514124294
174,Slingshot+tradeSeq (nPoints=200),0.0631424375917768
175,Slingshot+tradeSeq (nPoints=200),0.07325639739086803
176,Slingshot+tradeSeq (nPoints=200),0.027658559847401048
177,Slingshot+tradeSeq (nPoints=200),0.02741635687732342
178,Slingshot+tradeSeq (nPoints=200),0.10138476755687438
179,Slingshot+tradeSeq (nPoints=200),0.04496124031007752
180,Hotspot (n_neighbors=30),0.09148727984344422
181,Hotspot (n_neighbors=30),0.05884843353090601
182,Hotspot (n_neighbors=30),0.05803357314148681
183,Hotspot (n_neighbors=30),0.08601609657947686
184,Hotspot (n_neighbors=30),0.2485148514851485
185,Hotspot (n_neighbors=30),0.08062015503875969
186,Hotspot (n_neighbors=300),0.07111329082883766
187,Hotspot (n_neighbors=300),0.03189873417721519
188,Hotspot (n_neighbors=300),0.04700239808153477
189,Hotspot (n_neighbors=300),0.023701462430660614
190,Hotspot (n_neighbors=300),0.06253126563281641
191,Hotspot (n_neighbors=300),0.03877973112719752
192,nsNMF,0.029931305201177625
193,nsNMF,0.01671583087512291
194,nsNMF,0.04460431654676259
195,nsNMF,0.01569396763119176
196,nsNMF,0.04297851074462768
197,nsNMF,0.014329580348004094
198,SingleCellHaystack (k=3),0.11451089476124246
199,SingleCellHaystack (k=3),0.09510991475998205
200,SingleCellHaystack (k=3),0.07030878859857483
201,SingleCellHaystack (k=3),0.05704407951598963
202,SingleCellHaystack (k=3),0.15858823529411764
203,SingleCellHaystack (k=3),0.09303435114503816
204,SingleCellHaystack (k=5),0.11451089476124246
205,SingleCellHaystack (k=5),0.05297029702970297
206,SingleCellHaystack (k=5),0.07030878859857483
207,SingleCellHaystack (k=5),0.03393565447333627
208,SingleCellHaystack (k=5),0.09970238095238096
209,SingleCellHaystack (k=5),0.09303435114503816
210,SingleCellHaystack (k=6),0.0804093567251462
211,SingleCellHaystack (k=6),0.05297029702970297
212,SingleCellHaystack (k=6),0.07030878859857483
213,SingleCellHaystack (k=6),0.030057251908396948
214,SingleCellHaystack (k=6),0.09970238095238096
215,SingleCellHaystack (k=6),0.07975460122699386
216,SPIRAL (Jaccard index=0.05),0.16250636780438105
217,SPIRAL (Jaccard index=0.05),0.11219512195121951
218,SPIRAL (Jaccard index=0.05),0.21764141898370087
219,SPIRAL (Jaccard index=0.05),0.11857506361323156
220,SPIRAL (Jaccard index=0.05),0.21948769462581616
221,SPIRAL (Jaccard index=0.05),0.06912232833105958
222,SPIRAL (Jaccard index=0.5),0.1813285457809695
223,SPIRAL (Jaccard index=0.5),0.1819941916747338
224,SPIRAL (Jaccard index=0.5),0.21764141898370087
225,SPIRAL (Jaccard index=0.5),0.20216428922774227
226,SPIRAL (Jaccard index=0.5),0.2229697260932244
227,SPIRAL (Jaccard index=0.5),0.2110435189518016
228,SPIRAL (Jaccard index=0.75),0.1813285457809695
229,SPIRAL (Jaccard index=0.75),0.1819941916747338
230,SPIRAL (Jaccard index=0.75),0.28753541076487255
231,SPIRAL (Jaccard index=0.75),0.20216428922774227
232,SPIRAL (Jaccard index=0.75),0.2229697260932244
233,SPIRAL (Jaccard index=0.75),0.2110435189518016
234,Seurat,0.0633405639913232
235,Seurat,0.05241379310344828
236,Seurat,0.11544991511035653
237,Seurat,0.08669267446900737
238,Seurat,0.10545129579982127
239,Seurat,0.07774455360956856
240,Slingshot+tradeSeq (nPoints=20),0.07856056766345666
241,Slingshot+tradeSeq (nPoints=20),0.05879494655004859
242,Slingshot+tradeSeq (nPoints=20),0.026442307692307692
243,Slingshot+tradeSeq (nPoints=20),0.020240963855421686
244,Slingshot+tradeSeq (nPoints=20),0.09530938123752496
245,Slingshot+tradeSeq (nPoints=20),0.06448461162677088
246,Slingshot+tradeSeq (nPoints=200),0.08312214901165738
247,Slingshot+tradeSeq (nPoints=200),0.06316812439261418
