,SPIRAL (Jaccard index=0.05),SPIRAL (Jaccard index=0.5),SPIRAL (Jaccard index=0.75),Seurat,Slingshot+tradeSeq (nPoints=20),Slingshot+tradeSeq (nPoints=200),Hotspot (n_neighbors=30),Hotspot (n_neighbors=300),nsNMF,SingleCellHaystack (k=3),SingleCellHaystack (k=5),SingleCellHaystack (k=6)
51,0.7479891389126722,0.7531833690984944,0.7513287460761537,0.7059758364736408,0.6913377015492155,0.691103690370314,0.6894964090857054,0.6849963703621558,0.6897549183121507,0.7235044337760719,0.712148292829373,0.7091862352900095
52,0.7284936010280658,0.7425939845532676,0.7427165861940748,0.7064474754141216,0.6871987771526857,0.6890931326478976,0.6880382784635815,0.6835164020980551,0.6866231923195216,0.721336026935761,0.7099245284531985,0.7068783878388556
53,0.7362402264040415,0.7534848242801989,0.7509789752321923,0.7043442264224584,0.691528680013024,0.6918315287096088,0.6913586306546772,0.6852491973735342,0.6878817448407346,0.7238255658894988,0.7126613601360956,0.7098127912790388
54,0.7315702379764097,0.7477803487003927,0.7499035178198155,0.7052045093408523,0.6902966766849183,0.6921211041937756,0.6876028076145086,0.684600165780811,0.6878427789439562,0.7230886755335983,0.7118967470081052,0.7088905623893703
55,0.7329773017296424,0.7451976688978628,0.7438278685214514,0.7062479959116851,0.691142587592269,0.6883909234229313,0.687424001189975,0.6833777026978902,0.6860974193252709,0.721508270826459,0.7100376344301049,0.706983098309506
56,0.7336926759335728,0.7438559531102744,0.7432995459566527,0.7047133268894723,0.6877687824919244,0.6867908021128613,0.6852326443759598,0.6813632220314298,0.684751483064991,0.7202299429937538,0.7088379757976422,0.7059025769241445
57,0.7349040030661046,0.7494894950443265,0.7451521341484786,0.7103303719272036,0.6922707151688365,0.6917796837282193,0.6961039664158042,0.6872347451899363,0.6899164908158559,0.7259583124972431,0.714384679134529,0.7113185418539851
58,0.7322416041597015,0.7481868388299017,0.7480690639746677,0.7049653298671846,0.6877544907798506,0.688369178248455,0.6866062053836417,0.6835308083944316,0.6848776234481027,0.7218769743634318,0.7105018768542675,0.7074507717435599
59,0.7269422635593104,0.7565604789931927,0.7532987665445233,0.7076457837451771,0.690247514082172,0.6902864849792373,0.6895756689628268,0.6848067006739194,0.6879021368798148,0.7229745707899358,0.7115079121245849,0.7084966096607619
60,0.7404468306822027,0.7514467614884137,0.7522802465591816,0.7060670907086155,0.6885979646469105,0.6888683687230688,0.6901788600048806,0.6855685254117394,0.6895550755074766,0.7241732073201155,0.712625040504351,0.709567720105234
