,ARI,method
105,0.7088379757976422,SingleCellHaystack (k=5)
106,0.714384679134529,SingleCellHaystack (k=5)
107,0.7105018768542675,SingleCellHaystack (k=5)
108,0.7115079121245849,SingleCellHaystack (k=5)
109,0.712625040504351,SingleCellHaystack (k=5)
110,0.7091862352900095,SingleCellHaystack (k=6)
111,0.7068783878388556,SingleCellHaystack (k=6)
112,0.7098127912790388,SingleCellHaystack (k=6)
113,0.7088905623893703,SingleCellHaystack (k=6)
114,0.706983098309506,SingleCellHaystack (k=6)
115,0.7059025769241445,SingleCellHaystack (k=6)
116,0.7113185418539851,SingleCellHaystack (k=6)
117,0.7074507717435599,SingleCellHaystack (k=6)
118,0.7084966096607619,SingleCellHaystack (k=6)
119,0.709567720105234,SingleCellHaystack (k=6)
