"cluster","#genes","genes"
"1","234","Gene553, Gene4320, Gene6310, Gene6383, Gene2812, Gene9722, Gene9627, Gene2937, Gene5204, Gene4159, Gene8810, Gene543, Gene704, Gene7391, Gene4684, Gene2506, Gene2306, Gene4699, Gene4494, Gene2342, Gene2653, Gene7347, Gene8024, Gene2993, Gene7753, Gene5194, Gene8716, Gene7927, Gene9, Gene3872, Gene4633, Gene1152, Gene528, Gene4915, Gene2072, Gene6592, Gene3064, Gene3187, Gene5551, Gene4656, Gene9710, Gene7014, Gene2408, Gene2688, Gene6742, Gene4964, Gene2226, Gene5176, Gene1717, Gene5171, Gene7598, Gene4129, Gene7470, Gene7426, Gene8839, Gene6760, Gene2535, Gene5099, Gene6500, Gene2103, Gene7989, Gene5060, Gene6298, Gene2771, Gene8305, Gene8, Gene2047, Gene6024, Gene6185, Gene8117, Gene9806, Gene6084, Gene7219, Gene1060, Gene7294, Gene4501, Gene31, Gene2614, Gene3594, Gene3718, Gene5595, Gene3598, Gene6599, Gene2275, Gene3708, Gene8821, Gene4945, Gene8971, Gene4666, Gene3188, Gene6672, Gene5490, Gene472, Gene7636, Gene8070, Gene7656, Gene6825, Gene716, Gene9110, Gene1437, Gene9650, Gene8686, Gene5327, Gene3079, Gene4298, Gene4221, Gene1565, Gene4861, Gene3199, Gene4697, Gene5385, Gene2515, Gene4088, Gene721, Gene2795, Gene1281, Gene8447, Gene382, Gene3591, Gene3599, Gene4141, Gene4496, Gene1080, Gene3407, Gene5081, Gene1704, Gene2341, Gene2920, Gene2260, Gene7448, Gene8163, Gene556, Gene1480, Gene4763, Gene6112, Gene9112, Gene9704, Gene5237, Gene6065, Gene4817, Gene7895, Gene4905, Gene3958, Gene9901, Gene2967, Gene4492, Gene6504, Gene5123, Gene4375, Gene3434, Gene9210, Gene214, Gene6452, Gene8077, Gene1321, Gene5656, Gene9771, Gene1978, Gene7535, Gene7969, Gene2572, Gene4444, Gene3814, Gene9561, Gene1764, Gene124, Gene5079, Gene9236, Gene6567, Gene6733, Gene7936, Gene3365, Gene1844, Gene9260, Gene4804, Gene4521, Gene1280, Gene4831, Gene5917, Gene4232, Gene8532, Gene5091, Gene3306, Gene6501, Gene6654, Gene8418, Gene3743, Gene2948, Gene9135, Gene6126, Gene5388, Gene915, Gene4354, Gene7323, Gene8470, Gene5730, Gene4241, Gene6934, Gene4912, Gene459, Gene1613, Gene439, Gene6098, Gene3804, Gene2527, Gene5161, Gene7762, Gene7750, Gene8664, Gene3780, Gene2395, Gene8462, Gene9885, Gene2222, Gene7630, Gene3596, Gene3554, Gene6253, Gene7521, Gene2721, Gene9610, Gene7405, Gene9963, Gene6260, Gene8972, Gene8693, Gene7909, Gene4193, Gene6555, Gene3901, Gene8900, Gene6969, Gene879, Gene2456"
"6","75","Gene3340, Gene9181, Gene6976, Gene5196, Gene3238, Gene948, Gene5374, Gene7955, Gene4081, Gene8244, Gene6954, Gene4165, Gene4023, Gene6552, Gene4956, Gene8783, Gene5372, Gene9430, Gene2957, Gene5149, Gene5948, Gene5916, Gene4677, Gene9849, Gene7908, Gene2373, Gene1315, Gene5780, Gene149, Gene2315, Gene5203, Gene1218, Gene6462, Gene3246, Gene167, Gene1277, Gene467, Gene7510, Gene7693, Gene6041, Gene2861, Gene4599, Gene5766, Gene942, Gene3140, Gene1890, Gene6638, Gene4160, Gene2389, Gene1123, Gene5047, Gene499, Gene414, Gene1446, Gene7761, Gene2622, Gene6977, Gene8482, Gene7923, Gene6015, Gene8236, Gene3663, Gene1896, Gene463, Gene4834, Gene1023, Gene4584, Gene6967, Gene3322, Gene6812, Gene202, Gene3107, Gene2534, Gene2751, Gene1305"
"16","24","Gene9545, Gene8054, Gene881, Gene4012, Gene5246, Gene7161, Gene2126, Gene5719, Gene9798, Gene7302, Gene1489, Gene9692, Gene9750, Gene3162, Gene6082, Gene8748, Gene6171, Gene945, Gene123, Gene3632, Gene3687, Gene5944, Gene281, Gene2985"
"7","51","Gene1242, Gene5283, Gene9220, Gene9908, Gene4839, Gene7099, Gene4513, Gene3450, Gene8193, Gene739, Gene5574, Gene2220, Gene7061, Gene3103, Gene1670, Gene1548, Gene3647, Gene1361, Gene6193, Gene9945, Gene7175, Gene3869, Gene285, Gene535, Gene893, Gene665, Gene2030, Gene8519, Gene1357, Gene6575, Gene9065, Gene4326, Gene2002, Gene7525, Gene4658, Gene3549, Gene8569, Gene3335, Gene9956, Gene6264, Gene3666, Gene6316, Gene9762, Gene8658, Gene2792, Gene825, Gene1837, Gene3309, Gene3756, Gene1508, Gene2586"
"13","27","Gene6741, Gene4536, Gene2096, Gene3983, Gene9764, Gene1546, Gene988, Gene2715, Gene7188, Gene6437, Gene849, Gene706, Gene3137, Gene8517, Gene108, Gene759, Gene6605, Gene954, Gene9252, Gene5278, Gene8195, Gene542, Gene8417, Gene5570, Gene3465, Gene9047, Gene545"
"2","179","Gene7545, Gene9649, Gene3194, Gene5441, Gene9498, Gene7687, Gene2386, Gene3074, Gene65, Gene3263, Gene9927, Gene8420, Gene7300, Gene7864, Gene1112, Gene3540, Gene6100, Gene6220, Gene8216, Gene9421, Gene8834, Gene3537, Gene3387, Gene5083, Gene7153, Gene9434, Gene9391, Gene571, Gene7588, Gene1888, Gene5921, Gene6176, Gene3056, Gene2214, Gene1385, Gene8599, Gene7578, Gene1091, Gene2768, Gene494, Gene2119, Gene4435, Gene3245, Gene5114, Gene2354, Gene5904, Gene8764, Gene5716, Gene7862, Gene7497, Gene4250, Gene4985, Gene5871, Gene9933, Gene5914, Gene7368, Gene2672, Gene6568, Gene4275, Gene2864, Gene686, Gene9039, Gene6293, Gene1506, Gene2095, Gene8726, Gene3308, Gene6105, Gene455, Gene6889, Gene4753, Gene1128, Gene2514, Gene4246, Gene9881, Gene4929, Gene8919, Gene360, Gene2800, Gene6125, Gene2269, Gene2668, Gene5767, Gene7403, Gene7183, Gene962, Gene368, Gene6288, Gene5189, Gene2740, Gene4561, Gene7781, Gene6174, Gene217, Gene6502, Gene3674, Gene129, Gene3683, Gene620, Gene1879, Gene4015, Gene486, Gene8780, Gene6195, Gene2684, Gene4231, Gene719, Gene4395, Gene2690, Gene8399, Gene1181, Gene1650, Gene3227, Gene6520, Gene6957, Gene1734, Gene1562, Gene8302, Gene5187, Gene4361, Gene8731, Gene6005, Gene5713, Gene5186, Gene83, Gene1312, Gene9023, Gene1419, Gene9686, Gene9599, Gene8665, Gene5776, Gene647, Gene7490, Gene8580, Gene8622, Gene6530, Gene1472, Gene1337, Gene7899, Gene639, Gene3618, Gene5669, Gene2209, Gene9767, Gene8458, Gene4092, Gene5263, Gene4374, Gene8260, Gene1098, Gene3587, Gene3940, Gene306, Gene9378, Gene7677, Gene9775, Gene2358, Gene5778, Gene8529, Gene7551, Gene5129, Gene4509, Gene3433, Gene4119, Gene2451, Gene9286, Gene8460, Gene4429, Gene7433, Gene4112, Gene1324, Gene8276, Gene9268, Gene7842, Gene5245, Gene6772, Gene1105, Gene1119"
"10","31","Gene4082, Gene4212, Gene6561, Gene8379, Gene8702, Gene4689, Gene5105, Gene8538, Gene6169, Gene646, Gene8892, Gene5978, Gene8060, Gene527, Gene3115, Gene343, Gene2139, Gene1025, Gene8203, Gene9841, Gene4503, Gene6155, Gene2695, Gene4163, Gene3714, Gene5586, Gene7710, Gene550, Gene4093, Gene9693, Gene4970"
"3","122","Gene8350, Gene1878, Gene5195, Gene1223, Gene5553, Gene8149, Gene3572, Gene5329, Gene8086, Gene3727, Gene3531, Gene476, Gene2464, Gene7458, Gene32, Gene4549, Gene4530, Gene1773, Gene2137, Gene1595, Gene5409, Gene241, Gene7451, Gene7410, Gene2799, Gene428, Gene9062, Gene3864, Gene2369, Gene9452, Gene348, Gene5348, Gene9813, Gene6083, Gene5667, Gene5400, Gene4628, Gene7611, Gene9782, Gene9827, Gene7558, Gene2067, Gene132, Gene6902, Gene808, Gene3426, Gene429, Gene9142, Gene14, Gene412, Gene2079, Gene193, Gene4211, Gene3682, Gene1366, Gene5862, Gene6197, Gene8823, Gene113, Gene1058, Gene9370, Gene1073, Gene1053, Gene6673, Gene4543, Gene2347, Gene208, Gene7828, Gene1766, Gene6299, Gene810, Gene8687, Gene7529, Gene2046, Gene636, Gene2966, Gene3639, Gene564, Gene2, Gene3745, Gene5213, Gene8720, Gene5021, Gene4418, Gene7044, Gene5611, Gene3964, Gene724, Gene7262, Gene7178, Gene2303, Gene508, Gene1630, Gene4107, Gene2101, Gene5141, Gene4734, Gene2081, Gene3592, Gene3328, Gene477, Gene3022, Gene3060, Gene6189, Gene7469, Gene3100, Gene2231, Gene6768, Gene249, Gene1436, Gene4453, Gene5252, Gene6903, Gene9167, Gene8581, Gene4960, Gene7446, Gene6978, Gene2620, Gene1115, Gene5188, Gene9833"
"11","29","Gene5799, Gene9701, Gene7322, Gene3913, Gene1973, Gene4994, Gene5736, Gene4208, Gene4909, Gene4571, Gene9339, Gene4922, Gene3445, Gene2444, Gene5391, Gene5502, Gene2166, Gene314, Gene185, Gene5156, Gene4514, Gene4416, Gene2390, Gene3876, Gene576, Gene1318, Gene4497, Gene3627, Gene7570"
"19","22","Gene4405, Gene7924, Gene5651, Gene9865, Gene5638, Gene4008, Gene6277, Gene2736, Gene321, Gene4100, Gene6670, Gene6092, Gene6849, Gene8802, Gene932, Gene6267, Gene6420, Gene5513, Gene4913, Gene2498, Gene1276, Gene9202"
