"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","1321","up","1","Gene8563"
"2","0","1321","down","491","Gene3302, Gene4752, Gene789, Gene9488, Gene3836, Gene7477, Gene293, Gene5745, Gene9757, Gene6966, Gene9199, Gene6285, Gene6195, Gene8589, Gene7217, Gene8753, Gene8184, Gene9533, Gene1881, Gene4209, Gene8770, Gene9636, Gene2997, Gene3523, Gene8440, Gene634, Gene2949, Gene7939, Gene9256, Gene9131, Gene6706, Gene8218, Gene1452, Gene4931, Gene9815, Gene9445, Gene6365, Gene7710, Gene1585, Gene5283, Gene714, Gene5939, Gene8344, Gene6441, Gene6116, Gene3605, Gene7416, Gene4048, Gene9013, Gene3437, Gene1960, Gene4795, Gene6991, Gene2363, Gene1759, Gene8625, Gene8423, Gene5511, Gene6229, Gene7952, Gene2675, Gene6574, Gene8388, Gene3042, Gene460, Gene269, Gene1476, Gene4214, Gene3079, Gene3883, Gene9986, Gene3526, Gene8726, Gene7144, Gene6622, Gene8526, Gene2117, Gene1180, Gene9371, Gene9597, Gene2163, Gene8426, Gene1897, Gene8688, Gene5261, Gene8606, Gene722, Gene7967, Gene5832, Gene6840, Gene8305, Gene2767, Gene9818, Gene5545, Gene3695, Gene2959, Gene3876, Gene6527, Gene1146, Gene249, Gene6050, Gene8633, Gene7774, Gene6020, Gene9194, Gene5321, Gene4975, Gene4022, Gene2239, Gene3315, Gene7907, Gene2836, Gene7733, Gene3163, Gene9537, Gene6120, Gene5052, Gene9586, Gene7803, Gene2907, Gene21, Gene7844, Gene4822, Gene6880, Gene4994, Gene4357, Gene6988, Gene267, Gene8766, Gene9909, Gene4063, Gene8522, Gene5500, Gene6137, Gene9457, Gene9944, Gene165, Gene1329, Gene1753, Gene3334, Gene5050, Gene1519, Gene5542, Gene5553, Gene4526, Gene9260, Gene8329, Gene557, Gene5083, Gene6664, Gene9983, Gene1883, Gene6109, Gene1906, Gene5417, Gene2580, Gene3890, Gene6929, Gene5308, Gene6930, Gene2801, Gene6751, Gene3693, Gene5623, Gene5223, Gene9493, Gene2513, Gene4153, Gene7420, Gene1704, Gene3985, Gene7972, Gene3358, Gene5449, Gene898, Gene2666, Gene1871, Gene4603, Gene4399, Gene2850, Gene3361, Gene8226, Gene3662, Gene9755, Gene8923, Gene378, Gene8772, Gene4873, Gene7088, Gene4915, Gene7131, Gene92, Gene6421, Gene3545, Gene6370, Gene1589, Gene2442, Gene1333, Gene4139, Gene5344, Gene6104, Gene5539, Gene955, Gene1850, Gene1444, Gene5785, Gene1740, Gene4501, Gene612, Gene8055, Gene8327, Gene1962, Gene6099, Gene9189, Gene2455, Gene9866, Gene1149, Gene1295, Gene9856, Gene5936, Gene6599, Gene9903, Gene2768, Gene4244, Gene8205, Gene8969, Gene5886, Gene4166, Gene8967, Gene8242, Gene1140, Gene2388, Gene9460, Gene8979, Gene4925, Gene242, Gene5027, Gene6784, Gene4411, Gene8651, Gene5038, Gene9108, Gene5718, Gene5115, Gene5743, Gene6012, Gene337, Gene2144, Gene361, Gene7714, Gene7866, Gene4817, Gene4539, Gene7412, Gene4761, Gene1401, Gene7799, Gene5592, Gene7079, Gene252, Gene1886, Gene432, Gene5976, Gene9921, Gene2528, Gene207, Gene7780, Gene6461, Gene3033, Gene1736, Gene1125, Gene8483, Gene4876, Gene9185, Gene3464, Gene3621, Gene62, Gene1921, Gene540, Gene118, Gene3622, Gene8925, Gene1218, Gene2566, Gene2390, Gene9748, Gene1608, Gene5000, Gene7618, Gene8377, Gene888, Gene4093, Gene7290, Gene3550, Gene2212, Gene7696, Gene4077, Gene622, Gene6038, Gene9483, Gene3365, Gene7480, Gene1933, Gene1038, Gene4307, Gene871, Gene2439, Gene2793, Gene7926, Gene3223, Gene8915, Gene36, Gene4268, Gene9904, Gene1767, Gene2449, Gene6752, Gene7746, Gene494, Gene923, Gene2336, Gene1375, Gene3744, Gene6205, Gene6995, Gene233, Gene9870, Gene4269, Gene2845, Gene9208, Gene3105, Gene9670, Gene7177, Gene8332, Gene2931, Gene8151, Gene9897, Gene7765, Gene3687, Gene4779, Gene7921, Gene1817, Gene7542, Gene1534, Gene9367, Gene8604, Gene3016, Gene5028, Gene4830, Gene2365, Gene8568, Gene9006, Gene6412, Gene5144, Gene1207, Gene1967, Gene2297, Gene4570, Gene4895, Gene1091, Gene9049, Gene2776, Gene6354, Gene8845, Gene8929, Gene3588, Gene3666, Gene5949, Gene6479, Gene4474, Gene4616, Gene1961, Gene7363, Gene7391, Gene2899, Gene551, Gene4505, Gene8908, Gene2751, Gene9566, Gene4036, Gene2918, Gene6868, Gene5380, Gene3940, Gene8993, Gene4242, Gene6097, Gene6922, Gene3199, Gene6996, Gene9215, Gene4623, Gene3530, Gene6244, Gene2340, Gene8208, Gene7555, Gene5826, Gene6029, Gene2765, Gene4403, Gene3751, Gene4704, Gene4905, Gene9546, Gene9081, Gene9452, Gene4530, Gene4262, Gene7963, Gene8976, Gene8121, Gene121, Gene4014, Gene1913, Gene1978, Gene1757, Gene6719, Gene213, Gene7347, Gene2038, Gene5360, Gene7845, Gene8506, Gene6889, Gene9284, Gene4510, Gene4019, Gene2523, Gene1788, Gene1838, Gene3811, Gene8816, Gene9192, Gene8959, Gene6813, Gene3631, Gene8442, Gene1009, Gene3189, Gene7991, Gene462, Gene1454, Gene4968, Gene3473, Gene5639, Gene3169, Gene4794, Gene1909, Gene9794, Gene9203, Gene8311, Gene4410, Gene8728, Gene4525, Gene7527, Gene448, Gene6942, Gene861, Gene7240, Gene218, Gene8091, Gene6275, Gene4995, Gene8674, Gene8156, Gene5324, Gene4254, Gene5888, Gene1088, Gene9575, Gene8481, Gene5009, Gene5812, Gene8479, Gene6023, Gene1090, Gene1081, Gene9097, Gene1414, Gene5818, Gene4535, Gene7946, Gene1239, Gene4498, Gene5938, Gene1424, Gene3583, Gene5165, Gene9337"
"3","1","1311","down","64","Gene7629, Gene2363, Gene7090, Gene2203, Gene4183, Gene8091, Gene3404, Gene3302, Gene3523, Gene789, Gene1950, Gene1519, Gene1081, Gene2340, Gene8184, Gene6285, Gene3663, Gene9199, Gene9488, Gene4752, Gene5805, Gene5908, Gene8563, Gene7733, Gene3836, Gene8772, Gene1581, Gene6816, Gene7477, Gene1960, Gene8341, Gene9566, Gene4795, Gene4749, Gene1447, Gene1370, Gene6031, Gene9757, Gene8589, Gene9331, Gene3086, Gene5813, Gene4209, Gene6116, Gene8388, Gene4670, Gene105, Gene5419, Gene5545, Gene293, Gene3350, Gene704, Gene714, Gene324, Gene92, Gene6441, Gene1375, Gene9723, Gene7799, Gene1753, Gene2566, Gene1010, Gene650, Gene6435"
"4","2","1081","down","107","Gene494, Gene5805, Gene3836, Gene9053, Gene2218, Gene3302, Gene9371, Gene2666, Gene4670, Gene6574, Gene9496, Gene8726, Gene7799, Gene7967, Gene9636, Gene612, Gene523, Gene5085, Gene6691, Gene9199, Gene8606, Gene6285, Gene2363, Gene3526, Gene789, Gene6764, Gene961, Gene2203, Gene8184, Gene5283, Gene4297, Gene9757, Gene7907, Gene8770, Gene219, Gene4059, Gene3523, Gene2513, Gene7477, Gene540, Gene2287, Gene6441, Gene4214, Gene1009, Gene8589, Gene8373, Gene4931, Gene4795, Gene9488, Gene5540, Gene3605, Gene3883, Gene2949, Gene9844, Gene9986, Gene4209, Gene6365, Gene6106, Gene1950, Gene5542, Gene5324, Gene8059, Gene1883, Gene982, Gene7972, Gene2340, Gene3237, Gene1561, Gene293, Gene4603, Gene4095, Gene8925, Gene9597, Gene5261, Gene6020, Gene4139, Gene1549, Gene3530, Gene5745, Gene9367, Gene5553, Gene8388, Gene5545, Gene9818, Gene8563, Gene6421, Gene8766, Gene634, Gene8091, Gene1850, Gene7991, Gene3189, Gene3361, Gene3236, Gene4063, Gene6195, Gene955, Gene8329, Gene7290, Gene9457, Gene6922, Gene5766, Gene7217, Gene9139, Gene2836, Gene650, Gene9533"
"5","3","1016","down","75","Gene4059, Gene1499, Gene9566, Gene9815, Gene7733, Gene6120, Gene4048, Gene9496, Gene7710, Gene9013, Gene6038, Gene6229, Gene6435, Gene6966, Gene4975, Gene7952, Gene5334, Gene3404, Gene5730, Gene3437, Gene2187, Gene378, Gene767, Gene2620, Gene5939, Gene269, Gene5511, Gene1759, Gene1883, Gene2449, Gene448, Gene3334, Gene3473, Gene3695, Gene9185, Gene3163, Gene9586, Gene3199, Gene3621, Gene1125, Gene7297, Gene2766, Gene3664, Gene6325, Gene6991, Gene5500, Gene1962, Gene4817, Gene1519, Gene4840, Gene888, Gene1986, Gene5813, Gene6195, Gene9866, Gene8604, Gene7177, Gene6527, Gene7375, Gene5165, Gene1881, Gene7470, Gene9870, Gene8792, Gene2997, Gene2144, Gene1935, Gene5745, Gene3237, Gene650, Gene8435, Gene4752, Gene1010, Gene8563, Gene9488"
"6","4","845","down","241","Gene1759, Gene6966, Gene6120, Gene4048, Gene9013, Gene9815, Gene4752, Gene1881, Gene4975, Gene7710, Gene3437, Gene6195, Gene5745, Gene6229, Gene8563, Gene2363, Gene9496, Gene7952, Gene5939, Gene6038, Gene6435, Gene2620, Gene2997, Gene6991, Gene789, Gene5511, Gene5730, Gene269, Gene8753, Gene9488, Gene7416, Gene6622, Gene1125, Gene8440, Gene8344, Gene6050, Gene3695, Gene3334, Gene5500, Gene3163, Gene4817, Gene3851, Gene7939, Gene9533, Gene9185, Gene7926, Gene5449, Gene7297, Gene8426, Gene5886, Gene1149, Gene3876, Gene2666, Gene2212, Gene7144, Gene5334, Gene3621, Gene3539, Gene888, Gene3836, Gene7217, Gene3302, Gene9371, Gene9636, Gene9076, Gene9866, Gene9857, Gene3622, Gene5344, Gene6285, Gene4840, Gene2388, Gene2580, Gene7177, Gene3473, Gene8218, Gene9944, Gene1962, Gene6527, Gene4153, Gene4229, Gene267, Gene8770, Gene2163, Gene9537, Gene9199, Gene9586, Gene8423, Gene2239, Gene9757, Gene8772, Gene4209, Gene4019, Gene8184, Gene9215, Gene9445, Gene4861, Gene8633, Gene8915, Gene9883, Gene6988, Gene4022, Gene6031, Gene9870, Gene7967, Gene2144, Gene2881, Gene293, Gene9897, Gene2117, Gene4411, Gene2455, Gene982, Gene4994, Gene3523, Gene6099, Gene2801, Gene7477, Gene7907, Gene8160, Gene9256, Gene1414, Gene6796, Gene7685, Gene3358, Gene971, Gene3478, Gene4234, Gene252, Gene9569, Gene2077, Gene5430, Gene2907, Gene8362, Gene6441, Gene7334, Gene2949, Gene8589, Gene9558, Gene7480, Gene9996, Gene1375, Gene8059, Gene9260, Gene5223, Gene165, Gene1367, Gene4795, Gene3811, Gene7930, Gene5743, Gene6104, Gene1239, Gene1740, Gene1757, Gene4158, Gene9986, Gene1935, Gene1401, Gene6239, Gene1838, Gene3595, Gene9203, Gene115, Gene3237, Gene9818, Gene1788, Gene1519, Gene7733, Gene634, Gene3883, Gene6068, Gene7088, Gene9921, Gene4183, Gene7827, Gene7845, Gene378, Gene9284, Gene3605, Gene8485, Gene9493, Gene4830, Gene7972, Gene6023, Gene9597, Gene7240, Gene6412, Gene4063, Gene8242, Gene1506, Gene9614, Gene8435, Gene8976, Gene4535, Gene8205, Gene4921, Gene8156, Gene3016, Gene689, Gene9457, Gene6834, Gene6996, Gene898, Gene6029, Gene9194, Gene5812, Gene2173, Gene9108, Gene6574, Gene1727, Gene1424, Gene923, Gene4159, Gene1090, Gene5553, Gene7746, Gene3664, Gene5542, Gene6137, Gene2513, Gene6072, Gene9734, Gene21, Gene5014, Gene8971, Gene1680, Gene3353, Gene8388, Gene3361, Gene9980, Gene5261, Gene2768, Gene8967, Gene7467, Gene8766, Gene6922, Gene8726, Gene2766, Gene6176, Gene650"
"7","5","684","up","3","Gene6435, Gene9337, Gene8435"
"8","5","684","down","558","Gene650, Gene4183, Gene6816, Gene523, Gene5334, Gene4749, Gene5730, Gene5832, Gene3851, Gene2559, Gene7685, Gene3404, Gene1897, Gene2806, Gene1753, Gene1329, Gene714, Gene2566, Gene1960, Gene1370, Gene1010, Gene3815, Gene1871, Gene1289, Gene1452, Gene4707, Gene8971, Gene9139, Gene8831, Gene854, Gene2503, Gene92, Gene9322, Gene2666, Gene9135, Gene1272, Gene4036, Gene5321, Gene8059, Gene9256, Gene2177, Gene7079, Gene5961, Gene1787, Gene6038, Gene1079, Gene409, Gene2620, Gene1466, Gene4920, Gene9857, Gene1056, Gene394, Gene6116, Gene9185, Gene4795, Gene7151, Gene5545, Gene3523, Gene3663, Gene4539, Gene5318, Gene9997, Gene8373, Gene5147, Gene1608, Gene6120, Gene736, Gene2083, Gene2187, Gene826, Gene6422, Gene2358, Gene4823, Gene8305, Gene5377, Gene4651, Gene847, Gene1180, Gene6572, Gene4161, Gene8184, Gene1081, Gene1935, Gene7941, Gene3086, Gene7337, Gene7663, Gene3302, Gene7866, Gene4718, Gene8680, Gene3163, Gene1476, Gene2960, Gene7361, Gene1114, Gene8887, Gene4229, Gene3200, Gene4636, Gene8485, Gene3985, Gene5115, Gene1414, Gene3691, Gene6833, Gene85, Gene7357, Gene5431, Gene8906, Gene7720, Gene6861, Gene494, Gene1125, Gene8855, Gene2836, Gene7297, Gene8526, Gene9496, Gene2074, Gene4426, Gene525, Gene9182, Gene2203, Gene9558, Gene2766, Gene8631, Gene9815, Gene9890, Gene6827, Gene7717, Gene4851, Gene410, Gene8034, Gene1293, Gene3266, Gene5014, Gene7375, Gene8508, Gene4832, Gene2959, Gene9064, Gene5860, Gene3797, Gene8388, Gene2212, Gene572, Gene4869, Gene4023, Gene982, Gene5886, Gene1991, Gene4264, Gene2087, Gene3108, Gene6134, Gene6130, Gene1365, Gene8606, Gene1358, Gene9891, Gene6794, Gene292, Gene7084, Gene9493, Gene7573, Gene5939, Gene2580, Gene2033, Gene4503, Gene9053, Gene9039, Gene1567, Gene6664, Gene6285, Gene7326, Gene7710, Gene3788, Gene7628, Gene3241, Gene6766, Gene979, Gene4029, Gene3621, Gene9699, Gene2536, Gene9199, Gene2331, Gene4576, Gene1767, Gene1609, Gene2236, Gene9013, Gene4418, Gene8770, Gene6103, Gene4399, Gene3750, Gene8294, Gene2409, Gene3539, Gene7696, Gene4596, Gene4193, Gene2206, Gene9903, Gene7629, Gene4752, Gene9980, Gene2200, Gene6704, Gene62, Gene7527, Gene7799, Gene8947, Gene3473, Gene3526, Gene6942, Gene3237, Gene8438, Gene6555, Gene6410, Gene8969, Gene6560, Gene3509, Gene9977, Gene5845, Gene3955, Gene8445, Gene8864, Gene8413, Gene7486, Gene4185, Gene6229, Gene4242, Gene4357, Gene2853, Gene249, Gene1220, Gene9942, Gene5186, Gene9076, Gene9441, Gene6554, Gene3359, Gene9367, Gene9283, Gene9131, Gene9036, Gene6408, Gene8760, Gene5222, Gene5949, Gene7594, Gene849, Gene8362, Gene1950, Gene2295, Gene8372, Gene3529, Gene146, Gene7468, Gene6106, Gene633, Gene9885, Gene2837, Gene3422, Gene8075, Gene4490, Gene6784, Gene2202, Gene8928, Gene7930, Gene94, Gene5086, Gene8473, Gene9644, Gene6299, Gene3216, Gene9371, Gene3315, Gene1759, Gene1350, Gene3007, Gene3919, Gene789, Gene4440, Gene3296, Gene7689, Gene6478, Gene3236, Gene434, Gene7088, Gene115, Gene1742, Gene308, Gene219, Gene9357, Gene4046, Gene9514, Gene7952, Gene7090, Gene4668, Gene2551, Gene1345, Gene2449, Gene2949, Gene1521, Gene3891, Gene2746, Gene3303, Gene6740, Gene9331, Gene7303, Gene7477, Gene6202, Gene775, Gene7411, Gene9097, Gene8327, Gene9551, Gene302, Gene8589, Gene6621, Gene6297, Gene1456, Gene5792, Gene8226, Gene7641, Gene1894, Gene4977, Gene2092, Gene423, Gene5027, Gene5279, Gene6751, Gene5755, Gene9592, Gene1441, Gene8208, Gene3063, Gene1048, Gene1297, Gene9948, Gene9015, Gene4975, Gene1253, Gene9826, Gene9435, Gene185, Gene1669, Gene4200, Gene3111, Gene6579, Gene5283, Gene36, Gene1181, Gene156, Gene7398, Gene2073, Gene645, Gene7763, Gene2683, Gene2243, Gene5324, Gene2150, Gene3394, Gene3251, Gene5675, Gene7801, Gene3176, Gene3674, Gene7075, Gene3586, Gene9597, Gene6365, Gene8121, Gene5937, Gene6360, Gene293, Gene7772, Gene4019, Gene6998, Gene9958, Gene9298, Gene1680, Gene3696, Gene3664, Gene512, Gene2270, Gene9463, Gene8215, Gene1344, Gene2751, Gene8796, Gene2643, Gene6441, Gene3883, Gene2592, Gene4262, Gene425, Gene6871, Gene931, Gene5802, Gene9362, Gene4269, Gene2529, Gene2523, Gene5511, Gene7961, Gene7138, Gene4261, Gene102, Gene3159, Gene1207, Gene2383, Gene3334, Gene8100, Gene6606, Gene2430, Gene1794, Gene324, Gene2736, Gene9935, Gene9996, Gene3079, Gene4294, Gene7967, Gene540, Gene5406, Gene2899, Gene1926, Gene489, Gene7177, Gene5175, Gene648, Gene5754, Gene1615, Gene1131, Gene6425, Gene8753, Gene9369, Gene7774, Gene328, Gene3335, Gene5839, Gene7991, Gene9536, Gene2099, Gene6057, Gene4238, Gene6020, Gene2242, Gene1707, Gene6137, Gene4061, Gene4912, Gene5125, Gene7311, Gene269, Gene7334, Gene1842, Gene5261, Gene4214, Gene9962, Gene9561, Gene8578, Gene8755, Gene1881, Gene4689, Gene5728, Gene7898, Gene7827, Gene5826, Gene8895, Gene6660, Gene9670, Gene4244, Gene8556, Gene6823, Gene7560, Gene2030, Gene9897, Gene9108, Gene1580, Gene698, Gene3723, Gene4483, Gene732, Gene3831, Gene4982, Gene9866, Gene7409, Gene1861, Gene9986, Gene212, Gene3518, Gene5913, Gene5308, Gene2765, Gene6996, Gene3254, Gene4209, Gene1279, Gene7775, Gene8766, Gene634, Gene2356, Gene9673, Gene4417, Gene398, Gene8605, Gene9488, Gene2016, Gene721, Gene8329, Gene2871, Gene4775, Gene8915, Gene3530, Gene6574, Gene4437, Gene1187, Gene8726, Gene1505, Gene7699, Gene4995, Gene2173, Gene3353, Gene7907, Gene6923, Gene8976, Gene1239, Gene833, Gene2077, Gene689, Gene6529, Gene9194, Gene7235, Gene1909, Gene8377, Gene6023, Gene601, Gene4550, Gene6592, Gene9723, Gene9094, Gene21, Gene4063, Gene3695, Gene921, Gene9818, Gene6176, Gene9260, Gene1375, Gene8563, Gene9757"
"9","6","481","down","164","Gene6880, Gene650, Gene9757, Gene3509, Gene4752, Gene7692, Gene1881, Gene92, Gene5832, Gene9337, Gene2363, Gene6858, Gene5856, Gene789, Gene1960, Gene971, Gene1405, Gene523, Gene3302, Gene4440, Gene1897, Gene3523, Gene8563, Gene9488, Gene4229, Gene9215, Gene9256, Gene1753, Gene6116, Gene6816, Gene4749, Gene3404, Gene8753, Gene6966, Gene8184, Gene6285, Gene9199, Gene2566, Gene5745, Gene7926, Gene4795, Gene166, Gene3437, Gene1359, Gene8770, Gene5321, Gene1329, Gene7416, Gene6991, Gene4869, Gene1010, Gene2740, Gene4539, Gene7376, Gene7477, Gene4323, Gene6195, Gene8435, Gene3985, Gene7079, Gene7941, Gene2806, Gene1759, Gene1476, Gene7594, Gene8388, Gene8440, Gene9445, Gene2949, Gene9533, Gene2997, Gene4036, Gene5283, Gene7217, Gene8305, Gene293, Gene1081, Gene5805, Gene7088, Gene9493, Gene8614, Gene4153, Gene4136, Gene6996, Gene3086, Gene8423, Gene634, Gene2503, Gene714, Gene2836, Gene5511, Gene8589, Gene4022, Gene9636, Gene9108, Gene4418, Gene6441, Gene5500, Gene6252, Gene9818, Gene4209, Gene1466, Gene5545, Gene7939, Gene1272, Gene3622, Gene2617, Gene3920, Gene6060, Gene6988, Gene1767, Gene4982, Gene7866, Gene6606, Gene2203, Gene2340, Gene9597, Gene6020, Gene4994, Gene36, Gene3883, Gene1370, Gene7527, Gene1375, Gene267, Gene9013, Gene1740, Gene3836, Gene9870, Gene324, Gene21, Gene5637, Gene9260, Gene6664, Gene4505, Gene4823, Gene2163, Gene1091, Gene6622, Gene3797, Gene9194, Gene7629, Gene8329, Gene3876, Gene9903, Gene4975, Gene4357, Gene8327, Gene9986, Gene1906, Gene8969, Gene4063, Gene5261, Gene7335, Gene6784, Gene5308, Gene2117, Gene1447, Gene4411, Gene5027, Gene398, Gene1454, Gene8726, Gene8766"
