,#genes,genes
0,408,"['1700011I03Rik', '2810408I11Rik', '4732465J04Rik', '4930402F11Rik', '4930509G22Rik', '4930577N17Rik', '4930599N23Rik', '6330420H09Rik', 'AA414768', 'Adam8', 'Adgb', 'Ano1', 'B3gnt2', 'Ccdc153', 'Ccnjl', 'Cldn3', 'Cmtm8', 'Crlf1', 'Dnah12', 'Dynap', 'Fam216b', 'Fat4', 'Frmpd2', 'Gcdh', 'Gm10330', 'Gm10730', 'Gm11131', 'Gm11149', 'Gm11867', 'Gm12029', 'Gm12928', 'Gm13448', 'Gm14120', 'Gm14182', 'Gm14574', 'Gm1527', 'Gm15731', 'Gm16046', 'Gm16161', 'Gm19552', 'Gm22165', 'Gm22632', 'Gm2396', 'Gm26830', 'Gm27332', 'Gm28721', 'Gm28906', 'Gm29627', 'Gm30725', 'Gm31343', 'Gm3164', 'Gm34066', 'Gm37173', 'Gm37176', 'Gm37606', 'Gm37725', 'Gm37732', 'Gm38001', 'Gm42429', 'Gm42549', 'Gm42656', 'Gm42681', 'Gm42891', 'Gm43068', 'Gm43408', 'Gm43982', 'Gm43985', 'Gm44584', 'Gm45295', 'Gm45504', 'Gm5346', 'Gm6717', 'Gm7499', 'Gm7593', 'Gm9061', 'Gpr139', 'Gpr179', 'Grp', 'Hist1h3a', 'Hs3st4', 'Htr5b', 'Jun', 'Map1b', 'March4', 'Met', 'Mir133a-1hg', 'Mrgprd', 'Nr1d1', 'Obox3-ps7', 'Olfr51', 'Olfr55', 'Olfr8', 'Olfr847', 'Pcdhgb7', 'Pitx1', 'Pla2g2d', 'Ppbp', 'Ppp1r32', 'RP23-190N21.2', 'RP23-258F9.4', 'RP23-392I13.15', 'RP23-47A1.2', 'RP24-264F17.6', 'RP24-86H17.1', 'Rab44', 'Rap1a-ps2', 'Rpl10', 'Rps21', 'Slc32a1', 'Slc35d2', 'Slc6a4', 'Slurp1', 'Snora73b', 'Snora78', 'Spint4', 'Tgfbr3l', 'Tlx1os', 'Tmcc3os', 'Vmn1r237', 'Vmn2r74', 'mt-Tc', '2210011C24Rik', 'Amigo2', 'Chrna3', 'Chrnb3', 'Dgat2', 'Dnali1', 'Dsp', 'E330018M18Rik', 'Gad2', 'Gm13627', 'Gm33366', 'Gm36669', 'Gm43299', 'Gm5130', 'Gng8', 'Gpr151', 'Igfbp5', 'Mrgprf', 'Nhlh2', 'Olfr1508', 'Pcdh20', 'Pmch', 'Postn', 'Rpl41', 'Scube1', 'Six3', 'Slc44a5', 'Syt2', 'Tspan18', 'Umodl1', 'Wif1', 'Zic4', 'AW551984', 'C1ql2', 'Cabp7', 'Calb2', 'Cartpt', 'Doc2b', 'Gm14029', 'Gm5741', 'Irx2', 'Lrrc55', 'Lypd6', 'Necab2', 'Nwd2', 'Penk', 'Pou4f1', 'Ppp1r1b', 'Prox1', 'Rfx3', 'Slc5a7', 'Sncg', 'Stxbp6', 'Tac1', 'Tac2', 'Tshz2', 'Wfs1', 'mt-Nd4', 'Ahi1', 'Calb1', 'Cbln4', 'Cebpd', 'Celf4', 'Crym', 'Efnb3', 'Gaa', 'Gfap', 'Gm26917', 'Gm42418', 'Gm6272', 'Gpr101', 'Gria1', 'Kctd4', 'Kif5a', 'Lars2', 'Lct', 'Lhx9', 'Lypd1', 'Meis2', 'Mir6240', 'Myh7', 'Nap1l5', 'Nkx2-4', 'Nnat', 'Npy2r', 'Nr2f2', 'Pcdh8', 'Pip5k1a', 'Pitx2', 'Pkia', 'Plcxd2', 'Rn18s-rs5', 'Rps12', 'Stmn1', 'Stum', 'Trhr', 'Tspyl4', 'Wdr6', 'Zbtb20', 'mt-Cytb', '2010204K13Rik', '2900052N01Rik', '6330403K07Rik', 'Ache', 'Adcyap1', 'Akr7a5', 'Apc', 'Aqp4', 'BC039966', 'Baiap3', 'Bex1', 'Bex2', 'Camk1g', 'Camk2d', 'Carhsp1', 'Cbln2', 'Cdh13', 'Cfl1', 'Chn2', 'Clu', 'Cox7c', 'Crim1', 'Dbi', 'Dlk1', 'Dnajc27', 'Dner', 'Dock10', 'Eef1a1', 'Epha5', 'Esr1', 'Fabp7', 'Fam196b', 'Fgf13', 'Fhl1', 'Fxyd6', 'Gab1', 'Gap43', 'Gm10126', 'Gm11628', 'Gm12346', 'Gm1821', 'Gm2115', 'Gm23134', 'Gm3511', 'Gm6061', 'Gm7618', 'Gnas', 'Gprasp2', 'Gpx3', 'Gstp1', 'Hap1', 'Hdc', 'Hopx', 'Hpcal1', 'Hrk', 'Impact', 'Insig1', 'Itm2c', 'Itpk1', 'Kcnj5', 'Klhl13', 'Krt2', 'Ksr1', 'Lhfpl3', 'Lmo1', 'Ly6h', 'Marcksl1', 'Mif', 'Mir6236', 'Ncam1', 'Ndn', 'Nfix', 'Ngb', 'Nova1', 'Nrip2', 'Nrsn2', 'Nts', 'Otof', 'Pak3', 'Pcdh17', 'Pcdh19', 'Pdyn', 'Pea15a', 'Pkp4', 'Pla2g16', 'Plekha5', 'Plxnc1', 'Pnck', 'Pnmal1', 'Podxl2', 'Prdx1', 'Prkg2', 'Prmt2', 'RP23-55G19.3', 'Rarres2', 'Rcn2', 'Resp18', 'Rgs17', 'Rgs9', 'Rnd2', 'Rpl11', 'Rpl22l1', 'Rpl3', 'Rpl6', 'Rplp1', 'Rprm', 'Rps15', 'Rps19', 'Rps29', 'Scn3b', 'Sfrp5', 'Slc18a2', 'Slc22a17', 'Snhg11', 'Snrk', 'Sox9', 'St6galnac5', 'Syt17', 'Thra', 'Tiam1', 'Tmcc2', 'Tmem130', 'Tmem255a', 'Tmem263', 'Tppp3', 'Trpc7', 'Tspan33', 'Tuba1a', 'Tubb2a', 'Tubb5', 'Uba52', 'Unc5d', 'Usmg5', 'Usp29', 'Vat1', 'Vstm2l', 'Wbscr17', 'Wdr89', 'Ypel3', 'Zcchc12', 'Zdbf2', 'Zic5', 'Zwint', 'mt-Ta', 'mt-Th', 'mt-Ti', 'mt-Tl2', 'Acvr2a', 'Cachd1', 'Cadm1', 'Caly', 'Cdh4', 'Ctxn2', 'Eml2', 'Filip1', 'Gabrg1', 'Glra3', 'Gm10169', 'Gm11725', 'Gm12918', 'Gm15564', 'Itih3', 'Kif5b', 'Macf1', 'Mapk3', 'Pcbd1', 'Peg3', 'Ptpro', 'Rbfox2', 'Rpl28', 'Scg2', 'Timp2', 'Trp53i11', 'Zcchc18', 'B630019K06Rik', 'Chchd2', 'Dzank1', 'Gm8648', 'Gstm1', 'Hs6st2', 'Igsf1', 'Itgb8', 'Plppr1', 'Tmie', 'Tox3', 'mt-Tr', 'Ptprz1']"
1,148,"['Gm15894', 'Gm22130', 'Gm23305', 'Gm23796', 'Gm25672', 'Gm37707', 'Gm7931', 'Olfr1020', 'RP24-87E7.2', 'Srpx', 'Gm24105', 'Vim', 'Gm10925', 'Gm22122', 'Gm22513', 'Gm24305', 'Gm24407', 'Gm24459', 'Gm25179', 'Gm25581', 'Gm25682', 'Gm28437', 'Gm28661', 'Gpr88', 'mt-Co1', 'mt-Nd1', 'App', 'Gm10076', 'Gm13341', 'Gm20594', 'Gm22249', 'Gm22614', 'Gm22634', 'Gm23287', 'Gm23445', 'Gm23624', 'Gm23971', 'Gm23973', 'Gm24146', 'Gm24265', 'Gm24447', 'Gm25106', 'Gm26035', 'Gm26444', 'Gm26461', 'Nsg2', 'Ptgds', 'Rn7s1', 'Rn7s2', 'Rn7sk', 'Rnu2-10', 'Rnu5g', 'Rps8', 'Vip', 'mt-Co2', 'mt-Nd3', 'mt-Nd5', 'mt-Rnr1', 'mt-Rnr2', 'Alcam', 'Ankrd13c', 'Arhgap26', 'Ccni', 'Cst3', 'Ctsb', 'Dpp10', 'Elavl4', 'Fam221b', 'Fam234b', 'Gabra3', 'Gm11353', 'Gm11407', 'Gm17494', 'Gm20721', 'Gm22451', 'Gm22739', 'Gm23238', 'Gm23240', 'Gm23345', 'Gm23661', 'Gm24497', 'Gm24695', 'Gm25288', 'Gm25587', 'Gm25679', 'Gm25890', 'Gm25937', 'Gm25939', 'Gm26110', 'Gm26316', 'Gm26723', 'Gm29257', 'Gm37108', 'Gm5687', 'Gm6969', 'Mfge8', 'Mgp', 'Necab1', 'Nov', 'Nxph1', 'Olfr77', 'Pgrmc1', 'Prkacb', 'Ptn', 'Reln', 'Rpl19', 'Rpl19-ps11', 'Rpl35a', 'Rps8-ps1', 'Rpsa', 'Rpsa-ps2', 'Slc1a3', 'Slc6a1', 'Stmn2', 'Syt11', 'Tmem30a', 'Tspan13', 'Zdhhc2', 'mt-Atp8', 'mt-Nd2', 'mt-Nd4l', 'Ccnd1', 'Cd34', 'Fam19a1', 'Gm13623', 'Gm20659', 'Gm23330', 'Gm24136', 'Gm24968', 'Gm26505', 'Gm26906', 'Kcnf1', 'Marcks', 'Matr3', 'Nap1l2', 'Ndfip2', 'Pitpnm3', 'Ppme1', 'RP23-149L23.1', 'mt-Nd6', 'Gm28438', 'Mal2', 'Ntm', 'Plxnd1', 'Rps26', 'Sgip1', 'Ubqln2', 'Ywhab']"
2,47,"['Cd63', 'Cdkn1c', 'Clic6', 'Col8a1', 'Col9a3', 'Cox8b', 'Crb3', 'Defb10', 'Drc7', 'F5', 'Gm5096', 'Il25', 'Krt18', 'Krt8', 'Lbp', 'Msx1', 'Rbm47', 'Serpina1a', 'Slc13a4', 'Sostdc1', 'Sult1c2', 'Tgfb2', 'Tmem72', 'Vpreb1', 'Wdr86', '1500015O10Rik', 'Calml4', 'Cldn2', 'Col8a2', 'Folr1', 'Gsn', 'Igfbp2', 'Kcne2', 'Kcnj13', 'Kl', 'Lhb', 'Otx2', 'Rdh5', 'Sulf1', 'Car12', 'Enpp2', 'Igf2', 'Tmem212', 'Ttr', 'Cd9', 'Htr2c', 'Vat1l']"
3,489,"['Ankrd63', 'Gm10706', 'Gm12671', 'Gm26244', 'Gm42788', 'Gm45621', 'Gm6729', 'Gm765', 'Ighg2c', 'Mas1', 'Nsf', 'Pou3f1', 'Ryr2', 'Sh3gl2', 'Slc7a14', 'Sphkap', 'Spink8', 'Trpc6', 'Zfpm2', 'Ctgf', 'Dynll1', 'Epha7', 'Grm2', 'Plekha2', 'Ppfia2', 'Prdm8', 'Ptprd', 'Synpr', '3110035E14Rik', 'Bhlhe22', 'Btbd3', 'C1ql3', 'Fam163b', 'Gad1', 'Hpca', 'Igfbp4', 'Kcnip2', 'Limd2', 'Lrrc10b', 'Nfib', 'Nr4a2', 'Ptk2b', 'Wipf3', '2010300C02Rik', 'Adcy1', 'Ano3', 'Atp1a1', 'Atp2b1', 'Bcl11b', 'Calm1', 'Calm3', 'Camk2a', 'Camk2n1', 'Cck', 'Cdk5r1', 'Cnih2', 'Cplx2', 'Cpne6', 'Cyfip2', 'Ddit4l', 'Ddn', 'Dgkz', 'Dlgap1', 'Dlgap3', 'Eef1a2', 'Enc1', 'Etl4', 'Fam19a2', 'Fxyd7', 'Gria2', 'Icam5', 'Iqgap2', 'Itpr1', 'Jph4', 'Kalrn', 'Lamp5', 'Ncdn', 'Ndrg4', 'Neurod2', 'Nptx1', 'Nr3c2', 'Nrgn', 'Nrxn1', 'Olfm1', 'Pde1a', 'Pgm2l1', 'Phyhip', 'Ppp3ca', 'Prkcb', 'Psd', 'Psd3', 'Rasgrf2', 'Rasgrp1', 'Scn1b', 'Sema7a', 'Snap25', 'Sowaha', 'Stac2', 'Stx1a', 'Stxbp1', 'Syn1', 'Tcf4', 'Tmsb4x', 'Vsnl1', 'Ywhaz', 'Zbtb18', '1110008P14Rik', '1700020I14Rik', '9130024F11Rik', '9330121K16Rik', '9430020K01Rik', 'AI593442', 'Actn1', 'Actr3', 'Adgrb2', 'Agap2', 'Ak5', 'Akap5', 'Anks1b', 'Anxa11', 'Arc', 'Arf3', 'Arhgap32', 'Arhgap33', 'Arhgap39', 'Arpc5', 'Asap1', 'Atp1b1', 'Atp2b2', 'Atp2b4', 'Atp6v1g2', 'Baiap2', 'Brinp1', 'Bsn', 'Cabp1', 'Cacna2d1', 'Cacnb3', 'Cacnb4', 'Cadps2', 'Calm2', 'Caln1', 'Camk2b', 'Camk2g', 'Camk4', 'Camkk2', 'Camkv', 'Camta2', 'Cap1', 'Car10', 'Cbx6', 'Cd47', 'Cdk17', 'Cdr1', 'Cebpb', 'Cecr6', 'Celf2', 'Celf5', 'Chn1', 'Chst1', 'Clstn1', 'Cnksr2', 'Cnr1', 'Crip2', 'Cspg5', 'Ctxn1', 'Cux1', 'Cux2', 'Cx3cl1', 'Cyp46a1', 'Dab1', 'Dbpht2', 'Dclk1', 'Dgkb', 'Dkk3', 'Dlg1', 'Dlg2', 'Dlg4', 'Dlgap4', 'Dnm1', 'Doc2a', 'Dusp14', 'Dusp6', 'Efhd2', 'Efnb2', 'Egr1', 'Egr4', 'Elmod1', 'Epb41l1', 'Epha4', 'Epn1', 'Erc2', 'Fam131a', 'Fam49a', 'Fam81a', 'Fbxl16', 'Fhod3', 'Fkbp1a', 'Fmnl1', 'Foxg1', 'Foxp1', 'Gabra1', 'Galnt9', 'Garnl3', 'Gas7', 'Git1', 'Glrb', 'Gnb4', 'Gng3', 'Golm1', 'Gpd1', 'Gpm6a', 'Gpm6b', 'Gpr26', 'Grin2a', 'Grm5', 'Gucy1a3', 'Hcn1', 'Hecw1', 'Homer1', 'Hpcal4', 'Hs3st2', 'Id2', 'Ids', 'Ipcef1', 'Itpka', 'Kcnab1', 'Kcnab2', 'Kcnab3', 'Kcng1', 'Kcnh7', 'Kcnk1', 'Klc1', 'Klf13', 'Klf9', 'Klhl2', 'Ldha', 'Lingo1', 'Lmo3', 'Map1a', 'Map2', 'Map2k1', 'Mapk1', 'Mapk10', 'Mapre3', 'Mast3', 'Mef2c', 'Mgll', 'Mical2', 'Mink1', 'Mkl2', 'Mpc2', 'Mpp2', 'Mpped1', 'Myt1l', 'Ncald', 'Nckap1', 'Ndrg3', 'Ndufa4', 'Nectin1', 'Nedd4l', 'Nefl', 'Neto2', 'Neurl1a', 'Nol4', 'Nptn', 'Nptx2', 'Nptxr', 'Nr4a1', 'Nrn1', 'Nrsn1', 'Nrxn2', 'Nrxn3', 'Nudt4', 'Olfm2', 'Orai2', 'Osbpl1a', 'Ovol2', 'Oxr1', 'Pak1', 'Pantr1', 'Pcsk2', 'Phf24', 'Pip5k1c', 'Pitpnm2', 'Plppr4', 'Ppp1r16b', 'Ppp1r1a', 'Ppp3r1', 'Prkar1b', 'Prkca', 'Prkce', 'Ptgs2', 'Ptprj', 'Purb', 'R3hdm4', 'Rab15', 'Rab40b', 'Rab6a', 'Rab6b', 'Rapgef4', 'Rasgef1a', 'Rasgef1c', 'Rbfox3', 'Rims1', 'Rnf112', 'Rprml', 'Rtn1', 'Rtn4rl1', 'Satb2', 'Selenow', 'Sema3a', 'Sept11', 'Serpini1', 'Sh3bgrl3', 'Sipa1l1', 'Slc17a7', 'Slc1a2', 'Slc30a3', 'Slc30a4', 'Slc8a2', 'Slit1', 'Snca', 'Sorbs2', 'Sort1', 'Spred1', 'Spry2', 'Sptan1', 'Sptbn2', 'Src', 'Sst', 'Strbp', 'Stx1b', 'Sv2b', 'Syn2', 'Synpo', 'Syt1', 'Syt4', 'Syt7', 'Sytl2', 'Tbc1d9', 'Tbr1', 'Tcf25', 'Tiam2', 'Tmem215', 'Tpm1', 'Trim2', 'Trim46', 'Trim9', 'Tspan7', 'Ttc3', 'Ttc9b', 'Tusc3', 'Tyro3', 'Ube2ql1', 'Unc13a', 'Wasf1', 'Ywhag', 'Ywhah', 'Zeb2', 'Zfp365', '1110032F04Rik', 'Abi2', 'Actb', 'Ankrd33b', 'Arpp19', 'Arpp21', 'Atp6v1a', 'B3gat1', 'Basp1', 'Btbd10', 'Cacng3', 'Cadm2', 'Camk1d', 'Cap2', 'Ccl27a', 'Ccl27b', 'Cdc42bpa', 'Cdkl4', 'Chgb', 'Clstn2', 'Cobl', 'Diras2', 'Dnaja2', 'Dnajc21', 'Eid1', 'Ephx4', 'Fam212b', 'Fhl2', 'Fosl2', 'Frmd6', 'Gabrg2', 'Gda', 'Gfod1', 'Gm10419', 'Gm11549', 'Gm13306', 'Gnao1', 'Grasp', 'Gria3', 'Gtdc1', 'Gucy1b3', 'Hivep2', 'Ier5', 'Igfbp6', 'Ighm', 'Junb', 'Kcnh3', 'Kcnj4', 'Kcnq5', 'Kcnv1', 'Kctd1', 'Khdrbs3', 'Lmo4', 'Lrrc4c', 'Lrrk2', 'Lzts1', 'Midn', 'Mmp17', 'Mtcl1', 'Mtpn', 'Napb', 'Negr1', 'Neurod6', 'Ngef', 'Nlk', 'Npas4', 'Npy', 'Numb', 'Osbp2', 'Pak6', 'Pak7', 'Paqr9', 'Pde8b', 'Pdzrn3', 'Phactr1', 'Plcb1', 'Pld3', 'Plk2', 'R3hdm1', 'Rabgap1l', 'Rbfox1', 'Rgl1', 'Rnf187', 'Rock2', 'Satb1', 'Scn2a', 'Sept8', 'Sidt1', 'Slc39a10', 'Sorl1', 'Syt16', 'Thrb', 'Tmem178', 'Tspan5', 'Usp46', 'Ap1s1', 'Atl1', 'Bcl11a', 'Bhlhe40', 'Cckbr', 'D1Ertd622e', 'Dnajb5', 'Dusp3', 'Ensa', 'Epop', 'Etv5', 'Fbxw7', 'Flrt2', 'Gabrb3', 'Herc3', 'Jdp2', 'Jph3', 'Kcnh1', 'Krt12', 'Lrrc8b', 'Napa', 'Opcml', 'Phlda1', 'Pou6f1', 'Ppp1r9a', 'Ppp2r2c', 'R3hdm2', 'Robo2', 'Sertad1', 'Sirpa', 'Syne1', 'Tacc1', 'Tsnax', 'Tuba4a']"
4,351,"['1700019D03Rik', 'Atp6ap2', 'Cited1', 'Fkbp4', 'Gm43024', 'Gm7190', 'Inpp5a', 'Mctp2', 'Olfr374', 'Olfr700', 'Pstpip1', 'Rorb', 'Sgpp2', 'Syt9', 'Tnc', 'Cbln1', 'Cd59a', 'Cpe', 'Ctxn3', 'Eps8l2', 'Ermn', 'Fzd5', 'Gm13340', 'Lypd6b', 'Mal', 'Mbp', 'Mobp', 'Ogfrl1', 'Ppp1r14a', 'Pvalb', 'Rgs4', 'Sez6', 'Supt7l', 'Abhd12b', 'Adarb1', 'Adgrf5', 'Aldoa', 'Aldoc', 'Amotl1', 'Apod', 'Atp2a2', 'Bok', 'Camk2n2', 'Car2', 'Cit', 'Cldn11', 'Cplx1', 'Cpne9', 'Cryab', 'Edil3', 'Elmo1', 'F2r', 'Foxp2', 'Fth1', 'Gabra4', 'Gatm', 'Glra1', 'Gm29216', 'Gpr153', 'Grm1', 'Hlf', 'Il33', 'Ildr2', 'Kcnc2', 'Kitl', 'Kndc1', 'Ldhb', 'Lhfp', 'Lrrc17', 'Mag', 'Meg3', 'Nat8l', 'Ndrg1', 'Ndrg2', 'Nefh', 'Nefm', 'Nexn', 'Nsmf', 'Ntng1', 'Opn3', 'Patj', 'Pcp4', 'Pcp4l1', 'Pcsk1n', 'Pdp1', 'Plcb4', 'Plekhb1', 'Plekhg1', 'Plp1', 'Prkcd', 'Prkch', 'Ptpn3', 'Ptpn4', 'Rab37', 'Rab3c', 'Ramp3', 'Rap1gds1', 'Rbms3', 'Rgs16', 'Rims3', 'Rora', 'Scrt1', 'Sema5a', 'Shank3', 'Shisa6', 'Shox2', 'Slc12a2', 'Slc6a11', 'Sncb', 'Sparcl1', 'Spock1', 'Spock2', 'Spock3', 'Sptbn1', 'Synpo2', 'Tmsb10', 'Tnnt1', 'Trf', 'Tspan2', 'Tubb4a', 'Uchl1', 'Unc13c', 'Vamp1', 'Vav3', 'Zic1', 'mt-Tn', 'mt-Tv', '1810041L15Rik', '9330162G02Rik', 'Abat', 'Abca2', 'Acsbg1', 'Adamts19', 'Adarb2', 'Adora1', 'Adprh', 'Adra1b', 'Aldh1a1', 'Anln', 'Aplp1', 'Apoe', 'Atp1a2', 'Atp5b', 'Atxn1', 'Bend6', 'Cacna1g', 'Cacng5', 'Ccdc136', 'Cdkl5', 'Chchd10', 'Ckb', 'Ckmt1', 'Clic4', 'Clmn', 'Cnp', 'Cntn2', 'Csrp1', 'Ctnnb1', 'Cttnbp2', 'Cxx1a', 'Cxx1b', 'Dagla', 'Dbndd1', 'Ddah1', 'Dnm3', 'Dynll2', 'Elavl2', 'Eml1', 'Epn3', 'Evi2a', 'Fa2h', 'Fam20c', 'Fgf1', 'Fgfr2', 'Fign', 'Fndc5', 'Fth-ps3', 'Gabarapl2', 'Gabbr2', 'Gbx2', 'Gjb1', 'Gjc1', 'Gjc2', 'Gjc3', 'Gm13339', 'Gm43398', 'Gm8055', 'Gm8355', 'Gnal', 'Gng11', 'Gpr37', 'Grm4', 'Hapln4', 'Hcn2', 'Hcn4', 'Hivep1', 'Hsd11b1', 'Hsp90aa1', 'Hspa12a', 'Hspa4l', 'Hspa8', 'Ina', 'Inpp5j', 'Jam3', 'Kcna2', 'Kcnc1', 'Kcnip4', 'Kcnj10', 'Kcnq3', 'Kif1a', 'Kif1b', 'Klc2', 'Lamp1', 'Lef1', 'Litaf', 'Lpar1', 'Lrrtm1', 'Malat1', 'Map4', 'Map7d1', 'Mb21d2', 'Megf9', 'Mog', 'Mpc1', 'Mt1', 'Mt2', 'Mt3', 'Myrf', 'Nacc2', 'Napepld', 'Ndufb8', 'Neat1', 'Nell1', 'Nrip3', 'Ntsr2', 'Olig1', 'Pacs2', 'Pitpnc1', 'Pla2g7', 'Pllp', 'Plxdc1', 'Prdx6', 'Prickle1', 'Psat1', 'Ptpn11', 'Qdpr', 'Rasa4', 'Rasd1', 'Rasgef1b', 'Raver2', 'Rcan2', 'Rgs7bp', 'Rgs8', 'Rhob', 'Rit2', 'Rnf13', 'Rnf152', 'Rsrc1', 'S100b', 'Scd1', 'Scd2', 'Scg5', 'Scn1a', 'Scn4b', 'Selenop', 'Sema4g', 'Sept4', 'Serpine2', 'Sez6l2', 'Sh3d19', 'Sirt2', 'Slc17a6', 'Slc24a2', 'Slc24a3', 'Slc4a4', 'Slc6a17', 'Slitrk6', 'Snrpn', 'Socs6', 'Sox2ot', 'Sptssb', 'Srrm2', 'St3gal4', 'Stmn3', 'Tanc1', 'Tcf7l2', 'Tespa1', 'Them6', 'Thsd7a', 'Tmem163', 'Tmem65', 'Tmem88b', 'Tpd52l1', 'Trnp1', 'Tsc22d3', 'Ttll7', 'Ttyh2', 'Tuba1b', 'Tubb3', 'Tunar', 'Ubb', 'Ugt8a', 'Vangl1', 'Vipr2', 'Wnk1', 'Xylt2', 'Zfhx3', 'Zfp804a', 'Zmat4', 'mt-Tf', 'mt-Tl1', 'mt-Tm', 'mt-Tp', 'mt-Tw', 'n-R5-8s1', 'Agt', 'Arap2', 'Arhgap12', 'Arl2', 'Bcas1', 'Cd81', 'Cox5b', 'Ddr1', 'Desi1', 'Dpp6', 'Dync1li2', 'Fam134b', 'Gja1', 'Gpr37l1', 'Gprc5b', 'Hipk2', 'Itm2b', 'Lrig1', 'Mpp6', 'Nfic', 'Prr18', 'Qk', 'Rdx', 'Samd5', 'Sash1', 'Slc25a5', 'Sparc', 'Tmem229a', 'Ubc', 'Zfp423', 'Zfp706', 'Atp1b2', 'Cox6c', 'Ndufa3', 'Suclg1', 'Uqcc2']"
