,col,#genes,genes
0,V1,36,"['hsp90ab1', 'nup160', 'eef2b', 'btf3', 'h2afy2', 'si:dkey-159f12.2', 'rpl35', 'psma1', 'rpl7a', 'serbp1a', 'rpl13', 'tpt1', 'atf4b1', 'atf4a', 'rps27a', 'eif3k', 'nr2f5', 'fkbp1aa', 'rps23', 'rpl39', 'psmb6', 'ran', 'rpl35a', 'rpl23', 'rps15', 'LOC103908996', 'cct2', 'rps19', 'eef1db', 'LOC101885203', 'pin1', 'psmb2', 'rps16', 'atp5l', 'wu:fb52c12', 'slc25a3b']"
1,V10,62,"['atxn2l', 'cachd1', 'orc3', 'ube3a', 'cyp3c4', 'magoh', 'zbtb3', 'rangrf', 'prr11', 'si:dkey-175m17.7', 'ppp6r3', 'zgc:113119', 'sfswap', 'LOC561737', 'ddrgk1', 'kif5bb', 'nedd1', 'si:ch211-266o15.1', 'bzw1a', 'med13b', 'grb10a', 'zgc:162948', 'LOC101882117', 'LOC101883851', 'wbp4', 'camta1b', 'zgc:101100', 'tnr', 'vcpip1', 'msl1a', 'prkar2ab', 'si:ch211-220f16.2', 'brd1b', 'tubgcp5', 'gtf3c4', 'zbtb49', 'efr3a', 'hnrpl', 'lig4', 'si:ch211-246m6.4', 'LOC100329560', 'prcd', 'pim3', 'abi2a', 'pak6b', 'spcs2', 'tnip1', 'zgc:174311', 'plekha3', 'tacc3', 'LOC103911152', 'cc2d2a', 'nek9', 'pcnt', 'zgc:56676', 'mych', 'LOC101884750', 'gpr82', 'zc3h10', 'LOC558281', 'tmem63bb', 'arl16']"
2,V11,53,"['gsr', 'fli1b', 'lta4h', 'kansl3', 'plxnd1', 'mnta', 'msna', 'tek', 'cfl2l', 'tie1', 'focad', 'scarf1', 'carkd', 'adka', 'gpx1a', 'prkdc', 'etv6', 'ramp2', 'rnaset2', 'gtf2h4', 'tspan36', 'slc10a3', 'ppcdc', 'lgmn', 'elk3', 'cdc42', 'chic1', 'slc30a10', 'zgc:152830', 'afap1l1b', 'cd2ap', 'LOC100537096', 'por', 'LOC101886659', 'sele', 'plk2b', 'nenf', 'cmip', 'pora', 'sh3bgrl3', 'mesdc2', 'mcamb', 'arhgdia', 'rhoae', 'fli1a', 'mef2cb', 'bloc1s6', 'bcl6b', 'atp6v1g1', 'LOC561174', 'atp6v1d', 'gmeb1', 'marcksl1a']"
3,V12,55,"['isoc1', 'zgc:92040', 'pi4kab', 'dnajb12b', 'tfpi2', 'egfra', 'mettl7a', 'mtf1', 'zgc:172145', 'si:dkey-275b16.2', 'tnmd', 'nostrin', 'tnnt2e', 'neurl1aa', 'nr5a1b', 'LOC571499', 'zgc:56235', 'scgn', 'si:ch211-212d10.2', 'zdhhc3b', 'palm3', 'htra1b', 'rbm41', 'si:dkey-7o6.3', 'alg11', 'LOC101885366', 'gad2', 'dckl1b', 'cmtm8b', 'zgc:194443', 'hhipl1', 'chpf2', 'elovl5', 'p2rx5', 'slc35b2', 'si:ch73-111k22.2', 'crfb2', 'LOC100537733', 'si:dkey-208k22.3', 'lmo4a', 'si:busm1-194e12.8', 'mxc', 'ldb2b', 'sod3b', 'fth1b', 'si:dkey-19a16.4', 'tmem8c', 'lgalsla', 'LOC796180', 'si:ch211-155m12.1', 'LOC567653', 'klf12b', 'v2ra17', 'si', 'arhgap29b']"
4,V13,120,"['hmga1a', 'si:ch211-147d7.5', 'zgc:92066', 'cirbpb', 'npm1a', 'LOC101884299', 'si:ch211-152c2.3', 'LOC103911494', 'h3f3d', 'hspb1', 'snrpd1', 'cyp2p6', 'eif4bb', 'zgc:153154', 'LOC101884747', 'LOC103911660', 'ptgdsb', 'LOC101885589', 'eef1a1l1', 'alcamb', 'ybx1', 'zgc:175284', 'hnrnpm', 'LOC103908889', 'pabpn1', 'LOC103909021', 'srsf1a', 'bida', 'LOC103911917', 'srsf3a', 'sfrs3a', 'LOC103911636', 'gar1', 'hnrnpl2', 'tardbp', 'LOC103911422', 'bxdc2', 'kpnb3', 'sap18', 'setb', 'letm1', 'hnrnpk', 'hnf1ba', 'uqcrh', 'hoxb1b', 'zgc:65851', 'sumo3a', 'LOC103909694', 'utp18', 'snrpb', 'wu:fb58e05', 'aldob', 'eif5', 'nudcd3', 'ewsr1a', 'prps1a', 'nfyba', 'LOC101884803', 'LOC558044', 'llph', 'nucks1a', 'ube2e1', 'ilf3b', 'akap8l', 'eif2s3', 'crabp2b', 'LOC100537903', 'hnrnpaba', 'prpf39', 'emg1', 'zgc:158409', 'six7', 'rrp15', 'ubqln4', 'ngdn', 'wu:fc55g01', 'hdac1', 'tle2', 'si:dkey-16i5.10', 'nop56', 'spsb4a', 'seta', 'cycsb', 'ncl', 'cth', 'mrto4', 'zgc:109934', 'mybbp1a', 'LOC101884613', 'fgfr4', 'psmc6', 'lyar', 'ube2nb', 'nhsl1b', 'LOC100536508', 'cdkn2aipnl', 'LOC103909972', 'flvcr1', 'pes', 'ptp4a1', 'wbscr22', 'cirbpa', 'arl14ep', 'kctd15a', 'dlx3b', 'nip7', 'apela', 'zgc:101846', 'itih6', 'srsf10b', 'alyref', 'LOC100330598', 'usp54a', 'irx7', 'sbno1', 'ubxn1', 'nle1', 'riok2', 'snrpd2', 'ddx18']"
5,V14,51,"['gmfb', 'stau1', 'ranbp3b', 'nup54', 'psat1', 'rad23b', 'kmt2ba', 'myef2', 'map2k2b', 'LOC100001114', 'cpsf4', 'clk4a', 'zgc:91897', 'smg7', 'rdh14a', 'stx11b.2', 'LOC100331216', 'znf1024', 'zgc:55573', 'zgc:114169', 'drg2', 'tsr3', 'zc3hc1', 'LOC100005990', 'nxt2', 'stub1', 'helq', 'cog5', 'lsm4', 'elp3', 'spoplb', 'cep55l', 'armc5', 'LOC103909479', 'bcl7bb', 'nxnl2', 'hibch', 'zgc:86598', 'gfm2', 'agbl5', 'emc4', 'ubl3b', 'zgc:112985', 'tmem30aa', 'LOC100149413', 'lin7c', 'wdr25', 'msrb1a', 'cldnj', 'naa35', 'tmem110l']"
6,V15,97,"['sec61g', 'tmem263', 'ppap2b', 'creb1b', 'cnn3a', 'xbp1', 'rrbp1a', 'p4ha1b', 'cd248b', 'tmem88b', 'si:ch211-161i21.2', 'tram2', 'colec12', 'snd1', 'col5a1', 'col11a1b', 'calua', 'cdh11', 'emid1', 'hdlbpa', 'sec23a', 'pmp22a', 'asph', 'id3', 'arrdc3a', 'si:ch73-208g10.1', 'ssr3', 'sept7b', 'ostc', 'plod1a', 'kdelr3', 'ssr4', 'pak1', 'kdelr2b', 'plod3', 'ppib', 'slit3', 'LOC100537437', 'serpinh1b', 'akap2', 'ssr1', 'LOC100334018', 'sec31a', 'csrnp1b', 'fstl1b', 'dad1', 'copz2', 'calrl2', 'tgfb3', 'ssr2', 'si:dkey-261h17.1', 'nog1', 'thbs3b', 'sec61al2', 'lect1', 'col5a3a', 'LOC563082', 'fbln2', 'sh2b1', 'lrrc17', 'LOC100534683', 'rcn3', 'fkbp11', 'pcolcea', 'loxl2b', 'mxd4', 'zgc:172136', 'mmp14a', 'golim4b', 'prrx1a', 'reck', 'aff3', 'foxa1', 'fkbp14', 'sept6', 'hspa5', 'rrbp1b', 'cpne3', 'tmem258', 'leprel1', 'zgc:172106', 'tmem45a', 'tmem119b', 'p4ha2', 'tceb3', 'zgc:85866', 'selm', 'ddah1', 'mbnl1', 'pmp22b', 'neo1', 'adssl1', 'si:dkey-93l1.9', 'twist1a', 'creb3l1', 'si:ch211-203c7.2', 'ca8']"
7,V16,155,"['hmgn2', 'plp1a', 'fabp3', 'junbb', 'fosab', 'rrm1', 'mdka', 'eef1b2', 'zgc:123194', 'pou3f3b', 'lrrn1', 'gfap', 'dusp1', 'tmem47', 'nr2f1b', 'tspan3a', 'stmn1a', 'mdh1aa', 'tubb4b', 'fosb', 'hmgb1b', 'LOC100534909', 'her2', 'lfng', 'nr2f1a', 'nr2f2', 'rpsa', 'plagx', 'rps21', 'msi1', 'dtx1', 'rps29', 'asf1ba', 'pou3f3a', 'cspg5a', 'rpl5b', 'lrig1', 'gpm6aa', 'ier2', 'si:ch73-386h18.1', 'rpl32', 'rpl38', 'ier5', 'zgc:77816', 'rpl37', 'junba', 'robo4', 'cd82a', 'rpl4', 'suv420h2', 'ptpro', 'ppiab', 'her15.1', 'zeb2a', 'rps24', 'rps10', 'rps2', 'metrn', 'nat8l', 'tuba1b', 'fgfr3', 'fkbp3', 'rps26l', 'rgmd', 'dhx32b', 's1pr1', 'irx3a', 'rpl24', 'pou3f1', 'rplp2l', 'jdp2', 'rps5', 'id1', 'rps8a', 'wfikkn1', 'rpl30', 'scube2', 'sulf2a', 'rpl5a', 'hmgn3', 'eef1g', 'znf536', 'gpr56', 'zgc:92868', 'angptl4', 'jdp2b', 'fgfr2', 'sox21a', 'rpl18a', 'nap1l1', 'tuba1a', 'fabp7a', 'btg2', 'slc4a3', 'rps6', 'ntn1a', 'tuba1c', 'tox3', 'rpl8', 'rpl28', 'pou3f2a', 'pou3f2b', 'ptprn2', 'rplp0', 'rrm2', 'egfl6', 'mibp', 'slc27a6', 'zfhx3', 'rpl27a', 'rps9', 'rpl10', 'rps27.1', 'irx5a', 'h3f3c', 'rps15a', 'rpl3', 'rpl14', 'pebp1', 'rps12', 'rps28', 'dut', 'rpl18', 'st5', 'chl1b', 'arhgap12b', 'znf516', 'rps17', 'nfkbiab', 'rps11', 'rps13', 'rpl9', 'dpysl5a', 'h1f0', 'eng1b', 'foxp2', 'dnmt1', 'rpl6', 'si:dkey-8k3.2', 'LOC100149391', 'ppiaa', 'sulf2b', 'sox19a', 'LOC568650', 'phgdh', 'dld', 'atf4b', 'neurl2', 'pfkfb3', 'rps7', 'cadm1a', 'gas1b', 'tuba8l4', 'rpl34', 'zgc:114188']"
8,V17,159,"['tom1l2', 'metap2b', 'fam98a', 'fhod3b', 'ipo9', 'ankhd1', 'gcsha', 'usp44', 'psmd11a', 'crebbpb', 'c10h21orf59', 'usp36', 'osr2', 'mrps30', 'zdhhc1', 'dnajc18', 'rnpepl1', 'srrm2', 'esco1', 'si:ch211-253b8.2', 'katnbl1', 'LOC100334730', 'stk19', 'actr10', 'ubl7b', 'hexim1', 'thoc5', 'ikbkap', 'slc25a14', 'abcc10', 'si:dkey-11e23.4', 'gna11a', 'si:dkey-1h24.3', 'paqr3a', 'cmss1', 'ube2d2', 'rock2b', 'zgc:194007', 'atr', 'phc2a', 'si:ch211-114m9.1', 'gpr108', 'ptgesl', 'si:dkey-12h9.11', 'ube4b', 'vamp4', 'ppp1cbl', 'sgsm3', 'ino80e', 'zgc:66474', 'adnp', 'sardh', 'nfx1', 'wu:fb39e10', 'raph1b', 'copz1', 'st7', 'trib2', 'gpkow', 'bbc3', 'gemin4', 'ino80c', 'mtm1', 'rnf38', 'atxn7l2a', 'LOC100333053', 'trappc6bl', 'LOC101886447', 'zgpat', 'hif1an', 'med15', 'nsrp1', 'psmg4', 'bora', 'fam53c', 'nrg2a', 'slc38a9', 'stk35l', 'cnppd1', 'zgc:153225', 'ofd1', 'LOC100535231', 'dsn1', 'vta1', 'mkrn2', 'kat7b', 'rasa3', 'cep72', 'ubiad1', 'si:dkeyp-61g11.1', 'wu:fc19g04', 'aunip', 'adprhl2', 'pcdh20', 'LOC562945', 'dyrk1ab', 'mus81', 'si:ch211-206k20.5', 'eaf2', 'atrnl1b', 'bptf', 'prpsap2', 'megf8', 'zgc:171777', 'tnk2', 'tm2d2', 'mks1', 'recql5l', 'cep290', 'oat', 'ash2l', 'casp8ap2', 'gnsb', 'dbpb', 'pias4a', 'tnpo1', 'taf12', 'med28', 'wdr55', 'hnrnpa1a', 'LOC557306', 'ankib1a', 'emc6', 'ube2j1', 'dlgap4a', 'ccdc82', 'mast2', 'zw10', 'atpaf2', 'si:dkeyp-82a1.6', 'adcy2b', 'si:dkeyp-118b1.2', 'smarcad1a', 'tfdp1a', 'ddx24', 'cand1', 'tssc4', 'p2rx4a', 'gabrg3', 'zmat2', 'supt3h', 'wrap53', 'eno3', 'nf1b', 'LOC100333241', 'gart', 'LOC101885776', 'aga', 'psma6a', 'LOC103909965', 'nrxn3b', 'si:ch211-116m6.3', 'ilkap', 'zgc:154015', 'htt', 'arhgap10', 'ctdp1', 'ppp4r1', 'rltgr']"
9,V18,124,"['cops3', 'ralgapa1', 'ppp1r10', 'ctdsplb', 'gtse1', 'wdr32', 'zgc:110425', 'arid2', 'LOC101885875', 'rab10', 'rcor2', 'fbxo11a', 'adnp2a', 'mon1bb', 'dido1', 'myo6a', 'gorab', 'setd2', 'elmod2', 'taf8', 'trim71', 'irf1a', 'prr14', 'setd1ba', 'LOC100000930', 'dtymk', 'psmd6', 'med13a', 'ppp2r2ab', 'arhgef33', 'espl1', 'clcn1a', 'si:ch73-138n13.1', 'pde3a', 'snrka', 'arntl2', 'ppp1r26', 'toe1', 'chd8', 'kmt2a', 'chuk', 'gon4l', 'cfp', 'senp2', 'wwc3', 'smc5', 'LOC100148510', 'znf839', 'igf2bp3', 'cetn3', 'ncapd3', 'eif4e3', 'katna1', 'LOC100004265', 'LOC101883600', 'sirt1', 'LOC101885581', 'rfc2', 'tm4sf5', 'erlin2', 'cdc14b', 'suco', 'ppp2r2d', 'LOC100334900', 'srrd', 'ubr2', 'wu:fb69f10', 'zc3h14', 'sycp2l', 'si:dkey-127k13.1', 'ccdc6a', 'shrprbck1r', 'prrc2b', 'huwe1', 'lratb', 'rasal2', 'si:ch211-129c21.1', 'ticrr', 'abcb6a', 'vdrb', 'LOC798124', 'plekha1', 'rcor3', 'asxl1', 'dohh', 'ncapd2', 'tubgcp3', 'pdlim5a', 'klhl30', 'LOC799481', 'cnot3a', 'slc4a5', 'upf3b', 'nin', 'wu:fi37e09', 'brca2', 'panx1a', 'sapcd2', 'znf45l', 'nfil3-3', 'sipa1l1', 'zgc:175222', 'ubtfl', 'LOC101885604', 'ebf1a', 'ccdc94', 'nap1l4b', 'csnk1g1', 'wdr60', 'LOC100333562', 'uba7', 'ppp2r5cb', 'snupn', 'si:ch211-149l1.2', 'rlim', 'lnpa', 'ctdspl2a', 'gba', 'tdrd3', 'LOC101883927', 'zgc:153935', 'smug1', 'cdc40', 'LOC100330152']"
