"cluster","#genes","genes"
"1","118","Trpm3, Clic6, Folr1, F5, Sostdc1, Rbp1, Kcne2, Cab39l, Cox8b, Msx1, Slc13a4, Otx2, Calml4, 1500015O10Rik, Sulf1, Prlr, Stk39, Cul4b, Igfbp2, Kl, Rdh5, Tbc1d9, Lbp, Tmem72, Sowahc, Cd63, Cldn2, Prps2, Rbm47, Baiap2l1, Cdkn1c, Col8a2, Bsg, Ace, Vcam1, Col9a3, Wdr86, Aqp1, Slc12a2, Kcnj13, Slc4a2, Slc31a1, Mdfic, Gm15564, Gpx8, Rn18s-rs5, Gm24245, Prr32, Gm26917, Car14, Vamp8, Ezr, Steap1, Ctnnal1, Igf2, Enpp2, Col8a1, Lbx1, Spint2, Slc4a5, Pcp4l1, Sgk3, Gm42418, Hemk1, Ucp2, Dab2, Wfdc2, Cox6b2, Emb, Lepr, Krt18, Ahcyl2, Ttr, Lamp2, Fxyd1, Pcolce, Iqub, Steap2, Acad8, Cldn1, Smim22, Tead1, Defb11, Ppp1r1b, Mpp7, Ifi27, Lars2, Mir6236, Abca4, Id1, Phactr2, Sfrp5, Plxnb2, Sept10, Sgk1, Tcn2, Tc2n, Car12, Pla2g5, Npc2, Slc16a8, Tmem237, Elovl7, Neat1, S100a1, Perp, Msi2, Slc16a2, Car2, Aox1, Lgals3bp, Cd63-ps, Trpv4, Rnf7, Cdr2, Cgnl1, Prelp, Gm24270"
"2","113","Nptxr, Mapk1, Enc1, Fkbp1a, Ywhaz, Olfm1, Gda, Gpm6a, Arf3, Atp2b4, Chn1, Syn2, Wasf1, Calm2, Snca, Bhlhe22, Nov, Calm1, Rtn1, Hpcal4, Ctxn1, Lmo3, Icam5, Tmsb4x, Sv2b, Gria2, Thra, Crym, Ak5, Lypd1, Calm3, Plppr4, Ptk2b, Fam19a1, Ppp3r1, Aldoa, Rasgef1a, Zbtb18, Cck, Cpne6, Ncdn, Snx10, Dynll1, Stum, Prnp, Arpp21, Serinc1, Wfs1, Plk2, Capza2, Hpcal1, Slc30a3, Kctd4, Gria3, Pfn2, Mkl2, Tsc22d1, Cdk17, Baiap2, Nsg2, Camk2d, Cnih2, Psd3, Pde1a, Abr, Rab40b, Negr1, Nckap1, Nptx1, Rfx3, Sorbs2, Fbxl16, Fam131a, Ddn, Calb1, Klhl2, Ppp3cb, Acvr2a, Erc2, Kalrn, Nptn, Camk2n1, Mink1, Ppp3ca, Astn1, Atp6v1g2, Kcnip2, Ywhag, Cyfip2, Camkv, Anks1b, Napb, Myh6, Camta2, Sh3gl2, Gm6788, Prkce, Snap25, 2010300C02Rik, Mef2c, Itpka, Chst1, Atp6v1d, Scn3b, Pcdh1, Dbpht2, Fam49a, Hsbp1, Rasgrf2, Phyhip, Map2k1, Slc17a7, Cnksr2"
"3","72","Nap1l5, Zcchc12, Resp18, Gap43, Ndn, Ahi1, Impact, Gprasp2, 6330403K07Rik, Scg2, Zwint, Peg3, Baiap3, AW551984, Calb2, Peg10, Hap1, Bex1, Sparc, Wdr6, Tmsb10, Camk2n2, Elavl2, Gaa, Nrsn2, B630019K06Rik, Slc6a11, Gnas, Rit2, Itih3, Rpl22l1, Cbln4, Igsf1, Gpx3, Cxx1a, Slc17a6, Grb10, Gprasp1, Tmem255a, Pitx2, Adcyap1, Ache, Araf, Rab9b, Dzank1, Rgs17, Aldoc, Glra3, Rragb, Disp2, Tmem130, Prkacb, Dgkk, Agt, Usp29, Abat, Pcsk1n, Ngb, Bex2, Sparcl1, Nap1l3, Tac1, Glud1, Nkx2-1, A730017C20Rik, Pnck, Scoc, Etnppl, Ogfod1, Tspyl4, 1700003F12Rik, Fhl1"
"4","66","Foxc1, Ogn, Mgp, Slc6a13, Ptgds, Myoc, Fmod, Cfh, Prg4, Slc6a20a, Fxyd5, Gfap, Slc38a2, Slc26a2, Slc22a6, Osr1, Id3, Serping1, Aldh1a2, Slc13a3, Thbd, Dcn, Crabp2, Pf4, Smoc1, Efemp1, Fn1, Sult1a1, Aebp1, Mrc2, S100a11, Arhgap29, Fam180a, Cped1, Omd, Aqp4, Slc47a1, Col1a2, Spp1, Cp, Islr, Anxa2, Bche, Apoe, Hbb-bt, Itm2a, Hbb-bs, Colec12, Nbl1, Fibin, Col3a1, Gjb2, Hsp25-ps1, Slc22a8, Emp3, Hmgcs2, Hba-a1, Foxd1, Col1a1, Hba-a2, Anxa3, Rspo3, Serpind1, Alcam, Cmbl, Ahnak"
"5","96","Rarres2, Ccdc153, Plac9a, Ccdc146, Rsph1, Foxj1, Tmem212, Dbi, Tppp3, Ak7, Gm9780, Nwd2, Ptrhd1, Gm5741, Plac9b, Cd24a, Cdhr4, Enkur, Lrrc55, Vim, Gm45396, Mns1, 1110017D15Rik, Pou4f1, Ice1, Myb, Cdhr3, Odf3b, Pltp, Fam183b, 1700001C02Rik, Dnah12, Meig1, Htr5b, Ccdc180, 4933434E20Rik, Slc5a7, Mdh1b, Ccdc33, Zic4, Tmem107, BC026585, Necab2, Kcnip1, Riiad1, Tac2, Cfap126, Nudt4, Ccdc121, Ddr1, Gng8, Nme9, Tm4sf1, Gpr151, Ttc34, Stoml3, Lrrc74b, Dnali1, Celsr1, Syt9, Tyrp1, Dsg2, Gfra1, Chrna3, Drc3, Dnajb13, A430018G15Rik, Gucy1a3, Syt6, Cfap65, Fam166b, Capsl, Cfap43, Ccdc162, Acot1, Fam216b, Zfp474, Cd109, Spa17, Scnn1a, 1700007K13Rik, Kcnmb1, Got1l1, Tmsb15b1, Spag6l, Cfap161, Dynlrb2, Vit, Kctd8, Nkap, Gm8730, Hhip, Rbm17, Cetn2, Chadl, 1700016K19Rik"
"6","404","Egfem1, Hps5, Ano4, Gars, Orc6, Zfr2, Dpm1, Gm14472, Rgp1, 3110056K07Rik, Il2, Ldb3, Zfp28, Gm45182, Gabrb2, Gm9347, Trpt1, 2700060E02Rik, Zcchc8, Idi1, Kcnh5, Cwf19l1, Mir684-1, Pex5l, Tmem126b, Far2, Sass6, Rps6kc1, Nars, Zfp868, Ctdspl, Llph, Txnl4a, Cbs, Tmem179, Tob2, Lrfn4, Tmem41a, Cd302, Hapln4, Ccdc51, Gm5356, Pik3r1, Gm42583, Nrf1, Srsf12, Rpl27a-ps2, 5330438D12Rik, Gad1, Gm15663, Tango2, Gm15793, Map6, 2900064K03Rik, Pcyox1, Gabrb1, Kif21b, Ankib1, Psmd11, Prpf6, mt-Tr, Clpb, Erbb3, Birc6, Bmi1, Cuta, Pten, mt-Te, Zfp521, Ptprd, Wwp1, Gpr37, Gpr37l1, Ydjc, Gosr1, Rpl31-ps14, Mbd6, 2510039O18Rik, Kif5b, Gcc1, Ttc28, Scrn3, Scaf1, Mapk6, Pxk, Gm10327, Rasa2, Magi3, Desi1, Gm10784, Mast4, Nup98, Meis2, Unc50, Hacd3, 5730409E04Rik, Gnl3, Spc25, 2810433D01Rik, Nudt2, Gm45884, Asic1, Grpel2, Zfp319, Zfp330, Hmbs, Gm5558, Gm9521, Tmem218, Itsn1, Dock8, Bicd1, 2700097O09Rik, Lamtor5, Slu7, Ppdpf, Oaz1, Gm7082, Fus, Gm7117, Fam149b, Sppl2a, Foxj3, Gm14237, Usp6nl, Gm12618, Cyp27a1, Il33, Gm26546, Washc3, Abcf2, Rab13, Slc2a5, Rpl36-ps8, Nsun2, Bdp1, Rtkn2, Slc36a1, Naga, Bach1, Chpf, Pxmp4, Pak2, Efna5, Bms1, Unc5b, Gabarap, P2rx4, Plxnb3, Prcc, Gng12, Efr3a, Kif1a, Ctss, Tmem100, Tmem87a, Fam199x, Flrt3, Smad5, St8sia6, Ppp1r16b, Ermn, Gm42972, Sept4, 2210408I21Rik, Snx17, Gm14270, Qpctl, Hrh1, Bpgm, 9930021J03Rik, Raf1, Gm29418, Kctd9, Gm14238, Nfix, Gatad2a, RP23-65M10.2, RP23-340G24.8, Parp2, E130311K13Rik, Ampd3, Gm12617, Nt5dc2, Selenbp1, Fmnl3, Gm12060, Sigirr, Gm37009, Mrpl37, Ctc1, Trappc2l, Crybg3, Fbxw5, Cmip, Gm15920, Sin3a, Usp37, Zfp871, Laptm4b, Acta1, Cdh23, Ppp1r11, Cmpk2, AC087559.2, Fam120aos, Elp4, Cln8, Alkbh8, Gm5135, Tmem41b, Nup85, Mertk, Med27, Lats1, Klhl5, Timm22, Wdr91, Kansl2, Zfp617, Rab8a, Nat8f2, Emsy, Prdx5, Mrpl10, Rasa3, Commd5, Zfp652, 6030442K20Rik, Rab5b, Ewsr1, Gm11878, Trappc3, Rnf139, Rffl, Ptdss1, Rpl7a-ps5, Phpt1, Zfp260, Efcab10, Gm10263, Slc9a1, Adap1, Rbbp9, Insig2, Slc25a25, Cdk5r1, Samm50, Ubr2, St18, Cd47, Stk10, AI849053, Rhoc, Ncoa2, Phlpp1, Garem1, Gm43789, Stac2, E330009J07Rik, Churc1, Cox6a2, Dap3, Rmi1, Agpat3, Pip4k2a, Gm8464, Phc2, 5430405H02Rik, Taf7, Gpatch1, Ccdc137, Adgrl2, Usp54, Ralgds, Pcdh15, Gm5981, Sept3, Lair1, Rsl1, Gon7, Zc3h6, Aars, Fgf10, Itgav, Mapkapk5, Brd4, Lrig3, Gm5507, Blnk, Zrsr2, Tsc22d3, 4930488L21Rik, Dnmt1, Dnaaf5, Slain1, C2cd4c, Kif1b, Nolc1, Zfp119a, Pcna-ps2, Dnajb6, Gm45380, Galntl6, Gm6946, Rpf1, Nedd1, Fam189b, Adss, Med13l, Gm5177, Glo1, Gm14248, Gm36985, D130019J16Rik, Mmrn2, Gm13750, Nfxl1, Cpd, Git2, Setx, St8sia4, Mrpl24, Gm14285, Vps4b, Crybb3, Cpeb3, Kif5a, Tmem44, Gm12947, Tdrkh, Ppargc1b, Sike1, Gm5963, Traip, Pvalb, Lrrc4, Fbxo7, Msto1, Ldlrad4, RP23-114G13.7, Herpud2, Phgdh, Cnpy2, Abhd3, Ptbp2, Lrpprc, Mtpap, Dnttip1, Creb5, Lta4h, Ddx56, Vkorc1l1, Cpne7, RP24-219P17.4, Crnkl1, Tmem2, Vezt, Gm6654, Ndufs3, Smurf2, Tst, Phax, Amd-ps1, Mllt6, Tmem55a, Actc1, Psmc5, Gm5946, Atmin, Kirrel2, Myo1e, Eif3c, Hdac5, Ppm1l, Rab32, Kri1, Fos, E2f5, Echs1, Apc, Csrp1, Eif4g3, Gm10649, Nf2, Tstd3, Mnd1, Slc16a13, Gm45224, Pgk1, Gm5511, Gm12005, E030024N20Rik, Dlx6, Tubb4a, Arfgap2, Ggnbp2, Smarcd3, Cog4, Nemf, Fam3b, Gm7285, Tro, BC085271"
"7","90","Rora, Adarb1, Ramp3, Synpo2, Plekhg1, Ptpn4, Rgs16, Pcp4, Ntng1, Pdp1, Tnnt1, Prkcd, Rab37, Ccdc136, Plcb4, Amotl1, Cit, Lef1, Gabra4, Atp2a2, Grm1, Patj, Nefh, Shox2, Clmn, Kcnc2, Gm43398, Tcf7l2, Fam20c, Ptpn3, Nsmf, Lrtm2, Hcn4, Sptbn1, Spock3, Elmo1, Gabbr2, Bok, Pitpnc1, Nrip3, Dbndd1, Gabrd, Rims3, Trnp1, Cplx1, Fam19a4, Kitl, Zic1, Vav3, Hlf, Rgs8, Cacng5, Shank3, Rgs4, Rab3c, Rgs7bp, Kcnj10, Zmat4, Prkch, Adra1b, Spock1, Fhdc1, Zfhx3, Slc9a3r1, 1810041L15Rik, Mb21d2, Adgra1, Edil3, Nexn, Tiam1, Rasd1, Aplp2, Scrt1, Zfp804a, Sema4g, Syt7, Eps8l2, Xylt2, Kndc1, Slc24a2, Rap1gds1, Lhfp, F2r, Tmem56, Gbx2, Sh3d19, Rnf152, Prkg2, Gpr153, Thsd7a"
"8","29","Rps12-ps21, Tut1, Bag5, Cxxc1, Zfp787, Rnf144a, Gm9776, Rpl13-ps5, Plppr3, Frat1, Eogt, Fen1, Xpnpep3, Gm42973, Rsu1, Rbm6, Taz, Adat1, Emc9, Dtwd1, Mcoln1, Oplah, Dzip1, Zfyve21, Zcchc14, Gm20072, Zhx3, Sdhb, Ebp"
"9","167","Taf1d, Kdelc2, Mga, Sec24d, Tars2, Spryd3, Ctps, Foxred2, Zxdc, Fam20a, B3galt5, Gm6919, Gimap6, Cluh, Tmed1, Eef1akmt1, Cenpo, RP23-424C4.8, RP23-88C11.5, Gm6240, Fam155a, Gk, Hist3h2ba, Ttc21b, Eif2b5, Tmcc3, Mkln1, Usp30, Nat9, Rcc1, Stx18, Gm37629, Trmt5, Fam205a1, Zfp414, D730003I15Rik, Eif2b2, Arxes1, Tulp3, Snrpert, Tmem161b, Pde7b, Rhbdf2, Sirt7, Krt222, Lama5, 2510009E07Rik, Mapk1ip1l, Sptlc2, BC003331, Kif24, Mrpl23-ps1, Uspl1, Tmod3, Gm45109, Cdk4, Klhl28, Tmem50a, Gpc5, Pdhx, Vps8, Pphln1, 1110038F14Rik, Sema3c, Gm37720, Bnip3l-ps, Evc, Mrps27, Abca8a, Mrps18b, Nsmce4a, AC149090.1, Shprh, Fam43a, Mansc1, Gstp-ps, Pgs1, Spg20, Mrps9, Gm13015, Gm15599, Prmt1, Zfp850, Gm11285, Zfp874b, Gm16265, Fam205a4, Lmbrd2, Pcdhb7, Uros, Nrbp2, Flywch1, Rps11-ps5, Diaph2, Gm12389, Gm16432, Bsdc1, DHRSX, Mpped2, Pcdh8, Foxk1, Frmd3, Fchsd2, Rpp14, Gtf2h2, Nedd9, Gm16580, 1700034H15Rik, Hexdc, Lnx1, Ddx41, Rpp30, Atxn7l1, Gm5311, Kars, Phka2, Gm6065, 2410002F23Rik, RP24-243A15.4, Nf1, Eif3s6-ps1, Dtd2, Gm11956, Surf2, Gm14113, Hist3h2bb-ps, Tbc1d16, Sp1, Etfrf1, Apool, RP23-158E1.3, Ccdc93, Slc25a15, CAAA01180111.2, AW209491, Fam69c, Rapgef5, 2810049E08Rik, Gm37713, Dnajb14, Ppargc1a, Akr1e1, Mut, Rpl18a, Adamtsl1, Yif1a, Tagln, Tgs1, Klhl21, 2900011O08Rik, Ghrhr, Gm43938, Fhit, Suclg1, Pold3, Rnf181, Glns-ps1, Gm15268, Cd276, Ppp4r4, Wbp4, Uxs1, Dennd6b, Samd11, Cyb561d1, Gm12418, Slc25a38"
"10","32","Cnpy4, Rpl32-ps, Dlgap2, Als2cl, Zfp771, Dleu7, Ebf4, Gm5430, Dhx30, Prkaa1, Wdr44, Laptm5, Acot9, BC025920, Gins3, Slc30a1, Psmb6-ps, Sgk2, Poc5, Ate1, Sp8, Dnajc4, Zfp664, Tmed5, Sav1, Acaa1b, Ppp3cc, Asap3, Rph3a, Gm13641, Ero1l, Fignl2"
