"cluster","cell_cluster","#cells","up_or_down","#genes","genes"
"1","0","267","up","1","Plp1"
"2","0","267","down","268","Mbp, Olfm1, Mobp, Camk2n1, Sparc, Ptk2b, Plekhb1, Enc1, Apod, Slc6a11, Ppp3ca, Cldn11, Atp1a2, Chn1, Mal, Gda, Scd2, Qdpr, Nrgn, Ndrg2, Camk2a, Tmsb4x, Nptx1, Cnp, Gpm6a, Sparcl1, Cryab, Fth1, Cck, Qk, Calm2, Mef2c, Trf, Fam131a, Baiap2, Ddn, Wasf1, Plk2, Icam5, Atp1b2, Sv2b, Nacc2, Atp1a1, Nov, Tubb4a, Mag, Gatm, Ermn, Foxg1, Psd, Aldoc, Fbxl16, Csrp1, Arpp21, Calm1, Vamp1, Rnu5g, Bcas1, Syt1, mt-Tv, S100b, Gm26035, Selenop, Gm23624, mt-Tm, Gm24265, Gm17494, Slc17a7, Gm25106, Ndrg1, Car2, Chst1, mt-Nd6, Ppp3r1, Lingo1, Zfp365, Litaf, Khdrbs3, mt-Atp8, mt-Ti, Mapk1, Nptxr, Bhlhe22, Crym, Nsg2, Scd1, Pde1a, Pcsk1n, Il33, Mpped1, Zbtb18, Fbxw7, Supt7l, Nrn1, Celf5, Gm10076, Gm26723, Sorbs2, Gabrb3, Mkl2, Hpcal4, Pld3, Kcnip2, 2010300C02Rik, Tspyl4, Eef2, Sept4, Mapt, Kalrn, Gm24447, Abat, Gpx4, Ano3, Apoe, Fam81a, Ttyh2, Kcnf1, mt-Rnr2, Psd3, Snca, mt-Rnr1, Tbx1, Tspan13, Tmem88b, Cnksr2, Efhd2, Itpr1, Pacs2, Aplp1, Sipa1l1, Pgbd5, Ttc9b, Plppr2, Tspan2, Sowaha, Gria2, Mog, Plxnd1, Aldh1a1, Neurod2, 5031439G07Rik, mt-Tw, Agt, Ppp1r14a, Cyfip2, Dlgap1, Nap1l5, Syn2, Adcy1, Gm26461, Kcnj10, Rcan2, Olig1, Serpine2, Celf2, Dnajb2, Dgkz, Stx1a, Sez6, Gria3, mt-Tl2, Ctxn1, Itpka, Cntn2, Sirt2, Mt1, Atp2b1, Lmo4, Cap2, Lamp5, Tmem229a, Homer1, Gprc5b, Plppr4, Dkk3, Edil3, Rasgef1a, Ncald, Egr1, Slc6a9, Cx3cl1, Camk2n2, Stum, Neurod6, Gucy1b3, Zfhx3, Slc30a3, Ngef, Cplx2, Camkv, Ldha, Chchd10, Sptbn2, Camk1d, Mical2, Mtpn, Lgi3, Sec62, Mal2, Sccpdh, Camk4, Gnb2, Myrf, Pitpnm2, Wipf3, Fa2h, Limk1, Matk, Grin2a, Rn7s1, Lrrc17, Slc12a2, Tcf7l2, Etnppl, Tppp3, Arl2, Sash1, Gng13, Rnf13, Plekhh1, Endod1, Cxx1a, Gng11, Prr18, Gpr37l1, Nefh, Mmp17, S100a16, Resp18, Abca2, Pink1, Cnih2, Rit2, Gstm1, Rnd2, Fnbp1, Peg3, Itih3, Nrsn2, Vip, Desi1, Serpinb1a, Tmsb10, Carhsp1, Cers2, Rtn4rl1, Ugt8a, Hcn2, Spock3, Cpne6, Kif5b, Ppp1r1a, Erbin, Dennd5a, Pllp, Plcb4, 1110008P14Rik, Slc17a6, Hapln2, Fndc5, Efnb3, Adarb1, Calb2, Kcnc1, Cplx1, Gad2, Ttr, Slc32a1"
"3","1","254","down","54","Olfm1, Gm42418, Gm13341, Camk2n1, Ppp3ca, mt-Atp8, Lars2, Ptk2b, Camk2a, Rn18s-rs5, Supt7l, mt-Tm, Gm26917, Enc1, Tbx1, mt-Tv, mt-Nd6, Sez6, Mir6236, Aplp1, mt-Tl1, Mbp, Lingo1, Plp1, Nrn1, Baiap2, Malat1, Pcsk1n, Ngef, Cldn11, Tubb4a, Atp1b2, Kif1b, Sv2b, Chchd10, Qk, Stxbp1, Slc6a11, Gabrb3, Plekhb1, Adar, Tmsb10, Sncb, Camk2n2, Abat, Gm15564, Mobp, Cryab, Il33, Apod, Cplx1, Mal, Mag, Trf"
"4","2","199","down","393","mt-Rnr1, mt-Rnr2, Gm28661, mt-Nd1, Cck, Ywhaz, mt-Nd2, Calm1, Chn1, Calm2, Nrgn, Snap25, mt-Nd5, Arf3, mt-Co1, Ptgds, Mbp, Fkbp1a, Gm13341, Slc17a7, Sncb, Psd, Mobp, mt-Atp8, Ctxn1, Gpm6a, Rtn1, Enc1, Calm3, Snap91, Syn1, Aldoa, Rn7s1, Tmsb4x, Dlgap1, Rab6b, Pgm2l1, Mef2c, Snx10, Sparc, mt-Co2, Serinc1, Actb, Sv2b, Kalrn, Fam131a, Dnm1, Eef1a2, Dclk1, Nptxr, Nptx1, Adcy1, Gm28438, Cyfip2, Atp1b1, Stxbp1, Pip5k1c, Gng3, Gda, Plp1, Gm26461, Nckap1, Gm24447, Icam5, Baiap2, Pfn2, Rasgef1a, mt-Nd4l, Wasf1, mt-Nd6, Cyp46a1, Prkcb, Pde1a, Slc1a2, Atp1a1, Camk2a, Ppp3r1, Camkv, Itpr1, Sptbn2, Vamp2, Gm20594, Pja2, Camk2n1, Mtpn, Fam49a, Bsn, 1110008P14Rik, Psd3, Gm26035, Psap, Zbtb18, Stx1a, Rbfox2, Ptprj, Celf5, Syt1, Mapk1, Gria3, Gria2, Slc17a6, Thra, Atp6v0a1, Atp6v1e1, Mapk10, Usmg5, Mical2, Sptbn1, Camkk2, Ola1, Mgst3, Prkar1b, Tspan7, Homer1, Cdk5r1, Prnp, R3hdm4, Phyhip, Olfm1, Clstn1, Slc30a3, Syn2, Tbr1, Ncdn, Zfp365, Bex2, Diras2, Ube2ql1, Ptms, Ptk2b, Fbxl16, Atp6v1c1, Agt, Cox8a, Aplp1, Ndufa4, Hpcal4, Nptn, Cacnb3, Pebp1, Ttc9b, Ldha, Rps8, Mapre3, Itpka, Atp6v1g2, Myl12b, Adgrb2, Lsm14b, Cplx1, 2010107E04Rik, Klc1, Stum, Cacng3, Fmnl1, Snca, Arpp19, Ptprs, Plcb1, Gabbr1, Mkl2, Hk1, Epop, Spock1, Fam81a, Jph3, Agap2, Add2, Gm23624, Camta2, Pcsk2, D430041D05Rik, Camk4, Cx3cl1, Celf2, Sptan1, Pak1, Grin2a, Stmn1, Smim13, Scg5, Frrs1l, Rnf187, Trim2, Dynlrb1, 3110035E14Rik, Slc6a17, Syp, Got1, Rn7s2, Myt1l, Rab40b, Khdrbs3, Crym, Syngr1, Hmgcs1, Gm14539, Acap3, Trim9, Cnp, Sub1, Zc3h15, Ddn, Cnksr2, Rab6a, Dlg2, Mpped1, Atp6v1d, Erc2, Sh3gl2, Gls, Stmn3, Fxyd7, Dmtn, Skp1a, Atp2b2, Dlgap3, Tuba4a, Mmp17, Epn1, Cdkl5, Dcaf7, Hsbp1, Capza2, Enpp2, Ociad1, Anxa7, Usp22, Wdr47, Eif5a, Selenow, Arhgap33, Mlf2, Gprin1, Sh3bgrl3, Ppp2r2c, Trf, Dgkz, Crip2, Mink1, Tusc3, Pgbd5, Cplx2, Chst1, Nrxn3, Tsc22d1, Naa38, Arhgap32, Gm1821, Amph, Gas7, Rnu5g, Grin2b, Nell2, Apod, Kcnb1, Plppr2, Gm11353, Efhd2, Kifc2, Negr1, Brk1, Slc12a5, Eno2, Syt5, Igfbp4, Mal, Unc13a, Cbx6, Mllt11, Eno1, Kcnj4, Aak1, Ubald1, C1qtnf4, Cdk17, Actg1, Rbfox3, Ociad2, Map1a, Plppr4, Nrxn1, Anks1b, Map2k1, Reps2, Kcnip2, Syngr3, Selenop, Grin1, Ptpn5, Rapgefl1, Add1, Txn2, Vapa, Pld3, Atp2b1, Foxg1, Plk2, Stk25, Slc8a2, Bhlhe22, Rapgef4, Klc2, Sept3, Atp2b4, Egr1, Tubb5, Mat2b, Arpp21, Sipa1l1, Phf24, Ipcef1, Cspg5, Rbfox1, Gng13, Morf4l2, Mtfp1, Cnih2, Tsc22d4, Malat1, Pantr1, Scg2, Stx1b, Tceal5, Ier5, Prkce, Neurl1a, Plekhb1, Emc10, Ttr, Ak5, R3hdm1, Cdk5r2, Car2, Kcnab1, Ndrg1, Cpne6, Erdr1, Rgs4, Ugt8a, Dynll1, Rasgrp1, Serp2, Nlk, Mag, Lingo1, Cep170b, Gatm, Tspan2, Peg3, Coa3, Scn1b, Mmd, Unc5a, Ap1s1, Bcas1, Csrp1, Grm5, Sst, Synpr, Ift46, Vgf, Caly, Npdc1, Dkk3, Tcf7l2, Gng11, Rn18s-rs5, Gucy1b3, Slc6a11, Nov, Aqp4, Qdpr, Trem2, Scd1, Hbb-bs, Nap1l5, Rasgrf2, Phlda3, Kcnj10, Pcp4l1, Igf2, Gm42418, Neat1, Tppp3, Hba-a1, Npy, Ermn, Aldh1a1, Vim, Cryab, Cldn11, Cartpt"
"5","3","166","up","5","Gm24447, Gm26035, Gm23624, Rn7s1, Gm26461"
"6","3","166","down","146","mt-Rnr2, mt-Rnr1, Rnu5g, Gm25106, Gm28661, Rnu2-10, Gm24146, Gm20594, Gm23973, Gm23287, Gm22513, Rn7s2, Rn7sk, mt-Nd6, Gm23971, mt-Atp8, Calm1, Gm26316, Actb, Rny3, Cpe, Gm24105, Calm3, Apoe, Aldoa, Pcsk1n, mt-Te, Ndufa4, Ift46, Hspa8, Clu, Gm24265, Gm8355, Psap, Gm24407, Prkcb, Eef1a2, Ywhaz, Stxbp1, C1qtnf4, Psmb5, Snap25, Ncdn, Gm1821, Sncb, Prdx6, Sparcl1, 1110008P14Rik, Slc17a6, Fkbp1a, Rnf187, Cck, Aplp1, Arf3, Mt3, Clstn1, Ubc, Cox6a1, Slc6a17, Spock1, Tubb4a, Rps8, Naa38, Srrm2, Ociad1, Clta, Gpx4, Ldhb, 2010107E04Rik, B2m, mt-Tl1, Psd, Eno2, Cryab, Gfap, Camkk2, Aamp, Trim2, Pebp1, Tubb2b, Sptbn2, Atp1a1, Syn1, Aldoc, Gpi1, Adcy1, Adgrb2, Atp6v0a1, Scg2, Myl12b, Map1a, Sh3bgrl3, Stx1b, Fam49a, Uba1, Tmsb4x, Hexb, Cyp46a1, Nrgn, Eno1, Kalrn, C4b, Stmn3, Trim37, Cplx1, Gstm1, Camk2a, Sv2b, Srebf2, Vstm2l, Rbfox3, Ube2ql1, Baiap2, Nat8l, Diras2, Pfkp, Tubb5, Mt1, Hexa, Trem2, Olfm1, Grin1, Chchd10, Emc10, Fkbp8, Ptprn, Enc1, Camta2, Cldn11, Bsn, Syp, Mir6236, Dgkz, Cxcl14, Mef2c, Dlgap3, Synpr, Vamp1, Nptxr, Camk2n1, Ttc9b, Gm26917, Apod, Sst, Ttr, Plp1"
"7","4","41","up","16","Gm42418, Rn18s-rs5, Ttr, Lars2, Gm24265, Gm15564, Hba-a1, Hbb-bt, Mir6236, Gm26917, Hbb-bs, Hba-a2, Rn7s1, Enpp2, Mir6240, Tbx1"
"8","4","41","down","516","Dnah6, Gm22614, Gm25890, Gm25581, Rimbp3, Gm22513, Gm24407, Gm22122, Calml4, Dynlrb2, Gm25679, Rdh5, Gm24270, Gm24459, F5, Folr1, Gm26461, Cfap65, AA474408, Cox8b, Kcnj13, Myb, Gm26505, Lbp, Clic6, Sostdc1, Kcne2, 1500015O10Rik, 1700007K13Rik, 1700012B09Rik, Gm29216, Gm11992, Gm25179, Ppp3ca, Enkur, mt-Rnr2, Gm24105, Snora28, Gm25911, Gm24245, Trpm3, Kl, Snap25, Foxj1, Cd24a, Gm23935, Otx2, Tmem212, Eef1a2, Rnu5g, Gcn1l1, Prlr, Ak7, Ccdc153, Vim, Cplx1, Calm1, Gm45396, Lbx1, Capsl, mt-Rnr1, Ncdn, Tcf25, Gm20732, Ace, Rn7s2, Stmn3, Spint2, Atp1b1, Drc1, Brsk1, Meg3, Rbp1, Pltp, Ifi27, Nrxn1, Msx1, Cfap54, Snora73b, Epb41l1, Sncb, Txnip, Igf2, Stxbp1, Gm10076, Scg5, Nop9, Atp11c, Atp6v0a1, Sparcl1, Cnih2, Ttc3, Snap47, Col9a3, Hpca, Ywhag, Sulf1, Tspan7, 1110017D15Rik, Cdkn1c, Prelp, Rtn3, Map1a, Gm20594, Gabbr1, Slc16a6, Kif5c, Gm11273, Tubb2a, Map1b, Calm3, Myt1l, Slc24a2, Zfp36l1, 2700060E02Rik, Klc2, Pja2, Rab6b, Dnm1, Fbn1, Aldoc, Rbfox2, Glul, Serp2, Prnp, Nrgn, Pclo, Phf24, Pkm, Dynll2, Cfl1, Rarres2, Car12, Camk1d, Id4, Cdip1, Syn1, Tmx2, Chn1, Cyfip2, Rc3h2, Kazald1, Pcsk1n, Bex2, Cul4b, Eno2, Atp2a2, Pcsk2, Fndc5, Rtn1, Cpe, Klc1, Gm24601, Syp, Dbi, Rph3a, Pcp4l1, Ociad1, Serinc1, Atp5a1, Calm2, Rbfox3, AI413582, Atp2b2, Fam117b, Celf4, Srpk2, Ttyh3, Stmn2, Vamp2, Napg, Cdk5r1, Gabra1, Acly, Ezr, Mapk10, Mef2c, Rundc3a, Epdr1, Aplp1, Gm11512, Dlgap1, Aes, Gnao1, Tmsb10, Bzw1, Aebp1, Nfasc, Tmem237, Ttyh1, Dennd4a, Atp6v1c1, Spock2, Vsnl1, Snx10, Ctnna1, Kif5a, Insig1, Smap2, Stub1, Tsc2, Fam19a2, Sez6, Chgb, Syngr3, Nap1l5, Nsd2, Tecr, Mapt, Pak3, Cd47, Cachd1, Psd3, Faim2, Trim37, Gpr158, Gm17511, Cacna1i, Sgip1, Tpt1, Pfn2, Fasn, Kifap3, Gnaq, Cadm2, Snap91, Fkbp8, Syt7, Gpm6b, Adprh, Arhgap27, Cyp46a1, Map2, Scn1b, Smarcc2, Dnaja2, Ola1, Cit, Fam49b, Syt13, Kcnab1, Tnfaip8, Tspyl1, Necab3, Tead1, Napb, Opcml, Nptn, Arhgef9, Ndrg2, Hspa5, Map2k4, Tcn2, B4gat1, Micu3, Psmd13, Myo5a, Gria2, Pi4ka, Sv2b, Sult4a1, Gm15800, Fam49a, Syt4, Dmtn, Celf2, Sox9, Fam8a1, Kcnj3, Nsg1, n-R5-8s1, Tspan5, Grin2b, Ap1s1, Trnp1, Ppp2r2c, Ank3, Zwint, Atrnl1, Atp1a2, Dlgap3, Arf3, Cdk14, Igfbp2, Tmod2, Clip3, Neat1, Wdr47, Gabbr2, Nefm, Tmem170b, Sptbn1, Adgrb1, Sept7, Serbp1, Grk2, Uchl1, 1700020I14Rik, Pafah1b2, Scrn1, Rps16, Gm9774, Dclk1, Pea15a, Itm2c, Fam183b, Cxx1a, Rac1, Tef, Fbxw11, Plpp3, Stmn1, Srcin1, Homer1, 6430548M08Rik, Emc10, Actr1a, Ube2ql1, Nptx1, Kalrn, Syt11, Nrsn2, Ppm1e, Sdha, Sh3gl2, Ywhaz, Higd1a, Itfg1, H1fx, Btbd6, Mapk8ip2, Hmgcs1, Trrap, Map7d1, Rab2a, Tubb4a, Camta1, Uqcrfs1, Adap1, Cd74, Nars, Dnajc5, Nefl, Tomm7, Cfap36, Ociad2, 9330162G02Rik, Rims3, Arhgap32, Fbxo3, Nat8l, Slco1c1, Akr7a5, Zfp706, Trim32, Rapgefl1, Pip5k1c, Map7d2, Ifngr2, Rnf41, Hdac6, Ap3d1, Matk, Slc17a7, Map1lc3b, Caly, Amd1, Mff, Supt7l, Pmm1, Lrrc4b, Kcnj9, Naa38, Cops5, Aak1, Sirpa, Sec22b, Sptbn2, Atcay, Senp2, Crip1, Trem2, Nefh, Lingo1, C1qtnf4, Hcn2, Epm2aip1, Ina, Cdk16, Epn1, Kifc2, Sdc3, Vat1l, Fam217b, Rgs4, 4933434E20Rik, Actr1b, Pip5k1a, Plekhb2, Begain, Ckmt1, Mef2d, Bmpr2, Ctsz, Tm9sf3, Mgll, Tceal6, Rap1gap, Tmem107, Trim2, Pik3ca, Prkce, Dynlrb1, Hlf, Sprn, Emb, Gdap1, Cobl, Zfp365, Chst2, Gabrg2, Scrt1, Camk2a, Nckap1, Vps52, Arf5, Ahnak, Tppp, Etfa, Mapk8ip3, Nsf, Cck, Mast3, Prrc2b, Mapk8ip1, Atp6ap1, Zbtb7a, Gatsl2, Selenom, Zyg11b, Kcnq5, Arl8b, Tubb5, Smim13, Rpl14, Pitpna, Wdfy3, Ppp1r1b, Kif1b, Npdc1, Slc6a11, Grik5, Ly6c1, Rufy3, Pvalb, Slc24a3, Scn2b, Rbfox1, Polr1d, Syvn1, Edil3, Rack1, Srebf2, Mrps11, Rusc2, Mcee, Nsmf, Tmem38a, 1110008P14Rik, Rnf126, Fkbp1a, Npy, Nnat, Tbc1d9, Pdia3, Rragb, Rps27l, Pkp4, Ttc9b, Rcan2, Gria1, Rnf166, Kif1a, Camk2b, Arpp19, Dctn3, Kctd13, Tm4sf1, Sbf1, Eif3b, Vstm2a, Ptprd, Tmem63b, Mrpl30, Tsn, Shank3, Anks1b, Ccdc92, Gnb2, Psd, Cox5b, Gm10175, Nceh1, Slc12a5, Fam131a, Lrrc4c, Pnmal2, Dpp6, Laptm4b, Tmem151a, Eid1, Chmp4b, Camk2n1, Rock2, Pdhb, Mtfp1"
