,col,#genes,genes
0,V1,196,"['Scd2', 'Tpt1', 'Qdpr', 'Plekhb1', 'Mobp', 'Qk', 'Csrp1', 'Cnp', 'Mbp', 'Cryab', 'Tubb4a', 'Car2', 'Bcas1', 'Slc48a1', 'Mag', 'Gng11', 'Mog', 'Gna12', 'Aplp1', 'Plp1', 'Fth1', 'Pllp', 'Evi2a', 'Trf', 'Ndrg1', 'Gatm', 'Gpr37', 'Selenop', 'Pacs2', 'Dbndd2', 'Cldn11', 'Scd1', 'Tmem88b', 'Psat1', 'Mal', 'Ptma', 'Ermn', 'Rnf13', 'Cers2', 'Aspa', 'Pdlim2', 'Ppp1r14a', 'Tmem63a', 'Lamp1', 'Slc44a1', 'Plaat3', 'Litaf', 'Slain1', 'Tspan2', 'Rhog', 'Pip4k2a', 'Prr18', 'Plekhh1', 'Ttyh2', 'Olig1', 'Nkx6-2', 'Lpar1', 'Sox10', 'Carhsp1', 'Phldb1', 'Sirt2', 'Tsc22d4', 'Myrf', 'Fa2h', 'Gsn', 'Taldo1', 'Prdx1', 'Cmtm5', 'Fez1', 'Gjc2', 'Hapln2', 'Tmbim1', 'Sec11c', 'Gltp', 'Sox2ot', 'Slc12a2', 'Ugt8a', 'Sypl', 'Gjb1', 'Gab1', 'Serpinb1a', 'Fgfr2', 'Pmp22', 'S100a16', 'Grb14', 'Efhd1', 'Neat1', '2810468N07Rik', 'Clic4', 'Rhob', 'Gal3st1', 'Efnb3', 'Hmgcs1', 'Josd2', 'Rap1a', 'Spg20', 'Opalin', 'Desi1', 'Gjc3', 'S1pr5', 'Elovl1', 'Golga7', 'Jam3', 'Tmcc3', 'Itgb4', 'Frmd8', 'Plcl1', 'Adssl1', 'Tppp3', 'Wscd1', 'Trp53inp2', 'Stmn4', 'Anln', 'Sccpdh', 'Agpat4', 'Npc1', 'Trim59', 'Tnfaip6', 'Rps9', 'Gstm7', 'Cpox', 'Arrdc3', 'Arhgap23', 'Tmeff1', 'Pex5l', 'Gpr62', 'Efcab14', 'Prr5l', 'Plxnb3', 'Padi2', 'Rps6', '5031439G07Rik', 'Arhgef10', 'Phgdh', 'Arsg', 'Cd82', 'Tmem151a', 'Cdc42ep2', 'Car14', 'Myo1d', 'Sema4d', 'Erbin', 'Cd81', 'Ado', 'Olig2', 'Sez6l2', 'Tmem98', 'Wnk1', 'Tmem229a', 'Tmeff2', 'Tuba1a', 'Dcaf17', 'Sept4', 'Enpp6', 'Klk6', 'Syt11', 'Npc2', 'Nmral1', 'Sec14l5', 'Tmem189', 'Rnf7', 'Inf2', 'Hcn2', 'Pde8a', 'Kif5b', 'Malat1', 'Apod', 'Ddr1', 'Slc6a9', 'Map7', 'Rhoa', 'Fnbp1', 'Serinc5', 'Tmem125', 'Rab31', 'Ptprd', 'Vamp3', 'Sept7', 'Cdk18', 'Hepacam', 'Lap3', 'Cdc42ep1', 'Secisbp2l', 'Dpy19l1', 'S100b', 'Kif13b', 'Rcbtb1', 'Enpp4', 'Msmo1', 'Rhou', 'Scarb2', 'Tspan15', 'Gamt', 'Nde1', 'Rps3', 'Rftn1']"
1,V10,105,"['Zfp560', 'Zfpl1', 'Nipal3', 'Brcc3', 'Snrnp48', 'Brox', 'Tmem160', 'Bcl10', 'Thoc3', 'Uba6', 'Pum3', 'Tpp2', 'Kdm5b', 'Siah2', 'Adprm', 'Arcn1', 'Fam219b', 'Mettl14', 'Hccs', 'Ipo9', 'Ndufa9', 'Lrp6', 'Nfkbib', 'Sord', 'Ankrd39', 'Dnttip2', 'Rfc1', 'Zfp771', 'Rex1bd', 'Zfp160', 'Gtf2e2', 'Dpy19l4', 'Tmem230', 'Pak7', 'Ing3', 'Gars', 'Pi4ka', 'Arih2', 'Ndufaf1', 'Slc2a8', 'Idnk', 'Cebpg', 'Lmbrd2', 'Tmem41b', 'Ccdc149', 'Nab1', 'Yeats4', 'Topbp1', 'Mtmr14', 'Sgsm3', 'Ccdc32', 'Herc4', 'Rnf26', 'Hmg20b', 'Coq8a', 'Ctr9', 'Ppp6r1', 'Plpp7', '4930453N24Rik', 'Gm2000', 'Ufm1', 'Cul3', 'Sec63', 'Sh3gl1', 'Phactr4', 'Lsm14a', 'Dhx57', 'Lss', 'Ndel1', 'Slc25a27', 'Chid1', 'Gtf3c3', 'Rnf216', 'Gnpda2', 'Exog', 'Drosha', 'Syncrip', 'Yipf6', 'Ube2f', 'Pitpnb', 'Ankrd27', 'Cnot9', 'Zfp523', 'Bod1l', 'Ccdc167', 'Lmna', 'Trmt2b', 'Wbp4', 'A430035B10Rik', 'Rpn1', 'Zfp868', 'Insig1', 'Gpd1l', 'March5', 'Abcb8', 'Rnaseh2b', 'Tmem106c', 'Ddx47', 'Myd88', 'Mapk1ip1l', 'Birc6', 'Tusc1', 'Copb2', '1810013L24Rik', 'Tapbp']"
2,V11,57,"['1110008P14Rik', 'Arpp19', 'Stx1a', 'Camk2n1', 'Olfm2', 'Ccl27a', 'Homer1', 'Myl4', 'Ttc9b', 'Gm11549', 'Efhd2', 'Satb1', 'Cckbr', 'Ier5', 'Tbr1', 'Ngef', 'Hs3st2', 'Egr1', 'Mef2c', 'Trbc2', 'Nrsn1', 'Vxn', 'Epop', 'Satb2', 'Ephb6', 'Dkkl1', 'Phf24', 'Ncald', 'Dkk3', '9130024F11Rik', 'Clstn1', 'Cobl', 'Pamr1', 'Fxyd7', 'Lmo4', 'R3hdm1', 'Stmn1', 'Prkar1b', 'Cyfip2', 'Phactr1', 'Ephx4', 'Kcnb1', 'Gfra2', 'Zfp365', 'Dclk1', 'Arpp21', 'Dact2', 'Kcnh7', '1110032F04Rik', 'Fbxw7', 'Inka2', 'Dusp14', 'Igfbp6', 'Ipcef1', 'Pcsk2', 'Fnbp1l', 'A830009L08Rik']"
3,V12,374,"['Abhd11', 'Thap7', 'Zfp358', 'Arfip2', 'Stau1', '9130401M01Rik', 'Tmod3', 'Dapk3', 'Wdr41', 'Atg7', 'U2af2', 'Txndc9', 'Setd3', 'Mfsd11', 'Ddx54', 'Cpsf1', 'Zfp871', 'Zfp236', 'Rae1', 'Mrps24', 'Qars', 'Nr2f6', 'Mccc2', 'Trip11', 'Bud23', 'Senp5', 'Sec61b', 'Cdkn2d', 'Otulin', 'Tmem175', 'Ikzf5', 'Ebpl', 'Vma21', 'Wdr70', 'Dpy30', 'Pias1', 'Minpp1', 'Mepce', 'Gtf2f1', 'Tpst2', 'Med16', 'Mrpl19', 'Zfyve1', 'Gpr107', 'Tmem104', 'Tsta3', 'Smg6', 'Borcs6', 'Abi1', 'Stambp', 'Eif3l', 'Appbp2', 'Yrdc', 'Fbxl17', 'Mybbp1a', 'Uty', 'Fam193a', 'Paox', 'Fbh1', 'Acox1', 'Wdr77', 'Rc3h2', 'Cnot6', 'Znrd2', 'Scaf1', 'Ccdc127', 'Cd2bp2', 'Nudt10', 'Psmg2', 'Edc3', '1700025G04Rik', 'Cct7', 'Nit1', 'Naa35', 'Vmac', 'Ssbp1', 'Ankrd17', 'Pank2', 'Ankmy2', 'Dkc1', 'Ino80', 'Fkbp15', 'Ptbp3', 'Zfp707', 'Eapp', 'Abt1', 'Cmc4', 'Mrpl15', 'Smarce1', 'Ccar1', 'Dcaf13', 'Txndc15', 'Mettl6', 'H1fx', 'Xbp1', 'Ltn1', 'E2f5', 'Mfap1b', 'Ndufaf8', 'Arfrp1', 'Yod1', 'Pfdn1', 'Khdrbs1', 'Ubap2l', 'Cpped1', 'Timm29', 'Med27', 'Pwp1', 'Slc25a46', 'Umad1', 'Ubxn6', 'Tada2b', 'Med17', 'Synrg', 'Tbp', 'Crls1', 'Mmut', 'Inafm1', 'Sra1', 'Dmd', 'Usp8', 'D8Ertd738e', 'Pank1', 'Mecr', 'Cpne1', 'Ube2h', 'Uchl3', 'Mia2', 'Selenoi', 'Stt3b', 'Kcnd1', 'Saal1', 'Mrps15', 'Elavl1', '2810006K23Rik', 'Dek', 'Mrpl17', 'Ercc1', 'Ifnar1', 'Cdadc1', 'Clock', 'Abcc1', 'Slc25a17', 'Mbd2', 'Blmh', 'Wwp2', 'Utp4', 'Mark2', 'Bhlhb9', 'Sdf4', 'Gabpb1', 'Nhp2', 'Ddit3', 'Fopnl', 'Brwd1', 'Zfp777', 'Qrich1', 'Cep104', 'Rtn2', 'Mrpl28', 'Cstf1', 'Hexa', 'Eif3i', 'Ercc2', 'Ero1l', 'Ube2w', 'Ppp2r5a', 'Rab13', 'Hs1bp3', 'Mrps18a', 'Dhodh', 'Vps26a', 'Samm50', 'Comt', 'Dnajc7', 'Chd2', 'Rnf138', 'Lrba', 'Flcn', 'Polr3gl', 'Exoc1', 'Mrps21', 'Hsf1', 'Exoc6b', 'Huwe1', 'Pex12', 'Mydgf', 'Gadd45gip1', 'Mier3', 'Mier1', 'Mrps9', 'Zfp148', 'Slc25a11', 'Ndufa8', 'Kdm5a', 'Mcee', 'Mau2', 'Spryd7', 'Med29', 'Gna11', 'Etfdh', 'Chd4', 'Otud4', 'Farp1', 'Aspscr1', 'Magi1', 'B230354K17Rik', 'Wipi2', 'Hikeshi', 'Tram1', 'Tacc3', 'Rere', 'Fbxo21', 'Ints6l', 'Exosc2', 'Prrc2c', 'Pick1', 'Mtdh', 'Spry2', 'Arid4b', 'Lta4h', 'Zfp697', 'Dzip3', 'Tm9sf1', 'Commd7', 'Rb1', 'Taf1c', 'Carmil1', 'Polr2h', 'Otud5', 'Snrpe', 'Pds5b', 'Nudt14', 'Rraga', 'Sesn3', 'Taf1a', 'Mrpl47', 'Tbc1d19', 'Chchd4', 'Rbm6', 'Aldh5a1', 'Bdh1', 'Mfsd3', 'Ppp2cb', 'Klhdc1', 'Slc35e2', 'Atn1', 'Prmt5', 'Rab26os', 'Tfip11', 'Efr3b', 'Rab3gap1', 'Psmd6', 'Gmpr2', 'Plgrkt', 'Vcl', 'Nup62', 'Psmd3', 'Fbxw8', 'Mbtd1', 'Opa1', 'Prrg2', 'Efl1', 'Taf3', 'Eif2s1', 'Gas8', '1110059G10Rik', 'Tpra1', 'Smu1', 'Mlh1', 'BC005624', 'Dhrs4', 'Timm50', 'Mib2', 'Sars', 'Polr3b', 'Rab23', 'Dtnb', '1700017B05Rik', 'Slirp', 'Snapc1', 'Nfat5', 'Nudcd3', 'Pi4kb', 'Gm8797', 'Nfxl1', 'Clptm1l', 'Apba3', 'Slc6a15', 'Adck1', 'Klhl8', 'Mgat2', 'A430005L14Rik', 'Grb2', 'Pdcd11', 'Dusp28', 'C920021L13Rik', 'Alkbh5', 'Rbbp9', 'Gatad2b', 'Bbip1', 'Gcat', 'Lsm2', 'Elp2', 'Rbm25', 'Srxn1', 'Slc44a2', 'Nt5m', 'Bmyc', 'Dmap1', 'Slc27a4', 'Pom121', 'Pank3', 'Adcy3', 'Wdr45', '4632404H12Rik', 'Emc1', 'Fam98c', 'Alkbh3', 'Usf1', 'Lrpap1', 'Mapre1', 'Smad5', 'Mtln', 'Csgalnact2', 'Ndufb7', 'Zfp874b', 'Leo1', 'Ehmt2', 'Smc1a', 'Lsm4', 'Eci1', 'Tmod2', 'Prdx4', 'Cdc26', 'Dbr1', 'Puf60', 'Tmem234', 'Tbl1xr1', 'Frat1', 'Rtl6', 'Heatr6', 'Fmnl3', 'Gba2', 'Rep15', 'Sptlc1', 'Selenot', 'Copz2', 'Pcbp1', 'Gemin7', 'Psmb5', 'Edem3', 'Adpgk', 'Ipo8', 'Nmnat1', 'Elovl2', 'Cd3eap', 'E130309D02Rik', 'Dnajc17', 'Zscan26', 'Csnk2a2', 'Fzd6', 'Fcho1', 'Vps26b', 'Ppid', 'Armcx3', 'Aldh3a2', 'Zfp850', 'Lipa', 'Taf2', 'Gps1', 'Cbx3', 'Hmces', 'Rnf144a']"
4,V13,60,"['Cop1', 'Sphk2', 'Camkk1', 'Pes1', 'Vsnl1', 'Pgs1', 'Map2k5', 'Sdcbp', 'Tanc1', 'Trim2', '1110038F14Rik', 'Cebpd', 'Nmd3', 'Gabra5', 'Drg1', 'Sema5a', 'Cabp7', 'Dsp', 'Rogdi', 'Slc7a14', '1110059E24Rik', 'Mnat1', 'Mnt', 'Rlim', 'Snap91', 'Pwwp2b', 'Lifr', 'Rpl4', 'Phb2', 'Atp6v1a', 'Ankrd35', 'Mrpl55', 'Jun', 'Braf', 'Prox1', 'Fam57b', 'Trappc2', 'Mycbp2', 'Fbxo31', 'Nrn1', 'Napa', 'Adam15', 'Klhl2', 'Scaf4', 'Gm2115', 'Dnajc8', 'Smim3', 'Rapgef2', 'Nckap1', 'Kat5', 'Pdpk1', 'Nt5dc2', 'Ago1', 'Camk1d', 'Epb41l1', 'Lmo1', 'Tuba4a', 'Herc2', 'Rasgrf1', 'Crlf1']"
5,V14,141,"['Rsl24d1', 'Cops4', 'Srm', 'Kcnn2', 'Phf14', 'Mdn1', 'Rnf170', 'Calcoco1', 'Prkra', 'Snhg8', 'Rabgef1', 'Ccnk', 'Klhl9', 'Saysd1', 'Mrpl35', 'Sugp2', 'Etv3', 'Snhg4', 'Dcaf12', 'Taf11', 'Cbfb', 'Lsm3', 'Mad1l1', 'Ormdl3', 'Bach1', 'Fmr1', 'Mrpl22', 'Srsf4', 'Rnf220', 'Gmppb', '1190007I07Rik', 'Zfp553', 'Dcaf4', 'Rcl1', 'Retreg2', 'Rab5b', 'Sbno1', 'H2afj', 'D030056L22Rik', 'Pstk', 'Luc7l', 'Ptdss1', 'Exoc5', 'Bcas3', 'Ldb1', '5530601H04Rik', 'Ddah1', 'Ten1', 'Sart3', 'Polr2e', 'Ppp2r2a', 'Epb41l4aos', 'Hdac1', 'Ergic3', 'Klhdc10', 'Nanp', 'E430018J23Rik', 'Copg2', 'Asb6', 'Pef1', 'Slx1b', 'Zfp593', 'Mrpl41', 'Uck2', 'Fcf1', 'Mtmr3', 'Cask', 'Ralgapa1', 'Xpo7', 'Snrpg', 'Snhg15', 'Ppil2', 'Tipin', 'Katnal1', 'Ddx6', 'Vps13d', 'Hyal2', 'Tm2d3', 'Dgcr6', 'Pdcd2l', 'Sap18', 'Zdhhc4', 'Mettl26', 'Ubac1', 'Mgat1', 'Timm17b', 'Supt16', 'Nup85', 'Nsrp1', 'Cwc27', 'Phf3', 'Anks3', 'Exoc2', 'Kmt2e', 'Cul1', 'Sv2a', 'Dennd4b', 'Gnl2', 'Megf8', 'Pxk', 'Slc37a4', 'Ddx1', 'Ints11', 'Cggbp1', 'Lars', 'Unk', 'Mrps5', 'Mcts1', 'Rybp', 'Rft1', 'Mrpl51', 'Snx19', 'Papolg', 'Zfp280d', 'St7l', 'Ssr4', 'Oxsm', 'Patl1', 'Rbmxl1', 'Snx24', 'Ercc8', 'Dpagt1', 'Shisa5', 'D6Wsu163e', 'Taf15', 'Arfgap1', 'Nsun2', 'Lysmd4', 'Nemp2', 'Pole4', 'Igbp1', 'Mettl22', 'Ezh1', 'Ppp2r3c', 'AI837181', 'Zfp607b', 'Klhl20', 'Rufy1', 'Hcn3', 'Ctcf', 'Camsap2']"
6,V15,111,"['Map2k2', 'Inafm2', 'Samd4b', 'Map3k7', 'Cox17', 'Aggf1', 'Slc35e1', 'Cyren', 'Ric8a', 'Psmd11', 'Nudt13', 'Nek4', 'Capn7', 'Amz2', 'Zfp68', 'Pik3c2a', 'Exosc5', 'Sde2', 'Fam214b', 'Gpatch2', 'Zfp943', 'Cfap97', 'R3hcc1', 'Mrpl44', 'Prpf6', 'Trappc1', 'Ciao2a', 'Snx11', 'Suz12', 'Hmbox1', 'Trmt10c', 'Spice1', 'Vps45', 'Ubac2', 'Rnf113a2', 'Entpd2', 'Cops8', 'Gapvd1', 'Jmy', 'Gpatch11', 'Stk16', 'Rrs1', 'Msantd3', 'Ankrd54', 'Lrig2', 'Csk', 'Wdr83', 'Gtpbp4', 'Ncoa3', 'Lmf1', 'Lmbr1', 'Ankrd11', 'Pigf', 'Metap2', 'Ddx52', 'Ap2s1', 'Ncstn', 'Zfp142', 'Cpsf6', 'Creld1', 'Gosr1', 'Cep250', 'Vps37a', 'Lonp2', 'Ttc37', 'Mrpl40', 'Fbl', 'Cradd', 'Prorsd1', 'Eri1', 'Dele1', 'Crebbp', 'Kras', 'Mbd3', 'Srek1ip1', 'Caskin2', 'Keap1', 'Polr3a', 'Mafg', 'Dnajc5', 'Snip1', '2310011J03Rik', 'Zfx', 'Gtf2h4', 'Camk1', 'Tor1a', 'Sdhb', 'Rhot2', 'Nelfa', 'Nubp1', 'Ccdc82', 'Med4', 'Senp6', 'Dmac1', 'Elp1', 'Rbm4b', 'Tiprl', 'Ndufaf5', 'Prkaa1', 'Gar1', 'Pih1d1', 'Ptbp2', 'Ap5s1', 'Gorasp1', 'Rnf215', 'Gramd4', 'Daam1', 'Fam120a', 'Fam91a1', 'Gm10076', 'Dpysl2']"
7,V16,69,"['Pfdn6', 'Trim8', 'Prkrip1', 'Prpf38a', 'Frs2', 'Pik3cb', 'Brd4', 'Nploc4', 'Uck1', 'Tmem43', 'Smim12', 'Rbsn', 'Mrps30', 'Fam199x', 'Lsm1', 'Hnrnpa1', 'Tagap1', 'Cars', 'Ccdc6', 'Bicd2', 'Tbc1d20', 'Cep63', '1110038B12Rik', 'Nampt', 'Zfp235', 'Gtpbp3', 'Lrrc59', 'Dand5', 'Hnrnpd', 'Rmc1', 'Traf7', 'Zfp444', 'Ppp1r21', 'Fam98b', 'Zfp637', 'Rabepk', 'Mrpl13', 'Wdr91', 'Atxn7', 'Eif1ad', 'Bckdha', 'Pofut2', 'Fbxo8', 'Tubgcp4', 'Entr1', 'Zkscan3', 'Dennd1a', 'C230037L18Rik', 'Nicn1', 'Per3', 'Zbtb8os', 'Cct8', 'Nkiras2', 'Phf2', 'Lmf2', 'Npepps', 'Wdr18', 'Wasl', '2510039O18Rik', 'Bcl9l', 'Swt1', 'Vhl', 'Mbnl1', 'Prkci', 'Rabggta', 'Golga3', 'Ppp2r2d', '4930581F22Rik', 'Sdhaf1']"
8,V17,42,"['Hey1', 'Gpaa1', 'Cdkn2aipnl', 'Dctn5', 'Lsm12', 'Sap30l', 'Pisd', 'Plcg1', 'Chmp7', 'Zfp397', 'Chadl', 'Hspa4', 'Ddx28', 'Tnks', 'Eea1', 'Mrps7', 'Ube4a', 'Siah1a', 'Msantd4', 'Kars', 'Zfp512', 'Mettl23', 'Bcl2', 'Plrg1', 'Rab3il1', 'Ralbp1', 'Aida', 'Maco1', 'Ggact', 'Psmd13', 'Timm22', 'Anks6', 'Fasn', 'Kbtbd7', 'Prpf31', 'Utp11', 'Uri1', 'Fut10', 'Ykt6', 'Cul5', 'Flot2', 'Amy1']"
9,V18,120,"['Cst3', 'mt-Nd4l', 'mt-Atp8', 'Rps21', 'Gstm5', 'Rps29', 'Plpp3', 'Zfas1', 'mt-Nd3', 'Rpl35a', 'Rps8', 'Rps27', 'Bc1', 'Cldn10', 'mt-Nd5', 'Bcor', 'Rpl37', 'Rplp1', 'Rpl35', 'mt-Co2', 'Slc15a2', 'Rpl38', 'Sh2d5', 'Rps23', 'Rpl36a', 'S1pr1', 'Rpl13', 'Xrcc1', 'Mt3', 'Rpl9', 'Rpl13a', 'Rps15', 'mt-Co3', 'Rps14', 'Gstm1', 'Nkain4', 'H2afx', 'Paf1', 'Rps28', 'Gabrg1', 'mt-Atp6', 'mt-Nd6', 'Clu', 'Rpl26', 'Chst2', 'mt-Nd2', 'Ntrk2', 'mt-Co1', 'Psmb3', 'Htra1', 'Mecp2', 'Nagk', 'Rpl21', 'Tmem167b', 'Rpl30', 'Snta1', 'Prdx6', 'Irf2bp1', 'Tmem176a', 'Rps7', 'Bcan', 'Adprhl2', 'P2ry12', 'Fads2', 'mt-Nd4', 'Rps16', 'Rpl37a', 'F3', 'Rps11', 'Rpl34', 'Slco1c1', 'Rps18', 'Rps10', 'Rps26', 'Rpl17', 'Rps24', 'Rps27rt', 'Smc6', 'Rpl27', 'Rpl29', 'Phax', 'Rpsa', 'Mmd2', 'Papss2', 'Ass1', 'Gm11808', 'Rps19', 'mt-Cytb', 'Prkd1', 'Rgcc', 'Gm6145', 'Rpl14', 'Glul', 'Kctd20', 'Rps25', 'Asrgl1', 'Rpl12', 'Rasl10b', 'Ttyh1', 'Cspg5', 'Asb1', 'Dio2', 'Rpl24', 'Fau', 'Rpl10', 'Mfsd2a', 'Gja1', 'Adhfe1', 'Gsto1', 'Rftn2', 'Sox21', 'Ugp2', 'Ddx19a', 'Arsa', 'Slc1a2', 'Tk2', 'Pik3c3', 'Stat5b', 'Plcd4', 'Gpc5']"
