,col,#genes,genes
0,V1,75,"['TAGLN', 'ACTA2', 'MYL9', 'TPM1', 'FLNA', 'MYLK', 'ACTG2', 'ACTB', 'CNN1', 'SYNPO2', 'SYNM', 'SMTN', 'PCP4', 'SORBS1', 'CALD1', 'HSPB8', 'TPM2', 'PPP1R12B', 'LMOD1', 'PDLIM7', 'C12orf75', 'ZNF326', 'SVIL', 'TNS1', 'KCNMB1', 'PGM5', 'PRUNE2', 'DES', 'TMEM158', 'VWA1', 'FNBP1', 'LIMS2', 'VCL', 'FLNC', 'DPYSL3', 'ADGRA2', 'ILK', 'PLEKHO1', 'RAP1A', 'DSTN', 'EYA4', 'SLMAP', 'ITGA5', 'ACTN1', 'ALDH1B1', 'KLHL5', 'CFL2', 'JPH2', 'BAG2', 'PNCK', 'EYA1', 'RBPMS', 'FBXL22', 'MXI1', 'SPEG', 'RGS2', 'HSPB1', 'TSPAN15', 'POPDC2', 'FHOD3', 'HSPG2', 'JAK2', 'RAB23', 'PLN', 'CCDC69', 'ZNF185', 'C3orf70', 'ITPR1', 'PFN1', 'KIAA1210', 'CACNA1H', 'RRAS', 'EDNRA', 'DUSP3', 'NADK2']"
1,V10,24,"['MGP', 'FOSB', 'FBLN1', 'DCN', 'SFRP4', 'MMP2', 'DPT', 'GSN', 'CCDC80', 'FOS', 'PDGFRL', 'SERPINF1', 'THBS1', 'IGFBP6', 'IGFBP5', 'TNXB', 'C11orf96', 'HSD11B1', 'ADAMTS4', 'JUNB', 'CXCL12', 'OAF', 'FN1', 'G0S2']"
2,V11,98,"['TRIM26', 'TRAF3', 'GALK2', 'MARF1', 'MVB12B', 'GRAMD1A', 'PHTF2', 'WAPL', 'NOP9', 'IRF9', 'ACADSB', 'RABEP1', 'CAPN1', 'PSMA3', 'GNPDA1', 'ARHGEF18', 'BOLA1', 'MFSD14A', 'AKAP9', 'IQCE', 'UBTD1', 'DNMT3A', 'ARL10', 'TIMM17A', 'ANKRD39', 'ARHGAP9', 'ZNF709', 'MED28', 'SART3', 'MDN1', 'LMNB2', 'GSKIP', 'PSMC5', 'KCND1', 'L3HYPDH', 'LRR1', 'SRSF2', 'KDM1B', 'TOP3B', 'FMR1', 'PRPF40B', 'HMGN3', 'SLC27A3', 'KDM5B', 'FBH1', 'WDR81', 'APEH', 'FLCN', 'HIST1H2BO', 'PSMB3', 'RELA', 'SBNO2', 'MCUR1', 'FNTB', 'SCAMP1', 'PELP1', 'C10orf88', 'FAM149B1', 'IFIT5', 'IFT88', 'MRGBP', 'MRI1', 'TUBGCP5', 'EPS8L2', 'KDM5A', 'EIF3B', 'TMBIM4', 'ZNF597', 'RILPL2', 'SUDS3', 'STAT1', 'TMEM39A', 'ING5', 'CASK', 'B4GALT5', 'RBM41', 'TMEM39B', 'PGLS', 'MAU2', 'CMIP', 'RNF126', 'HNRNPDL', 'DTX3L', 'SERP2', 'CLPX', 'CPT1A', 'RMI1', 'PIP4K2C', 'ZNF414', 'NPC1', 'DPYD', 'TRMT10B', 'ZNF274', 'C11orf71', 'FAM192A', 'TMEM216', 'VAPB', 'IRS1']"
3,V12,127,"['ZMYND8', 'PRKCSH', 'FAM189B', 'ANKRD12', 'PSMA2', 'PDK3', 'TRIM2', 'KDSR', 'SRP68', 'PHF3', 'PITPNM3', 'ASMTL', 'AKAP11', 'SLC4A2', 'TOP2B', 'PROSER1', 'SRSF7', 'FEM1A', 'LBHD1', 'TPGS2', 'ANKRD11', 'GGNBP2', 'UBAP1', 'TAF1C', 'POLA2', 'SLC7A6', 'UBXN6', 'SNRNP70', 'BCAP31', 'NME3', 'ZMIZ1', 'CD47', 'THUMPD3', 'EFCAB2', 'LDOC1', 'MCC', 'BAZ2A', 'XRN2', 'NAIF1', 'PCBP1', 'ZHX1', 'CBFB', 'LSM14A', 'ACER2', 'DRG2', 'RRP36', 'CTDSP1', 'CLTA', 'SNX33', 'RBM17', 'ZNF579', 'SHLD1', 'KMT2B', 'SMYD3', 'PRDX5', 'BROX', 'ARAP2', 'IGF2R', 'ASB7', 'DVL1', 'MAT2B', 'MTMR10', 'CSF2RA', 'POMT1', 'NTPCR', 'KARS', 'TRIM47', 'PPP6R3', 'NF2', 'WDTC1', 'HNRNPUL1', 'CLASRP', 'NUDT16', 'DNAJC19', 'FGD6', 'PTPRE', 'ATXN3', 'LDLRAP1', 'CHCHD4', 'ADSL', 'G3BP2', 'COX15', 'PER3', 'JMJD7', 'SLC39A3', 'LANCL1', 'USP7', 'HEATR5B', 'TRAPPC3', 'SFT2D2', 'IMPDH2', 'RHBDL3', 'RIOK1', 'RINT1', 'SMIM26', 'KANSL3', 'CDR2L', 'ZNF777', 'GNPTG', 'XIAP', 'SLTM', 'ZNF254', 'PARL', 'GNB5', 'CARNMT1', 'INTS1', 'UNC50', 'UBE2L3', 'MBTPS1', 'TRAPPC6B', 'GTF3C3', 'C2orf68', 'CPPED1', 'IKBKB', 'BCLAF3', 'PXMP4', 'MDM4', 'MALSU1', 'OTUB1', 'OTUD3', 'MSI2', 'PRKAR2A', 'NOL7', 'IVNS1ABP', 'PRUNE1', 'EMC2', 'BAG4']"
4,V13,34,"['GUCY1A1', 'SOCS4', 'GCN1', 'CNTLN', 'RAD51D', 'TUBB2A', 'MGRN1', 'UBQLN2', 'ERF', 'RAB1A', 'RGMA', 'PDE3A', 'IGFBP3', 'DERA', 'XPO7', 'NXNL2', 'SNTB1', 'AMDHD2', 'TRIP10', 'FAM107B', 'KBTBD3', 'ZNF572', 'ZNF3', 'SCAPER', 'SPAG1', 'ADIPOR2', 'TASOR', 'DUSP16', 'RARA', 'TNRC18', 'JMJD4', 'DRAM1', 'NFRKB', 'ZRANB3']"
5,V14,41,"['NINJ1', 'CCNJ', 'CD96', 'USP10', 'SNRNP35', 'STX16', 'PCK2', 'CRYBG3', 'VPS18', 'CDK6', 'NDUFB5', 'ELAC2', 'RAI1', 'LTV1', 'TINF2', 'HIBADH', 'TPBG', 'CBL', 'TIMM9', 'EIF2B2', 'FLT3LG', 'ZNF574', 'ZGRF1', 'ZNF584', 'ESCO1', 'DCBLD2', 'NABP2', 'C8orf58', 'LGALS8', 'CXorf40A', 'INTS8', 'STK36', 'NCOA2', 'MTUS1', 'ABHD4', 'ZNF736', 'KLF8', 'HIVEP2', 'KAT8', 'ABCA8', 'SUGCT']"
6,V15,36,"['NRXN1', 'L1CAM', 'SEMA3B', 'GLI4', 'DPP8', 'GAS7', 'UFSP2', 'SHARPIN', 'ST6GALNAC2', 'CADM2', 'S100B', 'MPZ', 'VASH1', 'CHL1', 'C1orf198', 'OLFML2A', 'USP9X', 'PRPF40A', 'SYK', 'PLOD3', 'PDE12', 'PQBP1', 'HAND2', 'TPK1', 'KRCC1', 'CDH19', 'RAI14', 'PLEKHB1', 'COPS7A', 'MAP2K5', 'CORO2B', 'SYS1', 'ZNF510', 'PRPSAP1', 'QPCT', 'SLC35F1']"
7,V16,34,"['KLHDC2', 'MOB3B', 'FUT11', 'REV1', 'VPS35', 'SMIM12', 'NPRL2', 'DIPK2A', 'WDR60', 'THAP11', 'TELO2', 'HECTD3', 'TTF2', 'BCAP29', 'DROSHA', 'RFX7', 'DNHD1', 'FAM13A', 'SCARB1', 'ELOA', 'PRKX', 'FAM193B', 'PSMG4', 'EIF4E', 'PRRT2', 'FAM171A2', 'MAGEF1', 'TTLL5', 'POLL', 'PHAX', 'KSR1', 'NSD1', 'EXOC4', 'HIST1H4D']"
8,V17,23,"['SUCO', 'ABRAXAS1', 'COQ10A', 'SEC24B', 'AFG1L', 'UBE2D4', 'ZNF558', 'NBEAL2', 'GCC1', 'PPP6R1', 'USPL1', 'NKAP', 'SAMD1', 'C15orf40', 'WDR89', 'GET3', 'PTPRK', 'NKIRAS2', 'LRRK1', 'RAD54L2', 'DNAJB9', 'PARP3', 'POGLUT1']"
9,V18,27,"['AGO4', 'FAM160B1', 'STK3', 'METTL16', 'MGAT5', 'GLTP', 'NSMCE2', 'TMEM170A', 'MEGF8', 'KIF23', 'ZNF253', 'ENPP4', 'CCNYL1', 'TKFC', 'MOB4', 'CARD19', 'RALY', 'DOK4', 'SIRT6', 'SREK1IP1', 'PGAP2', 'UTP14A', 'HERC3', 'IRAK1BP1', 'ZNF644', 'HIPK1', 'RLF']"
10,V19,27,"['CEP78', 'DBNL', 'MTLN', 'TBC1D5', 'SHKBP1', 'C6orf120', 'GON4L', 'ZNF517', 'CARS2', 'AP1M1', 'PPM1D', 'PSMD2', 'STRIP1', 'UBR4', 'EXOC6B', 'ZSCAN9', 'APOBEC3F', 'EXOSC6', 'TIMM29', 'KLHL12', 'DGCR2', 'DEPTOR', 'ZFC3H1', 'ABR', 'SLC5A3', 'LIME1', 'LYG1']"
