,#genes,genes
1,49,"['KLK3', 'KLK2', 'MSMB', 'ACPP', 'NPY', 'VEGFA', 'RDH11', 'SLC45A3', 'NCAPD3', 'AZGP1', 'FASN', 'STEAP2', 'SEC11C', 'GREB1', 'CPE', 'NKX3-1', 'CENPN', 'PLPP1', 'NEFH', 'SGK1', 'MME', 'DBI', 'MT1G', 'PAK1IP1', 'HOXB13', 'DHRS7', 'CPLX3', 'LMAN1L', 'ANO7', 'ARG2', 'TPD52', 'ODC1', 'KLK4', 'GCNT2', 'STEAP1', 'RCAN3', 'FKBP5', 'HIST1H2AC', 'AMD1', 'GP2', 'HMGCS2', 'SYT7', 'GRHL2', 'MT1F', 'RAB3B', 'HGD', 'FAM3B', 'NIPAL3', 'LIFR']"
2,109,"['ID1', 'LUM', 'CFD', 'IGFBP7', 'A2M', 'MASP1', 'FRZB', 'ID3', 'ELN', 'CCN2', 'IGFBP6', 'C1R', 'BMP5', 'LTBP4', 'AEBP1', 'SOD3', 'SPARC', 'S100A6', 'FILIP1L', 'ITGA8', 'LBH', 'FBLN5', 'ELF3', 'FAM83D', 'CRIM1', 'TMSB4X', 'TIMP3', 'CCN3', 'FSTL1', 'ID4', 'KRT7', 'HMCN1', 'SBSPON', 'S100P', 'PDE3A', 'TGM2', 'LTBP1', 'EPHA3', 'FBLN2', 'CFH', 'FOXF2', 'CP', 'LGR6', 'RARRES1', 'SULF1', 'PIGR', 'DKK3', 'EDN2', 'COCH', 'WFDC1', 'TCF21', 'IFITM3', 'MT1X', 'CDH2', 'CNTN1', 'RCAN2', 'ATRNL1', 'CLEC3B', 'KIAA0408', 'LDLRAD4', 'EFEMP1', 'IGFBP3', 'TBX4', 'ACTN4', 'S100A4', 'IGFBP2', 'LTBP2', 'APP', 'KCNAB1', 'WSCD2', 'C1QTNF1', 'SOGA3', 'CPXM2', 'WNT2B', 'RTN4', 'PKD2', 'ANGPTL2', 'SMAD6', 'PSTPIP1', 'PGF', 'PRKG1', 'SMOC2', 'FSTL3', 'C1QTNF7', 'SPSB1', 'SMAD7', 'PPP1R14A', 'NTRK2', 'NRXN3', 'SYNPO', 'TNFRSF12A', 'NPTN', 'WIPF3', 'NXPH3', 'CYB5R3', 'MYOC', 'HSPB7', 'SYNC', 'SCGB1A1', 'KCNK3', 'QSOX1', 'SPON1', 'SAMD11', 'ADAMTSL3', 'ADAMTSL2', 'WNT2', 'ANO6', 'TBX5', 'ANO5']"
3,44,"['TTN', 'KLHL41', 'TNNT1', 'PI16', 'MB', 'MYL1', 'MYLPF', 'ACTN2', 'TNNT3', 'NEB', 'TNNC1', 'CA3', 'NR4A3', 'CKM', 'VSTM2A', 'LMOD2', 'FBLN1', 'MYL2', 'TRDN', 'TNNI1', 'LMNA', 'EEF1A2', 'NR4A2', 'STRIT1', 'MYH7', 'STAC3', 'COX6A2', 'CCDC3', 'NRAP', 'CSRP3', 'MYH3', 'MYBPC1', 'MYOG', 'MYH7B', 'SPTB', 'MYOZ2', 'ENO3', 'SMPX', 'ANKRD1', 'SLN', 'TCAP', 'MUSTN1', 'S100A1', 'SMYD1']"
4,33,"['JUNB', 'C11orf96', 'ADAMTS1', 'BTG2', 'EGR1', 'IGFBP5', 'NR4A1', 'FN1', 'UBC', 'FOSB', 'ZFP36', 'RASD1', 'MT2A', 'SOCS3', 'CCN1', 'GADD45B', 'ADAMTS4', 'ATF3', 'MYC', 'CDKN1A', 'DUSP1', 'ZNF331', 'SFRP4', 'PLPP3', 'CXCL12', 'VIM', 'ZFAND5', 'PMP22', 'PDGFRL', 'G0S2', 'HSPB6', 'NFKBIZ', 'VIT']"
5,23,"['XBP1', 'SPINT2', 'MLPH', 'SPDEF', 'FOXA1', 'HERPUD1', 'KLK11', 'GMNN', 'NEDD4L', 'DDIT4', 'FXYD3', 'KIAA1324', 'DCXR', 'TBC1D8', 'TMPRSS2', 'TSC22D3', 'LRRC26', 'CD9', 'PRAC1', 'TSPAN1', 'CREB3L4', 'GPT2', 'ZG16B']"
6,180,"['MYLK', 'SYNM', 'ACTG2', 'TAGLN', 'MYL9', 'FLNA', 'SYNPO2', 'TPM1', 'PCP4', 'SORBS1', 'CNN1', 'CALD1', 'ACTA2', 'ACTB', 'DES', 'SMTN', 'TPM2', 'RGS2', 'TNS1', 'RAP1A', 'CYP1B1', 'KLHL5', 'ACTN1', 'VWA1', 'C12orf75', 'HSPB1', 'SVIL', 'PPP1R12B', 'PGM5', 'TMEM158', 'PDLIM7', 'LMOD1', 'HSPB8', 'EYA1', 'PRUNE2', 'LIMS2', 'VCL', 'DPYSL3', 'TGFB1I1', 'TACC1', 'ARHGAP10', 'KCNMB1', 'ITPR1', 'PLEKHO1', 'FNBP1', 'CCNI', 'RBFOX3', 'BIN1', 'EEF2', 'RRAS', 'CCDC69', 'SLMAP', 'PGRMC1', 'DEPTOR', 'NIBAN1', 'DMD', 'PARVA', 'SELENBP1', 'CAV1', 'CHRDL2', 'LAMA4', 'FBXO32', 'SERTM2', 'CD99', 'ADGRA2', 'CFL2', 'PARM1', 'ALDH1B1', 'SRF', 'GALR1', 'ATP5PF', 'EDNRA', 'EPPK1', 'WDR1', 'HSPG2', 'COX6C', 'SLC25A23', 'PLN', 'FHOD3', 'MICALL1', 'COL4A1', 'SLC16A9', 'GPLD1', 'AHNAK2', 'CDC42BPA', 'PNRC1', 'LMO4', 'C3orf70', 'SHISAL1', 'IP6K3', 'TSPAN2', 'POPDC2', 'DUSP3', 'ATP2B4', 'PPP1R12A', 'NR2F1', 'UQCRB', 'SH3BGRL', 'ARHGEF25', 'SLC25A4', 'ZNF680', 'BMERB1', 'VEGFB', 'FERMT2', 'CALM3', 'PPP1R3C', 'GRID1', 'PDE7B', 'JCAD', 'VPS29', 'CACNA1H', 'NACC2', 'MYORG', 'PTEN', 'MYOCD', 'COL4A3', 'DAB1', 'STARD9', 'IGSF9B', 'GNAL', 'DYSF', 'CCDC107', 'CAPZA2', 'PNMA1', 'PPP2R2C', 'GNA11', 'TPCN2', 'HIPK3', 'CELF2', 'CDK8', 'GLI3', 'RAB31', 'BAG2', 'SNCAIP', 'ZBTB18', 'NCBP2', 'FOXC1', 'RASSF3', 'EIF4A2', 'CACNB2', 'TSPAN15', 'HDDC2', 'B4GALNT1', 'RNF150', 'EHBP1', 'NUDT11', 'PIP5K1C', 'CA14', 'GNA14', 'HSPH1', 'QKI', 'PBX3', 'INMT', 'B4GALT2', 'C1orf54', 'TLE5', 'IDH2', 'PTTG1IP', 'TMEM64', 'GPR161', 'CLIP1', 'LPIN1', 'FOXP2', 'PLIN4', 'TENT5B', 'UBE2E1', 'PYGM', 'EGFLAM', 'TCN2', 'NFIA', 'DDX6', 'VDAC3', 'ALDH2', 'TSPAN18', 'ATXN1', 'MDFIC', 'JAM2', 'TJP1', 'MAPK10', 'RABGEF1']"
7,20,"['COL6A3', 'CLU', 'SPARCL1', 'RHOB', 'GSN', 'DCLK1', 'COL6A1', 'ACTC1', 'GREM1', 'DPT', 'PCOLCE2', 'OGN', 'CCDC80', 'COL6A2', 'SERPINF1', 'CRYAB', 'IGFBP4', 'NPNT', 'P4HA3', 'CREM']"
8,46,"['TFCP2L1', 'KRT5', 'EHF', 'RHCG', 'OLFM4', 'TACSTD2', 'RUNX1', 'SCUBE2', 'GLUL', 'DEFB1', 'KRT13', 'TRIM29', 'TGM4', 'KRT8', 'TNFSF10', 'S100A14', 'CLDN3', 'TNS4', 'SDC1', 'PPP1R1B', 'IRX3', 'SYNE2', 'SRGAP3', 'S100A2', 'LAMB3', 'CLDN7', 'THSD4', 'CLDN1', 'PITX1', 'ST6GAL1', 'ANPEP', 'ETS2', 'CREB3L1', 'PPL', 'DSC3', 'LXN', 'TENT5C', 'MUC12', 'SCNN1A', 'ALCAM', 'PRR15L', 'TMEM63A', 'RNF145', 'CCDC68', 'TG', 'ZBTB7C']"
9,17,"['KRT18', 'HOMER2', 'CDH1', 'DSP', 'CDC42EP5', 'CYP3A5', 'BCAM', 'PMEPA1', 'HSPA5', 'DHCR24', 'UPK3A', 'CANT1', 'CNDP2', 'PKP1', 'CWH43', 'TSTD1', 'ICA1']"
10,28,"['MGP', 'DCN', 'COL1A2', 'TNXB', 'TIMP2', 'SERPING1', 'C1S', 'PODN', 'MFGE8', 'THBS1', 'MFAP4', 'EMP1', 'MCL1', 'COL1A1', 'GPRC5A', 'CEBPD', 'BHLHE40', 'IL32', 'SERPINE1', 'PTP4A3', 'DMPK', 'BMPER', 'EGR3', 'COL14A1', 'TMOD1', 'ESYT2', 'FGFR1', 'FOSL2']"
