"cluster","#genes","genes"
"1","212","Gene3302, Gene789, Gene293, Gene3836, Gene9757, Gene7477, Gene6285, Gene9199, Gene8184, Gene3967, Gene8770, Gene8589, Gene634, Gene9208, Gene6137, Gene6633, Gene2836, Gene3523, Gene719, Gene2245, Gene9493, Gene6664, Gene4307, Gene477, Gene4209, Gene6784, Gene1476, Gene8388, Gene9636, Gene21, Gene6574, Gene2390, Gene5545, Gene8929, Gene1230, Gene9903, Gene9140, Gene9818, Gene898, Gene2949, Gene1410, Gene3883, Gene6322, Gene6275, Gene5938, Gene8993, Gene87, Gene8766, Gene7547, Gene5231, Gene591, Gene1188, Gene3497, Gene5356, Gene5869, Gene8726, Gene6146, Gene119, Gene4096, Gene5156, Gene815, Gene2280, Gene2789, Gene3597, Gene4357, Gene727, Gene7920, Gene5533, Gene3361, Gene4464, Gene337, Gene7088, Gene9986, Gene8990, Gene9367, Gene1933, Gene9597, Gene9652, Gene3530, Gene6244, Gene8868, Gene1632, Gene5313, Gene9602, Gene2553, Gene8575, Gene6479, Gene504, Gene3895, Gene5027, Gene4791, Gene8728, Gene7395, Gene121, Gene6580, Gene1372, Gene8845, Gene9959, Gene1447, Gene3874, Gene2355, Gene2785, Gene5946, Gene3940, Gene2647, Gene1692, Gene2555, Gene7017, Gene9457, Gene4443, Gene5144, Gene4587, Gene5091, Gene8306, Gene5830, Gene1215, Gene3660, Gene8925, Gene7993, Gene62, Gene3875, Gene3342, Gene6012, Gene9909, Gene1055, Gene1161, Gene7346, Gene5133, Gene1197, Gene7765, Gene6253, Gene3789, Gene2692, Gene5307, Gene5476, Gene8873, Gene4880, Gene161, Gene7859, Gene1623, Gene6667, Gene433, Gene3279, Gene8541, Gene4269, Gene2617, Gene5239, Gene300, Gene8274, Gene5935, Gene6448, Gene9776, Gene250, Gene416, Gene5000, Gene8086, Gene540, Gene8902, Gene5786, Gene1758, Gene6251, Gene9259, Gene7046, Gene907, Gene428, Gene6020, Gene3145, Gene1223, Gene9256, Gene3588, Gene1000, Gene9765, Gene7495, Gene1694, Gene661, Gene8471, Gene9293, Gene1522, Gene9194, Gene9049, Gene6473, Gene4262, Gene9108, Gene4093, Gene8582, Gene922, Gene7947, Gene9095, Gene2528, Gene4454, Gene8807, Gene1310, Gene7106, Gene8329, Gene6400, Gene1814, Gene4131, Gene5264, Gene7618, Gene8986, Gene1312, Gene6932, Gene4181, Gene6974, Gene5038, Gene7091, Gene547, Gene2432, Gene5800, Gene9546, Gene4854, Gene4941"
"5","75","Gene4752, Gene8563, Gene9488, Gene5745, Gene6195, Gene8753, Gene2997, Gene7217, Gene1375, Gene7746, Gene1881, Gene4974, Gene8626, Gene9260, Gene9533, Gene8096, Gene2027, Gene9371, Gene6988, Gene2163, Gene4022, Gene4565, Gene2715, Gene2768, Gene8440, Gene7926, Gene9452, Gene41, Gene7019, Gene242, Gene1454, Gene3974, Gene5339, Gene5610, Gene7525, Gene9904, Gene8959, Gene7939, Gene2513, Gene267, Gene6218, Gene2071, Gene2845, Gene2756, Gene8750, Gene3132, Gene4184, Gene1494, Gene6444, Gene2172, Gene8852, Gene4994, Gene3097, Gene7972, Gene7360, Gene8967, Gene2862, Gene7666, Gene1432, Gene3196, Gene2569, Gene4902, Gene128, Gene6922, Gene692, Gene718, Gene4410, Gene7535, Gene3916, Gene7714, Gene9552, Gene9334, Gene4568, Gene5277, Gene1817"
"7","65","Gene6435, Gene5730, Gene6176, Gene5351, Gene3237, Gene9434, Gene3825, Gene8978, Gene4010, Gene8445, Gene8431, Gene4111, Gene9094, Gene2766, Gene5014, Gene1070, Gene3942, Gene5238, Gene6500, Gene5335, Gene448, Gene2879, Gene6360, Gene5366, Gene4602, Gene995, Gene6191, Gene9386, Gene8065, Gene4020, Gene990, Gene8485, Gene3528, Gene3199, Gene2575, Gene113, Gene2059, Gene80, Gene3291, Gene1986, Gene4059, Gene2405, Gene341, Gene5272, Gene3142, Gene6106, Gene7736, Gene6169, Gene4215, Gene272, Gene9938, Gene7851, Gene7294, Gene4017, Gene7801, Gene7986, Gene9383, Gene1948, Gene2403, Gene8062, Gene9286, Gene2010, Gene8560, Gene1702, Gene5965"
"3","147","Gene2363, Gene4795, Gene6441, Gene1295, Gene9384, Gene3043, Gene4147, Gene8998, Gene96, Gene6454, Gene3152, Gene3144, Gene2419, Gene122, Gene6751, Gene1506, Gene7670, Gene684, Gene612, Gene8816, Gene9192, Gene4139, Gene3950, Gene9302, Gene1026, Gene5066, Gene3662, Gene4709, Gene5818, Gene4931, Gene7934, Gene3550, Gene5276, Gene1152, Gene1190, Gene5167, Gene9445, Gene4214, Gene1519, Gene6053, Gene2899, Gene52, Gene3033, Gene4208, Gene4479, Gene7652, Gene6365, Gene8293, Gene9117, Gene8442, Gene4382, Gene9500, Gene127, Gene8072, Gene9937, Gene7687, Gene7921, Gene6351, Gene5955, Gene3487, Gene6889, Gene5283, Gene5698, Gene3532, Gene3526, Gene5220, Gene4873, Gene4053, Gene6426, Gene5083, Gene4251, Gene1347, Gene5585, Gene1967, Gene8849, Gene4601, Gene4838, Gene2688, Gene2804, Gene5930, Gene2475, Gene4347, Gene403, Gene7962, Gene1290, Gene4172, Gene2626, Gene59, Gene5235, Gene4124, Gene5563, Gene6997, Gene528, Gene9538, Gene1046, Gene3627, Gene7830, Gene5489, Gene1589, Gene4794, Gene8323, Gene5343, Gene4202, Gene4841, Gene5976, Gene4905, Gene6925, Gene599, Gene3881, Gene9436, Gene2025, Gene3866, Gene5717, Gene2005, Gene8038, Gene7843, Gene3412, Gene1611, Gene6937, Gene7677, Gene4522, Gene6075, Gene1993, Gene7191, Gene4530, Gene5902, Gene8857, Gene4895, Gene9810, Gene2031, Gene697, Gene6848, Gene1644, Gene5888, Gene7506, Gene304, Gene6034, Gene8500, Gene5193, Gene8837, Gene5034, Gene8334, Gene3459, Gene4826, Gene886, Gene8504, Gene1061"
"6","65","Gene650, Gene9337, Gene4, Gene8435, Gene1010, Gene858, Gene523, Gene2503, Gene9463, Gene9139, Gene5129, Gene6422, Gene4011, Gene9561, Gene7151, Gene434, Gene2177, Gene4707, Gene6057, Gene8906, Gene1842, Gene7235, Gene806, Gene4823, Gene5285, Gene3156, Gene5798, Gene6833, Gene1943, Gene394, Gene411, Gene5377, Gene7255, Gene3989, Gene8294, Gene2806, Gene368, Gene1079, Gene292, Gene9725, Gene3741, Gene410, Gene2643, Gene8639, Gene2016, Gene1293, Gene6364, Gene42, Gene2714, Gene3254, Gene5675, Gene7494, Gene1013, Gene9890, Gene1114, Gene8036, Gene5381, Gene8855, Gene7663, Gene7537, Gene2236, Gene8664, Gene7183, Gene3546, Gene6489"
"2","168","Gene1759, Gene9013, Gene4048, Gene5939, Gene3437, Gene2144, Gene7710, Gene7952, Gene269, Gene5511, Gene3622, Gene7177, Gene3016, Gene8711, Gene7871, Gene3695, Gene3334, Gene3473, Gene8005, Gene8046, Gene8455, Gene7560, Gene8098, Gene497, Gene4525, Gene5839, Gene7538, Gene9185, Gene3584, Gene1952, Gene7845, Gene9511, Gene7223, Gene3621, Gene3249, Gene9815, Gene7725, Gene1239, Gene772, Gene3163, Gene6682, Gene7778, Gene3601, Gene2035, Gene9866, Gene5202, Gene2574, Gene9980, Gene3958, Gene7946, Gene6527, Gene1962, Gene671, Gene734, Gene6220, Gene8205, Gene9530, Gene7100, Gene1455, Gene5069, Gene739, Gene7507, Gene9870, Gene3239, Gene7266, Gene9921, Gene8677, Gene6029, Gene7917, Gene8636, Gene4982, Gene2557, Gene7024, Gene855, Gene7515, Gene2037, Gene4800, Gene7883, Gene2251, Gene6644, Gene2584, Gene7723, Gene8470, Gene3863, Gene1090, Gene930, Gene3713, Gene4811, Gene1838, Gene2286, Gene6809, Gene1424, Gene6995, Gene3358, Gene7141, Gene8389, Gene9456, Gene2511, Gene4354, Gene9948, Gene3311, Gene1486, Gene7699, Gene1159, Gene3710, Gene5632, Gene8774, Gene8937, Gene8009, Gene5757, Gene4475, Gene3248, Gene1007, Gene3401, Gene6047, Gene5268, Gene7528, Gene2242, Gene3195, Gene4830, Gene3744, Gene152, Gene9944, Gene6788, Gene4740, Gene6229, Gene8256, Gene7252, Gene2164, Gene8712, Gene5862, Gene8283, Gene1306, Gene4780, Gene5601, Gene7628, Gene1667, Gene8652, Gene1883, Gene8182, Gene7480, Gene4535, Gene9586, Gene9127, Gene2306, Gene7473, Gene2604, Gene6311, Gene1421, Gene225, Gene4847, Gene5466, Gene7111, Gene7110, Gene2492, Gene9555, Gene7481, Gene9147, Gene1641, Gene4541, Gene5810, Gene7466, Gene4732, Gene1757, Gene2649, Gene6747, Gene4758, Gene6813"
"4","131","Gene6120, Gene4975, Gene6038, Gene61, Gene6641, Gene6800, Gene888, Gene811, Gene1627, Gene255, Gene5102, Gene5165, Gene6353, Gene2731, Gene3933, Gene8092, Gene1104, Gene328, Gene6018, Gene6610, Gene5680, Gene1125, Gene9349, Gene447, Gene1648, Gene3664, Gene1302, Gene2863, Gene2272, Gene6376, Gene8160, Gene3690, Gene2040, Gene3287, Gene281, Gene2077, Gene6470, Gene4345, Gene3052, Gene7681, Gene196, Gene5681, Gene3447, Gene4062, Gene6019, Gene8703, Gene5536, Gene8356, Gene2212, Gene5500, Gene8604, Gene2328, Gene3478, Gene1755, Gene6446, Gene1200, Gene666, Gene3907, Gene6071, Gene5981, Gene7658, Gene9070, Gene378, Gene9769, Gene1218, Gene9425, Gene2769, Gene801, Gene2620, Gene4553, Gene2250, Gene4887, Gene4897, Gene9066, Gene7824, Gene9084, Gene2388, Gene3496, Gene2734, Gene6796, Gene2491, Gene3680, Gene4817, Gene3353, Gene8554, Gene9397, Gene8433, Gene7080, Gene6066, Gene7747, Gene5936, Gene2122, Gene8139, Gene6391, Gene7543, Gene1727, Gene7297, Gene6139, Gene7553, Gene2722, Gene4152, Gene5209, Gene9790, Gene6870, Gene1971, Gene1176, Gene1805, Gene7455, Gene7751, Gene5017, Gene9327, Gene2094, Gene8721, Gene6072, Gene4840, Gene217, Gene9166, Gene8886, Gene5514, Gene7467, Gene7671, Gene5137, Gene4404, Gene3835, Gene1605, Gene6604, Gene4690, Gene904, Gene3641, Gene6140, Gene1565"
"9","41","Gene1960, Gene714, Gene8380, Gene6431, Gene7629, Gene9819, Gene1767, Gene3985, Gene1893, Gene3117, Gene2340, Gene552, Gene3994, Gene5419, Gene5948, Gene1180, Gene8121, Gene1956, Gene3111, Gene274, Gene7247, Gene6206, Gene319, Gene4129, Gene7901, Gene603, Gene9878, Gene538, Gene5589, Gene4385, Gene3804, Gene9107, Gene8305, Gene5906, Gene6515, Gene1723, Gene9527, Gene572, Gene7057, Gene4001, Gene2023"
"8","56","Gene2566, Gene92, Gene1861, Gene5832, Gene9426, Gene398, Gene7793, Gene4901, Gene1753, Gene4869, Gene9764, Gene4401, Gene2381, Gene9441, Gene2291, Gene7689, Gene6879, Gene4987, Gene4036, Gene897, Gene1787, Gene2659, Gene921, Gene6258, Gene3516, Gene8197, Gene6616, Gene8457, Gene1467, Gene1342, Gene1350, Gene4200, Gene2892, Gene9373, Gene4021, Gene2313, Gene4691, Gene3187, Gene3586, Gene7573, Gene177, Gene6030, Gene9243, Gene3066, Gene9476, Gene308, Gene4235, Gene6042, Gene154, Gene9502, Gene7527, Gene4991, Gene3711, Gene8756, Gene7271, Gene6554"
"17","21","Gene6991, Gene8344, Gene7416, Gene5046, Gene1276, Gene6757, Gene7907, Gene8686, Gene6001, Gene3583, Gene5223, Gene6362, Gene316, Gene6938, Gene8979, Gene9006, Gene5160, Gene7780, Gene19, Gene5254, Gene9619"
