"cluster","#genes","genes"
"1","34","Dbi, Pltp, Gfap, Rarres2, Cald1, Vim, Gm9780, Zfp36l1, C4b, Aebp1, Foxj1, Plac9a, Msn, Txnip, Slc7a2, Gsn, Gm45396, Cnn3, Gng5, Prelp, Apoe, Gstm1, Ifitm3, Trpv4, Adamts20, Ddr1, Cd63, Ptma, Tmem212, Clu, Tm4sf1, 1700007K13Rik, Sept10, Ascc1"
"2","54","Mbp, Mobp, Plekhb1, Gatm, Fth1, Trf, Cldn11, Scd2, Plp1, Ermn, Qdpr, Car2, Mal, Cnp, Apod, Qk, Phldb1, Anln, Tspan2, Cryab, Slc12a2, Sept4, Bcas1, Tmbim1, Ppp1r14a, Ndrg1, Aspa, Csrp1, Il33, Tmem229a, Gpr37, Tmcc3, Myrf, Mog, Opalin, Tmem88b, Ttyh2, Selenop, Evi2a, Tprn, Unc13c, Sox2ot, 1700047M11Rik, Wnk1, Rcbtb1, Jam3, Fth-ps2, Cntn2, Wipf1, Kyat3, Sez6l2, Lamp1, Neat1, Prr18"
"3","136","Tcf7l2, Pcp4, Prkcd, Rora, Ptpn4, Ntng1, Ramp3, Plcb4, Adarb1, Plekhg1, Shox2, Synpo2, Tnnt1, Rgs16, Lef1, Grm1, Ccdc136, Pdp1, Amotl1, Slc17a6, Elmo1, Kndc1, Nefh, F2r, Vav3, Gabra4, Cplx1, Uchl1, Nrip3, Zic1, Kcnc2, Sptbn1, Spock3, Kitl, Eps8l2, Atp2a2, Cit, Nsmf, Zmat4, Slc6a11, Rab37, Gm43398, Shank3, Slc24a2, Opn3, Patj, Ptpn3, Gabrd, Clmn, Ildr2, Fam20c, Abhd12b, Tmsb10, Gpr153, Rap1gds1, Ldhb, Edil3, Hspa12a, Spock1, Cpne9, Kcnc1, Scrt1, Ctxn3, Tmem56, Inpp5a, Slitrk6, Pitpnc1, Samd5, Fzd10, Atp6ap2, Vipr2, Nexn, Cbln1, Cacna1g, Pcp4l1, Tubb3, Foxp2, Fndc5, Tmem163, Far2, Ubb, Rasd1, Prkch, Grm4, Trnp1, Zfhx3, Nt5dc3, Bok, Ankrd34c, Cbln4, 1700019D03Rik, Hspa8, Rab3c, Ogfrl1, Cpe, Megf9, Rimkla, Adarb2, Wnt9b, Ckmt1, Dpp6, Hlf, Unc5c, Ttc19, Rgs4, Vamp1, Fign, Sptssb, Rsrc1, Adgrf5, Tanc1, Spock2, Slc25a5, Camk2n2, Ctnnb1, Lhfp, Lrrtm1, Mgst3, AI593442, Gabbr2, Rims3, Rasa4, Gm8355, Eef1a2, Rcsd1, Inpp5j, Hcn4, Sparc, Il1rap, Rap1gap, Tpd52l1, Serpine2, Tnc, Rnf152, Gm13340, Adgra1"
"4","32","3110035E14Rik, Klf9, Efhd2, Galnt9, Stxbp1, Paox, Snap25, Nrgn, Prkcb, Pgm2l1, Syn1, Slc17a7, Sla, Homer1, Dnm1, Kalrn, Fmnl1, Hs3st4, Stx1a, Pde1a, Dclk1, Tbr1, Efr3a, Chn1, Krba1, Nos1ap, Calm2, Sncb, Hs3st2, Diras2, Aldoa, Pianp"
"5","221","Eif1b, Pdhx, Frmd6, Zfp51, Gtf2b, Zc3h6, Pml, Caskin2, Rela, Lin52, Ly6e, Gm10010, Fbxl17, Fam91a1, Ilvbl, Wdr70, Hexim2, Mto1, Zcchc6, Rab31, Mrps26, H2-T22, Habp4, Suco, Ypel1, Trerf1, Ipo9, Tomm40l, Timmdc1, Tor1a, Zfp398, Anapc10, Pstpip1, Clvs2, Pnpla6, Slc25a20, Mfap1a, Ralgps1, Pex7, Ptdss1, Rpl9-ps7, Sdhaf3, Cnih3, Zfp521, Ndufb3, 1110032A03Rik, B4galt3, Chic2, Mir22hg, Cd276, Coa6, Gm27219, Urgcp, Mars2, Parp2, Hey2, Ift81, Actr3, Cpsf2, Rad50, Atp6ap1, Zfp110, Gm28929, Tgfb3, Proser1, Cep41, 4931428F04Rik, Ppm1g, Cnot9, Engase, Kat2a, Man1b1, A730020E08Rik, Thbs1, Ndfip2, Crlf2, Bod1, Ric3, Mcat, Mpc2, Adam23, Cep19, Ubqln1, Csnk1d, Zfp748, Mettl18, Vbp1, Dcdc2a, Bmt2, P4hb, Pcx, Rps6-ps4, Gm15607, Zc3hc1, Gm26316, Tmem205, Ghdc, Aldh2, Numa1, Stn1, Gm26527, Hacd1, Rps19-ps12, Fam188a, Chd4, Zfp580, Phrf1, Fam92a, Phf23, Gm3745, Aftph, D630045J12Rik, Barhl2, Ddx3y, Npc2, Rpl5-ps1, Gm16089, Ctsd, Ppp1r12a, Dhx8, Gm16477, Glod4, Tarsl2, 2700049A03Rik, Blvra, Hira, Gins3, Fam76b, Man2a1, Glmp, Gm38274, Acin1, Galk2, Nek7, Gak, Slitrk5, Taf4b, Mta2, Gm14274, Snx20, Ythdc2, Gm43118, Znrd1, Psmb6-ps2, Manea, Ppm1k, Clptm1l, Noxo1, Zfp707, Hps5, Khsrp, Mypop, Haus2, Rpp38, Tmub2, Polr3b, Eepd1, Parp6, Hmgcs1, Gtf2h5, Wif1, Alox8, Spry3, Akap8l, BC002163, Myo1b, Zfyve28, Yrdc, Cemip, Mtdh, Msrb3, Hbs1l, Gm14127, Bbs9, Zfp58, Tbcc, Dennd1a, Rps12-ps3, Slc8b1, Hs3st1, Dpy19l3, Zfp941, R3hcc1, Astn1, Myadm, Trappc2l, Pde8b, Zfp1, RP23-134M7.2, Fbxl22, Esco1, Hexdc, Gm5601, Pygo1, Gm6025, Hnrnpa0, Gmfb, Tmem14c, Gm5910, Vps13d, H2-T10, Gpat4, Gm15772, Sez6l, Cd86, Dnmt1, Slitrk3, RP23-157N5.1, Esf1, Rpsa-ps10, Fam220a, Bre, Gab1, Mepce, Gm26785, Gm2796, Gm15148, Pdia3, Rpain, Gm21839, Gabra1"
"6","59","Map2, mt-Rnr1, Ift46, Gm42959, Klhl35, Gm20594, Gm26917, mt-Rnr2, Gm42418, Gm20732, Dgkb, Fbn1, Runx1, Lbx1, Mir6236, Apc, Rfx3, Psd3, Purb, Syt17, Rn18s-rs5, Nkain3, Lars2, Lcorl, Gm7292, Mir6240, Malat1, C1ql3, Snhg14, Nptxr, Lypd1, Gm15564, BC001981, Rims2, Ankrd12, Cachd1, Cbx3-ps7, Pum2, Dlg2, Bhlhe22, 9930021J03Rik, AA474408, Unc5d, Trank1, Prex2, 9330132A10Rik, Mios, Col23a1, Trhr, Fam212a, Ptprz1, Atp2b4, Agap2, Phox2a, Tbx1, Fgf11, Thra, Luzp2, Rnf217"
"7","37","Anxa11, Crot, Fam161b, Rasgrf2, Zgpat, Kl, Pip5k1c, Gm2404, Cnih2, B9d1, Steap1, Gm19027, R3hdm1, Rbm22, Jph3, Camk1, Ctxn1, Ccr4, Ovol2, Tead1, Zdhhc2, Mfsd12, Tln1, Rnf144b, Agps, Ace, Fads3, Zfp212, Pcdh1, Gm12630, Dok7, Mapkap1, Cacnb1, Umps, Car10, Slc8a2, Parva"
"8","40","Fam46c, Ide, Ptgds, Smad9, Vtn, Dcn, Foxc1, Alas2, Ahnak, Tcerg1, Hba-a2, Hba-a1, Hbb-bt, Hbb-bs, Itih5, Mgp, Aldh1a2, E2f6, Cep295, Nup205, Ebf2, Snx8, Sqrdl, Lgi4, Fmod, Tra2a, Vrk3, Slc7a11, Gm44644, Adamts10, Atp1a2, Etfrf1, Gm12191, Spa17, Susd5, Xlr3a, H2-Ke6, Baiap3, Snx6, Gm43110"
"9","97","Rbak, Abcc5, Nup37, Necap2, Gm21399, March9, Jmjd6, Usp37, Lrrk2, Aup1, Sox1, Plaa, Pde10a, Eif2b1, Gpr88, Tnfrsf25, Tceal3, Fam43b, Mief2, 2810474O19Rik, Olfm2, Cand1, Frmpd3, Nle1, Rnf181, Arhgap20, Ppp1r26, Btaf1, Kifc3, Foxk2, Kdm4a, Rps15a-ps6, Pcdh15, B130024G19Rik, Ptpn5, Tnfsf12, Cdh19, 5730480H06Rik, Il17d, Xpo7, Klc2, Mta3, Penk, Celf2, Gm8234, Anapc11, Zfp112, Mtmr12, Ptpn9, Gm14390, Chrdl1, Med20, Herc4, Prpf4, Gm5787, Pabpn1, Kcmf1, Kif13b, Gm6913, Gm45871, Mia2, Gm12693, Ivns1abp, Cd320, Mpped2, Tnrc18, Poldip3, Zbtb7a, Llgl2, Nrsn1, 1500009C09Rik, Fstl3, Ccny, Atg2a, Kazn, Mybbp1a, Ints8, Gm8840, Stk40, Trim59, Ikzf5, Nab2, Anks1, Zfp276, Pkd2l1, Zfp710, Ccdc137, Sigmar1, Cables2, Dnaja4, 3830406C13Rik, 2610203C20Rik, Mum1, Lrrc56, Gm4353, Greb1l, 1700113A16Rik"
"10","64","Gm25679, Gm25682, Gm22513, Gm26444, Gm26505, Gm23330, Gm24305, Gm22614, Gm23238, Gm25581, 4921524J17Rik, Gm25890, Tomm70a, Zfp383, Gm16755, Gm22317, Gm16272, Gm14383, Arid2, 2610002M06Rik, Plcd3, Gm6807, A330009N23Rik, Gm23796, H3f3c, Gm23511, Rbm48, Kcnf1, Gm29236, Trib2, Tdp2, Lrwd1, Tbc1d19, Fam222a, Brcc3, Gm12922, Abracl, Pik3c3, Pter, Gm24459, Gm22739, Gm20721, Gm23445, Gm23971, Snhg4, Tcte1, Ube2e3, Rtn4rl1, Gm23973, Prdm4, Eif2a, Kcng1, Xpo1, Snap29, Cops3, Zswim6, Asic4, Gm8539, Nubp1, Smoc2, N4bp2l1, Gosr2, Slc22a23, Gm25793"
