"cluster","#genes","genes"
"1","41","Scd2, Cldn11, Fth1, Mbp, Apod, Cnp, Mobp, Trf, Plekhb1, Qdpr, Plp1, Mag, Apoe, Cryab, Mal, Mog, Il33, Car2, Qk, Sept4, Csrp1, Ndrg1, Gatm, Bcas1, Mt1, Ermn, Ttyh2, mt-Tm, Anln, Clu, Gfap, Tspan2, Cd81, S100b, Selenop, Myrf, Mt2, Pllp, Gpr37, Supt7l, Aldoc"
"2","91","mt-Rnr2, mt-Rnr1, Gm24447, Gm26035, Gm23624, Rn7s1, Gm24265, Gm26461, Gm26316, Gm42418, Gm25106, Gm23287, Rnu5g, Gm24105, Rn18s-rs5, Rnu2-10, Gm22122, Gm25890, Gm23345, Gm23445, Gm24497, Gm24146, Gm20594, Rn7s2, Gm25179, Gm22513, Gm24407, Gm25937, Snora73b, Gm22249, Rn7sk, Lars2, Gm24514, Ift46, Gm24705, Rn7s6, Gm24459, Gm25939, Gm23153, Gm25679, Gm25682, Gm22958, Gm26331, Gm26917, Gm26444, Gm25099, Mir6236, Gm22614, Gm23973, Gm45159, Gm15564, Snora30, Gm25563, Cdr1, Gm23444, Gm24305, Gm23846, Gm22169, Gm22982, Gm25258, Gm25577, Snora19, Gm23096, Gm23238, Gm23884, Gm23971, Gm24245, Gm22009, Rpph1, Fbn1, Snord90, Gm25844, Gm23095, Gm24707, 2900060B14Rik, Lbx1, Gm24405, Gm25085, Gm22739, Gm23138, Rny3, Gm22058, Gm24202, Gm23330, Gm26505, Gm7117, Gm26127, Gm24812, Rpl7a-ps7, Snora2b, Fam212a"
"3","26","Tmem72, Kl, Kcne2, Igf2, Slc13a4, Hist2h2aa2, 0610009E02Rik, Clic6, Spint2, Igfbp2, Rbp1, Wdpcp, Ucp2, Folr1, Tmem88, Gpat3, Perp, Prlr, 1500015O10Rik, F5, Tmem212, Sulf1, Car12, Sostdc1, Rbm47, Ace"
"4","370","Lmf1, Ptpn18, Haus1, Gm15770, Gm14308, Nos3, Sptssa, Faxc, Vps39, 2810474O19Rik, Stx8, Pyroxd1, Ubox5, Rab8a, Mpp6, AV356131, Rsf1, Zdhhc24, Gm26631, Fdxr, Ino80, Haus6, Efcab2, Dnajb12, Pnpla2, Ddx41, 2810006K23Rik, Ano8, Gm2735, Heph, Ints14, Bcr, Emsy, Arfgap2, Txnrd3, Golga3, Tmem128, Gin1, Phyh, Irf7, Rps15a-ps8, Gm29610, RP23-115A18.3, Cntrob, Gm21399, Mcf2, Gm5764, Gm3531, Ttc14, 4930528J11Rik, Rps8-ps3, Ctsh, Pphln1, Tesk1, Slc22a15, 1700001O22Rik, Maml3, Rpl11, Nup98, Ydjc, Tmem110, Pdzd2, Plekhm3, C330007P06Rik, Gm8115, Cdkl3, Gm14327, Actr10, Hhatl, Prkdc, Hnrnpll, Tatdn2, Ubr7, Tfcp2, Nhlrc2, Gm11462, Mllt3, Hmgn5, Gm28578, Gm10343, Pigf, Ncoa5, Sec24a, Mrps28, Hdac10, Gsto1, Trerf1, Ttc8, Borcs6, Snhg8, Xkrx, Gm26527, Fam183b, Ppp1r7, Cpsf4, Aqr, Morc2a, Dyrk1b, Gbp5, Arhgap29, Mcl1, Farp1, Dkc1, Dvl1, Eif3j2, Rufy1, Dip2c, Gm14859, Mgat4b, Nrn1l, Chfr, Hnrnpa1, Zfp518a, Nudt4, Pqbp1, Cdkal1, Washc1, Arx, Ascc1, Gm10355, Aldh5a1, Pim2, Pcf11, Tbc1d23, Orc4, Ybx3, Apbb2, Xylt1, Med30, Ppp1r8, Ubn1, Spata13, Rpap2, Mut, Gm9531, Nudt7, Gm13675, Piwil2, Gm17541, Pou3f3, Actn3, Nploc4, Gtf2f1, Scrib, Klhdc4, F630040K05Rik, Nucks1, Pltp, Gm7536, Trim66, Dcaf13, Ppan, Gm10801, Acot8, Gm14906, Fam174a, Prim2, Lyrm7, Fahd2a, Zfp280c, Nadk, Gm6428, Tdrd3, Agk, 1190005I06Rik, Pigm, Mob2, Slc35b3, Nudt5, Gga3, G3bp1, Dcaf10, Nln, Ppil1, Lasp1, Map3k7, Syap1, Prss36, Golt1b, Adcy6, Cygb, Gm8217, Zfc3h1, Gm12286, Cabyr, Taf9b, Slc25a51, Prmt1, Slc25a35, Fchsd1, Hps6, Ing5, Zfp120, Hnrnpc, Gm13498, 1810013L24Rik, Tlk1, Tmem38b, Zfp354b, Tpst2, Gm13215, Pigx, Fam227a, Ube2f, Cpsf2, Gm19461, 9030617O03Rik, Grin2c, Rpl15-ps2, Adam10, Trak2, Dhps, Rbck1, Rab3a, Plk3, Rsl1d1, Insr, Pex13, Zfp746, Adcy4, Gm24601, Scn2b, Frmpd1, Smg5, Klhl23, 1700102P08Rik, Gm13668, Khsrp, Cpsf3, Cep131, Ifit2, Borcs5, Spcs3, Gm29808, Gm15440, Gm14277, Atxn1, Slx1b, Isy1, Wdr4, 5330434G04Rik, Zfp788, Gm14444, Gm34783, Ppp1r2, Tmem55a, Sphk1, Mfn1, Wdtc1, Chac1, Dnah1, Srsf6, Cnot6, Bbs5, Papd5, A130010J15Rik, Dusp18, Cntnap2, Trmt61a, Adcy5, Vhl, Osgin2, Gls2, Lrrc14, Armcx4, Ticam1, Ppp1r13b, Gm11628, Med26, Riiad1, Txlna, Rhobtb1, Gm45113, Jag2, Mrpl24, Mrps18a, Rbm7, Stat2, Ankrd9, Yjefn3, Gng4, Gm12168, BC004004, Fam117a, Prdx3, Smarcd1, Gm16499, Nup155, Cdan1, Fam160a2, Rpl7a, Phrf1, Tmem120a, Gm20072, Vdac3-ps1, Anapc5, Luzp1, Ints7, Haus2, Edn1, Gm14593, Gm8167, Ephx1, Wdr18, Gm7688, Firre, Tinf2, Sufu, Ap1s2, Gm17383, Klhl29, Ccnt2, Stox2, Wwc1, Mmp14, Gm9687, Minpp1, Ralb, Nrep, Gm21967, AW046200, Flrt1, Gm17732, Col6a5, Galk2, Tchp, Clmp, Plekhm2, Samm50, Gm13163, Cdadc1, Folh1, 2010015M23Rik, Mcm4, Trim24, Tle3, Ncbp3, Mblac2, 2810459M11Rik, Aar2, Ska3, Fdxacb1, Klhl26, Rnf111, Slc25a45, Insig2, Smchd1, Osbpl7, Gm26819, Gm8358, Copa, Peli1, 1810032O08Rik, Kcnq4, Naprt, Col25a1, Atp5l-ps1, Gm15570, Vapa, Gm10320, Rps8-ps2, Smg8, Msantd3, Gm7626, Lgals8, Jakmip1, Gm10288, Esf1, Pex11b, Rpl9-ps4"
"5","56","Fastkd3, Lin7a, Fam109a, Ythdf2, Gm12936, Mical1, Gm6133, Klhl24, Slco4c1, Rcor3, Ahsa2, Dennd3, Zfp414, C920006O11Rik, RP23-128C4.4, Cdh18, Sfmbt1, Kcnu1, Gm43318, Tmem101, Itfg2, Zscan25, A430033K04Rik, Zfp799, Gm9517, Aif1l, Pstpip1, Gm13910, Prob1, Gm9174, Mfap3, Chka, Car5b, Gm45053, Gm5311, Bloc1s4, Creb5, Snord66, C530005A16Rik, Tpgs1, Mtcp1, Ankra2, Rfx2, Thap7, Nsun3, Plch1, Echdc1, Atp6ap1l, Rbm26, Nap1l4, 1500011B03Rik, 2810425M01Rik, Psma3, Daam2, Ankrd54, Rnase4"
"6","145","Ccnyl1, Fam219a, Adrm1, Svil, Rgs7bp, Rnf217, Enoph1, Mkx, Kazald1, Gm5881, Klhl32, Snrnp40, Tm9sf4, Cggbp1, Zfp292, 9330162012Rik, Isoc2b, Fam103a1, Fam135b, Mgat4a, Mecr, Brap, Plp2, Fitm2, Cdkl4, Grrp1, Fosl2, Slc7a6, Dph3, 4933439C10Rik, Amd-ps3, Gm12983, Cx3cr1, Rad51d, Cenpq, Rccd1, Npy5r, Arhgap25, Cyp39a1, Slc1a4, Fxr2, Igf1, Tti1, Gm13186, Zc3h7b, Ltn1, Cactin, Spr, Upf3a, Lsm3, Gm12901, 2410131K14Rik, Senp6, Etf1, Plxnb1, Gm2367, Dffa, Gm16536, Gm8425, Gm3650, Selenok, Gm4879, Clk4, Dpp7, Prkab2, Coq10b, Trps1, Fiz1, Gorab, Fgd5, Dab1, Tlr2, Mier3, Gm12396, Gm42772, Cdc42ep3, AW112010, Gm10163, Gm11868, Gm3355, Hs2st1, Wwp1, Gm43034, Slf1, Zfp114, Ank, Slc9a9, Srrm3, Tmem117, Trmt10a, Map3k10, Lyst, Cc2d2a, Fmc1, Rsbn1, Uqcrh-ps1, Clpp, Kyat3, Pabpc4, A430035B10Rik, Appl1, Adra1a, Tnrc6c, Cog6, Hira, Gm38299, Lrp5, Mlycd, Urod, Plekha8, Slc9a8, Gm38365, Fbxo5, Trappc8, Lyar, Xlr3b, B230206L02Rik, Mri1, Ewsr1, Mars2, Vldlr, Gm28727, Gm37116, Zfp738, Rbmx, Pcyt1b, Polg2, Tmem54, Ccdc115, Sepsecs, Stx3, Gm15604, Gm8773, Utp14b, D630003M21Rik, Gm26582, Gm10913, Zfp444, Atg2b, Nfu1, Ublcp1, Plac9a, Ccdc51, Gm17828, Ctdsp2"
"7","61","Fxn, Asnsd1, Med11, Gm3550, Zfp595, Synrg, Akr1e1, Sema3f, Sar1b, Gm15268, Gm12757, Chchd5, Esyt3, Emp3, Fbxl6, Vasp, Etfa, Ddx31, Vipr2, A830031A19Rik, Cotl1, Gm14399, Ell, Dleu7, Mrps31, D530018E20Rik, Setd4, Sardh, Hprt, Rilp, Cmtm7, Fam188b, Gm5160, Ddx17, Clp1, Vat1l, Ttc9, Pip5kl1, Ptrh1, Gm5812, Htr2c, G6pd2, Polr1e, Tmem18, Nr2f6, Mdh1, Krit1, Gm5857, Kcnc1, Emc9, Crim1, Nexn, Gm43118, Lmnb1, Fam35a, Adamts2, Rpl35-ps1, Nkiras1, Gm8756, Arhgap21, Ost4"
"8","36","Shroom4, Morc3, Hrk, 2310040G24Rik, Pgap1, Hdac7, Gan, Izumo4, Cep135, Gm15002, Slc35f4, Nudt12, Slc2a4rg-ps, Lrrtm4, 5930412G12Rik, Rac3, Txlng, Orc2, Cage1, Gm37421, Efna2, Smpd3, Btbd7, Mgat1, Sptbn4, Tsta3, Smpd2, Zfp141, Casc3, Stk19, Gm6741, Fam167b, Sart3, Gm45679, Ggps1, Memo1"
"9","142","Adarb1, Tnnt1, Lef1, Zic1, Shox2, Amotl1, Pcp4, Ptpn4, Prkcd, Rora, Ramp3, Rgs16, Ntng1, Plekhg1, Synpo2, Cit, Pdp1, Patj, Nsmf, Tcf7l2, Grm1, Nefh, Ptpn3, Gabra4, Eps8l2, Plcb4, Rab37, Cpne9, Cplx1, Elmo1, 1810041L15Rik, Syt9, Sptbn1, Ccdc136, Cacng5, Pitpnc1, Nrip3, Slc6a11, Tmem163, Rab3c, Aldh1a1, Slc17a6, Fam19a4, Gm43398, Spock3, Vav3, Mrvi1, Trnp1, Adarb2, Fam20c, Clmn, Abhd12b, Atp6ap2, Tanc1, Tpd52l1, Rasd1, Kitl, Rgs8, Sh3d19, Prkch, Kcnc2, St3gal4, Ildr2, Lhfp, Peak1, Chrna4, Gabrd, Slc29a1, Aplp2, Atp2a2, Spock2, Spock1, Uchl1, Inpp5a, Gpr153, Zmat4, Camk2n2, Sema4g, Gabbr2, Nell1, Rnf152, Opn3, Rap1gds1, F2r, Vamp1, Tiam1, Zfhx3, Reep2, Atp1a2, Grm4, Kndc1, Lrtm2, Kcnj10, Tunar, Adgrf5, Bok, Osbpl5, Kif1a, Ldhb, Gjc1, Edil3, Slc24a3, Atp1b2, Adra1b, Ndrg2, Sptssb, Ndrg4, Samd5, Shank3, Hspa12a, Scrt1, Anxa5, Fndc5, Slc9a3r1, Nrxn3, Gbx2, Mb21d2, Serpine2, Ckmt1, Slc24a2, Zfp804a, Cox5a, Adgra1, Sparc, Hdac9, Inpp5j, Adamts15, Adcy8, Gpr4, Xylt2, Fbxo9, Gdf11, Eif5a2, Mgst3, Mmp15, Gabbr1, Copz2, Rap1gap, Gm29216, Tmem25, Ogfrl1, Pkm"
"10","42","Malat1, Calm1, Nrgn, Atp2b2, 3110035E14Rik, Cplx3, Snap25, Kcnq1ot1, Glns-ps1, Pip5k1c, Camkk2, Homer1, Diras2, Kalrn, Ctgf, Pgm2l1, Lrrc55, 1700020I14Rik, Ccl27a, Arpp19, Ipcef1, Camk2n1, Atp1a1, Calm3, Actb, Lpgat1, Mef2c, Npy, Cacnb4, Tbr1, Ncald, Col5a1, Kif5c, Fxyd7, Tubb4a, Lbr, Kif21a, R3hdm2, Klf9, Purb, Efhd2, Ctxn1"
