"cluster","#genes","genes"
"1","112","Kl, Igf2, Sostdc1, Cox8b, Slc13a4, Cab39l, Gm26917, Rn18s-rs5, Enpp2, Igfbp2, Otx2, Lars2, Kcne2, Col8a2, Lbp, Gm15564, Clic6, Gm42418, Msx1, Prlr, Mir6240, Stk39, Folr1, Ttr, Mgp, Cdkn1c, F5, Car12, Sowahc, Sulf1, 1500015O10Rik, Cul4b, Ptgds, Ace, Tead1, Fbn1, Rarres2, Ezr, Slc4a5, Fam212a, Ahnak, Slc16a9, Ucp2, Rimbp3, Tbc1d9, Calml4, Mir6236, Lbx1, Plac9a, Rbp1, Gm24245, Trpm3, BC001981, Rdh5, Col9a3, Elf1, Gpx8, Pdlim5, Rbm47, Trpv4, Col8a1, Pcolce, Wdr86, Perp, Fam84b, Gm5869, Foxj1, Tpt1, Mapk4, Pltp, Tmem212, Tbx1, Rsph1, Vat1l, Eno4, Eef1a1, Fam107b, Slc6a13, Vim, BC067074, Sgk3, Zfp36l1, Dcn, Cald1, Tc2n, Kcnj13, Slc7a11, Gm23935, Ranbp3l, Slc4a2, Hemk1, Krt18, AA474408, Kazald1, Cfap126, Ppp1r1b, Gm24270, Phox2a, Prps2, Strip2, Phactr2, Igfbp7, Cachd1, Serping1, Tmem72, Vcam1, Aldh1a2, Spint2, Tnfaip8, Gm45396, Slc29a4, Ybx1"
"2","143","Rora, Adarb1, Shox2, Ptpn4, Pdp1, Prkcd, Plekhg1, Ntng1, Tcf7l2, Pcp4, Plcb4, Slc6a11, Ramp3, Nefh, Gabra4, Rgs16, Tnnt1, Atp2a2, Ptpn3, Eps8l2, Nsmf, Rab37, Amotl1, Kcnc2, Lef1, Grm1, Kcnj10, Spock3, Elmo1, Slc17a6, Synpo2, Ccdc136, Kitl, Patj, Zic1, Rab3c, Pitpnc1, Ndrg4, Hcn4, Vav3, Rgs4, Clmn, Edil3, Cit, Aldh1a1, Trnp1, Atp6ap2, Prkch, Abhd12b, Sptbn1, Atp1a2, Tmem163, Nrip3, Slc24a2, Spock1, Cacna1g, Gm43398, Chrna4, Cplx1, Kndc1, Gabbr2, Tpd52l1, Wnt3, Slc24a3, Hspa12a, Gpr153, Pcp4l1, Vamp1, Cpne9, Lhfp, Gbx2, Sptssb, Rasd1, Rgs8, Fndc5, Ildr2, Zmat4, Spock2, 1810041L15Rik, Atp1b2, Opn3, Rap1gds1, Nacc2, Tmem56, Nell1, St3gal4, Etnppl, Mb21d2, Bok, Tmem41a, Xylt2, Scrt1, Fam20c, Aldoc, Ldhb, Ckmt1, Serpine2, Zfp423, Slc25a5, Hlf, Shank3, Ttll7, Lrtm2, Adra1b, Srgap1, Nexn, F2r, Uchl1, Grm4, Slc12a8, Gabrd, Mdh1, Adcy8, Ina, Inpp5a, Aplp2, Unc13c, Rcan2, Slitrk6, Reep2, S100b, Atp2a1, Vwc2, Lrrtm1, Scd2, Rims3, Cdk5r1, Slc29a1, Kcnc1, Gdpd5, Fem1c, Apln, Cnksr3, Tanc1, Qk, Gatm, Ndrg2, Cpe, Rasl11a, Hcn2, Plekhd1, Sh3d19, Tunar"
"3","62","Cst3, Gba, Trf, RP23-424C4.8, Mobp, C4b, Gm8430, RP23-179D3.3, Mag, Tmem63a, Gm11810, Plp1, Cldn11, C4a, Bin1, Rps29, Nhlrc1, Efnb3, Rpsa, Mal, Epm2a, mt-Tv, Gm8649, Rpl13-ps3, Mbp, Fth1, Fez1, Cnp, Stard3, Gm13226, Rpl21-ps6, Mapk8ip1, Tmem88b, Sirt2, Frmd8, Rps8-ps4, Neat1, Rps4x, Kcna1, Ppp6r3, Itga6, Mrpl10, Haghl, Ssrp1, mt-Te, Gm12852, Gm13268, Grb14, Tob2, Pdgfa, Stmn4, Ttyh2, Rasgrp3, Cd82, Zfp536, Gna12, Faap100, Ecsit, Mrps23, Rpl5-ps2, Gm11478, Zfp292"
"4","53","Scn1b, Snap25, Nrgn, Hpca, Dnm1, Prkcb, Grin2a, Ppp3r1, Kalrn, Ppp3ca, Calm2, Neurod6, Calm3, Chn1, Atp1a1, Pou3f1, Fkbp1a, Fmnl1, Lurap1l, Egr1, 1110008P14Rik, Mapk10, Calm1, Cck, Kcnab1, Vsnl1, Eef1a2, Syn1, Snrpn, Tmsb4x, Kcnab2, Mical2, Actb, Ncdn, Osbpl1a, Nat8l, Plk2, Mpped1, Sncb, Atp1b1, Cyfip2, Satb1, Eno2, Atp2b2, Phyhip, Camta2, Atp2b1, Rbfox3, Cabp1, Slc12a5, Pip5k1c, Wasf1, Hapln4"
"5","120","Uxt, RP24-388M1.5, Timmdc1, 2810002D19Rik, Gpr3, Oard1, Gm3252, Thap3, Ulk1, 0610009E02Rik, Snapc2, Sv2c, Anapc4, 2900009J06Rik, Paqr9, Dhrs3, Fam105a, Meis1, Gm17807, Lin54, Zfp788, Gm19898, 4930503L19Rik, Gm5406, Clec2l, Arl6, Mfn1, Mmab, 1190005I06Rik, Gm37636, Gm12164, Gm13229, Gm13641, Zap70, Srp14, Gm12443, Myc, Lace1, Csgalnact1, Tsen15, Rnf216, Nlrx1, Zmynd19, Cd200r1, Med11, Polm, 4930526A20Rik, Dhps, Iqgap3, Hspb2, Gm14494, Ankrd26, Trafd1, Cd34, Rilpl2, Uevld, Ylpm1, Gm3739, D11Wsu47e, Zfand2b, Ccdc3, Bambi, Tmem134, Dnajc1, Fxn, Abcg4, Aamdc, Pik3c3, Srrt, Rpl30-ps5, Gm14410, Aimp2, Cog5, Pot1b, Parg, Rpl13-ps4, Nek4, Gm26733, Slc12a9, Zfp280d, Ccdc149, R3hcc1l, Odf2, Prrc2a, Ica1, Ifnar2, Map2k7, Ubxn8, Tmem185b, Pias1, Flrt2, Rap1b, Gm44230, Ublcp1, Bre, Zfp426, Gm14861, L1td1, Slc38a7, Fkrp, Gm30652, Nrarp, Il20rb, Qpctl, Sh3pxd2b, Gm35931, Trappc6a, Pef1, Bag5, Top1, Emx2os, Sstr2, Copb2, Nrl, Tmem106b, Cacng5, Sap130, Copg1, 2310074N15Rik, Ctsf"
"6","126","Mier3, Slc25a40, Poll, Mtmr14, Rpsa-ps11, Ddr2, RP23-3F1.8, Mphosph10, Kcnmb2, H2afy2, Pcbp1, Bccip, Aldh4a1, Gm43302, Tab3, Fes, Ccdc130, 1500009L16Rik, Zfp105, Lats1, Frmpd1, Gm14305, Adam33, Amn, Syt17, Rrm1, Dcbld2, Gm17655, Gm45697, Brd8, Dph7, Sfmbt2, Hdx, Gm16755, Dgke, Polr2h, Gm15151, Bmp1, Saal1, Hspbap1, Clcn2, Gm12091, Fgl2, Csf2rb, Xpo1, Serpinb9, Gm43510, Gm28959, Gm12338, Atg9b, Oma1, Tbc1d14, Gm23153, Gm13625, Gm6576, Ccdc134, Nars2, Mettl21a, Best1, Smg7, Tasp1, Ccl21a, Ogn, Ide, Col6a2, Gm8394, Mpped2, Suz12, Zfp420, Bche, Gm12418, D430001F17Rik, Sp1, Gm4070, Acaa1a, Churc1, Otud7a, Mamdc2, Snf8, Atp13a3, Borcs6, Tra2b, Gm28050, Ints3, Gm45767, Stk17b, Gm14279, Cnih4, Gm6069, Slc9a1, Gm45619, Ndfip1, Gm42532, Gm44419, Zfp280b, Gm44978, Sox18, Ttll11, Mrpl3, Cnnm2, Rtca, Slf1, 2410131K14Rik, Rasl2-9, Emilin1, Mllt10, Gm14443, Wfdc1, Gm14806, Gm13408, Ing5, Tbce, Slc35a1, Rps13-ps6, Psmg1, Chchd3, Rwdd2a, Gm11383, Prg4, Exd1, Ptrh2, Tfe3, Gm13518, Gm12989, Ift88, Atrnl1"
"7","87","Aasdhppt, Thnsl1, Asb14, Tekt5, B9d2, Slc39a10, Rfxap, Zkscan2, Tmem200c, Ing3, Pold3, Prcp, Gm45010, Mylpf, Degs2, Gm9517, Drp2, Nop10, Ppwd1, Capn5, Pdcd2l, Cldn5, Sox5, Asap3, Gm9830, C530005A16Rik, Dock8, Kctd3, Ccnt1, Yif1b, Ptk7, Rps12-ps16, Tmem183a, Jph2, Rpl30-ps3, Bcl9, Gm8722, Frat1, Sumo2, Dock1, Irak2, 2410015M20Rik, Nrp1, Gm15497, Bet1, Arhgef7, Gm12816, Bnc2, Map2k3, Itgb8, Bckdhb, Gm14200, Asah2, Zfp81, Abhd16a, Col12a1, Zc3h18, Ing2, Nubp2, Gm43524, Insr, 2700046A07Rik, Elk3, Cdk8, Pcdhb22, Lrrc3, Magi2, Stam2, Gm10343, Camsap3, Ccdc34, Snapc4, Wrb, Ptprf, Oxld1, Zfp1, Pkd1, Gm11945, Sstr3, Gm7328, Ebp, Leng1, Flad1, Ift22, 5430403G16Rik, Gm44803, Mfap3"
"8","78","Gm3809, Gm11796, Zfp729b, Gm12616, Gm13761, 9230112E08Rik, Tnrc6c, Gm43268, Ndufaf3, Blvrb, Qpct, Cramp1l, Slc7a7, Usp27x, Zc3h10, Rab7, RP23-103O7.2, Tspyl3, Gm8185, Neurl1b, Gm12258, Toe1, Zpr1, Begain, Gapvd1, Deaf1, E130311K13Rik, St3gal1, Ssh3, Hcfc1, Lppos, Gm8624, Usp19, Maob, Echdc2, Mta3, Elavl3, Fam175b, Cptp, Pwp2, Mrpl43, Gm5054, Gm6240, Ache, Mdk, Tshz3, Plpp1, Slx1b, Rps6ka4, Slc4a1ap, Gsdmd, Gm13337, Cd200, Nup35, Clec16a, Psenen, Ppp4r3b, Gm12163, Lrrc3b, Cdc27, Cpsf2, Eef2kmt, Isy1, Gm12857, Flt4, Ints10, Ttc8, Zbtb41, Cfap57, Sec61b, Snx12, Arfgef2, Pxdc1, Zfp13, Mrgbp, Crtac1, Ttc1, Gm9025"
"9","128","Nap1l5, 6330403K07Rik, Ahi1, Resp18, AW551984, Ndn, Hap1, Irs4, Gal, Gpr101, Scg2, Dlk1, Peg10, Cartpt, Zcchc12, Wdr6, Nrsn2, Gprasp2, Gpx3, Baiap3, Impact, Tmem255a, Ngb, Gap43, Nts, Parpbp, Araf, Tac1, A730017C20Rik, Cxx1a, Gaa, Otp, Gabrq, Bex2, Peg3, Pnck, Zcchc18, Rps12, Arxes2, Tmsb10, Gm6272, Bex1, Zwint, Grb10, Tppp3, Arhgap36, Hccs, Isl1, Rpl22l1, Tmem130, Sparc, Cbln1, Maged1, Glra3, B630019K06Rik, Magel2, Gprasp1, Sytl4, Igsf1, Itih3, Nova1, Dleu7, Pgrmc1, Rpl6l, Pnmal2, Pgr15l, Nnat, Nudt11, Tmx4, Mrap2, Calb2, Rpl38, Ecel1, Asb4, Trhr, Ebf4, Gm13092, H2-Q2, Celf6, Nkx2-1, Plagl1, Phykpl, Prmt2, Gad2, Pmch, Rps21, Rps16, Brs3, Rps11, A230065H16Rik, Pcsk1n, Gm6061, Rit2, Rplp2, Gm11688, Amigo2, Rpl32, Klhl13, Prkacb, Mrpl32, Lonrf2, Taf7, Adgrg1, Calcr, Dgkk, Calb1, Nudt10, C530008M17Rik, Rab27b, Esyt3, Bex4, Maged2, Gm14407, Pak3, Sim1, Usp29, Pcbd1, Ogfod1, Pdyn, Krt1, Diaph3, Cxx1c, Rgag4, Cxxc4, Nenf, Zdbf2, Rpl37a, Gm12912"
"10","128","Zfp354b, Hexdc, Dhx8, 1810030O07Rik, D130043K22Rik, Gm20156, Gm16463, Slc8b1, Vps53, Atp7b, 2810425M01Rik, Snhg15, Dis3, Zfp335, Mrpl2, Dph2, Nes, Pfkfb2, Stxbp5l, Gm43857, Adck2, Ak2, Zmym3, Dnal1, H2afv, Scrn3, Cthrc1, Zcchc10, Gm42463, Tal1, Pdia6, Cdkal1, Mbtd1, Trim25, Fam205a4, Gpr146, Tmem181a, Maip1, Coq5, Gm42779, Rpl9-ps2, Gm6658, Gm45169, Ccdc61, Wisp2, 9130401M01Rik, Bid, Dnmbp, L3mbtl2, Gm13202, Mok, Npy1r, Ttpal, Ptpn2, RP23-88C11.5, Gm9701, Htr5a, Cep76, Stx5a, Gm17222, RP23-203D1.3, Prpf31, Aida, Gm17970, Kat6b, Atad2, Sumf1, Pigg, Kbtbd4, Cebpg, Gm29704, Eif4b, Npas4, Zfp955b, Zfp507, Adamts1, Rab23, Tm2d2, 9330020H09Rik, Pcf11, Gtf2a1, Las1l, Vps33b, Itgb1bp1, Gm14036, Mcm3ap, Pmm1, Evpl, Pop5, Gm2904, Abcc10, Tnpo3, Kif22, Gm28800, 4930594C11Rik, Cpsf4, Txnrd1, Gm17139, Bnip3l-ps, 9030624J02Rik, Zdhhc3, Taf5, Tfip11, Zfp651, Bbs10, Stk4, Senp6, Gm26672, Slc25a16, Memo1, Fsip2, Plekhg5, Ssr3, Atp23, Gm14150, RP24-119O6.2, Rpl17-ps8, Txnrd3, A530017D24Rik, Ints9, Snx6, D1Ertd622e, Glyctk, Hps1, Dusp19, Yaf2, Ankhd1, St8sia2"
