genes_number,genes_names
334,Scd2 Apoe Fth1 mt-Tm Mbp Cpe Mt1 Aplp1 Clu mt-Tl1 Cst3 Rplp1 Mobp mt-Tv mt-Tl2 Aldoc mt-Ta Rps21 Cd81 Atp1a2 mt-Th Qdpr mt-Tn Rps15 Gm6272 mt-Tf Ndrg2 Plekhb1 Tuba1a Rpl27a Rpl38 Rpl37a Rpl26 Cldn11 Selenop mt-Ti Trf Qk Rpl41 Gm14303 Rps24 Ctnnb1 Rpl31 Rps12 mt-Tc mt-Tw Rps20 Rps29 Gm10073 Itm2b Lamp1 Car2 Gm15427 Gm10126 Rps14 Atp5k mt-Te Rps27 Rpl32 Tubb2a Rpl38-ps2 mt-Tq Plp1 Rps3 Sparc Sez6l2 Ywhaq Supt7l Gm3511 Zwint Gm11478 Mt2 Cxx1a Fau Gstm1 Rps19 Cryab Mrfap1 Rpl37 Rps28 Rps23 Rpl36a Rps17 Tspyl4 Uba52 Pea15a Rpl35 Rpl39-ps Rpl28 Ndufa3 Sez6 Slc6a11 Rps15a Atxn10 Gnas Tubb4a Rpl30 Rplp2 Rpl23 Ndufa2 Gm14539 Apod Gm10736 Gm19366 Slc6a1 Rpl3 Cnp Prdx6 Serpine2 Gm11942 Mal Rps10 mt-Tp Cox6b1 Rps27a Rpl9 Rpl8 Gap43 Atp5e Rpl10 Gm10076 Rpl14 Rpl11 Dbi Rps7 Prdx1 Usp22 Gm7079 Scd1 Gprasp1 Eef1a1 Rpl22l1 Bcas1 Rps9 Csrp1 Gm9843 Maged1 Rpl3-ps1 Rps8 Bex2 Ndn Rpl37rt Gpr37l1 Rpl23a S100b Rpl36 Laptm4a Rps26 Atp5j2 Map4 Cxx1b Itm2c Rps13 Plekhb2 Rps5 Rps18 Rps24-ps3 Hspa5 Gaa Rpl39 Plpp3 Gabarapl2 Mif Rpl34 Rpl18a Gas5 Gm4149 Nap1l5 Rps16-ps2 Gm11808 mt-Ts2 Gm11273 Dennd5a Mmd2 Nisch Kcnj10 Scg2 Tmx4 Rpl13 Gm4705 Rpl14-ps1 mt-Tt Fez1 Sept4 Wdr89 Pnmal2 mt-Tr Olig1 Pkp4 Atp5c1 Abat Gstm5 Rpl36a-ps2 Ubqln2 H3f3b Gm7808 Dner 6330403K07Rik Map7d1 Sirt2 Peg3 Rps11 Gm14586 Resp18 Ndufc1 Gm2000 Bex3 Ly6h Pla2g7 Tubb2b Gabarap Mag Gnai2 Gm17511 Pip5k1a Timp2 Fam213a Gja1 Gm7866 Bsg Lrrc17 Bnip3l Gm15772 Degs1 Abca2 Atp1a3 Gm10180 Rpl13-ps3 Myl6 Tmcc2 Arpc1a Gm10269 Gprc5b Ndufb11 Gm9794 Il33 Impact Nnat Gm10136 Tmem229a Hsp90b1 Pfdn5 Rps6-ps1 Acsbg1 Gm5963 RP23-70B19.5 Capns1 Psmb1 Dync1li2 Rhoa Gatm Tcf7l2 Rnf13 Rpl6l Tspan2 Zbtb20 Hnrnph1 Rps15-ps2 Rps16 Gm12918 Rpl38-ps1 Hap1 Rpl7 Rps23-ps2 Mlc1 RP23-13B8.12 Gm8172 Hpcal1 Rpl28-ps3 Htra1 Camk2d Ndufb10 Gm9385 Hdac11 Gprasp2 Rpl10a-ps1 Elavl3 Ntsr2 Ncam1 Rcn2 Bcan Bin1 Nrsn2 Kidins220 Mog Rps10-ps1 2810433D01Rik Gm8292 Rps23-ps1 Rpl10a Psat1 Gm10086 Rps27rt Tmem59 Rpl35a Araf Rps3a2 Rpl31-ps12 Ptma Desi1 Gm12816 Rpl28-ps1 Idh3b Gm7206 Rpl18-ps1 Rps19-ps6 Rpl15 Hspe1 Epas1 Wnk1 Rps4x Epb41l3 Dzank1 Ahi1 Selenom Gm20900 Efnb3 Gpr37 Slc17a6 Gm10154 Ndrg1 Nr2f2 Rheb Rpl31-ps16 Gm15421 Srsf3 Psmb4 Gm11361 Gm12254 Enah Zcchc18 Rpl27 Lypd1 Shisa4
658,mt-Nd4 mt-Cytb Gm29216 Gm13339 Gm10925 Gm28437 Gm28661 mt-Nd1 Glul Slc1a2 mt-Nd3 mt-Nd5 Gm28438 Gm13340 mt-Nd2 Gpm6b mt-Rnr1 mt-Atp6 Sparcl1 mt-Rnr2 mt-Co1 Gm13341 Actb Sptbn1 mt-Nd4l mt-Co3 Cox6c Kif5a mt-Co2 Ubb Cox8a Hsp90aa1 Kif1a Pcsk1n Kif1b Tspan7 Atp5a1 Chchd2 Rtn3 Gm11410 Cox6a1 Calm1 Atp5b Gabbr1 Ywhaz Atp1b2 Arf3 Rtn1 Dpysl2 Eef2 Aldoa App Cox4i1 Atp2a2 Ywhag Cox7c Map2 Kif5b Stxbp1 Stmn3 Stmn1 Canx Camk2n1 Psap Gpm6a Rtn4 Ids Clstn1 Ubc Mt3 Hspa8 Sncb Atp5g3 Ywhae Slc1a3 Celf4 Map1a Ttc3 Actg1 Camk2a Ddn Thra Tspan3 Serinc1 Gng3 Usmg5 Dynll2 Map1b Hpcal4 Gnao1 Atp6ap2 Hnrnpa2b1 Rpl4 Cfl1 Snap25 Ptn Prnp Pkm Mdh1 Klc1 Ndufa4 Slc25a3 Tcf25 Syt11 Sptan1 Basp1 Hsp90ab1 Ndrg4 Slc25a4 Hint1 Ank2 Pink1 Purb Oaz1 Hsbp1 2010107E04Rik Eef1a2 Rab6b Atp1b1 Cbx6 Ddx5 Ntrk2 Ywhah Cox7b Ttyh1 Chmp4b Ldhb Gpi1 Rac1 Arf1 Cltc Uchl1 RP23-269H21.1 Malat1 Clip3 Sept7 Map1lc3b Snap91 Uqcr10 Dnaja1 Serinc3 Rab2a Cox7a2 Scg5 Ndufb8 Glud1 Spock2 Tmod2 Tubb5 Nptn Pafah1b1 Ctsb Pja2 Eif4a2 Eif4g2 Grina Prkacb Hmgcs1 Nefl Syngr1 Calm2 Skp1a Atp6v1e1 Cplx1 Aes Sod1 Uqcc2 Ckb Chchd10 Psd Meg3 Ppp1r9b Prkar1a Mllt11 Cox5b Thy1 Uqcrh Lrrc58 Eno2 Myo5a Atp6v1d Slc12a5 Ppp2ca Hnrnpk Atp5f1 Syn1 Nsmf Gnb1 Ptms Aplp2 Atp5d Scg3 Rab6a Pfn2 Calm3 Ywhab Dclk1 Saraf Marcks Pgm2l1 Vamp2 Sec62 Vsnl1 Gm8355 Snrpn Tmsb10 Fkbp1a Mef2c Cck Celf2 Cdc42 Syt1 Rnf11 Sdha Ncl Zfp706 Selenow Wsb2 Sptbn2 Eif1 Hnrnpu Kif5c Ndufb9 Fkbp8 Vdac2 Rnf187 Atp6v0b Slc25a5 Eif5a Dynlrb1 Atp2b2 Uqcrq Mapt Gm42418 Fbxl16 Prkar1b Aco2 Nrxn1 Mdh2 Son Ociad1 Cyfip2 Cops9 Ptprz1 Ube2d3 Nsg2 Ank3 Disp2 Eif4h Hsph1 Rab3c Gm20594 Ndufv3 Psd3 Tuba1b Mapre2 Nme1 Gabarapl1 Itpr1 Nckap1 Atp6v1b2 Reep5 Matr3 Ppp1cb Ghitm Pgk1 Dlgap3 Elob Ap2m1 Tpi1 Gnb2 Ndufb5 Atp5j Gdi1 Stx1b Gm11407 Tuba4a Cspg5 Ndufa6 Minos1 Tecr Atp6v1a Gde1 Vapa Fam107a Pebp1 Got1 Mlf2 Mtpn Tsc22d1 Pcbp2 Tpt1 Dnm1 Zfr Syp Clta Dnaja2 Tprgl Rap1gds1 Zfp365 Pafah1b2 Sqstm1 Tcf4 Atp6v1g2 Dlgap1 Camk2n2 Trim2 Cntn1 Mtch1 Gm15800 Myl12b Tmem59l Pcp4 Adcy1 Cd47 Ahcyl1 Prkcb Add1 Dnajc5 Syt7 Phyhipl Uqcr11 Eps15 Rabac1 Gria2 Ndufs2 Rps25 Mapk1 Pclo Syn2 Sh3gl2 Mapk10 Gdi2 Dst Tubb4b Ndufa5 G3bp2 Atp6ap1 Arpp19 Cox5a Glrb Atpif1 Macf1 Rpl6 Cycs Trnp1 Pak1 Pacsin1 Ndufv2 Calr Oxct1 Snap47 Rnf14 Vdac1 Map2k1 Stmn2 Syt4 Epn1 Kifap3 BC031181 Gda Nrgn Prdx2 Ttll7 B2m Cdip1 Sub1 Pfkm Enpp5 RP24-91J7.1 Ndufb2 Rn18s-rs5 Ndrg3 Ptpra Slc22a17 Chd3 Fasn Sv2a Serbp1 Cadm1 Kalrn Rpl5 Ctxn1 Sept8 Spag9 Ckmt1 Pfkp Syngr3 Pld3 Tmsb4x Tomm20 Atp5o Nsg1 Acsl3 Adarb1 Rab11b Rasgrf1 Ppp3ca Olfm1 Timm8b Atp6v1c1 Amph 1110008P14Rik Mpc1 Ndufa12 Bsn Tppp Efhd2 Srpk2 Tmem30a Gm1821 Rpl12 Ctbp1 Mff Napb Cyc1 Atp5h Wbp2 Dnajc6 Snx10 Dstn Fam171b Scoc Acot7 Gm6061 Apc Mycbp2 Vps29 Hprt Uqcrc1 Mgea5 Ldha Nudt3 Ran Chn1 Lsamp Rraga C1qtnf4 Uqcrb Cdk5r2 Snhg11 Cdk14 Cdk5r1 Arhgdia Trim9 Rab1a Synj1 Gpx4 Uqcrfs1 Edil3 Gm11512 BC005537 Swi5 Rack1 Negr1 Ppp1ca Dctn3 Trim32 Diras2 Ubl5 Cisd1 Gas7 Spock1 Oxr1 Eif3f Slc17a7 Rasgef1a Fkbp3 Prrc2b Ppp3r1 Nars Cadm2 Rhob Gria3 Cep170b Homer1 Osbpl1a Hnrnpa3 Ncald Hnrnpc Atp1a1 Rusc1 Gm10175 Pdha1 Hspa4l Emc10 Npdc1 Map1lc3a Gabra1 Fam168b Gm28439 Copg1 Map7d2 Fam49b Sv2b Tspyl1 Ptprd Spred1 Mbnl2 Apbb1 Akr1a1 Prkce Nrxn2 Luzp2 Cs Rab7 Bzw1 Atp6v0d1 Wasf1 Hspa9 Fgfr3 Atp9a Nrsn1 Mapk9 Hnrnpab Snx3 Rgs4 Uhmk1 Uba1 Jph4 Pip5k1c Ube2e1 Nr2f1 Elmo1 Csde1 Dazap2 Tusc3 Faim2 Plppr4 Gng13 Actr2 Scn2a Evl Snph Wdfy3 Pitpna Rpl22 Nedd4 Pdhb Astn1 Eif5 BC002163 Gabrg2 Arhgap5 Trim35 Zmat2 Selenot Srp14 Ndufs6 Gm26917 Ube2m Mprip Ppp3cb Usp9x Polr2m Brk1 Gm10275 Nmnat2 Lmo4 Etnk1 Pcdh10 Herc1 Dusp3 Morf4l2 2900011O08Rik Tcp1 Mapk8ip2 Mapk8ip1 Cox7a2l Rab5c Rbbp4 Rbm39 Pum2 Clcn4 Eif3c Egr1 Ndufs8 Cbarp Srrm2 Smim10l1 Rab14 Set Cct6a Myt1l Ppp2r2c Necap1 Pja1 Ube2ql1 Smarca2 Nsf Ptp4a2 Eef1b2 Tmx2 Atp6v1f Rnf220 Vps35 Reps2 Cds2 Gm12338 Ube2b Rundc3a Prkaca Hnrnpd Ptprs Pbx1 Rasgrp1 Epb41l1 Ndufa1 Ncdn Tubb3 Wdr47 Clcn3 Stx12 Eif1ax Cbx5 Ndufb4 Anks1b Cdc42bpa Eno1 Arl1 Dmtn Ndufc2 Trim37 Ndufa13 Rbfox2 Rcan2 Chga Gtf2i Mmd Dlg4 Tmed7 Azin1 Ndufa7 Aff4 Gm5453 Atxn7l3b Aak1 Capza2 Dmwd Srebf2 Gsk3a Dlgap4 Shank1 Ogfrl1 Omg Baiap2 Gls Hp1bp3 Mboat7 Prdx5 Hacd3 Cand1 Srsf5 Atp6v0e2 Selenof St13 Pcbp1 Atp6v0a1
8,Gm26461 Rn7s1 Gm26035 Gm23624 Gm24447 Rnu5g Gm25106 Gm24265
