"cluster","#genes","genes"
"1","55","Gm15564, Gm26917, mt-Rnr1, Gm42418, Lars2, Mir6240, mt-Rnr2, AA474408, Gm24245, Rn18s-rs5, Gm42959, Gpr55, Mir6236, Rimbp3, Gm24270, Gm25911, Gm20594, Gm23935, Cachd1, n-R5-8s1, Lbx1, Fbn1, Ift46, Gm24601, BC001981, Malat1, Phox2a, Nop9, Gm12896, Fam212a, Lrrc63, Emilin2, Snhg14, RP23-139F20.2, Gm26035, Gm13456, Rn7s1, Gm23624, Pom121l2, Gm37194, Gm26461, Crlf1, Gm9517, Arhgap27, Gm43352, Gm24447, Tcf20, Gm24146, 1600020E01Rik, Gm45884, Gm19582, Gm12183, Gm7292, Rn7sk, Rnf149"
"2","61","Enpp2, Ttr, Clic6, Kl, F5, Clu, Dbi, Cryab, Bsg, Trf, Slc4a5, Apod, Ezr, Igf2, Mobp, Fth1, Mal, Cab39l, Cldn11, Sostdc1, Ppp1r1b, Plp1, Mbp, Gsn, Top3b, Gm5869, Gfap, Rdh5, Plekhb1, Ybx1, Otx2, Col8a1, Gm15440, Apoe, Kif16b, Cnn3, Foxj1, Pcolce, Sowahc, Msx1, Gm9800, Car2, Lbp, Psat1, 1500015O10Rik, Dcn, Col9a3, Folr1, Ptpdc1, Col4a4, Armc6, Trpm3, Ndrg1, Cox8b, Gm14964, Lrrc51, Ucp2, Cd63, Slc12a2, Stoml3, Tmem63a"
"3","41","Snap25, Chn1, Nrgn, Cck, Nptxr, Calm3, Ywhaz, Nptx1, Pcsk1n, Ppp3ca, Calm2, Celf2, Enc1, Arf3, Calm1, Fmnl1, Hpca, Fkbp1a, Kalrn, Aldoa, Rtn1, Fam131a, Tmsb4x, Mef2c, Fxyd7, Zbtb18, Prkcb, Eef1a2, Pip5k1c, Prkar1b, Camk2n1, Ncdn, Dynll1, Sv2b, Olfm1, Wasf1, Syn2, Gpm6a, Camta2, Chst1, Actb"
"4","630","Tomm34, Ppat, Gp1bb, Ankra2, Gtf2b, Snx11, Agfg2, Vma21, Xrn2, Isyna1, Ssb, Dpep2, Fbxo11, Stn1, 2010111I01Rik, Ewsr1, Mok, Rufy2, Gm16089, Vasp, Nxpe3, Malsu1, Gm36378, Dtd2, Uqcc3, Gm12163, Atp13a3, Mrpl23-ps1, Mob4, Gatad2b, Mapkap1, Lmf1, Vta1, Rbx1, Slmap, Gatad1, Tceal6, Esd, Rpl35a-ps4, Fam136a, Rsu1, Dpp9, Csnk2b, Dock6, Mrap2, Gm6285, Mras, Taf4, Ddx1, Tbc1d10b, Usp12, Chd3, Socs5, Ptgs2, Cfdp1, Rabgap1, Mphosph8, Zfp260, 2700081O15Rik, Smad3, Hivep3, Ppp1r12a, Tbc1d25, Pdcd7, Kbtbd11, F8a, Cryl1, Pds5a, Eri1, Oxld1, Gm20604, Ppa2, Zc2hc1a, Mrps14, Asb13, Cct6a, Map2k5, Chchd7, Dmrta2, Ddx5, Tceal3, Uso1, Gm4742, Ranbp3, 3110082I17Rik, Gm10419, Brpf3, Hes1, N4bp2l2, Ireb2, Cyb5a, Cenpv, Megf11, Fam129b, Phax, Ppp1r37, Mkks, Slc6a20b, Fam222b, Rfc1, Rnaseh2c, Myo5b, Igfbp6, Ift122, Galt, Gm8394, Gtf2h2, Zmym5, Cdh11, Slc18a2, Tecpr1, Tmem178b, Fbxw2, Gm13216, Cerk, Atxn3, Rflnb, Gm11483, Dnm1l, Trib1, Chl1, B3gat1, 4933431E20Rik, Lipo3, Mier3, Rbm15, Atp5l, Gm27529, Copa, Fbxo34, Ints11, Ahdc1, Pdcl3, Col8a2, Skiv2l2, Slc37a3, Ulk4, Nr2c2ap, Tapbpl, Pitpnm3, Smarca5, Ccdc127, Nav1, Mtf2, Mgp, Ccl27a.2, Slc43a2, Wnt2, Ahi1, Eif1b, Fpgt, Mast2, Gpatch3, Scube1, Pcnx2, Rps15a-ps5, Psmd5, Pcmtd2, Rny3, Rpl7, Gt(ROSA)26Sor, Gmfb, Gm16238, Gm13785, Cspg4, Ddr1, Slc9a9, Acaa2, Mlst8, Rpp14, Ssr3, Gm8304, Samd8, Gm44024, Srsf10, Tmem165, Nwd1, Gm5905, Tnni1, Alg11, Ppt1, Ssu72, Tle1, Vopp1, Zfp180, Gm12025, Gm16062, Gpr85, Uggt1, Golph3, Unc13a, Pcdh10, Brd2, Gm45109, BC004004, Klf16, Gm14816, Wdr83os, Med20, Luc7l2, Sord, Rpl31-ps11, Anxa4, Commd1, Wdr24, Hspa2, Mmp11, Rpl31-ps6, Fam76b, Gm6987, Hnrnpr, Arl3, Zfp770, Lgr6, Pak1, Lmo3, Fam222a, Timm10b, Utp20, Rasgrf2, Ccr5, Tefm, Pmpca, Fam219a, Tmem132a, Zkscan1, Trim21, Rela, Gm7285, Sez6l, Slc6a9, Mapk11, Epb41, Rhoa, Smarcd3, Gm4045, Ccdc88c, Trim27, 1190005I06Rik, Gm5135, Snhg8, Atp6v0b, Gm12338, Gm20033, Gm12341, AK157302, Tpi1, Lxn, Sgms1, Ddit4, Srp54b, Msl1, Enpp5, Sar1a, Rps9, N4bp2l1, Rbm5, Rpl7l1, Il13ra1, Trappc12, Pfdn1, Ap5z1, Rpl35a-ps6, Phyh, Agrn, Prkd1, Cbll1, Med22, Fbxo9, Cry2, Tpm3-rs7, C530008M17Rik, Taf1b, Pgam5, Fam198b, Psme3, Fam187b, Sh2d3c, Aptx, Tmem5, Rplp0, Atp5l-ps2, Gltscr1, Acat2, RP24-547N4.5, Tagln3, Eif5b, Fance, Bax, Lgi1, Stx1b, Mat2b, Gm15793, Serp2, Dclk1, Gm12094, Ctsf, Cobll1, Eif4g3, Oplah, Glod4, Gm12421, Chordc1, Fat4, Gm15998, Krt2, Strap, Fbxo25, Asxl1, Gm6822, Madd, Gm24276, Ttll11, 1700001L19Rik, Dazl, Ccdc25, Tmem86b, 2310036O22Rik, Kmt2d, Aifm2, Mast1, Naaa, Prpf40a, Ccdc59, Sbk1, Lrrc7, Gbe1, Gm9712, Clock, Cacna1c, Hnrnpc, Fcgrt, Atp11b, Snhg5, C630043F03Rik, Gm45694, Uqcr10, Nras, Tyro3, Ankle2, Rps12-ps3, Dcaf11, Hn1, Sh3glb2, Kifc3, Cops9, Idi1, Zfp316, Gm5312, Cyp39a1, Sar1b, Klf9, Eif4enif1, Ccar2, Bin1, Usf2, Rfc2, Dhx40, Cat, Ei24, Gm43501, Fam20b, Tmem94, Rtn4r, RP23-128C4.4, Slc16a12, Armt1, Plpp2, Serinc5, Zfp651, Ctsc, Vps36, Tmem214, Skiv2l, Gbf1, Ndufs2, Fam207a, Flrt3, Slc38a7, Taf8, Tmed3, Ranbp9, Mdc1, Fam43a, Pter, Arntl2, Rpl27, Tpst1, Slc39a12, Hid1, Traf3, Clcc1, Mbnl1, Psmb1, Tmem126a, Rprml, Gm9989, Mcf2l, Gm8805, Gm8268, Fn1, Gm8692, Gorasp1, Clic1, Rfx1, Nrd1, Tmem199, Rims4, Ptdss1, Chchd10, Gusb, Adgrl2, Maged2, RP23-246F14.1, Aimp2, RP23-2N7.4, Cdkn1b, H13, Trim30a, Pcyox1, RP23-291C4.4, Slc35b2, RP24-364H18.2, Psph, Rchy1, Xpo1, Gm29228, Garnl3, Gm16272, Eif2s2, Ikzf5, 0610040J01Rik, Rngtt, 1700123O20Rik, Ccnjl, Smim10l1, Disp3, Tmcc3, Adss, Fmo2, Alg3, Ogg1, Banp, Slc16a13, Rtcb, Tmbim6, Ndufb10, Aox4, Lcmt1, Rps27a-ps1, Gm42644, Mcph1, Serpind1, Rraga, Zscan26, Trp53inp1, Gm11285, Rpia, Sptssa, Glt8d1, Wdr81, Tcea1, Gm22513, Dcun1d3, Zcchc7, C1qtnf4, RP23-143D12.3, Emc10, RP23-340G24.8, Exosc10, Gm12983, Chrnb2, Arrdc3, Akr7a5, Dnajc3, P4ha1, Map1s, Ppp1r10, Gm12967, Donson, Chmp6, Ky, Ankfy1, Fbxo28, Spata6, Dnajc2, Gon4l, Tmem240, Actr8, Ctbp1, Polr2m, Rpn2, Gm8172, Slc1a4, Mapk8ip3, Rpl35a, Col20a1, Nop56, Pmepa1, Vhl, Rnf216, Gm11619, Fnbp1l, Hs6st2, Rfxap, Mir703, Alg2, Gm10029, Gid4, Ubac2, Nip7, Opa1, Rps13-ps5, Ralgapa1, Gm9774, Ago2, Ptbp3, Naglu, Tpd52l2, Prickle1, Olfr482, Gm12715, Wfdc2, Dyrk1a, Ppp1r11, Mir9-3hg, Adgra3, Gpsm2, Herc4, Gm13436, Gm4332, Ice2, Spcs1, Etl4, Pou6f1, Cnot7, Yif1b, Coa6, Zfp719, Gm13924, Cherp, Dnaic2, 2810032G03Rik, Mdm4, Cacfd1, Chchd5, Rpl39-ps, Tmem64, Gm8534, Akirin1, Snrpb, Rpl31-ps17, Nars2, Spon1, Gm7536, Cyp2d22, Lmo4, Arfgef3, Ipmk, Tmem234, 1110051M20Rik, Maneal, Gpc1, Noc4l, Kctd12, Ccdc6, Tex261, Tspo, Rell1, Brf2, Acadvl, Cyp27a1, Prr14l, Gm12992, Pitpnm2, Rab8a, Gm26906, Ptprf, Gm42433, Igsf8, Rpl31, Tctn1, Dld, Ube2e2, Ddx17, Vwf, Eno4, Rpl19, Gm21887, Asb4, Trpm6, Syp, Cast, Amfr, Plpp1, Cers4, Rpsa-ps5, Cpeb1, Rps14, Srsf7, Nhlh2, Sec11a, Sgsm2, Nudt7, Csrnp2, Ralbp1, Fgf13, Kcna1, Usp14, Gm12034, Pnpla8, 6430710M23Rik, Mon2, Mfsd14b, Gm4995, Mrpl37, Ankrd34b, Reep5, Gdi2, Mzt2, Usp7, Nab1, L3mbtl3, Ube2ql1, Gm15642, Gm26892, Cand1, Scn3b, Jak1, Tmem184a"
"5","102","Gm13202, Pdrg1, Mapk8ip1, Cd3eap, Zfp319, Limk1, Tmem178, Iqce, Eapp, Timm17a, D330023K18Rik, Ciz1, Itpa, Pls3, Gamt, Ispd, Arhgap32, Kctd13, Plekha2, Tenm2, Chchd3, Gm5835, Chgb, Ralgds, Mief1, Ccnc, Mrpl19, Dnlz, Dtd1, Cuedc1, N4bp3, Fam171a2, Ccdc117, Patz1, Sh3bp5l, Zhx1, Thrsp, Atp2c1, Mapk14, Mars2, Ncan, Hspa13, Sdc2, Bmper, Ppm1k, Gm16379, Fam210a, Sytl2, Syt3, AI846148, Ighm, Epb41l4b, Lrrc8a, Tceal5, Mafg, Cyp4f16, Dis3l, Txndc15, Bcap29, Igfbp4, Pou3f2, Dlg1, Ptk2, Proser1, Gm35040, Grin2a, Stard8, Lzts1, Med23, Pcdhb6, Pelp1, Ccdc149, Mccc1, Gnai3, Gys1, Tmem254c, Crh, Plec, Rpl39, Mbnl2, Fdxr, Rap1a, Brwd1, Bmi1, Tdrkh, Nfkbib, Wdr37, Ercc1, Gm43268, Map2k2, Limd2, Gnl1, Zfp944, Sec23a, Ttbk1, Alcam, Ccdc58, Fam19a2, Ppp6c, Slc25a44, Shisa7, Adar"
"6","65","Pcdh8, Tfb2m, Khdrbs2, Npm3, Ppfia1, Cdv3, Epb41l2, Cbx8, Mpzl3, Arl16, Car5b, Bsdc1, Zxdc, Gm6062, Tma7-ps, Mrps16, Ppp6r1, Mcee, Trpc4ap, Gpatch11, March6, Ogn, Gm2189, Ddx55, Mia3, Erf, Zfp644, Gm14578, Tgm2, Rbm12b2, Zfp956, Rrn3, Fhit, Camsap2, Gm5045, Fam214a, Gm14305, Lrch2, Gm2986, Polg, Palm, Tmem161a, Dnajc15, Gm2136, C87436, Rpl21-ps9, Gm3571, Slc32a1, Adora1, Ric8b, Efs, Fam189b, Mrpl45, Cfhr2, Isg20l2, Zfp251, Pafah1b2, Chst8, Zcchc4, Gm25179, Zfp512, Naa30, Epdr1, Thap4, Csnk2a2"
"7","44","9330121K16Rik, Mecr, 4921524J17Rik, Clpx, Fam169a, Cln8, Samd10, Sfswap, Cenpo, Plk2, Iscu, Zbtb34, Rbbp9, Bbs5, Bet1l, Cacna2d4, H6pd, Lyar, Snrp1c-ps1, Lsm2, Ampd2, Pcbp3, Pigo, Gm11604, Spa17, Mrps17, Nemf, Zbtb8b, Prodh, Brd7, Zfp945, Lrrc71, Rgl3, Ppm1m, Pkib, Gm6768, Fbxo42, Gm34783, Ntrk3, Sh3rf1, Gm10778, Rasal2, Gm44053, Hist3h2a"
"8","22","Ephb3, Dnajc18, Mafk, Slc25a20, Zswim4, Msto1, Gm4602, Dok5, Sltm, Ide, Rpl7a-ps5, Prmt1, Heatr5b, Odf2, Gm13551, Wtap, Gm12807, Bckdhb, Spock3, Gm45183, Zfp354a, Ppil3"
"9","102","Shox2, Prkcd, Kitl, Ptpn4, Ildr2, Ntng1, Elmo1, Tnnt1, Atp2a2, Gabra4, Hspa12a, Adarb1, Pcp4, Rora, Cplx1, Rasl11a, Cit, Grm1, Fam19a4, Ccdc136, Pdp1, Lef1, Slc24a2, Tcf7l2, Cpne9, Rab37, Synpo2, Hdac9, Rgs16, Ramp3, Nexn, Cnksr3, Tiam1, Rgs4, Patj, Rasgrp1, Cdkl5, Tmem163, Rasd1, Gm43398, Slc17a6, Ogfrl1, Zic1, Cited2, Plcb4, Map3k5, Gabbr2, Megf9, Slc12a9, Plekhg1, Hmga1-rs1, Asap2, Rgs7bp, Atp1b1, Ccm2, Ube3c, Ndrg4, Trib2, Rab3c, Amotl1, Adarb2, Tpd52l1, Clmn, Fam120b, Gnal, Tanc1, Nefh, Sptbn1, Spock1, Nhsl2, Pcp4l1, Pdzd8, Gm7558, Nans, Kcnc2, Efna2, Mkl1, Zfp930, Atp6ap2, Ephx1, Tmem41a, Vav3, Yipf6, Zkscan3, Kndc1, Gm28929, Senp8, Gm4660, Zfp322a, Rap1gds1, Lrrn2, Cnot4, Ina, Fam20c, Slc50a1, Uchl1, 4732496C06Rik, Homer3, Zfp189, Rims3, Slc9a3r1, Ptprc"
"10","43","Cyth4, Txnl4a, Pdzrn3, Ddit3, Gtf2e2, Manea, Csmd3, Pfkl, Hhex, Zmiz1, Tspan15, Htatip2, Rbm12b1, F11r, Cd2bp2, Acacb, Med13l, Fbln2, Lmo2, Ndufaf7, Eif1-ps1, Dleu2, Ercc5, Parva, Stard13, Dcaf13, Synpo, Gm2961, Aamdc, Inpp5b, Ebp, Gm44768, Ccdc36, Gm14296, Zzz3, Htra2, Gm22451, Slc39a2, Nt5c, Slc2a12, Ift22, Usp40, Coa3"
