genes_number,genes_names
155,Gene7350 Gene7754 Gene6858 Gene2566 Gene8000 Gene4759 Gene8350 Gene8141 Gene8360 Gene4931 Gene7893 Gene6695 Gene9601 Gene2790 Gene8789 Gene9483 Gene4149 Gene7876 Gene2854 Gene6862 Gene8816 Gene644 Gene4299 Gene2304 Gene6292 Gene6475 Gene3742 Gene4163 Gene661 Gene4993 Gene2906 Gene7607 Gene4520 Gene7932 Gene886 Gene7232 Gene5808 Gene4984 Gene6773 Gene8831 Gene590 Gene4110 Gene3484 Gene1369 Gene8445 Gene2391 Gene3461 Gene3001 Gene3747 Gene8802 Gene2595 Gene7886 Gene5538 Gene1883 Gene5816 Gene4547 Gene3046 Gene6940 Gene3407 Gene5048 Gene7938 Gene9074 Gene7374 Gene2284 Gene8071 Gene6958 Gene2778 Gene8717 Gene2928 Gene3654 Gene633 Gene7466 Gene6472 Gene6490 Gene7927 Gene8376 Gene1963 Gene5827 Gene5666 Gene6690 Gene8606 Gene168 Gene4411 Gene5574 Gene7490 Gene6994 Gene8731 Gene4144 Gene7521 Gene9580 Gene8826 Gene1844 Gene8471 Gene888 Gene8841 Gene9351 Gene7705 Gene7598 Gene9615 Gene7737 Gene9697 Gene9467 Gene3519 Gene489 Gene6986 Gene6137 Gene8306 Gene9316 Gene792 Gene8199 Gene4038 Gene5213 Gene7559 Gene4502 Gene8613 Gene9619 Gene16 Gene1109 Gene8338 Gene680 Gene7010 Gene6467 Gene6548 Gene5577 Gene1708 Gene3836 Gene669 Gene3083 Gene3490 Gene8533 Gene7601 Gene2165 Gene2627 Gene3843 Gene1407 Gene4666 Gene6287 Gene2591 Gene5554 Gene6781 Gene1742 Gene1286 Gene1307 Gene6426 Gene6529 Gene6260 Gene4510 Gene3276 Gene7379 Gene4539 Gene7736 Gene3520 Gene3447 Gene1266 Gene9188
163,Gene7124 Gene7878 Gene9617 Gene2791 Gene1399 Gene5448 Gene6256 Gene738 Gene1168 Gene9977 Gene6362 Gene9898 Gene9988 Gene7014 Gene1512 Gene5318 Gene3290 Gene9948 Gene5519 Gene6366 Gene9462 Gene6967 Gene7488 Gene8626 Gene2483 Gene8090 Gene3807 Gene3600 Gene4443 Gene292 Gene243 Gene1440 Gene7427 Gene4994 Gene7691 Gene3330 Gene1350 Gene8966 Gene5076 Gene7869 Gene5710 Gene1550 Gene5558 Gene2655 Gene685 Gene4948 Gene3285 Gene9645 Gene4196 Gene6597 Gene8967 Gene1744 Gene5152 Gene1837 Gene925 Gene49 Gene3680 Gene7768 Gene5458 Gene734 Gene4454 Gene5199 Gene1630 Gene931 Gene2401 Gene4527 Gene9784 Gene6228 Gene7204 Gene6727 Gene3067 Gene2923 Gene8065 Gene4794 Gene7479 Gene939 Gene9588 Gene8795 Gene3242 Gene3862 Gene7211 Gene5292 Gene6959 Gene608 Gene9996 Gene214 Gene8876 Gene5049 Gene2080 Gene7724 Gene6794 Gene7909 Gene3800 Gene409 Gene6946 Gene7827 Gene8027 Gene2654 Gene2745 Gene2982 Gene6725 Gene9070 Gene9954 Gene1755 Gene3190 Gene763 Gene3885 Gene7319 Gene8015 Gene8299 Gene8244 Gene1534 Gene373 Gene3729 Gene9909 Gene93 Gene3551 Gene5192 Gene2431 Gene433 Gene9673 Gene6332 Gene7143 Gene9274 Gene6298 Gene9569 Gene9776 Gene9296 Gene990 Gene9818 Gene1124 Gene1002 Gene4686 Gene262 Gene1631 Gene9221 Gene9595 Gene4585 Gene8433 Gene531 Gene8889 Gene3195 Gene9048 Gene3165 Gene3284 Gene8017 Gene5892 Gene2642 Gene4867 Gene6449 Gene3341 Gene7889 Gene4240 Gene612 Gene5851 Gene3035 Gene1653 Gene5275 Gene4011 Gene2758 Gene9913 Gene7027 Gene697
159,Gene1715 Gene6163 Gene6444 Gene2727 Gene1584 Gene5101 Gene2106 Gene8109 Gene9385 Gene189 Gene589 Gene9499 Gene2231 Gene801 Gene7447 Gene4572 Gene8267 Gene7444 Gene1760 Gene6344 Gene120 Gene7267 Gene8260 Gene8375 Gene7136 Gene8699 Gene9285 Gene5244 Gene8799 Gene9085 Gene4783 Gene1601 Gene3813 Gene352 Gene4675 Gene2006 Gene8060 Gene3497 Gene3260 Gene4026 Gene1163 Gene8204 Gene8598 Gene6699 Gene8785 Gene9552 Gene7811 Gene8848 Gene6892 Gene3710 Gene567 Gene8957 Gene1740 Gene2607 Gene6968 Gene8585 Gene5443 Gene4154 Gene9139 Gene3003 Gene3669 Gene5219 Gene4349 Gene556 Gene497 Gene5378 Gene985 Gene1745 Gene5225 Gene1632 Gene4108 Gene9476 Gene5930 Gene6924 Gene9506 Gene1468 Gene4076 Gene3332 Gene8296 Gene2622 Gene6435 Gene3422 Gene8644 Gene834 Gene4495 Gene180 Gene5270 Gene9 Gene5490 Gene67 Gene2949 Gene270 Gene9022 Gene3681 Gene7409 Gene8416 Gene4703 Gene1994 Gene8062 Gene5350 Gene2423 Gene4337 Gene1229 Gene7021 Gene1424 Gene226 Gene6572 Gene9487 Gene5173 Gene2208 Gene9828 Gene4747 Gene3391 Gene8581 Gene9207 Gene5683 Gene3426 Gene8838 Gene9522 Gene7114 Gene9439 Gene421 Gene8811 Gene6230 Gene3597 Gene2098 Gene3695 Gene715 Gene9420 Gene508 Gene8256 Gene7887 Gene3468 Gene4657 Gene4921 Gene2820 Gene415 Gene4949 Gene2672 Gene4641 Gene7907 Gene2929 Gene9639 Gene9541 Gene4124 Gene394 Gene6906 Gene4840 Gene5582 Gene896 Gene5525 Gene6650 Gene5195 Gene8698 Gene4682 Gene8851 Gene221 Gene9813 Gene4387
240,Gene209 Gene5430 Gene7906 Gene604 Gene1100 Gene6613 Gene1380 Gene2974 Gene6769 Gene7238 Gene1214 Gene798 Gene9785 Gene7593 Gene9445 Gene8155 Gene8291 Gene5015 Gene5723 Gene9971 Gene2559 Gene5770 Gene1871 Gene7311 Gene8984 Gene29 Gene2720 Gene919 Gene8949 Gene1092 Gene1682 Gene4093 Gene545 Gene8161 Gene6117 Gene2569 Gene5924 Gene8999 Gene4118 Gene6282 Gene5862 Gene8094 Gene2133 Gene6311 Gene8743 Gene2397 Gene400 Gene406 Gene6080 Gene5454 Gene495 Gene5551 Gene9509 Gene4061 Gene6422 Gene9422 Gene8313 Gene1112 Gene4372 Gene492 Gene3073 Gene668 Gene1920 Gene1205 Gene4491 Gene2508 Gene4941 Gene637 Gene6143 Gene2772 Gene6692 Gene4276 Gene5205 Gene5609 Gene1210 Gene9401 Gene5489 Gene4569 Gene76 Gene2816 Gene8601 Gene4694 Gene7834 Gene3890 Gene1540 Gene6132 Gene8192 Gene7573 Gene8939 Gene5312 Gene4222 Gene434 Gene2592 Gene5179 Gene3467 Gene1223 Gene6023 Gene854 Gene9357 Gene575 Gene9584 Gene9083 Gene6518 Gene428 Gene1302 Gene4721 Gene5942 Gene170 Gene519 Gene6814 Gene285 Gene9369 Gene1157 Gene7940 Gene9120 Gene1622 Gene1594 Gene3344 Gene3433 Gene9981 Gene2323 Gene5885 Gene3887 Gene810 Gene4887 Gene4801 Gene1564 Gene2529 Gene5659 Gene4399 Gene2918 Gene1243 Gene2164 Gene7169 Gene9612 Gene3694 Gene4880 Gene7821 Gene1803 Gene4176 Gene2777 Gene3096 Gene8076 Gene1202 Gene5196 Gene7030 Gene3842 Gene7712 Gene9320 Gene843 Gene487 Gene9862 Gene3269 Gene815 Gene425 Gene4417 Gene4699 Gene6364 Gene7912 Gene9018 Gene5889 Gene6691 Gene4015 Gene2143 Gene6679 Gene525 Gene7848 Gene6008 Gene8004 Gene6682 Gene1462 Gene2555 Gene4313 Gene5738 Gene509 Gene2318 Gene9258 Gene7435 Gene1804 Gene5658 Gene8818 Gene5829 Gene8817 Gene6502 Gene6251 Gene386 Gene5954 Gene7910 Gene4018 Gene9738 Gene5993 Gene5272 Gene5595 Gene8673 Gene7410 Gene8114 Gene1680 Gene740 Gene6138 Gene3234 Gene559 Gene9736 Gene2031 Gene6167 Gene8023 Gene7297 Gene479 Gene613 Gene1373 Gene5483 Gene998 Gene7092 Gene2085 Gene2150 Gene3938 Gene4343 Gene8543 Gene7385 Gene8707 Gene9765 Gene6812 Gene6996 Gene3149 Gene9895 Gene5479 Gene8701 Gene7166 Gene9190 Gene9126 Gene3804 Gene3840 Gene3765 Gene4414 Gene8660 Gene1238 Gene4597 Gene6166 Gene4843 Gene7419 Gene3786
283,Gene8128 Gene8154 Gene7865 Gene5540 Gene4141 Gene5698 Gene4478 Gene9145 Gene2481 Gene5823 Gene5209 Gene9563 Gene6647 Gene1710 Gene6913 Gene5253 Gene654 Gene2535 Gene3079 Gene6998 Gene1612 Gene4071 Gene9302 Gene2077 Gene4965 Gene2368 Gene8764 Gene1636 Gene2927 Gene5157 Gene3697 Gene7269 Gene7206 Gene6871 Gene754 Gene6868 Gene7344 Gene3262 Gene7973 Gene4625 Gene9896 Gene2350 Gene9102 Gene5653 Gene4341 Gene5397 Gene7884 Gene5835 Gene3231 Gene2817 Gene3577 Gene3974 Gene984 Gene5222 Gene9211 Gene5735 Gene7862 Gene1426 Gene8176 Gene5161 Gene690 Gene857 Gene4079 Gene1591 Gene1022 Gene4446 Gene8169 Gene4256 Gene6510 Gene8631 Gene9829 Gene7513 Gene7839 Gene3891 Gene5702 Gene4508 Gene6615 Gene3547 Gene4442 Gene5937 Gene6798 Gene7671 Gene4808 Gene4546 Gene5163 Gene6159 Gene8624 Gene8929 Gene6886 Gene3763 Gene8981 Gene2004 Gene7619 Gene5258 Gene7642 Gene334 Gene8516 Gene6271 Gene2448 Gene4077 Gene3090 Gene4470 Gene5391 Gene5277 Gene8133 Gene3246 Gene358 Gene99 Gene2517 Gene2568 Gene5067 Gene2717 Gene1793 Gene3869 Gene1877 Gene4706 Gene5469 Gene6570 Gene8511 Gene1252 Gene2030 Gene3181 Gene2970 Gene2889 Gene7750 Gene1652 Gene1379 Gene8327 Gene6743 Gene6740 Gene3589 Gene5881 Gene3156 Gene7721 Gene658 Gene1233 Gene9922 Gene6765 Gene2815 Gene5362 Gene8281 Gene2748 Gene5039 Gene4382 Gene2277 Gene5052 Gene6443 Gene7128 Gene6885 Gene4774 Gene758 Gene7879 Gene3727 Gene7550 Gene5650 Gene7190 Gene3689 Gene7372 Gene9696 Gene7264 Gene100 Gene6711 Gene4661 Gene5913 Gene4179 Gene1983 Gene4199 Gene7174 Gene1486 Gene1057 Gene3108 Gene5515 Gene6621 Gene5973 Gene9057 Gene8845 Gene3241 Gene7599 Gene558 Gene8998 Gene7227 Gene2238 Gene1549 Gene9592 Gene8252 Gene7270 Gene3529 Gene6011 Gene6224 Gene8815 Gene1366 Gene5480 Gene877 Gene2146 Gene1928 Gene6218 Gene7604 Gene4911 Gene6734 Gene4450 Gene9766 Gene1716 Gene8945 Gene9826 Gene911 Gene515 Gene9549 Gene9184 Gene1798 Gene3297 Gene3565 Gene922 Gene8483 Gene630 Gene5897 Gene9572 Gene4944 Gene9473 Gene2604 Gene3715 Gene2709 Gene4722 Gene2071 Gene5614 Gene1095 Gene1450 Gene4420 Gene3794 Gene1104 Gene8030 Gene7693 Gene1118 Gene805 Gene7742 Gene2711 Gene5365 Gene1518 Gene8371 Gene7653 Gene7823 Gene3858 Gene2803 Gene797 Gene5164 Gene272 Gene4888 Gene383 Gene6854 Gene5833 Gene3445 Gene8207 Gene8402 Gene6089 Gene9883 Gene8146 Gene6338 Gene8171 Gene2386 Gene9761 Gene2902 Gene4464 Gene7170 Gene3872 Gene5831 Gene3197 Gene8810 Gene7626 Gene33 Gene4754 Gene2979 Gene9446 Gene2010 Gene5127 Gene8454 Gene6948 Gene5459 Gene4172 Gene2420 Gene5058 Gene8342 Gene7838 Gene5847 Gene6484
