,#genes,genes
1,526,"['Gene8640', 'Gene95', 'Gene3202', 'Gene9472', 'Gene185', 'Gene6643', 'Gene5103', 'Gene9779', 'Gene4706', 'Gene6134', 'Gene1265', 'Gene3291', 'Gene8080', 'Gene5619', 'Gene4607', 'Gene6107', 'Gene5449', 'Gene9298', 'Gene9518', 'Gene5239', 'Gene5684', 'Gene8330', 'Gene1403', 'Gene5683', 'Gene2460', 'Gene3720', 'Gene5888', 'Gene7337', 'Gene3246', 'Gene213', 'Gene3549', 'Gene2719', 'Gene5897', 'Gene8411', 'Gene2405', 'Gene1797', 'Gene8395', 'Gene9165', 'Gene3826', 'Gene9746', 'Gene9303', 'Gene8221', 'Gene1999', 'Gene78', 'Gene3937', 'Gene6265', 'Gene3094', 'Gene1266', 'Gene1313', 'Gene388', 'Gene5580', 'Gene5326', 'Gene250', 'Gene4530', 'Gene1461', 'Gene1911', 'Gene5800', 'Gene4079', 'Gene6072', 'Gene6307', 'Gene4794', 'Gene6601', 'Gene9281', 'Gene2419', 'Gene7231', 'Gene3212', 'Gene6343', 'Gene5004', 'Gene8483', 'Gene1698', 'Gene1551', 'Gene9895', 'Gene7159', 'Gene5289', 'Gene8152', 'Gene8973', 'Gene5308', 'Gene8', 'Gene7924', 'Gene3303', 'Gene4996', 'Gene5677', 'Gene6224', 'Gene7173', 'Gene2625', 'Gene5248', 'Gene2656', 'Gene6970', 'Gene1967', 'Gene6051', 'Gene7216', 'Gene1877', 'Gene8792', 'Gene7975', 'Gene3272', 'Gene714', 'Gene2935', 'Gene8176', 'Gene9168', 'Gene4773', 'Gene5083', 'Gene2608', 'Gene726', 'Gene328', 'Gene9364', 'Gene5687', 'Gene6579', 'Gene9496', 'Gene7561', 'Gene8174', 'Gene517', 'Gene6934', 'Gene2725', 'Gene9785', 'Gene4942', 'Gene8926', 'Gene2932', 'Gene944', 'Gene9187', 'Gene8666', 'Gene359', 'Gene6047', 'Gene338', 'Gene8813', 'Gene5981', 'Gene2482', 'Gene260', 'Gene8141', 'Gene2818', 'Gene6303', 'Gene6110', 'Gene7738', 'Gene5655', 'Gene3857', 'Gene5976', 'Gene4307', 'Gene8013', 'Gene813', 'Gene4974', 'Gene5569', 'Gene8810', 'Gene616', 'Gene6172', 'Gene7180', 'Gene2228', 'Gene7763', 'Gene9509', 'Gene8631', 'Gene3287', 'Gene5113', 'Gene3736', 'Gene7523', 'Gene6392', 'Gene6019', 'Gene9928', 'Gene7844', 'Gene549', 'Gene9448', 'Gene8322', 'Gene6912', 'Gene6981', 'Gene2807', 'Gene2305', 'Gene4389', 'Gene5775', 'Gene4149', 'Gene867', 'Gene7884', 'Gene1794', 'Gene6749', 'Gene8685', 'Gene5288', 'Gene2376', 'Gene8346', 'Gene4494', 'Gene8126', 'Gene2555', 'Gene9758', 'Gene165', 'Gene1252', 'Gene225', 'Gene4818', 'Gene2837', 'Gene7462', 'Gene5586', 'Gene7328', 'Gene5407', 'Gene7393', 'Gene5334', 'Gene9497', 'Gene3057', 'Gene1749', 'Gene9612', 'Gene1499', 'Gene3296', 'Gene5654', 'Gene4548', 'Gene3690', 'Gene6191', 'Gene8827', 'Gene5465', 'Gene597', 'Gene5549', 'Gene9994', 'Gene5282', 'Gene692', 'Gene6687', 'Gene1454', 'Gene8198', 'Gene1261', 'Gene8974', 'Gene9095', 'Gene6999', 'Gene4343', 'Gene9970', 'Gene7550', 'Gene6320', 'Gene5611', 'Gene6001', 'Gene6208', 'Gene5739', 'Gene2137', 'Gene3230', 'Gene9221', 'Gene5765', 'Gene6167', 'Gene4292', 'Gene4862', 'Gene3209', 'Gene6680', 'Gene8644', 'Gene3188', 'Gene5666', 'Gene4393', 'Gene4957', 'Gene4068', 'Gene496', 'Gene7483', 'Gene1620', 'Gene6140', 'Gene9723', 'Gene4036', 'Gene3388', 'Gene6731', 'Gene4234', 'Gene9039', 'Gene91', 'Gene6476', 'Gene1216', 'Gene2306', 'Gene3451', 'Gene2348', 'Gene3520', 'Gene2602', 'Gene8546', 'Gene1881', 'Gene9174', 'Gene1289', 'Gene7614', 'Gene3156', 'Gene8426', 'Gene329', 'Gene5787', 'Gene7089', 'Gene3401', 'Gene5160', 'Gene4186', 'Gene8410', 'Gene5471', 'Gene6692', 'Gene1307', 'Gene2848', 'Gene8678', 'Gene8089', 'Gene2127', 'Gene2806', 'Gene7012', 'Gene3037', 'Gene6536', 'Gene6730', 'Gene2778', 'Gene142', 'Gene1314', 'Gene8444', 'Gene5882', 'Gene3018', 'Gene152', 'Gene9546', 'Gene6025', 'Gene6213', 'Gene1760', 'Gene8338', 'Gene5093', 'Gene2221', 'Gene384', 'Gene8947', 'Gene5709', 'Gene2975', 'Gene3091', 'Gene1128', 'Gene2737', 'Gene9492', 'Gene2590', 'Gene3752', 'Gene9167', 'Gene5853', 'Gene1422', 'Gene1385', 'Gene6249', 'Gene9525', 'Gene6216', 'Gene4707', 'Gene1242', 'Gene1926', 'Gene5673', 'Gene8060', 'Gene2743', 'Gene5967', 'Gene8850', 'Gene7559', 'Gene6220', 'Gene907', 'Gene4950', 'Gene7697', 'Gene1846', 'Gene1163', 'Gene441', 'Gene9505', 'Gene4446', 'Gene2940', 'Gene642', 'Gene8496', 'Gene1971', 'Gene3419', 'Gene2124', 'Gene6898', 'Gene4589', 'Gene8896', 'Gene2048', 'Gene1640', 'Gene114', 'Gene4732', 'Gene8121', 'Gene8706', 'Gene8829', 'Gene8523', 'Gene9080', 'Gene9428', 'Gene8002', 'Gene8599', 'Gene519', 'Gene6198', 'Gene3021', 'Gene9950', 'Gene5712', 'Gene1176', 'Gene690', 'Gene3876', 'Gene2816', 'Gene9683', 'Gene6685', 'Gene4948', 'Gene2403', 'Gene116', 'Gene6318', 'Gene469', 'Gene5606', 'Gene9239', 'Gene3284', 'Gene9361', 'Gene7428', 'Gene9406', 'Gene3571', 'Gene3799', 'Gene4119', 'Gene7437', 'Gene6599', 'Gene2141', 'Gene3567', 'Gene6038', 'Gene1236', 'Gene1165', 'Gene1756', 'Gene2191', 'Gene1463', 'Gene1015', 'Gene6614', 'Gene1950', 'Gene5008', 'Gene6181', 'Gene6302', 'Gene2472', 'Gene1563', 'Gene9963', 'Gene991', 'Gene1995', 'Gene679', 'Gene3166', 'Gene1996', 'Gene5284', 'Gene4456', 'Gene8448', 'Gene5776', 'Gene1267', 'Gene883', 'Gene603', 'Gene3973', 'Gene6324', 'Gene3002', 'Gene8598', 'Gene1655', 'Gene5926', 'Gene3079', 'Gene1170', 'Gene4663', 'Gene7218', 'Gene3769', 'Gene4210', 'Gene2396', 'Gene8339', 'Gene3988', 'Gene6366', 'Gene8385', 'Gene8163', 'Gene9824', 'Gene6171', 'Gene8424', 'Gene1732', 'Gene9002', 'Gene1766', 'Gene5821', 'Gene502', 'Gene7905', 'Gene680', 'Gene6607', 'Gene5271', 'Gene7446', 'Gene9711', 'Gene5521', 'Gene711', 'Gene9606', 'Gene3488', 'Gene935', 'Gene8959', 'Gene7526', 'Gene317', 'Gene1467', 'Gene4466', 'Gene3555', 'Gene4114', 'Gene4189', 'Gene1384', 'Gene5339', 'Gene1151', 'Gene5633', 'Gene4691', 'Gene6321', 'Gene4778', 'Gene943', 'Gene4482', 'Gene7264', 'Gene2134', 'Gene6433', 'Gene8463', 'Gene4946', 'Gene7782', 'Gene4141', 'Gene6753', 'Gene9626', 'Gene5819', 'Gene3987', 'Gene9491', 'Gene9138', 'Gene4105', 'Gene702', 'Gene4637', 'Gene1799', 'Gene9973', 'Gene8263', 'Gene6281', 'Gene4009', 'Gene2545', 'Gene5556', 'Gene403', 'Gene3181', 'Gene5042', 'Gene7507', 'Gene1789', 'Gene8489', 'Gene9700', 'Gene5321', 'Gene7641', 'Gene7611', 'Gene7792', 'Gene7088', 'Gene2926', 'Gene3258', 'Gene731', 'Gene6442', 'Gene2956', 'Gene3102', 'Gene8597', 'Gene9438', 'Gene1879', 'Gene5730', 'Gene6944', 'Gene3289', 'Gene4592', 'Gene3651', 'Gene8878', 'Gene9670', 'Gene178', 'Gene9558', 'Gene8852', 'Gene6022', 'Gene4118', 'Gene8620', 'Gene4438', 'Gene5355', 'Gene5809', 'Gene9066', 'Gene9007', 'Gene9284', 'Gene1552', 'Gene7098', 'Gene4590']"
2,121,"['Gene7433', 'Gene5443', 'Gene8540', 'Gene7839', 'Gene7878', 'Gene5306', 'Gene4260', 'Gene1624', 'Gene3395', 'Gene5754', 'Gene4379', 'Gene484', 'Gene1878', 'Gene6566', 'Gene4808', 'Gene956', 'Gene2279', 'Gene9249', 'Gene8519', 'Gene9260', 'Gene9018', 'Gene2035', 'Gene626', 'Gene9365', 'Gene818', 'Gene8745', 'Gene8320', 'Gene223', 'Gene8987', 'Gene3503', 'Gene1705', 'Gene3031', 'Gene6908', 'Gene107', 'Gene3541', 'Gene1374', 'Gene5610', 'Gene306', 'Gene9442', 'Gene3151', 'Gene8063', 'Gene3132', 'Gene900', 'Gene1690', 'Gene9045', 'Gene1047', 'Gene856', 'Gene3796', 'Gene9523', 'Gene2944', 'Gene8768', 'Gene5255', 'Gene8765', 'Gene7459', 'Gene4697', 'Gene9437', 'Gene770', 'Gene8956', 'Gene890', 'Gene8212', 'Gene3526', 'Gene685', 'Gene1382', 'Gene6217', 'Gene4620', 'Gene929', 'Gene8722', 'Gene4652', 'Gene49', 'Gene7850', 'Gene7778', 'Gene1787', 'Gene2955', 'Gene2037', 'Gene327', 'Gene6540', 'Gene1836', 'Gene204', 'Gene4939', 'Gene8863', 'Gene8139', 'Gene8711', 'Gene4982', 'Gene8380', 'Gene717', 'Gene7981', 'Gene6406', 'Gene4057', 'Gene2444', 'Gene5793', 'Gene3705', 'Gene3840', 'Gene9860', 'Gene4444', 'Gene5992', 'Gene7913', 'Gene6742', 'Gene9702', 'Gene9417', 'Gene7888', 'Gene5826', 'Gene2170', 'Gene4947', 'Gene1227', 'Gene5116', 'Gene8276', 'Gene8635', 'Gene8073', 'Gene8688', 'Gene9834', 'Gene6479', 'Gene3254', 'Gene7287', 'Gene2973', 'Gene2273', 'Gene5253', 'Gene7210', 'Gene7683', 'Gene1334', 'Gene4236', 'Gene5031']"
3,193,"['Gene3110', 'Gene2284', 'Gene9449', 'Gene457', 'Gene6952', 'Gene3701', 'Gene5431', 'Gene1223', 'Gene9993', 'Gene8853', 'Gene4669', 'Gene9959', 'Gene381', 'Gene1719', 'Gene2023', 'Gene6987', 'Gene1940', 'Gene6196', 'Gene6743', 'Gene3074', 'Gene729', 'Gene4264', 'Gene4353', 'Gene8735', 'Gene8252', 'Gene551', 'Gene1579', 'Gene4326', 'Gene7146', 'Gene3292', 'Gene5222', 'Gene5983', 'Gene6823', 'Gene3702', 'Gene8993', 'Gene154', 'Gene241', 'Gene4885', 'Gene32', 'Gene7589', 'Gene9541', 'Gene9133', 'Gene2558', 'Gene2261', 'Gene7421', 'Gene4013', 'Gene1951', 'Gene9071', 'Gene7549', 'Gene6615', 'Gene9106', 'Gene6887', 'Gene8336', 'Gene888', 'Gene4127', 'Gene3406', 'Gene4294', 'Gene5982', 'Gene5827', 'Gene7674', 'Gene6747', 'Gene8468', 'Gene2453', 'Gene8301', 'Gene5055', 'Gene1130', 'Gene9425', 'Gene1067', 'Gene3134', 'Gene8606', 'Gene7956', 'Gene6571', 'Gene3239', 'Gene8643', 'Gene83', 'Gene3643', 'Gene8541', 'Gene3191', 'Gene6214', 'Gene2031', 'Gene4987', 'Gene4703', 'Gene1341', 'Gene3673', 'Gene9688', 'Gene3078', 'Gene8520', 'Gene6465', 'Gene8405', 'Gene4003', 'Gene1824', 'Gene1249', 'Gene7479', 'Gene6728', 'Gene4355', 'Gene1537', 'Gene5822', 'Gene3940', 'Gene5584', 'Gene1835', 'Gene5763', 'Gene4825', 'Gene480', 'Gene3353', 'Gene9761', 'Gene5755', 'Gene545', 'Gene2636', 'Gene1498', 'Gene9318', 'Gene6550', 'Gene1062', 'Gene4636', 'Gene8694', 'Gene6920', 'Gene1961', 'Gene3587', 'Gene2624', 'Gene6873', 'Gene9506', 'Gene6639', 'Gene4940', 'Gene2883', 'Gene3585', 'Gene4962', 'Gene5447', 'Gene2791', 'Gene1006', 'Gene5052', 'Gene4263', 'Gene7670', 'Gene453', 'Gene9231', 'Gene6142', 'Gene243', 'Gene3224', 'Gene7361', 'Gene629', 'Gene1402', 'Gene9092', 'Gene5173', 'Gene1256', 'Gene4399', 'Gene3985', 'Gene5313', 'Gene2666', 'Gene9099', 'Gene4748', 'Gene369', 'Gene5531', 'Gene5943', 'Gene9659', 'Gene6112', 'Gene8623', 'Gene5798', 'Gene259', 'Gene5202', 'Gene3126', 'Gene404', 'Gene5910', 'Gene3675', 'Gene1825', 'Gene2379', 'Gene6013', 'Gene8052', 'Gene3268', 'Gene3691', 'Gene6118', 'Gene9048', 'Gene323', 'Gene8906', 'Gene599', 'Gene4563', 'Gene8124', 'Gene5909', 'Gene5374', 'Gene224', 'Gene6205', 'Gene9682', 'Gene9883', 'Gene2200', 'Gene6379', 'Gene3535', 'Gene4460', 'Gene1041', 'Gene8591', 'Gene6513', 'Gene3640', 'Gene5342', 'Gene2909', 'Gene6959', 'Gene7060', 'Gene8522']"
4,166,"['Gene5524', 'Gene7791', 'Gene3364', 'Gene5837', 'Gene6634', 'Gene721', 'Gene6794', 'Gene8299', 'Gene1854', 'Gene6950', 'Gene7911', 'Gene7766', 'Gene3523', 'Gene984', 'Gene4176', 'Gene460', 'Gene565', 'Gene8399', 'Gene8360', 'Gene2735', 'Gene9354', 'Gene7520', 'Gene4229', 'Gene1320', 'Gene5934', 'Gene5596', 'Gene7499', 'Gene7947', 'Gene6726', 'Gene5597', 'Gene7767', 'Gene3486', 'Gene8094', 'Gene6384', 'Gene7976', 'Gene6623', 'Gene4515', 'Gene9203', 'Gene5156', 'Gene9006', 'Gene6071', 'Gene3889', 'Gene3274', 'Gene7453', 'Gene9125', 'Gene784', 'Gene4172', 'Gene7482', 'Gene9813', 'Gene5852', 'Gene6471', 'Gene2667', 'Gene5532', 'Gene7991', 'Gene4689', 'Gene9324', 'Gene6916', 'Gene2605', 'Gene8264', 'Gene358', 'Gene222', 'Gene9142', 'Gene5740', 'Gene4063', 'Gene9399', 'Gene8359', 'Gene4087', 'Gene3059', 'Gene4584', 'Gene238', 'Gene1646', 'Gene3613', 'Gene6388', 'Gene4390', 'Gene4658', 'Gene1505', 'Gene6897', 'Gene5319', 'Gene345', 'Gene993', 'Gene2671', 'Gene9255', 'Gene2169', 'Gene9725', 'Gene6106', 'Gene9140', 'Gene9773', 'Gene7391', 'Gene35', 'Gene1271', 'Gene8481', 'Gene3413', 'Gene8088', 'Gene9516', 'Gene6526', 'Gene9828', 'Gene2251', 'Gene3459', 'Gene2315', 'Gene5309', 'Gene8310', 'Gene1190', 'Gene5963', 'Gene9519', 'Gene7172', 'Gene4968', 'Gene5426', 'Gene2142', 'Gene4755', 'Gene8532', 'Gene9750', 'Gene560', 'Gene7249', 'Gene5639', 'Gene6378', 'Gene9550', 'Gene9374', 'Gene6481', 'Gene8332', 'Gene9196', 'Gene8717', 'Gene9837', 'Gene5878', 'Gene9046', 'Gene1084', 'Gene3795', 'Gene6702', 'Gene7602', 'Gene3253', 'Gene6049', 'Gene7239', 'Gene5487', 'Gene9638', 'Gene3351', 'Gene2989', 'Gene3806', 'Gene9280', 'Gene5552', 'Gene6314', 'Gene1513', 'Gene7414', 'Gene6738', 'Gene7944', 'Gene727', 'Gene9692', 'Gene6113', 'Gene8490', 'Gene8394', 'Gene8096', 'Gene1045', 'Gene5778', 'Gene2397', 'Gene7678', 'Gene6033', 'Gene9584', 'Gene8544', 'Gene2498', 'Gene589', 'Gene3143', 'Gene1131', 'Gene7193', 'Gene425', 'Gene3686', 'Gene6275', 'Gene8186', 'Gene3111']"
5,63,"['Gene6463', 'Gene5583', 'Gene6156', 'Gene8899', 'Gene3332', 'Gene4115', 'Gene7730', 'Gene8770', 'Gene249', 'Gene2831', 'Gene9288', 'Gene7781', 'Gene6520', 'Gene6657', 'Gene9410', 'Gene5076', 'Gene2695', 'Gene750', 'Gene5747', 'Gene4632', 'Gene2649', 'Gene9965', 'Gene4282', 'Gene720', 'Gene8999', 'Gene6628', 'Gene529', 'Gene2664', 'Gene3540', 'Gene5492', 'Gene4742', 'Gene9440', 'Gene5607', 'Gene7022', 'Gene4337', 'Gene2891', 'Gene7941', 'Gene1298', 'Gene6820', 'Gene9809', 'Gene5636', 'Gene4558', 'Gene7108', 'Gene949', 'Gene570', 'Gene5476', 'Gene7301', 'Gene860', 'Gene6845', 'Gene5070', 'Gene6166', 'Gene4173', 'Gene4914', 'Gene4873', 'Gene7463', 'Gene1323', 'Gene3032', 'Gene2391', 'Gene2771', 'Gene7940', 'Gene6849', 'Gene3850', 'Gene296']"
6,179,"['Gene8136', 'Gene4145', 'Gene140', 'Gene5100', 'Gene4082', 'Gene4286', 'Gene9433', 'Gene8964', 'Gene7085', 'Gene5291', 'Gene7469', 'Gene72', 'Gene9707', 'Gene3882', 'Gene3444', 'Gene7187', 'Gene7026', 'Gene3715', 'Gene219', 'Gene7603', 'Gene4069', 'Gene5440', 'Gene6858', 'Gene3095', 'Gene8017', 'Gene9633', 'Gene6889', 'Gene8648', 'Gene2438', 'Gene8134', 'Gene2669', 'Gene7285', 'Gene3295', 'Gene6420', 'Gene906', 'Gene37', 'Gene5351', 'Gene8795', 'Gene6004', 'Gene4514', 'Gene2028', 'Gene2809', 'Gene2685', 'Gene229', 'Gene3821', 'Gene69', 'Gene985', 'Gene7604', 'Gene7569', 'Gene75', 'Gene6958', 'Gene3974', 'Gene4064', 'Gene4441', 'Gene748', 'Gene9985', 'Gene2421', 'Gene4262', 'Gene8608', 'Gene7617', 'Gene1871', 'Gene8978', 'Gene5960', 'Gene1964', 'Gene9343', 'Gene8087', 'Gene994', 'Gene5400', 'Gene3625', 'Gene1618', 'Gene44', 'Gene2050', 'Gene2328', 'Gene2253', 'Gene6189', 'Gene4412', 'Gene9960', 'Gene8893', 'Gene3930', 'Gene4259', 'Gene2029', 'Gene4729', 'Gene5790', 'Gene2311', 'Gene1193', 'Gene6315', 'Gene7638', 'Gene9469', 'Gene4845', 'Gene3340', 'Gene2047', 'Gene4752', 'Gene6359', 'Gene2486', 'Gene7823', 'Gene8061', 'Gene1257', 'Gene5975', 'Gene2458', 'Gene21', 'Gene1218', 'Gene836', 'Gene872', 'Gene7637', 'Gene7038', 'Gene6135', 'Gene5614', 'Gene4330', 'Gene2430', 'Gene2451', 'Gene5359', 'Gene339', 'Gene1455', 'Gene4811', 'Gene9225', 'Gene5998', 'Gene9988', 'Gene5604', 'Gene3228', 'Gene9877', 'Gene7731', 'Gene2084', 'Gene2683', 'Gene274', 'Gene1553', 'Gene8755', 'Gene8834', 'Gene9120', 'Gene5627', 'Gene4094', 'Gene722', 'Gene7061', 'Gene6967', 'Gene2499', 'Gene48', 'Gene8882', 'Gene7212', 'Gene4361', 'Gene3001', 'Gene4861', 'Gene3331', 'Gene5063', 'Gene6016', 'Gene2327', 'Gene9186', 'Gene8157', 'Gene8408', 'Gene4030', 'Gene6405', 'Gene1241', 'Gene5779', 'Gene2008', 'Gene6301', 'Gene3214', 'Gene1390', 'Gene6477', 'Gene6221', 'Gene9958', 'Gene9152', 'Gene8843', 'Gene4860', 'Gene7968', 'Gene7171', 'Gene6972', 'Gene3693', 'Gene1476', 'Gene1388', 'Gene5147', 'Gene2225', 'Gene9479', 'Gene5464', 'Gene5126', 'Gene1399', 'Gene9391', 'Gene8697', 'Gene7466', 'Gene4392', 'Gene7644', 'Gene5138']"
7,25,"['Gene4472', 'Gene5029', 'Gene6496', 'Gene6278', 'Gene8752', 'Gene9627', 'Gene6764', 'Gene3743', 'Gene7803', 'Gene4577', 'Gene7522', 'Gene971', 'Gene874', 'Gene4686', 'Gene7422', 'Gene9931', 'Gene7053', 'Gene6704', 'Gene6884', 'Gene7087', 'Gene1246', 'Gene3321', 'Gene8300', 'Gene6945', 'Gene3367']"
8,23,"['Gene3065', 'Gene8245', 'Gene1477', 'Gene1359', 'Gene196', 'Gene1434', 'Gene1296', 'Gene1496', 'Gene1648', 'Gene3226', 'Gene3765', 'Gene7970', 'Gene3789', 'Gene4653', 'Gene429', 'Gene8976', 'Gene6534', 'Gene559', 'Gene5174', 'Gene3677', 'Gene1272', 'Gene3217', 'Gene2756']"
9,19,"['Gene1707', 'Gene1694', 'Gene3131', 'Gene699', 'Gene7283', 'Gene584', 'Gene2513', 'Gene1082', 'Gene4137', 'Gene3207', 'Gene1132', 'Gene9370', 'Gene1774', 'Gene97', 'Gene278', 'Gene3054', 'Gene3255', 'Gene6521', 'Gene3319']"
10,38,"['Gene7871', 'Gene1429', 'Gene741', 'Gene7898', 'Gene5088', 'Gene3877', 'Gene6501', 'Gene7244', 'Gene1100', 'Gene374', 'Gene2764', 'Gene1473', 'Gene54', 'Gene2721', 'Gene9485', 'Gene1856', 'Gene5880', 'Gene1602', 'Gene1742', 'Gene2288', 'Gene7936', 'Gene7356', 'Gene5624', 'Gene1443', 'Gene2313', 'Gene454', 'Gene9576', 'Gene2762', 'Gene2291', 'Gene1813', 'Gene6997', 'Gene6787', 'Gene2148', 'Gene5406', 'Gene9003', 'Gene3116', 'Gene7373', 'Gene482']"
