,#genes,genes
1,110,"['Nrgn', 'Ppp3ca', 'Olfm1', 'Camk2n1', 'Camk2a', 'Enc1', 'Cck', 'Mef2c', 'Adcy1', 'Chn1', 'Prkcb', 'Atp1a1', 'Slc17a7', 'Sv2b', 'Atp2b1', 'Gpm6a', 'Tmsb4x', 'Syt1', 'Dkk3', 'Arf3', 'Baiap2', 'Scn1b', 'Calm1', 'Ptk2b', 'Kalrn', 'Egr1', 'Lingo1', 'Itpr1', 'Fam131a', 'Dgkz', 'Ddn', 'Zfp365', 'Homer1', 'Neurod6', 'Psd', 'Rbfox1', 'Nptx1', 'Calm2', 'Ndrg3', 'Rasgrp1', 'Ppp3r1', 'Khdrbs3', 'Sptbn2', 'Zbtb18', 'Actb', 'Atp2b2', 'Lamp5', 'R3hdm1', 'Cnksr2', 'Wasf1', 'Brinp1', 'Hpca', '3110035E14Rik', 'Ier5', 'Nrn1', 'Itpka', 'Lmo4', 'Clstn1', 'Basp1', 'Gria2', 'Tbr1', 'Snap25', 'Dlgap3', 'Sirpa', 'Dlgap1', 'Ngef', 'Dnm1', 'Mpped1', 'Foxg1', 'Cplx2', 'Grin2a', 'Cx3cl1', 'Ncald', 'Chgb', 'Tmem178', 'Tspan5', 'Mical2', 'Thy1', 'Prkca', 'Kctd1', 'Cabp1', 'Satb2', 'Ywhah', 'Ctsd', 'Hivep2', 'Epha4', '1110008P14Rik', 'Mmp17', 'Nr4a1', 'Ipcef1', 'Camk4', 'Dclk1', 'Adgrb2', 'Pgm2l1', 'Phf24', 'Tuba4a', 'Plk2', 'Ephx4', 'Npdc1', 'Napa', 'Gm11549', 'Prkce', 'Efhd2', 'Cyfip2', 'Nlk', 'Ttc9b', 'Plcb1', 'Tcf4', 'Rnf112', 'Ndrg4']"
2,65,"['Slc6a11', 'Nap1l5', 'Tcf7l2', 'Slc17a6', 'Sparc', 'Scd2', 'mt-Tm', 'Ndrg2', 'Gatm', 'Mbp', 'Agt', 'mt-Tv', 'Resp18', 'Peg3', 'Aldoc', 'Qk', 'mt-Tf', 'Sparcl1', 'mt-Tl1', 'Qdpr', 'Impact', 'Abat', 'Plp1', 'Mobp', 'Cxx1a', 'Atp1a2', 'Nova1', 'S100b', 'Plekhb1', 'Selenop', 'Aldh1a1', 'Gprasp2', 'Vamp1', 'mt-Tl2', 'Scd1', 'Atp1b2', 'Unc13c', 'Bcas1', 'Rbms3', 'Tmem229a', 'Rit2', 'Supt7l', 'Gng11', 'Slc4a4', 'Glul', 'Paqr8', 'Serpine2', 'Usp29', 'mt-Te', 'Calb2', 'Gpr37', 'Camk2n2', 'Fgf1', 'Acsbg1', 'Etnppl', 'Zfhx3', 'Gprc5b', 'mt-Tp', 'Wnk1', 'Pla2g7', 'mt-Ta', 'Tmcc3', 'Cxx1b', 'Glud1', 'Kif5b']"
3,34,"['Nptxr', 'Gda', 'Hpcal4', 'Nov', 'Arpp21', 'Mapk1', 'Gm10076', 'Pld3', 'Nsg2', 'Icam5', 'Crym', 'Stum', 'Snca', 'Rtn1', 'Cst3', 'Slc1a3', 'Atp2b4', 'Syn2', 'Tuba1a', 'Ly6h', 'Itm2c', 'Sorbs2', 'Gm23134', 'Sst', 'Bhlhe22', 'Negr1', 'Ak5', 'Acvr2a', 'Gng13', 'Rfx3', 'Syt17', 'Hspa2', 'Plxnc1', 'Nwd2']"
4,65,"['Fth1', 'Aplp1', 'Cldn11', 'Ermn', 'Trf', 'Mal', 'Il33', 'Gm13339', 'Kif1b', 'Shox2', 'Pacs2', 'Kif1a', 'Myrf', 'Amotl1', 'Prkcd', 'Pcp4', 'Zbtb20', 'mt-Tn', 'Pip4k2a', 'Gm29216', 'Gm24601', 'Zic1', 'Myo6', 'Mt2', 'Gstm1', 'Fbn1', 'Ntng1', 'Fnbp1', 'Gpr37l1', 'Plekhg1', 'Hepacam', 'Tmem88b', 'Cpox', 'n-R5-8s1', 'Ttyh2', 'Zfp385a', 'Rab37', 'Arhgef10', 'Sez6l2', '1500009C09Rik', 'Fa2h', 'Gjc2', 'Fto', 'Psat1', 'Anxa5', 'Litaf', 'Mast4', 'Lef1', 'Rgs8', 'Abhd4', 'B3galt5', 'Gm6977', 'Cox5a', 'Rassf2', 'Picalm', 'Gm7669', 'Sox10', 'Tmbim1', 'Ppp1r14a', 'Gab1', 'Tecr', 'Patj', 'Padi2', 'Elmo1', 'Gbx2']"
5,24,"['Cplx1', 'Nefh', 'Tubb4a', 'Car2', 'Cnp', 'mt-Tw', 'Kcnj10', 'mt-Ti', 'Hcn2', 'Cryab', 'Sept4', 'Mog', 'Fndc5', 'Csrp1', 'Slc6a9', '9330162G02Rik', 'Chchd10', 'Mag', 'Nacc2', 'Rnf13', 'Anln', 'Edil3', 'Dynll2', 'Rora']"
6,24,"['Ctxn1', 'Celf5', 'Fbxl16', 'Tspan7', 'Kcnf1', 'Chst1', 'Gpr88', 'Stx1a', 'Arpp19', 'Fam81a', '2010300C02Rik', 'Mmd', 'Epop', 'Mtpn', 'Ano3', 'Dusp14', 'Grasp', 'Slc39a10', 'Kcnj4', 'Mkl2', 'Coro1a', 'Ldha', 'Synpo', 'Ppp3cb']"
7,67,"['Scg2', 'Zcchc12', 'Pitx2', '6330403K07Rik', 'Cartpt', 'Hap1', 'Ndn', 'Adcyap1', 'Itih3', 'Ap1s2', 'Ahi1', 'Wdr6', 'Gaa', 'Tmem255a', 'Igsf1', 'Gap43', 'Gm6272', 'Gpx3', 'Bex1', 'Foxb1', 'Zdbf2', 'Rmst', 'Grb10', 'Zfp423', 'Dlk1', 'Ret', 'Pcdh17', 'Ptprz1', 'Araf', 'Klhl1', 'Baiap3', 'Gprasp1', 'Gm7079', 'Vat1l', 'Zfas1', 'AF529169', 'Rpl26', 'Sncg', 'Vat1', 'Lhx1os', 'AW551984', 'Nkx2-1', 'RP24-381P6.1', 'Slit2', 'Rpl22l1', 'Tmem130', 'Sos1', 'Tceal9', 'Tac1', 'Ddc', 'Ralyl', 'Rcn2', 'Zim1', 'Ngb', 'Dgkk', 'Peg10', 'Pak3', 'Pcbd1', 'Gm45529', 'Pafah1b3', 'Arxes2', 'Gas5', 'Rps10', 'Sall3', 'Gpr101', 'Gm5868', 'Tmem47']"
8,61,"['Gm23624', 'Gm24447', 'Gm26035', 'mt-Rnr1', 'mt-Rnr2', 'Gm25106', 'Gm26461', 'Gm24146', 'Gm23345', 'Rn7s1', 'Gm23973', 'Elavl2', 'Rnu5g', 'Gm23445', 'Rpl14-ps1', 'Gm25939', 'Rnu2-10', 'Rpl6', 'Galnt13', 'Rn7sk', 'Gm20594', 'mt-Nd4l', 'Rn7s2', 'Dgkb', 'Naca', 'Chd3os', 'Gm26331', 'Gm23971', 'Gm26316', 'Elavl4', 'Gm25937', 'Nap1l3', 'Gm23287', 'Rpl23a', 'Rpl14', 'Gm28438', 'Gm25288', 'Gm24105', 'Gm25844', 'Gm5869', 'Rpl8', 'Gm24514', 'Kcnip1', 'Hcn1', 'Gm23444', 'March1', 'Gm6767', 'Rn7s6', 'Trove2', 'Rny3', 'Gm23238', 'Rps3a1', 'Nrsn1', 'Bcas2', 'Slc35e2', 'mt-Nd3', 'Gm27529', 'Slc6a20b', 'Gm22614', 'Gm25581', 'Gm4835']"
9,17,"['Mal2', 'mt-Nd6', 'Phactr1', 'Gabrb3', 'Gm26723', 'Junb', 'Grin1os', 'Celf2', 'Ap1s1', 'Bcl11a', 'Fam212b', 'Pgbd5', 'Golga7b', 'Frrs1l', 'Adgrl1', 'Fbxw7', 'Actr2']"
10,22,"['Ywhaz', 'Fkbp1a', 'Ptprs', 'Cnih2', 'Phyhip', 'R3hdm4', 'Nell2', 'Camkv', 'Agap2', 'Chst2', 'Gas7', 'Mast3', 'Rprml', 'Prkcg', 'Rab6b', 'Grin2b', 'Epn1', 'Gls', 'Ube2ql1', 'Capza2', 'Sprn', 'Rapgef4']"
