genes_number,genes_names
428,Sparc Slc17a6 mt-Tm Slc6a11 Scd2 Apoe mt-Cytb Tcf7l2 mt-Nd4 Ndrg2 Sparcl1 Cpe Gm13339 Gm29216 Aplp1 mt-Tv Agt Clu Mbp mt-Tl1 Rps15 Mt1 Atp1a2 Gm28437 Gm10925 Aldoc Pcsk1n Mobp mt-Tl2 Gm13340 mt-Co3 mt-Ta Plekhb1 Gm11410 mt-Tn Adarb1 Cd81 mt-Te Atp1b2 Tmsb10 mt-Tf Abat Fth1 Qk Pdp1 Nrsn2 Sptbn1 Selenop Zic1 Prkcd Gm10736 mt-Ti mt-Co1 Plp1 mt-Th Ptpn4 Malat1 Stmn1 Hsp90aa1 Qdpr Rora Rims3 mt-Atp6 Uba52 mt-Tc Chchd2 Ubb Kif1a Kcnj10 Cox6c Serpine2 Cplx1 Pcp4 Camk2n2 Stxbp1 Ntng1 Cxx1a Ywhaz Rtn1 Plcb4 Cldn11 Amotl1 Calb1 Gm15427 Meg3 Atp5a1 Thra Tubb4a Trf Snap25 Shox2 Apod Scd1 Ndufa3 Kif5a Ccdc136 Mt2 Edil3 Usmg5 Dbi Ubc Gng3 mt-Tq Cit Glul Kif1b Ramp3 Eef2 Rab6b Dynll2 Cox8a Ttc3 S100b Sncb Atp2a2 Ywhae Spock2 Mif Cryab Nsmf Rab3c Tubb2a Sod1 Fam213a Map2 Saraf Vsnl1 Atp5k Mt3 Hspa8 Hlf Bex2 Pkm Itih3 Gm14539 Bcas1 Psap Aldh1a1 Lef1 Synpo2 Stmn3 Slc4a4 Cox7c Oaz1 Grm1 mt-Tw Actg1 Nrsn1 Gabra4 Chchd10 Spock1 Cox4i1 mt-Tp Elmo1 Tnnt1 Aldoa 2010107E04Rik Rtn3 Gstm1 Rgs16 Ndrg4 Cnp Ywhag Cxx1b Rnd2 Sez6 Uqcr10 Acsl3 Scg5 Car2 Prdx1 Atp5j2 Mal Gnai2 Prkar1b Osbpl1a Dnm1 Diras2 Klc1 Itm2b Ldhb Ptpn3 Spock3 Rpl31-ps12 Glud1 Ckb Atp5e Snhg11 Eef1a2 Atxn10 Lrrc17 Vav3 Atp6ap2 Rap1gds1 Calb2 Snrpn Tcf25 Serinc1 Atp5d AI593442 Astn1 Gm8355 Ttll7 Cfl1 Ndufa2 Hspa12a Gng13 Map1a Cacnb4 Gatm Timp3 Hspa4l Nefh Acsbg1 Arxes2 Atp2b2 Minos1 mt-Ts2 Bsg Atp5g3 Gabbr2 Syngr1 Supt7l Calm3 Cox7b Rps15-ps2 Gm6061 Ncdn Slc25a3 Rpl28 Slc12a5 Actb Gnal Vamp1 Patj Cops9 Gm11512 Zfhx3 Hsbp1 Tubb2b Tmcc2 Cox6a1 Zbtb20 Chmp4b Atp5b Sept4 Rnf11 Gabbr1 Oxr1 Paqr8 Efnb3 Pgk1 Rasgrp1 Camk2g Chga Cox7a2 Ndufa4 Sez6l2 Ndufb11 Cox5b Bok Rcan2 mt-Tt Gabrd Foxp2 Fam20c Mff Degs1 Olig1 Gm11808 Eno1 Cox6b1 Kitl Nefl Ndufb2 Gnb1 Ank2 Prdx6 Ttn mt-Tr Kcnc1 Pcsk2 Mdh1 Nacc2 Snap91 Uqcrq Ahcyl1 Rnf187 Gng11 Ndufv3 Plekhg1 Timm8b 1700020I14Rik Evl Laptm4a C1qtnf4 Ndufb9 Csrp1 Ywhah Ndufb8 Atp6v1b2 Plekhb2 Ptch1 Phyhipl Ppp1r9b Peg10 Slc24a2 Srrm2 Fam107a Shank3 Syn1 Tubb4b Enah Ckmt1 Btbd3 Fgfr3 Macf1 Sh3gl2 Snap47 Syngr3 Pafah1b1 Ppp2ca Morf4l2 Pfn2 Clip3 Gpi1 Etnppl Ptgds Gprc5b Pebp1 Dynlrb1 Clstn1 Vamp2 Cds2 Faim2 Enho Gm1821 Gabra1 Gm10169 Tuba4a Thy1 Gabarap Luzp2 Hk1 Scg3 Nme1 Gabarapl2 Ntsr2 Rpl28-ps1 Tspan2 G3bp2 Uba1 Nefm Dlgap3 Kcnip4 Pja2 Slc25a5 Mag Stx1b Nrxn1 Aplp2 Cdk5r1 Trnp1 Rab37 Atp1b1 Rhob Zmat4 Mboat7 Myo5a Cltc Rac1 Rgs4 Tpi1 Nrip3 Pfkp Cox5a Snx10 Gm7866 Epb41l3 Uhmk1 Gm11273 Hist1h2bc Myl6 Reep5 Crip2 Igsf1 Xylt2 Pkp4 Tecr Mgll Kndc1 Fut9 Tsc22d1 Fads1 Stum Nisch Ramp1 Usp22 Cyp46a1 Sub1 Ociad1 Ghitm Slc6a17 Bola2 Kif5b Tubb3 Eif4h Cdk5r2 Cntn1 Ndufa12 Gpr37l1 Acot7 Scn1b Sfxn5 Chmp5 Uqcc2 Rps12-ps24 Sccpdh Wdfy3 Ap2m1 Mapk10 Ddah1 Elob Gjb6 Phlda3 Syt13 Gde1 Pitpnc1
439,Nap1l5 Rps8 mt-Atp8 Zcchc12 6330403K07Rik Nnat Gap43 Gm11353 Peg3 Resp18 Rplp1 Rps21 Ahi1 Rpl38 Gprasp2 Scg2 mt-Rnr2 Gm37108 mt-Nd3 Pgrmc1 mt-Rnr1 Rpl41 mt-Nd1 Gm28661 mt-Nd5 Tuba1a mt-Nd2 Rps19 Rpl37 Rpl38-ps2 Ndn Prkacb Rpl37a Rpl35 Dzank1 Rps12 Zwint Rps24 Rpl6 Rps23 Gm28438 Cst3 Rpl26 Slc1a3 Rpl32 mt-Nd6 Fau Rpl17 Marcks Rpl11 Gm14303 Rpl14 Gaa Rpl35a Rpl22l1 Rps28 Hap1 Impact Gnas Gm11478 Rps27a Eef1a1 Rps20 Wdr6 Ids Rps16 Celf4 Gm10073 Gprasp1 Rpl9 Gm6272 Rps27 Rpl13 Rps29 Rpl12 Gm10076 Rpl23 Rpl39-ps Gas5 Rps9 B630019K06Rik Gm9843 Rpl27a Ndfip1 Dner Tuba1b Rpl31 Ntrk2 Tmem130 mt-Co2 Gm13341 Dlk1 Rpl23a Prkar1a Tspyl4 Rpsa Hpcal1 Gm19366 Rplp2 Nr2f2 Rps11 Rpl4 Ctnnb1 Rpl30 Ttyh1 mt-Nd4l Rps3a1 Rpl37rt Rps14 Rpl14-ps1 Cbln4 Rpsa-ps2 Rpl19 Canx Tmem255a Stmn2 Gm5687 Rps24-ps3 Sv2a Gm15772 Gm10126 App Basp1 Rpl3 Maged1 Rps15a Gm15421 Rps26 Rps10 Rps17 Rps7 Rit2 Rpl10 Gm11942 Tceal9 Rps3 Camk2d Ly6h Timp2 Rps8-ps1 Zcchc18 Rps5 Rps16-ps2 Chd3os Cbln2 Uchl1 Tspan3 Araf Slc6a1 Gm3362 Rpl34 Pea15a Gm3511 Gm2000 Gm8292 Syt11 Hint1 Syt4 Rpl8 Rps18 Tmem30a Rpl38-ps1 Gm15843 Gm12918 Rpl36a Gm10136 Gm5905 Wdr89 Rpl36 Pnmal2 Eid1 Rps25 RP23-149L23.1 Gm8172 Rps25-ps1 Bend6 Rpl39 Gm29257 Rps3a3 Tmx4 Pnck Lhfpl3 Elavl2 Rps13 Nsg2 Gm9385 Ywhab Gm10269 Gm20594 Tmem47 Hnrnpa0 Gm6745 Gm7206 Marcksl1 RP23-70B19.5 Ptprz1 Dgkk Tpt1 Ywhaq 2310022B05Rik Cadm1 Pfdn5 Gm8451 Fxyd6 Rps19-ps6 Gpx3 RP24-91J7.1 Negr1 Map1b Gm11361 Bex3 Rpl6l AW551984 Gm4149 Disp2 Rps4x Gm10275 Eef1g Cox7a2l Lamp1 Tubb5 Slc25a4 Lypd1 Bex1 Matr3 Gm6969 Dnm3 Gm24951 Hnrnpa2b1 Rasgrf2 Hsp90b1 Gm24447 Gm11407 Tusc3 Necab1 Plpp3 Baiap3 Gm15501 Rpl3-ps1 Tmem256 Gm10180 Gm10443 Scoc Gm1673 Eif4a2 Fhl1 Gm9794 Cbln1 Gm12254 Nxph1 Rpl13-ps3 Slc22a17 Elavl4 Pld3 Rps6-ps1 Cga Gm4705 Cbarp Gm7363 Gm13623 Gm20900 Itm2c Rpl18 Gm23624 Sash1 Gm7027 Cd200 Rps23-ps1 Fndc3a Hmgcs1 Gdi1 Rps19-ps2 Hspa5 Gad2 Rpl34-ps1 Rps2 A730017C20Rik Gm14586 Dpysl2 Rps23-ps2 Prmt2 Unc5d Gm5093 Pink1 Ncam1 Sdha Gm13215 Tac1 Gm20721 Gm26035 Gm17511 Rpl36a-ps3 Gm4332 Rcn2 Irs4 Rps10-ps1 Ran Mrfap1 Lonrf2 Ubqln2 Uqcrh Hs6st2 Cacybp Selenot Sqstm1 Gabrg1 Rps8-ps4 Gm3756 Gm10154 Lsamp RP24-142I9.2 Mapt Pfdn4 Ctxn3 Vat1l Grb10 Gm13408 Gm4613 Rpn2 Pja1 Gm13268 Rab2a Dpp10 Pcbp2 Lypd6 Ptprf Pcdh10 Aes Nova1 Prdx2 Rpl13a Ctsb Plxnc1 Rpsa-ps9 Gm7079 Gm15464 Eif4g2 Ndufa1 Rps26-ps1 Pcbd1 Alcam Rpsa-ps12 Polr2m Gm5822 Gm5075 Eef1b2 Rpl9-ps7 Atp6v1f Gm14414 Gm7380 Hnrnpk Gm6394 Ndufc1 Necab2 Gm10036 Atp6v1a Dnaja1 Plcxd2 Rps3a2 Rgs17 Arl6ip1 Scn2a Rpl36a-ps2 Nedd4 Nrxn2 Ndufa6 Rpl31-ps16 Paip2 2900011O08Rik Gm26461 Vstm2a Gm15198 Pcdh8 Arhgap6 Ddx5 Nmnat2 Ndufv2 Tbca RP23-269H21.1 Sdc3 Gm5963 Dcaf12l1 Rpl3-ps2 Dtx1 Atp5f1 Gm7589 Nenf Rnu5g Gm9396 Gm12466 Rn7s1 Rps10-ps2 Nap1l1 Tmie RP23-13B8.12 Cartpt Gm5453 Srp14 Rpl17-ps5 Usp9x Rpl18a Pak3 Serinc3 Fkbp3 Gnao1 Zfas1 Ngb Gm10263 Ddx6 Gm13532 Grin3a Ndufab1 Hsph1 Rpl7 Gpr50 Ccni Npm1 Tulp4 Map7d2 Parpbp Rpsa-ps4 Rack1 Htr2c Pfdn2 Rpl21-ps8 Vat1 Trhr Nsg1 Rps27rt Gm36964 Magee1 Psme1 Rpl31-ps10 Cnbp Blcap Rpl15 Gm14150 Serbp1 Gm6472
133,Camk2n1 Camk2a Slc1a2 Mef2c Gda Nrgn Psd Hpcal4 Arf3 Olfm1 Nptxr Prkcb Cck Ddn Slc17a7 1110008P14Rik Enc1 3110035E14Rik Kalrn Adcy1 Atp1a1 Gpm6b Zfp365 Atp2b4 Homer1 Satb2 Tspan7 Gpm6a Sv2b Dkk3 Pde1a Arpp21 Calm1 Nov Rapgef4 Syt1 Fam81a Tcf4 Ctxn1 Lamp5 Egr1 Psd3 Arpp19 Dgkz Ppp3ca Itpr1 Dclk1 Chn1 Ncald Lmo4 Fbxl16 Sptbn2 Pgm2l1 Icam5 Ptn Selenow Cnih2 Tbr1 Nptx1 Serpini1 Lingo1 Neurl1a Ptk2b Khdrbs3 Stx1a Wasf1 Syn2 Baiap2 Mpped1 Dlgap1 Efhd2 Gabrb3 Plcb1 Fkbp1a Kcnf1 Mapk1 Rasgef1a Plppr4 Foxg1 Ier5 Sorbs2 Ttc9b Tmsb4x Bhlhe22 Synpr Nrn1 Neurod6 Kcnv1 Mal2 Snca Sowaha Cabp7 Sipa1l1 Actr3 Fbxw7 Ppp3r1 Gria2 Hopx 2010300C02Rik Calm2 R3hdm1 Anks1b Mmp17 Erc2 Lmo3 Mkl2 Cyfip2 Chgb Trim2 Jph4 Zbtb18 Crym Ngef Gucy1b3 Gria3 Cbx6 Camkk2 Caln1 Purb Camta2 Slc39a10 Map2k1 Ano3 Mast3 Satb1 Ccl27a Hcn1 Ppp2r2c Fxyd7 Cplx2 Celf2 Fam163b Slc30a3
