"cluster","#genes","genes"
"1","192","Msx1, Otx2, Calml4, Kl, Fam212a, Cul4b, Gm26917, Lars2, Mir6240, Slc4a2, Mir6236, Folr1, Foxj1, Tmem72, Clic6, Gm5869, Prlr, Gm45212, Sostdc1, Stk39, Col8a2, Trpm3, Igf2, Igfbp2, Lbp, Cab39l, Kcne2, 1500015O10Rik, Lbx1, Cox8b, Rbp1, Fbn1, Rbm47, Rn18s-rs5, Ppp1r1b, Gm42418, Gm24245, Prr32, Mon2, Vamp8, Col9a3, Pcp4l1, Gm24270, BC001981, Enpp2, Cdkn1c, Fam46c, Gm15564, Col8a1, Wdr86, Hba-a2, Tpt1, Hemk1, Ifi27, Rsph1, Ezr, Hbb-bt, Fam84b, Mdfic, Fxyd1, Rimbp3, Cox6b2, Sowahc, Slc16a9, Sept10, Mns1, Tead1, Dab2, Hbb-bs, Tbc1d9, Myo1e, Hba-a1, Ace, Cd63, AA474408, Kcnj13, Rdh5, Slc13a4, Bsg, Nxn, Gm9800, Trpv4, Gpx8, Cldn2, F5, Tc2n, Prelp, Sema3b, Baiap2l1, Pcolce2, Prps2, Sfrp1, Spint2, Car12, Msi2, Wfdc2, Pwwp2a, Slc37a2, Gm45396, Cachd1, Efemp2, Vat1l, Vcam1, Sulf1, Ahcyl2, Sgk3, 1700007K13Rik, Car14, Tpt1-ps3, Ybx1, Nme5, Gm25911, Slc16a12, Slco1c1, Dynlrb2, Dbi, Abhd2, Ttr, Plac9a, Spef2, Nop9, Sh3d19, Ctnna1, Ucp2, Serpinb1b, Snora28, A2m, Ltc4s, Hist1h1c, Acaa2, Nqo1, Mitf, Cd9, Meig1, Sh3bgrl, Pltp, Sox9, Pcolce, Gulp1, Vwa3a, 1110017D15Rik, Pla2g5, Tgtp1, Lamp2, Dnali1, Steap1, Aqp1, Emb, Fam161a, Slc31a1, Tmem107, Cnn3, Tns1, Ammecr1, Slc4a5, Trappc6a, Cdr2, 1700088E04Rik, Cndp1, Slc38a3, Prcd, Krt18, Abca4, Ctnnal1, Fbln7, Tbcel, Ap1s2, Tcn2, Ccdc153, Wdr72, Tgfb2, Ctsc, Ccdc113, Defb11, Tspo, Nek5, Six3, Gabpa, Strip2, Spag16, Cald1, Krcc1, Arl6ip1, Drc7, Ggh, H2-Ab1, Acss3, Spag6l, Phactr2, Slc2a12, Ftl1, Dnah9"
"2","143","Mbp, Mobp, Qdpr, Cnp, Fth1, Trf, Plekhb1, Mal, Mag, Cldn11, Plp1, Apod, Ppp1r14a, Ndrg1, Cryab, Scd2, Mog, Pllp, Ermn, Gatm, Tmem88b, Bcas1, Sept4, Tspan2, Ttyh2, Ugt8a, Olig1, Qk, Csrp1, Gpr37, Car2, Selenop, Il33, Opalin, Fa2h, Erbin, Litaf, Lpar1, Gjc2, Phldb1, Slc44a1, Gjc3, Cers2, Prr18, Tubb4a, Tmem63a, Sox10, Desi1, Nkx6-2, Plekhh1, Gltp, Tmbim1, Gjb1, Carhsp1, Aspa, S100a16, Slc12a2, Myrf, Sirt2, Fnbp1, Sox2ot, Cntn2, Itgb4, Rhog, D7Ertd443e, Fth-ps2, Josd2, Pacs2, Psat1, 5031439G07Rik, Adamts4, mt-Tm, Serpinb1a, Fgfr2, Dock10, Enpp6, Kif5b, Gstp-ps, Pkp4, Neat1, Dbndd2, Rassf2, Evi2a, S100b, Plod1, Adi1, Tmcc3, Arrdc3, Pdlim2, Rnf13, Frmd8, Slc6a9, Fth-ps3, Gng11, Elovl1, Otud7b, Lrrc17, Bin1, Lgi3, Gna12, Sez6, Zcchc24, Ndrg2, S1pr5, Abca2, Kcnj10, Cpm, Slain1, Hipk2, Gamt, Tprn, Padi2, Apoe, Gprc5b, Pip4k2a, Efhd1, Jam3, Supt7l, Pla2g16, Grb14, Nacc2, Trim59, Prr5l, Ankub1, Arhgef10, Lamp1, Ccp110, Slc48a1, Galnt6, Cpox, Kif3a, Wnk1, 2810468N07Rik, Plxnb3, Tmem125, Nfasc, Rffl, Sez6l2, Efnb3, Ddr1, Zbtb20, Gm15440, Son"
"3","37","Ddx21, Gm24447, Comt, Rnu5g, Tlr3, Fggy, Rpl19-ps12, Gm12992, Zfp853, 1190005I06Rik, Rn7sk, Morc2a, Fbxl14, Krt77, Tmem14c, Igfbp6, Eif2b3, Gm6630, Cd2bp2, Gm26035, Zfp108, Rce1, Gm11989, Cox20-ps, Cox18, Ccni, Jmjd8, Asf1a, Gm6969, Sun1, Galm, Sema4f, Rnu2-10, Gm23624, Rdh11, Slc9a2, Col12a1"
"4","34","Ahi1, Gm7776, Homez, Sytl4, Magel2, Mme, A730017C20Rik, Ppcdc, Pitx2, Cys1, Tmem130, Pcdhb17, Rpl22l1, Gap43, Cartpt, Nsun7, Resp18, Nrsn2, Adcyap1, Paip2, Gm6450, Use1, Msl3l2, Gm4322, Spin2c, Nipal2, Itih3, Ndn, Bet1, Tmem255a, Gpx3, Slc1a6, Ormdl1, Gstm6"
"5","80","Ankrd28, A2ml1, Zbtb7a, Recql, Zfp180, Galk1, Gm15349, Cryz, Spred3, Nek1, 2900055J20Rik, AU022252, Syne3, Mcm3ap, Tradd, Gm6702, Coa4, Fras1, 9330179D12Rik, Metap1d, Pde2a, Trib2, Gm17799, 2810414N06Rik, Xkr8, Dhrs11, Usp13, Carf, 2810032G03Rik, Ankrd45, Tef, Fndc3b, Gm4853, Gm17066, Atp23, Emx1, Kif17, Wrap53, Dnajb2, Fxyd3, Tbl1x, Cyp4f13, Tmem201, Gnai3, Mta1, Poc1a, Gramd1b, Gm4879, Gm9294, Fam76b, Ano8, Cbx3, Rpl21-ps12, Gm16072, Ninj2, Zfp78, Zfp738, Fgf5, Slc27a2, Mmgt1, Pou3f3, Jmjd1c, Asb8, Dync1i2, Rnf122, Ptpn1, Gm5511, Prr14l, Dennd6b, Ocrl, Capzb, Llph, Nyap2, Dusp1, Gm38391, RP24-502M22.1, Ubox5, RP23-312A24.1, BC030867, Slk"
"6","159","Prkcb, Plk2, Cck, Wfs1, Fkbp1a, Atp2b1, Tmsb4x, Ppp3ca, Calm2, Klhl2, Snap25, Actb, Calm3, Nrgn, Chn1, Trim2, Psd, Enc1, Kalrn, Cnih2, Syn1, Sema3e, Ywhaz, Igfbp4, Calm1, Gria2, Ptk2b, Itpka, Nptxr, Slc39a10, Nptx1, Rtn1, Hpca, Grin2a, Neurod6, Nell2, Zbtb18, Arf3, Ppp3cb, 3110035E14Rik, Fam131a, Gpr161, Wasf1, Pcsk2, Homer1, Gm44745, Itpr1, Camta2, Serinc1, Rasgef1a, Foxg1, Gpm6a, Camk2n1, Snca, Cadm2, Fam49a, Wipf3, Dlgap1, Gria1, St6galnac5, Gm7745, Kcnj4, Malat1, Pou3f1, Pcdhb4, Sipa1l1, Fbxl16, Sv2b, Mkl2, Rit1, Ier5, Ppp3r1, Cpne6, Ptprj, Aldoa, Lurap1l, Nckap1, Fhl2, Map4k3, Dmtn, Prkce, Ttc9b, Dscaml1, Gm4819, Dusp6, Fibcd1, Skp1a, Nptn, Arpp21, Grem1, Baiap2, Kcnab1, Atp1a1, Egr1, Tmem158, Crls1, Cdk5r1, Sh3gl2, Dkk3, Arf1, Capza2, Reps2, Rasgrp1, Diras2, Thra, Fxyd7, Pfn2, Icam5, Man1a, Btbd9, Rab6a, Cacng3, Atp6v1g2, Lmo7, Mat2b, Pgm2l1, Mapk10, Sema3a, Actn1, Sptbn1, Frrs1l, Gm9114, Pja2, Camkk2, Zdhhc8, Gm26644, Oscp1, Kcnip2, Gm12609, Tpp2, Rprml, Prnp, Iqgap2, Kctd1, Arl15, Ncdn, Nr3c2, Kif1b, Car10, Smim3, Rpe65, Epha4, Arhgap32, Slc17a7, Slc12a5, Pclo, Sorl1, Grin1, Zfand5, Cpeb1os1, Pde1a, Spred2, Ppp1cb, Fam171a1, Iqsec2, Epha7, Rimbp2, Mink1, Fam171b"
"7","104","Mybl1, Casp7, Fastkd1, Erg, Cry1, Arid4a, Hr, Phka2, Gan, Gm20646, Kif18a, Dennd3, A430033K04Rik, Vsig2, Gm42447, Ephx4, Amt, Rhcg, Gm5205, Dach2, Ubtd2, Anapc15, Mrps30, Garem1, Tcf4, Klhl20, Ndufaf7, Fastkd5, Polr1b, Ica1, 8030445P17Rik, Kif26a, Rfng, Lrrc55, Poldip2, Gm45629, Ciart, Gm8048, Kmt2e, Shisa8, Arhgap27, Evc, Hook2, Kmt2b, Top3b, Map3k3, Gm13038, Insig2, Gm6443, Fut11, Gm16073, 1810010H24Rik, Tmem115, Ror2, Gm14308, Kdm4a, RP23-340G24.8, Rpl31-ps24, Mrvi1, Ppm1j, Metrnl, Akap17b, St8sia5, Impa2, Rpl27a-ps1, Gm2623, Tsg101-ps, Snrpb, Ptpn23, B230206I08Rik, Dctpp1, Mfsd14a, Stac2, Gm15721, Rnf165, Elavl4, 9530085L11Rik, Tmem147os, Hps5, U2af2, Cited4, Dsel, Llph-ps2, Hmcn1, Gm2735, Amd-ps3, Prkaa2, Svet1, Mbd5, Zfp944, Col22a1, RP24-345F16.1, Mast3, Rwdd3, Plekha5, Gm19353, Serpinb9b, Ptprg, C1qtnf6, Galns, Trnt1, Ablim2, Fam188a, Gm14512"
"8","85","Zcchc9, Fam183b, Gm5777, Zim1, Gm9432, Gas8, Fbxw4, Mboat1, Arid3b, Ercc1, Lrp3, Myb, Wtap, Nynrin, Stard5, 4430402I18Rik, Lrch1, Gm8324, Rarres2, Preb, Dtymk, Psmg4, Dek, Tgfbi, Gm28118, D11Wsu47e, Slc17a5, Kdelr1, Msl3, Gas1, RP23-310N21.2, Gm9497, Fam196a, Mtcp1, Hist1h4i, Dusp19, Gm11510, Tmem216, Ndc1, E130308A19Rik, Dhdds, Dclre1b, Gm5617, Fkbp14, Kat7, 5330413P13Rik, Rpl9-ps9, Gm15268, Megf6, Gm33707, Gm16409, Reck, St6galnac6, Nyap1, Pcnx4, Axin1, Grid2ip, 4930488L21Rik, Gm4973, Ppm1d, Thnsl1, Wnt4, Tmem212, Tmem215, Ubap1, Hspa2, Akap8l, Cdhr4, Aldh7a1, Fam163a, Tigd3, Ttf1, Cd24a, Tmem214, Mycbpap, Slc2a5, Gm15016, Gm6044, Mro, Thap2, Pank4, Gm13127, Gm26776, Gm5863, BC052040"
"9","53","Fn1, Nbl1, Mgp, Slc38a2, Foxd1, Col1a1, Dapp1, Ptgds, Ccnyl1, Thbd, Sirt5, mt-Tk, Zfp286, Cd74, Mpzl2, Ogn, Gpc3, Ranbp3l, Btg3, Crtc3, Yes1, S100a11, Gm26770, Spp1, Gm11558, Mrc2, Gm15496, Slc13a3, Islr, Aqp4, Cyp1b1, Gm16580, Gjb2, Ankrd27, Slc22a6, Bgn, Ahnak, Akap12, Tapbp, Crabp2, Slc6a13, Hmgcs2, Anpep, Gas2l3, Osr1, Fxyd5, Slc22a8, Ing3, Tnxb, Atp1a2, H2-Aa, Bmp7, Col1a2"
"10","72","RP23-463P4.3, Pld4, Ttc23, Cd14, Slc16a3, Megf11, Dcdc2b, Ngly1, 5330434G04Rik, Gm17259, 1700028B04Rik, Katna1, Gm45844, Pop5, Ccdc121, Rpe, Ccdc97, Mrps22, Rfx1, Coch, Aox3, Gm16303, Nos1ap, Gm2796, Larp4, Fcrls, Gm2076, Elfn2, Ulk3, Gla, Trim11, Gm15998, Pin4, Cenpo, Gpr157, Gm3194, Ccdc103, Gm7589, Faap24, Gabrq, Rrm2b, Acvr2a, Tsr1, Gpkow, Rpl36-ps9, Olfr287, Rhno1, Mycbp, Rps27a-ps1, Gm14813, Trub2, Mcm6, Ppp2r5d, Abcd3, Gm6851, Ctnnbl1, Eftud2, Git2, Gm13532, Mcts2, Ets1, Snai3, Mier1, Rabac1, Fbxw10, Mavs, Tmem8b, Adal, Gm15400, Fam53a, Rpl32, Rabgap1"
"11","58","Tyw3, Nectin1, Dcp1b, Ankrd52, Armc7, Ppp1r9b, Col9a2, Tra2b, Gm15455, Fbxl18, Gm12943, Nr2c1, Coq10b, Gm14680, Gm19091, Gm14516, Cmya5, Flad1, H2-Q7, Myh2, Mapkbp1, S1pr2, Neu2, Sypl2, Gm5855, Arrb1, Gm3604, Rbm10, Ralgds, Rpgr, Sidt2, Ptpn9, Abcb6, Diexf, Npl, Rab36, Grip2, Gm3828, Nbea, Gm1947, 1700008J07Rik, Gm9142, Gm15393, Fbxo8, C2cd2, Kcnq1ot1, Ubr1, Fat1, RP23-413G8.2, 5033417F24Rik, Nbeal2, Zfyve26, Gm28438, Arid5a, Gm9726, Gm4963, Mga, Vwa1"
