,#genes,genes
0,698,"['4833428L15Rik', 'Atp6ap2', 'Btbd3', 'Cebpd', 'D630045J12Rik', 'Dusp5', 'Fxyd7', 'Gabbr2', 'Gabra2', 'Gabra5', 'Gm12136', 'Gm2115', 'Gm43864', 'Gm44699', 'Grhl1', 'Hspa2', 'Islr2', 'Klc1', 'Krt73', 'Magi2', 'Mgst3', 'Nr2f1', 'Nr3c2', 'Nsf', 'Olfml2b', 'Olfr459', 'Per1', 'Plch2', 'Ppfia2', 'Rasgrf2', 'Scg5', 'Snora20', 'Stxbp6', 'Sytl2', 'Aloxe3', 'Bhlhe40', 'Cadm1', 'Ctgf', 'Dusp3', 'Igfbp3', 'Kctd4', 'Lct', 'Lefty1', 'Mas1', 'Myo5b', 'Necab1', 'Nr4a2', 'Prdm8', 'Rgs4', 'Slc30a3', 'Slc8a2', 'Snx10', 'Tgfb2', 'Ubald1', 'Ube2e3', 'Uchl1', 'Aldoa', 'Ano3', 'Cpne2', 'Cst3', 'Dsp', 'Fam163b', 'Gls', 'Golm1', 'Hpca', 'Kcnq5', 'Lrrc10b', 'Neurod2', 'Npy2r', 'Pcdh20', 'Shisa6', 'Snap25', 'Snap91', 'Trh', 'Wipf3', 'Ywhag', 'Ywhaz', '1110008P14Rik', '2010300C02Rik', '3110035E14Rik', 'Actb', 'Acvr2a', 'Adcy1', 'Ak5', 'Arf3', 'Arhgap33', 'Arpp19', 'Arpp21', 'Atp1b1', 'Atp2a2', 'Atp2b2', 'Atp2b4', 'Bcl11b', 'Bhlhe22', 'Bsn', 'C4a', 'C4b', 'Cabp1', 'Cacng3', 'Calb1', 'Calm1', 'Calm2', 'Camk2a', 'Camk2n1', 'Camkv', 'Cck', 'Cdk5r2', 'Celf2', 'Chgb', 'Cnih2', 'Cnr1', 'Cox6a1', 'Cpe', 'Cplx2', 'Cpne4', 'Cpne6', 'Cpne7', 'Crym', 'Ctxn1', 'Cyp46a1', 'Ddn', 'Diras2', 'Dkkl1', 'Dlgap1', 'Dlgap3', 'Dnm1', 'Efhd2', 'Enc1', 'Epha4', 'Erc2', 'Etl4', 'Fam49a', 'Fam81a', 'Fkbp1a', 'Gabrd', 'Gad1', 'Gfap', 'Gria3', 'Hlf', 'Homer1', 'Homer3', 'Hpcal4', 'Hs3st2', 'Hs3st4', 'Icam5', 'Ids', 'Igfbp4', 'Itm2c', 'Kalrn', 'Kcnh7', 'Kcnip2', 'Klhl2', 'Lamp5', 'Lrrn2', 'Ly6h', 'Lypd1', 'Mapk10', 'Mef2c', 'Mmd', 'Mmp17', 'Ncdn', 'Ndrg4', 'Necab2', 'Negr1', 'Nell2', 'Neurod6', 'Nov', 'Nptn', 'Nptx1', 'Nptxr', 'Nrgn', 'Nsg2', 'Nsmf', 'Olfm1', 'Osbpl1a', 'Pak1', 'Pcdh8', 'Pde1a', 'Pdp1', 'Pgm2l1', 'Phf24', 'Phyhip', 'Plppr4', 'Ppp3ca', 'Prkca', 'Prkcb', 'Prkce', 'Psap', 'Psd', 'Psd3', 'R3hdm4', 'Rap1gds1', 'Rasgef1a', 'Rasgrp1', 'Reps2', 'Rfx3', 'Rnf182', 'Rpl41', 'Rtn1', 'Satb2', 'Selenow', 'Serpina3n', 'Serpini1', 'Sh3gl2', 'Sipa1l1', 'Slc17a7', 'Slc39a10', 'Snca', 'Sowaha', 'Spink8', 'Spock1', 'St6galnac5', 'Stum', 'Stx1a', 'Sv2b', 'Syn1', 'Syn2', 'Syngr1', 'Synpr', 'Syt1', 'Syt17', 'Tcf4', 'Thra', 'Thy1', 'Tmsb4x', 'Trem2', 'Trim9', 'Ttc9b', 'Wasf1', 'Ywhah', 'Zbtb18', '1110032F04Rik', '1700020I14Rik', '9130024F11Rik', '9330121K16Rik', 'Abhd17a', 'Abhd17c', 'Acap3', 'Acot7', 'Actg1', 'Actn1', 'Actr2', 'Actr3', 'Adam11', 'Adam23', 'Add1', 'Adgrb1', 'Adgrb2', 'Adora1', 'Agap2', 'Akap5', 'Amph', 'Anks1b', 'Anxa7', 'Ap2a2', 'Apbb1', 'Arc', 'Arhgap32', 'Arhgef2', 'Arhgef25', 'Arpc3', 'Arpc5', 'Arx', 'Asap1', 'Astn1', 'Atl1', 'Atp1a1', 'Atp2b1', 'Atp6v0b', 'Atp6v1d', 'B230334C09Rik', 'B2m', 'Basp1', 'Bcl11a', 'Bmp3', 'Bok', 'Brinp1', 'Brk1', 'Brsk2', 'Btbd10', 'C1ql3', 'C1qtnf4', 'C2cd2l', 'Cacna1e', 'Cacnb3', 'Cadm2', 'Cadps2', 'Camk1d', 'Camk2b', 'Camkk2', 'Camta2', 'Cap2', 'Capza2', 'Car10', 'Car11', 'Car12', 'Cckbr', 'Ccl27a', 'Ccnd2', 'Cd74', 'Cd9', 'Cdh11', 'Cdk16', 'Cdk17', 'Cdk5r1', 'Cecr6', 'Celf5', 'Cfl1', 'Chn1', 'Chn1os3', 'Chrm1', 'Clstn1', 'Clstn2', 'Cmtm4', 'Cnih3', 'Cobl', 'Coro1a', 'Cox8a', 'Crip2', 'Crls1', 'Crmp1', 'Cspg5', 'Cst7', 'Ctnnb1', 'Ctss', 'Cttnbp2', 'Cux2', 'Cyfip2', 'D430019H16Rik', 'D430041D05Rik', 'Dab1', 'Dbn1', 'Dbpht2', 'Dclk1', 'Dkk3', 'Dlg4', 'Dmtn', 'Dnaja4', 'Dock4', 'Dusp14', 'Dynll1', 'Eef1a2', 'Efnb2', 'Egr1', 'Egr4', 'Elmod1', 'Epha7', 'Ephx4', 'Epn1', 'Epop', 'Etv5', 'Faah', 'Fam107a', 'Fam131a', 'Fam171b', 'Fam19a1', 'Fam212b', 'Fam84a', 'Fbxl16', 'Fezf2', 'Fgf13', 'Fhl2', 'Fmnl1', 'Fnbp1l', 'Foxg1', 'Foxp1', 'Frmd6', 'Frrs1l', 'Gabra4', 'Galnt16', 'Galnt9', 'Garnl3', 'Gas7', 'Gda', 'Gfra2', 'Gm10419', 'Gm11549', 'Gm14539', 'Gm5601', 'Gnb2', 'Gnb4', 'Gng13', 'Golga7b', 'Gpc1', 'Gpd1', 'Gpd2', 'Gpm6a', 'Gpr12', 'Gpr26', 'Gpr88', 'Gprin1', 'Grasp', 'Gria1', 'Gria2', 'Grik5', 'Grin1', 'Grin2a', 'Grin2b', 'Grina', 'Grm5', 'Grn', 'Grp', 'Gucy1b3', 'Hcn1', 'Hmgcr', 'Hmgcs1', 'Hopx', 'Hras', 'Hrk', 'Hsbp1', 'Hsph1', 'Ier5', 'Igfbp6', 'Ighm', 'Inf2', 'Ipcef1', 'Iqgap2', 'Itpka', 'Itpr1', 'Jph4', 'Kat2a', 'Kcnab1', 'Kcnab2', 'Kcnb1', 'Kcnc2', 'Kcnd3', 'Kcng1', 'Kcnh3', 'Kcnj3', 'Kcnj4', 'Kcnmb4', 'Kcnq3', 'Kcns1', 'Kcnv1', 'Kctd1', 'Khdrbs3', 'Kit', 'Klf10', 'Krt12', 'Ldb2', 'Ldha', 'Lhx2', 'Limd2', 'Lingo1', 'Lmo3', 'Lmo4', 'Lmo7', 'Lrrtm1', 'Ly6e', 'Lyz2', 'Map2k1', 'Map7d1', 'Mapk1', 'Matn2', 'Matr3', 'Mef2a', 'Meis2', 'Mfap3l', 'Mfge8', 'Mgll', 'Mical2', 'Mink1', 'Mir124a-1hg', 'Mkl2', 'Mpp3', 'Mpped1', 'Mtpn', 'Myl4', 'Nap1l1', 'Napa', 'Nbl1', 'Nckap1', 'Ndufa4', 'Neto1', 'Neurl1a', 'Neurl1b', 'Nfib', 'Ngef', 'Nlk', 'Nol4', 'Nptx2', 'Npy', 'Nr4a1', 'Nr4a3', 'Nrn1', 'Nrxn3', 'Nwd2', 'Ociad2', 'Pantr1', 'Pcdh1', 'Pcsk2', 'Pdzrn3', 'Pea15a', 'Pgbd5', 'Phactr3', 'Pip5k1c', 'Pkig', 'Plcb1', 'Pld3', 'Plec', 'Plk2', 'Plppr2', 'Plxnc1', 'Plxnd1', 'Pou6f1', 'Ppm1e', 'Ppp1ca', 'Ppp1r16b', 'Ppp1r9a', 'Ppp1r9b', 'Ppp3cb', 'Ppp3r1', 'Prickle1', 'Prkcg', 'Prnp', 'Prrt1', 'Pter', 'Ptk2b', 'Ptms', 'Ptn', 'Ptpn3', 'Ptprj', 'Ptprs', 'R3hdm1', 'R3hdm2', 'Rab11fip4', 'Rab3b', 'Rab40b', 'Rab6b', 'Rap2a', 'Rapgef4', 'Rasal1', 'Rasl10a', 'Rasl11a', 'Rbfox2', 'Rem2', 'Rgs12', 'Rgs14', 'Rims1', 'Rnf112', 'Rprml', 'Rps18', 'Rtn4r', 'Rtn4rl1', 'Satb1', 'Sbf1', 'Scn1b', 'Scn8a', 'Sec14l1', 'Sema3a', 'Sema3e', 'Sema7a', 'Sept11', 'Sertm1', 'Sez6l', 'Sh3bgrl3', 'Shank3', 'Shisa7', 'Slc15a3', 'Slc1a3', 'Slc24a2', 'Slc25a22', 'Slc6a17', 'Slmap', 'Snph', 'Sorbs2', 'Sorl1', 'Sort1', 'Sprn', 'Sptan1', 'Sptbn2', 'Srebf2', 'Sst', 'Stim2', 'Stk32c', 'Stk4', 'Sub1', 'Syne1', 'Syngap1', 'Synpo', 'Syt13', 'Syt16', 'Syt5', 'Syt7', 'Tbr1', 'Tesc', 'Thrb', 'Thrsp', 'Tiam2', 'Tmem132a', 'Tmem151a', 'Tmem178', 'Tmem30a', 'Tnfrsf21', 'Trhde', 'Trnp1', 'Tsc22d1', 'Tspan13', 'Tspan5', 'Tspan7', 'Tuba1a', 'Tuba4a', 'Tusc3', 'Tyro3', 'Tyrobp', 'Ube2ql1', 'Ube3b', 'Unc13a', 'Unc5d', 'Vamp2', 'Vgf', 'Vip', 'Vopp1', 'Wbscr17', 'Wfs1', 'Zdhhc14', 'Zfp365', 'Zfr', 'A830018L16Rik', 'AI593442', 'Aacs', 'Abhd12', 'Adap1', 'Adgrl1', 'Ankrd33b', 'Ap1s1', 'Baiap2', 'C1qa', 'C1qb', 'C1qc', 'Cacna2d1', 'Camk4', 'Ccdc3', 'Cd34', 'Chst1', 'Chst2', 'Cnksr2', 'Csf1r', 'Ctsb', 'Cx3cl1', 'Dgkz', 'Dnajb5', 'Dusp6', 'Ensa', 'Fbxw7', 'Gfod1', 'Hexa', 'Hexb', 'Hivep2', 'Junb', 'Kcnf1', 'Kcnh1', 'Kcnq2', 'Lag3', 'Lrrc4c', 'Lsm14b', 'Lztr1', 'Mal2', 'Man2b1', 'Mast3', 'Mef2d', 'Ncald', 'Ndrg3', 'Npdc1', 'Nrcam', 'Nrxn2', 'Ntn5', 'Opcml', 'Pak7', 'Pebp1', 'Phactr1', 'Ppfia3', 'Ppp1r1a', 'Rangap1', 'Rbbp7', 'Rbfox1', 'Rbfox3', 'Rnf187', 'Rock2', 'Rundc3a', 'S100a6', 'Scn2a', 'Shank2', 'St3gal5', 'St8sia5', 'Svop', 'Tpm1', 'Uqcr11', 'Wsb2', 'Actn4', 'App', 'Arpc2', 'Cacna1a', 'Gabrb3', 'Git1', 'Sept8', 'Sirpa', 'Ctsd']"
1,289,"['1110017D15Rik', '1700017D01Rik', '2610012C04Rik', '6430710M23Rik', 'Aebp1', 'Baat', 'Cdhr4', 'Ceacam1', 'Cfap43', 'Dnah6', 'Folr1', 'Foxi1', 'G630016G05Rik', 'Gm13536', 'Gm14061', 'Gm15209', 'Gm15237', 'Gm15538', 'Gm15634', 'Gm17743', 'Gm19029', 'Gm21673', 'Gm22982', 'Gm23136', 'Gm23376', 'Gm23502', 'Gm24202', 'Gm25648', 'Gm25815', 'Gm26017', 'Gm26485', 'Gm26509', 'Gm28077', 'Gm28323', 'Gm37553', 'Gm37862', 'Gm38012', 'Gm42577', 'Gm43756', 'Gm44586', 'Gm45272', 'Gm7902', 'H2-K2', 'Hbb-bt', 'Igfbp2', 'Myb', 'Olfr630', 'Pex13-ps', 'Ptx3', 'RP23-181A8.4', 'RP23-421M6.3', 'RP24-318O6.3', 'Rncr4', 'Rps23', 'Slc3a1', 'Snord59a', 'Snord61', 'Tfap2d', 'Tmprss4', 'Tpsg1', 'Trim43a', 'Vmn1r181', 'Vmn2r88', 'Zfp385c', 'n-R5s96', '1500015O10Rik', 'Cfap65', 'Cox8b', 'Dnah12', 'Gm24289', 'Gm24597', 'Gm26063', 'Gm26128', 'Gm28299', 'Gm28437', 'Gm765', 'Hba-a1', 'Kl', 'Enpp2', 'Gabra1', 'Gm10925', 'Gm22122', 'Gm24105', 'Gm24265', 'Gm24407', 'Gm24514', 'Gm25679', 'Gm25682', 'Gm26461', 'Gm28661', 'Hbb-bs', 'Igf2', 'Kcne2', 'Mpzl2', 'Nme7', 'Ptgds', 'Rn7s1', 'Rn7s2', 'mt-Nd3', 'mt-Nd4', 'mt-Rnr1', 'mt-Rnr2', 'Cacnb4', 'Ccdc153', 'Cdr1', 'Clic6', 'Dcn', 'Eef1a1', 'Gad2', 'Gm11353', 'Gm13341', 'Gm20594', 'Gm22513', 'Gm22614', 'Gm23153', 'Gm23238', 'Gm23287', 'Gm23345', 'Gm23445', 'Gm23624', 'Gm23971', 'Gm23973', 'Gm24136', 'Gm24146', 'Gm24447', 'Gm24459', 'Gm24497', 'Gm24830', 'Gm25106', 'Gm25179', 'Gm25581', 'Gm25890', 'Gm25939', 'Gm26035', 'Gm26316', 'Gm26444', 'Gm28438', 'Gm29236', 'Gm37108', 'Gm45396', 'Pcp4l1', 'Pgrmc1', 'Ptpn4', 'Rims3', 'Rn18s-rs5', 'Rn7s6', 'Rn7sk', 'Rnu2-10', 'Rnu5g', 'Rny3', 'Rps8', 'Snhg11', 'Snora73b', 'Tmem212', 'Ttr', 'mt-Atp8', 'mt-Co1', 'mt-Co2', 'mt-Nd1', 'mt-Nd2', 'mt-Nd4l', 'mt-Nd5', 'mt-Nd6', '2410004P03Rik', 'Aco2', 'Ak7', 'Alcam', 'Bin1', 'Camta1', 'Cap1', 'Ccni', 'Cds1', 'Cpsf4l', 'Ddit4l', 'Ddx6', 'Fam221b', 'Fgf12', 'Flrt2', 'Foxj1', 'Gm11407', 'Gm15612', 'Gm17494', 'Gm20659', 'Gm20721', 'Gm22058', 'Gm22169', 'Gm22249', 'Gm22451', 'Gm22628', 'Gm23240', 'Gm24305', 'Gm24705', 'Gm24951', 'Gm25117', 'Gm25563', 'Gm25937', 'Gm26331', 'Gm26505', 'Gm26631', 'Gm26723', 'Gm33051', 'Gm42772', 'Gm5687', 'Gm5869', 'Gm6352', 'Gm6969', 'Grin1os', 'Id2', 'Kcnj13', 'Lrrtm2', 'Lrtm2', 'Map1lc3a', 'Marcks', 'Mgp', 'Mpc2', 'Naca', 'Ndfip1', 'Npr3', 'Ntm', 'Ogfrl1', 'Olfr77', 'Phox2a', 'Pkia', 'Plekho1', 'Pou3f1', 'Prepl', 'Prkacb', 'Prkar1a', 'RP23-70B19.5', 'Rcn1', 'Rian', 'Rpl11', 'Rpl14', 'Rpl17', 'Rpl35a', 'Rps8-ps1', 'Rps9', 'Rpsa-ps2', 'Rpsa-ps9', 'Scn1a', 'Slc6a13', 'Slc6a20b', 'Snora21', 'Snora28', 'Sv2a', 'Tacc1', 'Tceal9', 'Tomm40', 'Ubl3', 'Vim', '1700113A16Rik', '9530082P21Rik', 'B3gat1', 'Eid1', 'Elavl4', 'Fau', 'Gm10076', 'Gm15198', 'Gm22958', 'Gm23134', 'Gm23884', 'Gm25085', 'Gm25288', 'Gm25874', 'Gm3362', 'Gm7027', 'Gm7206', 'Gm7308', 'Lrp1', 'Nedd4', 'Robo2', 'Rpl14-ps1', 'Rpl19', 'Rpl23a', 'Rpl6', 'Rpl7a', 'Rps16', 'Rps16-ps2', 'Rps19', 'Vcp', 'Wdr89', 'Ywhab', 'mt-Te', 'Gm9843', 'Ndfip2', 'Pdzd9', 'Ppp4c', 'Rps26', 'Sgip1']"
2,666,"['1110060G06Rik', '2810047C21Rik1', '4632404M16Rik', '4930509G22Rik', '4930562D21Rik', '9330154K18Rik', 'A330032B11Rik', 'AI413582', 'Adra1b', 'Amigo2', 'Ankrd6', 'Atxn7l1os1', 'B630019A10Rik', 'C230071H17Rik', 'Cd24a', 'Cdca5', 'Crisp4', 'D030046N08Rik', 'Dfnb59', 'Eda2r', 'Esp4', 'Foxi3', 'Foxr1', 'Fzd10', 'Gm10482', 'Gm11011', 'Gm11895', 'Gm11946', 'Gm12394', 'Gm12688', 'Gm12928', 'Gm13403', 'Gm14932', 'Gm15000', 'Gm1821', 'Gm18697', 'Gm20089', 'Gm25314', 'Gm26703', 'Gm26822', 'Gm28913', 'Gm31211', 'Gm34882', 'Gm37170', 'Gm38137', 'Gm38317', 'Gm42497', 'Gm42525', 'Gm42862', 'Gm42929', 'Gm43323', 'Gm43389', 'Gm43913', 'Gm44253', 'Gm44255', 'Gm44544', 'Gm44628', 'Gm45593', 'Gm45636', 'Gm45708', 'Gm4993', 'Gm5479', 'Gm5570', 'Gm5901', 'Gm6182', 'Gm7646', 'Gm9192', 'Gm9556', 'Gm9898', 'Gpr149', 'Gprc5d', 'Gprc6a', 'Grrp1', 'Hist1h4n', 'Hivep1', 'Hoxa11os', 'Krt27', 'Lhfp', 'Lhx8', 'Nphs1os', 'Nppb', 'Nrp2', 'Olfr1209', 'Olfr1313', 'Olfr1324', 'Olfr1406', 'Olfr46', 'Olfr569', 'Olfr600', 'Olfr666', 'Olfr667', 'Olfr803', 'Olfr867', 'Plagl1', 'Plcxd2', 'RP23-103O7.2', 'RP23-158C15.6', 'RP23-345H24.4', 'RP24-113B8.3', 'RP24-282C4.9', 'RP24-496C8.5', 'Rab3c', 'Rp1l1', 'Rpl23a-ps7', 'Sept6', 'Sept7', 'Slamf8', 'Slc25a54', 'Smpx', 'Sod3', 'Spink14', 'Tecr', 'Tmem145', 'Tmem233', 'Tpo', 'Ube2l6', 'Vgll3', 'Vmn1r-ps144', 'Zfp345', 'Atp5a1', 'B230323A14Rik', 'Cbln2', 'Celf4', 'Chrnb3', 'Ckmt1', 'Doc2b', 'En1', 'Gbx2', 'Gm18007', 'Gm24245', 'Gm29216', 'Gm44307', 'Habp2', 'Hapln4', 'Nefl', 'Pgk1', 'RP24-254O21.2', 'Rgs6', 'Stmn3', 'Tac2', 'Ttc3', 'Vstm2l', 'mt-Cytb', 'Baiap3', 'Bex2', 'C1ql2', 'Calcr', 'Cartpt', 'Cd44', 'Ddc', 'Eps8l2', 'Gap43', 'Gm43398', 'Hap1', 'Lars2', 'Lef1', 'Lhx9', 'Ndn', 'Nkx2-1', 'Nnat', 'Nts', 'Onecut2', 'Pcp4', 'Prox1', 'RP24-381P6.1', 'Ret', 'Rprm', 'Sall3', 'Shox2', 'Slc10a4', 'Slc18a2', 'Slc6a3', 'Sptbn1', 'Stac2', 'Stmn1', 'Th', 'Tmsb10', 'Trhr', 'Usmg5', 'Vsnl1', '2010107E04Rik', '6330403K07Rik', 'AA474408', 'AW551984', 'Abat', 'Acsbg1', 'Adcyap1', 'Aldh1a1', 'Aldoc', 'Amotl1', 'Aplp1', 'Apod', 'Bend6', 'Cabp7', 'Calb2', 'Camk2d', 'Camk2n2', 'Chchd10', 'Cldn11', 'Clip3', 'Clu', 'Cnp', 'Cplx1', 'Cpne9', 'Cryab', 'Cxx1b', 'Dgkb', 'Dlk1', 'Dner', 'Ecel1', 'Ermn', 'Fam19a4', 'Fbn1', 'Foxb1', 'Fth1', 'Gal', 'Gm10736', 'Gm15564', 'Gm24270', 'Gm26917', 'Gm42418', 'Gm6272', 'Gng3', 'Gprasp2', 'Gpx3', 'Grm1', 'Grm2', 'Hpcal1', 'Hsp90aa1', 'Igsf1', 'Impact', 'Itih3', 'Kcna2', 'Kcnj10', 'Kif1a', 'Kif1b', 'Kif5a', 'Klhl1', 'Lhx1os', 'Mag', 'Mal', 'Malat1', 'Map1a', 'Mbp', 'Meg3', 'Mir6240', 'Mobp', 'Mog', 'Myrf', 'Nat8l', 'Ndrg1', 'Nr2f2', 'Nrsn2', 'Ntng1', 'Nxph4', 'Oaz1', 'Pcsk1n', 'Pip4k2a', 'Pitx2', 'Pkp4', 'Plcb4', 'Plekhg1', 'Plp1', 'Prkcd', 'Rab37', 'Ramp3', 'Rcan2', 'Resp18', 'Rmst', 'Rora', 'Rph3a', 'Rpl38', 'Rpl39-ps', 'Scd2', 'Scg2', 'Scg3', 'Scn4b', 'Scrt1', 'Serpine2', 'Sez6', 'Slc1a2', 'Slc32a1', 'Slitrk6', 'Sncb', 'Sncg', 'Sparcl1', 'Stxbp1', 'Supt7l', 'Synpo2', 'Syt2', 'Tanc1', 'Tmem255a', 'Tnnt1', 'Trf', 'Tspan2', 'Ubb', 'Vamp1', 'Vat1l', 'Vipr2', 'Zbtb20', 'Zfhx4', 'Zic1', 'mt-Tf', '1810041L15Rik', '2310022B05Rik', '2900052N01Rik', 'A730017C20Rik', 'AF529169', 'Abhd4', 'Adarb1', 'Adprh', 'Adssl1', 'Agt', 'Ahi1', 'Ank3', 'Ankrd34b', 'Anln', 'Anxa5', 'Ap1s2', 'Aqp4', 'Arl2', 'Arl8a', 'Aspa', 'Asrgl1', 'Atp1b2', 'Atp5d', 'Atp5j2', 'Atxn10', 'BC039966', 'Bcas1', 'C1ql1', 'Car2', 'Cbln1', 'Ccdc136', 'Cend1', 'Chd3os', 'Chpt1', 'Chrm2', 'Cit', 'Ckb', 'Clic4', 'Cntn2', 'Cox5a', 'Cox6b1', 'Cox6c', 'Cox7b', 'Csrp1', 'Ctxn3', 'Cygb', 'Dbi', 'Desi1', 'Dgkk', 'Dmrta2', 'Dnm3', 'Dst', 'Dync1h1', 'Dync1li2', 'Dynll2', 'Dynlrb1', 'Dzank1', 'Ebf3', 'Edil3', 'Efnb3', 'Elavl2', 'Elovl5', 'Eml2', 'Endod1', 'Eno2', 'Epb41l3', 'Eps15', 'Erbin', 'Etnppl', 'Etv1', 'Evl', 'Fa2h', 'Fgf1', 'Fgfr2', 'Flywch1', 'Fnbp1', 'Fndc5', 'Foxa2', 'Fth-ps3', 'Fto', 'Fut9', 'Gaa', 'Galnt13', 'Gas5', 'Gata3', 'Gatm', 'Gja1', 'Gjb1', 'Gjc2', 'Glud1', 'Glul', 'Gm11410', 'Gm14586', 'Gm19366', 'Gm25911', 'Gm3511', 'Gm42547', 'Gm45529', 'Gm45884', 'Gm4705', 'Gm5868', 'Gm7079', 'Gm7363', 'Gm9517', 'Gm9769', 'Gna12', 'Gpm6b', 'Gprasp1', 'Gprc5b', 'Grb10', 'Grin2d', 'Gstm1', 'H2-D1', 'Hcn2', 'Hecw1', 'Hipk2', 'Hspa4l', 'Htr2c', 'Idh1', 'Idh3g', 'Ifit2', 'Il33', 'Ina', 'Inpp5j', 'Insig1', 'Irx2', 'Irx3', 'Itm2b', 'Kcnc1', 'Kcnh2', 'Kif5b', 'Klhdc8a', 'Klhl13', 'Klk6', 'Lbh', 'Lbx1', 'Ldhb', 'Lgi3', 'Litaf', 'Luzp1', 'Luzp2', 'Lynx1', 'Mab21l1', 'Mab21l2', 'Macf1', 'Map1lc3b', 'Mapt', 'Mast4', 'Mat2a', 'Mid1ip1', 'Mif', 'Mir6236', 'Mrps6', 'Mt1', 'Mt2', 'Mt3', 'Nap1l5', 'Ndrg2', 'Ndufa3', 'Neat1', 'Necab3', 'Nefh', 'Nefm', 'Nfix', 'Ngb', 'Nova1', 'Nrep', 'Nrip3', 'Nxph3', 'Olfm2', 'Opalin', 'Pacs2', 'Pafah1b3', 'Paqr8', 'Patj', 'Pcdh17', 'Pcm1', 'Peg10', 'Peg3', 'Penk', 'Phlda3', 'Pitpna', 'Pld5', 'Plekhb1', 'Pmp22', 'Pnck', 'Podxl2', 'Ppp1r14a', 'Prdx1', 'Prdx6', 'Prmt2', 'Ptch1', 'Ptma', 'Ptprz1', 'Pura', 'Purb', 'Pvalb', 'Qdpr', 'Qk', 'Ralyl', 'Rarres2', 'Rasgrf1', 'Rassf2', 'Rbbp4', 'Rbms3', 'Reep2', 'Rgs16', 'Rgs17', 'Rgs8', 'Rhobtb3', 'Rhog', 'Rnd2', 'Rnf152', 'Rpl22l1', 'Rpl26', 'Rpl28-ps1', 'Rpl31-ps12', 'Rpl35', 'Rpl37a', 'Rplp1', 'Rps17', 'Rps21', 'Rps27', 'Rsrc1', 'Rtkn', 'Rusc1', 'S100b', 'Sacm1l', 'Samd5', 'Sash1', 'Sccpdh', 'Scd1', 'Sec62', 'Selenop', 'Sema5a', 'Sept4', 'Serpinb1a', 'Sez6l2', 'Sfxn5', 'Sim1', 'Slc12a2', 'Slc12a5', 'Slc17a6', 'Slc25a4', 'Slc25a5', 'Slc4a4', 'Slc6a11', 'Slc9a3r1', 'Slit2', 'Sox2ot', 'Sparc', 'Spock2', 'Spock3', 'Sptssb', 'Srgap1', 'Stmn4', 'Syngr3', 'Syt11', 'Tcf25', 'Tcf7l2', 'Tfap2b', 'Timp2', 'Tmem130', 'Tmem50b', 'Tmem88b', 'Tmem91', 'Tppp', 'Tppp3', 'Tprgl', 'Trim2', 'Trim59', 'Trpm3', 'Tshz2', 'Tubb4a', 'Tulp4', 'Uba52', 'Ubc', 'Ugt8a', 'Unc13c', 'Usp29', 'Vav3', 'Zbtb4', 'Zbtb7a', 'Zcchc12', 'Zeb1', 'Zfas1', 'Zfhx3', 'Zfp385a', 'Zmat4', 'mt-Tm', 'mt-Tp', 'mt-Tt', 'mt-Tw', '1500009C09Rik', '9330162G02Rik', 'Ache', 'Adgrg1', 'Adipor2', 'Ahcyl1', 'Apoe', 'Araf', 'Arhgap6', 'Arhgef10', 'Atp1a2', 'B630019K06Rik', 'Capns1', 'Cd81', 'Cnn3', 'Ctsa', 'Cxx1a', 'Efhd1', 'Fam213a', 'Fhl1', 'Gm13339', 'Gm15590', 'Gm24601', 'Gng11', 'Gpr139', 'Gpr37', 'Gpr37l1', 'Inpp5f', 'Lamp1', 'Maged1', 'Map4', 'Nacc2', 'Nap1l3', 'Ndufv3', 'Nrip2', 'Olig1', 'Osbpl2', 'Pcbd1', 'Pla2g7', 'Psat1', 'Rit2', 'Rnf13', 'Rpl28', 'Rps15', 'S100a16', 'Sema6d', 'Slc6a9', 'Sox10', 'Srrm2', 'Tmcc3', 'Tmem229a', 'Tox2', 'Ttyh2', 'Wdr6', 'Wnk1', 'Zcchc24', 'Zfp423', 'mt-Ta', 'mt-Th', 'mt-Ti', 'mt-Tl1', 'mt-Tl2', 'mt-Tn', 'mt-Tv', 'n-R5-8s1', 'Myo6', 'Nop10', 'Pcdh19', 'Zdbf2', 'Bex1']"
