,#genes,genes
1,137,"['Prkcd', 'Pcp4', 'Slc6a11', 'Tcf7l2', 'Cplx1', 'Adarb1', 'Shox2', 'Nefh', 'Pdp1', 'Zic1', 'Atp2a2', 'Ptpn4', 'Ramp3', 'Ntng1', 'Nsmf', 'Rora', 'Slc17a6', 'Tnnt1', 'Plekhg1', 'Plcb4', 'Gabra4', 'Kcnc2', 'Vamp1', 'Ptpn3', 'Grm1', 'Spock1', 'Rgs4', 'Ndrg4', 'Synpo2', 'Kcnj10', 'Amotl1', 'Ccdc136', 'Pcp4l1', 'Vav3', 'Kitl', 'Lef1', 'Spock3', 'Nrip3', 'Atp1a2', 'Elmo1', 'Rgs16', 'Trnp1', 'Abhd12b', 'Patj', 'Eps8l2', 'Sptbn1', 'Uchl1', 'Gabbr2', 'Rab3c', 'Kcnc1', 'Hcn4', 'Cpne9', 'Edil3', 'Ldhb', 'Rab37', 'Ttll7', 'Dlgap3', 'Pitpnc1', 'Tmem163', 'Atp6ap2', 'Cit', 'Nell1', 'Aplp2', 'Aldh1a1', 'Rgs8', 'Rasgef1b', 'Rap1gds1', 'Gpr153', 'Serpine2', 'Vipr2', 'Nrxn1', 'St3gal4', 'Slc9a3r1', 'Tpd52l1', 'Shank3', 'F2r', 'Zmat4', 'Hspa12a', 'Ildr2', 'Gm43398', 'Ndrg2', 'Tmem131', '1810041L15Rik', 'Atp1b2', 'Gabrd', 'Epb41l3', 'AI593442', 'Zfp423', 'Ctnnb1', 'Nacc2', 'Rasd1', 'Lhfp', 'Slc24a3', 'Kndc1', 'Enah', 'Prkch', 'Rap1gap', 'Srgap1', 'Tmem56', 'Adcy8', 'Clmn', 'Tespa1', 'Gpc1', 'Reep2', 'Gjc1', 'Lhx9', 'Ywhah', 'Enho', 'Tanc1', 'Xylt2', 'Zfhx3', 'Lrrn2', 'Cacng5', 'Adra1b', 'Fam19a4', 'Rims3', 'Cacna1g', 'Rab11fip5', 'Inpp5j', 'Creg1', 'Gnal', 'Tubb3', 'Opn3', 'Fem1c', 'Gdpd5', 'Tunar', 'Grm4', 'Inpp5a', 'Fam20c', 'Cpne7', 'Sh3d19', '1700019D03Rik', 'Fryl', 'Pdzd8', 'Gpr37l1', 'Saa3', 'Mb21d2']"
2,190,"['Gm42418', 'Rn18s-rs5', 'Gm26917', 'Lars2', 'Mir6236', 'Enpp2', 'Gm15564', 'Mir6240', 'Rimbp3', 'Ttr', 'Clic6', 'Kl', 'Gm24245', 'Gm24270', 'Fbn1', 'Cox8b', 'Otx2', 'Rbm47', 'Igf2', 'Trpm3', 'AA474408', 'Igfbp2', 'Cab39l', 'Sostdc1', 'Cul4b', 'Ppp1r1b', 'Msx1', 'Fam212a', 'Sowahc', 'Dbi', 'Gm25911', 'F5', 'Stk39', 'Col8a2', 'Kcne2', 'Calml4', 'Folr1', 'Snora28', 'Gcn1l1', '1500015O10Rik', 'Lbx1', 'Eef1a1', 'Ezr', 'Vat1l', 'Tpt1', 'Cdkn1c', 'Spint2', 'Slc4a5', 'Gm5869', 'Rdh5', 'Tbc1d9', 'BC001981', 'Tmem72', 'Arhgap27', 'Tead1', 'Gm24459', 'Cachd1', 'Rsph1', 'Ap1s2', 'Kcnj13', 'Slc13a4', 'Htr2c', 'Vamp8', 'Cox6b2', 'Prlr', 'Abca4', 'Ahcyl2', 'Gm25179', 'Tnfaip8', 'Hemk1', 'Prr32', 'Col9a3', 'Gas2l3', 'Msi2', 'Nop9', 'Gpx8', 'Penk', 'Wdr86', 'Slc31a1', 'Mdfic', 'Trpv4', 'Ace', 'Eif4g2', 'Ccdc153', 'Cldn2', 'Wfdc2', 'Foxj1', 'Gm44609', 'Gm45396', 'Dnah6', 'Ucp2', 'Lbp', 'Car12', 'Cdr2', 'Piezo1', 'Rnf149', 'Mgp', 'Gm23935', 'Col8a1', 'Zfp185', 'Cfap126', 'Slc22a17', 'Mccc1', 'Vcam1', 'Pom121l2', 'Emilin2', 'Sulf1', 'Krt18', 'Gm4202', 'Sgms2', 'Mios', 'Dab2', 'Rbp1', 'Cnn3', 'Mlf1', 'Slc2a12', 'Gm24601', 'Slc16a9', 'Nedd4', 'Aqp1', 'n-R5-8s1', 'Tpt1-ps3', 'Mapk4', 'Tgfb2', 'Enkur', 'Phactr2', 'Npr3', 'Serpinb1b', 'Zic2', 'Pltp', 'Slc25a39', 'Fxyd1', 'Gm15776', 'Ddx4', 'Prdm5', 'Slco1c1', 'Parp4', 'Slc4a2', 'Notch2', 'Gm37194', 'Spef2', 'Hist1h2bc', 'Thbs4', 'Slc29a4', '1700088E04Rik', 'Igfbp7', 'Cep162', 'Gm43352', 'Csrp2', 'Mospd1', 'Dstn', 'Cd164', 'Riiad1', 'Ptbp1', 'Rps27l', 'Fsd1l', 'Cep126', 'Cgnl1', 'Tulp4', '4931406C07Rik', 'Tpt1-ps1', 'Prps2', 'Nqo2', 'Ercc6l2', 'Nbeal1', 'Ybx1', 'Steap1', 'Tpt1-ps5', 'Crybg3', 'Tbcel', 'Fam84b', 'Cdc14b', 'Gm6421', 'Phox2a', 'March8', 'Olfml3', 'Arl5a', 'Gm13443', 'Fam107b', 'Rarres2', 'Bicc1', 'Serpinh1', 'Spata6', 'Gulp1', 'Ubxn10', 'Rsph4a', 'Sh3bgrl', 'Mob1b', 'Spag6l', 'Nucb1']"
3,127,"['mt-Rnr1', 'mt-Rnr2', 'Rn7s1', 'Gm24447', 'Gm26461', 'Rnu5g', 'Gm26035', 'Gm25106', 'Gm28661', 'Rnu2-10', 'Gm23624', 'mt-Nd1', 'Rn7s2', 'Gm20594', 'Gm13341', 'Gm22513', 'Gm23287', 'Gm28437', 'Gm24265', 'mt-Co2', 'Gm23971', 'Gm24407', 'mt-Nd6', 'Gm24105', 'Gm26316', 'Gm23345', 'Gm22614', 'Cst3', 'Gm22739', 'Gm10925', 'mt-Nd5', 'Gm22122', 'mt-Nd2', 'Gm23153', 'mt-Co1', 'Gm25890', 'Gm24146', 'Rps29', 'mt-Nd3', 'mt-Nd4', 'Gm24514', 'Rny3', 'Gm25937', 'mt-Cytb', 'Gm22451', 'Gm23445', 'Rn7s6', 'Rn7sk', 'Gm10076', 'Gm25682', 'Gm25679', 'Rps19', 'Rps5', 'Rnu1b6', 'Gm26444', 'Gm28438', 'Gm26505', 'Gm24497', 'Gm23973', 'Gm26723', 'Ccni', 'mt-Atp6', 'Rpl19', 'Rps26', 'Gm26331', 'Tspan13', 'Gm25939', 'Gm29236', 'Gm23238', 'Rpsa-ps9', 'Gm17511', 'Fam19a2', 'Itm2c', 'Gm11407', 'Kif3a', 'Map2k1', 'Gm43841', 'Gabrb3', 'Gm25099', 'Jph4', 'Tmem30a', 'Rpsa', 'mt-Co3', 'Rps14', 'Kansl1', 'Rpl18', 'Rps10-ps2', 'Gm24695', 'Gm45552', 'Pdzrn3', 'Ubqln2', 'Gm13436', 'Gm28439', 'Timm22', 'Pkig', 'Ift46', 'Gm10443', 'Wdr38', 'Myo5b', 'Gm24812', 'Plxnd1', 'Gm12341', 'Rpl18-ps2', 'Snora73b', 'Gm12155', '1500002C15Rik', 'Olfr77', 'Gm37636', 'Gm43743', 'Tmem256', 'Gm7504', 'Apba2', 'mt-Nd4l', 'Rpsa-ps12', 'Rps9', 'Slc25a28', 'Gm8430', 'Rsph3a', 'Gm9354', 'Rps19-ps2', 'Rps19-ps13', 'Gm10275', 'Gm24305', 'Gm13623', 'Gm12987', 'Gm5075', 'Gm11478']"
4,169,"['Mbp', 'Plp1', 'Mobp', 'Fth1', 'Cldn11', 'Scd2', 'Trf', 'Apod', 'Mal', 'Pvalb', 'Cnp', 'Malat1', 'Aplp1', 'Qdpr', 'Car2', 'Cryab', 'Ndrg1', 'Unc13c', 'Apoe', 'Plekhb1', 'Gatm', 'Tubb4a', 'Qk', 'Csrp1', 'Ermn', 'C4b', 'Mag', 'Slc12a2', 'Six3', 'Clu', 'Zbtb20', 'Abca2', 'Selenop', 'Gad1', 'Ywhaq', 'Gng11', 'S100b', 'Olig1', 'C4a', 'Mog', 'Neat1', 'Gjc3', 'Sept4', 'Il33', 'Desi1', 'Pacs2', 'Gpr37', 'Ugt8a', 'Rhob', 'Tspan2', 'Litaf', 'Cd63', 'Gprc5b', 'Lamp2', 'Ppp1r14a', 'Slc25a5', 'Ttyh2', 'Fnbp1', 'Wscd1', 'Calr', 'Myrf', 'Picalm', 'Sox2ot', 'Tpt1-ps6', 'Hepacam', 'Slc44a1', 'Bcas1', 'Rnf13', 'Adipor2', 'Phldb1', 'Pla2g16', 'Cntn2', 'Kif5b', 'Car14', 'Gjc2', 'Sez6l2', 'Pkp4', 'Rsrp1', 'Gjb1', 'Frmd8', 'Npc1', 'Elovl5', 'Irf2bp2', 'Ado', 'Sirt2', 'Anln', 'Fth-ps3', 'Psat1', 'Irak1', 'Kat2b', 'Gm11675', 'Gm12346', 'Gsn', 'Hapln2', 'Evi2a', 'Otud7b', 'Lpar1', 'Gm15459', 'Gm15427', 'Dock10', 'Tprn', 'Ptprd', 'S100a16', 'Dst', 'Josd2', 'Galnt6', 'Tmem98', 'S1pr5', 'Bsg', 'Dpf2', 'Slc6a8', 'Gab1', 'Stxbp3', 'Dnajc3', 'Adamts4', 'Gm12504', 'Cpm', 'Cox4i1', 'Klhl4', 'Abca8a', 'Nacad', 'Nudc', 'Gm6977', 'Rtkn', 'Slain1', 'Ifi27', 'Trim59', 'Plekhh1', 'Ddr1', 'Ubash3b', 'Shtn1', 'Gm9800', 'Rc3h1', 'Fam189a2', 'Rnf130', 'Clic4', 'Itpk1', 'Adssl1', 'Aspa', 'Nt5dc2', 'Nxt2', 'Prr5l', 'Erbin', 'Sema6a', 'Cd82', 'Adamtsl4', 'Rdx', 'Smpdl3a', 'Nrbp1', 'Dcun1d3', 'Steap2', 'Fgfr2', 'Gna12', 'Pcolce2', 'Jup', 'Erbb3', 'Gm44419', 'Glrx5', 'Fa2h', 'Rcbtb1', 'Pim3', 'Pllp', 'Tspan15', 'Gltp', 'Itgb4', 'Gm6210', 'Ypel2', 'Opalin', 'Wnk1']"
5,43,"['Nap1l5', 'Resp18', 'Nnat', '6330403K07Rik', 'Peg10', 'AW551984', 'Ahi1', 'Scg2', 'Gap43', 'Gaa', 'Pmch', 'Parpbp', 'Zcchc12', 'Baiap3', 'Hap1', 'Dlk1', 'Rplp1', 'Cartpt', 'Ndn', 'Rps21', 'Gpx3', 'Tac1', 'H2-Q2', 'Calb1', 'Ngb', 'Wdr6', 'Rpl41', 'Rpl37a', 'Irs4', 'Hcrt', 'A730017C20Rik', 'Rpl22l1', 'Rps27', 'Gal', 'Nts', 'Gm15421', 'Tmem255a', 'Pomc', 'Rps12', 'Rps11', 'Asb4', 'Gm3511', 'B630019K06Rik']"
6,73,"['Nrgn', 'Camk2n1', 'Olfm1', 'Ppp3ca', 'Mef2c', 'Camk2a', 'Psd', 'Ddn', 'Gpm6a', 'Prkcb', '3110035E14Rik', 'Enc1', 'Chn1', 'Atp1a1', 'Slc17a7', 'Lmo4', 'Egr1', 'Lamp5', 'Slc1a2', 'Kalrn', 'Arf3', 'Nptx1', 'Arpp21', 'Tcf4', 'Pgm2l1', 'Ctxn1', 'Ppp3r1', 'Zbtb18', 'Baiap2', 'Fbxl16', 'Ptk2b', 'Stx1a', 'Gria2', 'Tspan7', 'Dlgap1', 'Mical2', 'Wasf1', 'Cplx2', 'Plcb1', 'Neurod2', 'Mpped1', 'Ttc9b', 'Sptbn2', 'Sv2b', 'Plk2', 'Tbr1', 'Fam131a', 'Psd3', 'Ngef', 'Cabp1', 'Mkl2', 'Dclk1', 'Foxg1', 'Phyhip', 'Itpka', 'Kcnq5', 'Mmp17', '2010300C02Rik', 'Kcnip2', 'Synpo', 'Rbfox3', 'Sipa1l1', 'Phactr1', 'Mmd', 'Lhx2', 'Chrm1', 'Rprml', 'Adgrb2', 'Kcnh3', 'Ryr2', 'Golga7b', 'Prkca', 'Fhl2']"
7,42,"['Atp1b1', 'Scn1b', 'Slc24a2', 'Atp2b1', 'Scrt1', 'Eef1a2', 'Rcan2', 'Ndufa4', 'Hlf', 'Hapln4', 'Hcn2', 'Atp5a1', 'Pkm', 'Nrxn3', 'Slc6a17', 'Hsp90aa1', 'Snrpn', 'Tcf25', 'Kcna2', 'Fndc5', 'Mgst3', 'Stmn3', 'Map1a', 'Ina', 'Ghitm', 'Got1', 'Kcnab2', 'Atp5b', 'Gm14630', 'Scn1a', 'Meg3', 'Sacm1l', 'Anxa5', 'Ociad1', 'Pgk1', 'Dynll2', 'Eno2', 'Cox6c', 'Hspa4l', 'Lynx1', 'Pink1', 'Fbxo9']"
8,41,"['Snap25', 'Cck', 'Sncb', 'Calm3', 'Calm1', 'Calm2', 'Ywhaz', 'Rab6b', 'Stmn1', 'Stxbp1', 'Dnm1', 'Cyfip2', 'Vsnl1', 'Snap91', 'Gm13339', 'Mapk10', 'mt-Tf', 'Syt1', 'Syn1', 'mt-Tw', 'Rnf187', 'Rtn3', 'Ywhag', 'Prnp', 'Slc12a5', 'Fkbp1a', 'Pip5k1c', 'Ptms', 'R3hdm2', 'Sept8', 'Fxyd7', 'Rab6a', 'Oxr1', 'Serinc1', 'Atp6v1g2', 'Galnt9', 'Klc1', 'Stx1b', 'Grk2', 'Grin1', 'Prickle1']"
9,63,"['Cpe', 'mt-Tm', 'Tmsb10', 'Aldoc', 'Sparcl1', 'Spock2', 'Gm6272', 'Uba52', 'Pcsk1n', 'Aldoa', 'Gm1821', 'Kif1a', 'Scg5', 'Chchd10', 'Ubb', 'Gng3', 'Hspa8', 'Dynlrb1', 'Ubc', 'Psap', 'Skp1a', 'Clip3', 'Atxn10', 'Gm5575', 'Prdx1', 'Mprip', 'Cntn1', 'Gabbr1', 'Gm8355', 'Rusc1', 'mt-Tl1', 'Glrb', 'Kif21a', 'Pitpna', 'Myl12b', 'Nmnat2', 'Rnf167', 'Lpgat1', 'Gsk3b', 'Pdhb', 'Kif1b', 'Adprh', 'Ndufb8', 'Insig1', 'Gm13464', 'Pacsin1', 'Ndufa8', 'Coa3', 'Syt13', 'Arl8a', 'Rab2a', 'Trappc3', 'Ctsb', 'Mapre3', 'Elavl2', 'Rab11a', 'Smarcc2', 'Agtpbp1', 'Usp22', 'Eno1', 'Dpysl2', 'Cxx1b', 'Arl2']"
10,34,"['Homer1', 'Igfbp4', 'Diras2', 'Dkk3', '1110008P14Rik', 'Fmnl1', 'Stac2', 'Dgkz', 'Ccl27a', 'Camk2g', 'Itpr1', 'Arpp19', 'Ier5', 'Cacng3', 'Efhd2', 'Serpini1', 'Cacnb4', 'Clstn1', 'Kcnh7', 'Ifit3', 'Ephx4', 'Phf24', 'Cdk5r2', 'Ccl27b', 'Satb1', 'Sorl1', 'Satb2', 'Gm11549', 'Asap1', 'Pak1', 'Dusp3', 'Camkk2', 'Kcnb1', 'Fam131b']"
