"cluster","#genes","genes"
"1","186","Lbp, Rn18s-rs5, Gm26461, Gm26917, Rn7s1, Sulf1, Cab39l, 1500015O10Rik, Col8a2, Foxj1, Lars2, Sostdc1, Kcne2, Folr1, Col9a3, Cox8b, Calml4, Clic6, Otx2, Kl, Trpm3, Msx1, F5, Tmem72, Gm15564, Cd63, Spint2, Cdkn1c, Gm42418, Rbm47, Cul4b, Rdh5, Cldn2, Pltp, Col8a1, Ifi27, Aqp1, Ace, Gm24245, Prlr, Gm24514, Igfbp2, Rbp1, Rn7s2, Igf2, Mir6236, Trpv4, Gm45396, Sowahc, Stk39, Enpp2, Ezr, Perp, Slc4a2, Bsg, Ak7, Baiap2l1, Prps2, Vim, Ttr, Krt18, Cd9, Kcnj13, Pifo, Wfdc2, Tbc1d9, Prelp, Gm24270, Slc13a4, Dbi, Vamp8, Slc31a1, Rarres2, Car12, Spef2, Acad8, Mdfic, Slc2a12, Prr32, Tekt1, Rsph1, Pcp4l1, Drc7, Vcam1, Strip2, Zfp36l1, 1110017D15Rik, Lamp2, Rs1, Mir6240, Vat1l, Thumpd3, Kat2b, Wdr86, Slc4a5, Serpinb1b, Cfap126, Slco1c1, Car14, Steap1, Pbxip1, Ap1s2, Tpt1, Tmem212, Gm24407, Pcolce2, Gm24265, Rsph4a, Plxnb2, Acss3, Snora28, Pcolce, Rnaset2a, Ccdc153, Dynlrb2, Emb, Sema3b, Gm22122, Gm23153, Slc29a4, Frmpd1os, Hspb8, 1700007K13Rik, Id1, Lrrc51, Tmem98, Lgals3bp, Slc38a3, Cgnl1, Vwa3a, Hist2h2aa2, Msi2, Tmem237, Notch2, Spag16, Slc25a13, Csrp2, Ltc4s, Zfp185, Fbn1, Gm25911, Kif9, Cnn3, Wdr63, Mlf1, Prcd, Defb11, Snora73b, Slc16a9, Sh3bgrl, A2m, Lgals3, Ctnnal1, Gng5, Cldn1, Mcee, Efcab1, Ucp2, Arhgap18, Ppp1r1b, Arl6ip1, Fam84b, Mia, Gpx8, Gm11992, Slc16a2, Aldh2, Hist1h2al, Pip5k1b, Hemk1, Plac9a, Gm10076, Ctsd, Dab2, Dstn, Enkur, Acaa2, Angptl2, Galm, Smim22, Glb1l, Tead1, Ctnna1, Gm24105, Tnfaip8, Efemp2"
"2","129","Plekhb1, Mbp, Cnp, Qdpr, Plp1, Mobp, Trf, Fth1, Bcas1, Mal, Cldn11, Apod, Ugt8a, Cryab, Mag, Mog, Sirt2, Ttyh2, Prr18, Csrp1, Opalin, Ermn, Gatm, Qk, Tmem88b, Gjc3, Car2, Ndrg1, Scd2, Lamp1, Sept4, Tspan2, Phgdh, Hapln2, Olig1, Phldb1, S100b, Plekhh1, Gna12, Pdlim2, Pllp, Enpp4, Sox2ot, Hipk2, Pacs2, Evi2a, Litaf, Padi2, Frmd8, Clic4, Fa2h, Gpr37, Pip4k2a, Plin3, Tubb4a, Fnbp1, Lpar1, Psat1, Endod1, Dnajb2, C030029H02Rik, Il33, Ppp1r14a, Sez6, Slc44a1, Lrrc17, 5031439G07Rik, Cmtm5, Slain1, Cers2, S1pr5, Myrf, Cntn2, Aspa, Dbndd2, Hmgcl, Kif15, Kif5b, Cdc42ep1, Gjc2, Tmbim1, Tmcc3, Gal3st1, Foxn3, Serpinb1a, Gng11, Slc12a2, Cnot3, Sox10, Gamt, Gcdh, Zcchc24, Efnb3, Galnt6, Neat1, Creb5, Tprn, Efhd1, Rab31, Rnf13, S100a16, Rhog, Ikzf4, Gjb1, Desi1, Gsn, Rassf2, Gm10801, Gm11478, Supt7l, 4930402H24Rik, 2810433D01Rik, Pmp22, Abca2, Taldo1, Anln, Arhgap23, March8, Gm38062, Vps8, Tsc22d4, Ptprd, Tmem229a, Ccp110, Nkx6-2, Plekhf1, Lgi3, Enpp6, Glul"
"3","75","Nap1l5, Resp18, Ndn, Ahi1, Impact, Zcchc12, Calb2, Gprasp2, Slc6a11, Scg2, AW551984, Sparc, Baiap3, Itih3, Cbln4, Slc17a6, Nrsn2, Peg3, A730017C20Rik, Gap43, Gaa, Hap1, Zwint, Wdr6, 6330403K07Rik, Adcyap1, Gnas, Rit2, Dzank1, Bex1, Gpx3, Rab9b, Pitx2, Tmem130, Tmsb10, Ctxn2, Cxx1a, B630019K06Rik, Ache, Cbln2, Igsf1, Rpl22l1, Pcbd1, Grb10, Tmem255a, Araf, Abat, Sparcl1, Aldoc, Usp29, Dlk1, Tac1, Zcchc18, Gprasp1, Ndrg2, Peg10, Rcn2, Lonrf2, Ngb, Klhl1, Tspyl2, Nxph4, Ppp1r17, Maged1, Tmie, Scoc, Crebl2, Sncg, Meg3, Slc4a4, Agt, Gm15421, Glra3, Elavl2, Etnppl"
"4","157","Nptxr, Ywhaz, Gda, Fkbp1a, Rtn1, Syn2, Atp2b4, Nov, Snca, Gpm6a, Crym, Hpcal4, Mapk1, Plppr4, Enc1, Arf3, Bhlhe22, Chn1, Rasgef1a, Wasf1, Calm2, Thra, Cck, Hpcal1, Stum, Serinc1, Wfs1, Ctxn1, Camkv, Gprin1, Lmo3, Calb1, Pfn2, Nckap1, Psd3, Gria2, Lypd1, Icam5, Ak5, Slc30a3, Dbpht2, Olfm1, Rab40b, Cpne6, Acvr2a, Arpp21, Hsbp1, Map2, Erc2, Fbxl16, Bex2, Snx10, Calm1, Map2k1, Prnp, Trhr, Camk2d, Gria3, Zbtb18, Syt17, Cnih2, Kcnip2, Rfx3, Ppp3cb, Ywhag, Calm3, Pja2, Pgm2l1, Negr1, Mink1, Mkl2, Fgf13, Nptx1, Synpr, Astn1, Sub1, Marcksl1, Tmsb4x, Pde1a, Sptan1, Tsc22d1, Adgrb3, Ppfia2, Plk2, Aldoa, Mmd, Phyhip, Cyp46a1, Baiap2, Myt1l, Kctd4, Pcdh8, Ids, Ncdn, Mtfp1, Ppp1cb, Actb, Ddn, Chst1, Nr2f2, Sh3gl2, Camk2n1, Slc39a10, Nell2, Capza2, Arhgap6, Ppp3r1, Ncoa1, Fam19a1, Morf4l2, Rasgrf2, Usmg5, Dynll1, Gucy1b3, Tspan7, Zfp365, Cdk17, Ap2m1, Kcnd3, Atp6v1a, Aplp1, Camta2, Trim2, Kpna4, Ube2ql1, Cadps2, Gm6788, Abr, Psd, Synj1, Cnr1, Kcnf1, Dcaf7, Arhgap33, Plppr2, Rapgefl1, Esr1, Otof, Grm5, Cfl1, Kctd12, Reps2, Neurod1, Rab2a, Plcb1, Hk1, Wipf3, Amph, Slc12a5, Mtpn, Caly, Nectin1, Prdm8, Arl15, Nsg2, Myh6, Gng3"
"5","210","Tmem120b, Gas2l1, Mrpl38, Rpl9-ps7, Kctd15, Cln6, Fbxl4, Ankrd44, Herpud2, Fbl, Sox1, Nop14, Rpl22-ps1, Gm19817, D2Bwg1423e, Tnfrsf11b, Dcun1d3, Zfp60, Ankrd10, Rpl35a-ps2, Foxk1, Etfdh, Tbc1d20, Phf13, 1810013L24Rik, Usf2, Rras, Dcp1b, Pa2g4, Txn-ps1, Sephs1, Lrrc45, Gm10051, Crlf2, Gm20072, Gm12983, Ushbp1, Tm7sf2, Rif1, Gm4673, Ormdl3, B3gnt9, Chd8, Cyb561d2, Rps23-ps2, Selenbp1, Pcnx3, Gm10923, Fat1, Cog6, Gm5406, Mycn, Zfp800, Gm14150, Rpain, Zfp39, Ccnj, Tacc2, Slc25a15, Paqr3, Mrpl50, Elof1, 2810013P06Rik, Zdhhc7, Utp14a, Chrnb2, Mtg2, Tm9sf4, Chn2, Abcg4, Cep76, Amt, Zfp931, Gm16238, Gm8662, Gm7600, Gm6443, Gm6177, Hsd17b11, Enho, Mier3, Mettl7a1, Ptgfr, Gm43655, Ints10, Neurl3, Taf1b, Htr7, Gm7299, Cdc27, Rpl27, Gm11341, Rab3gap1, Rps3a2, Tcf3, Ppp1r15a, Ing3, Zfand2b, Usp35, Gm13921, Babam1, Cbx7, Scrn2, Myadml2, Gm7561, 0610037L13Rik, Saal1, Zfp738, Spr, Abcc5, Tmem222, Fbxl2, Rnf19a, Calu, Diaph1, Gm12248, Gm5121, Gm45774, Nipa2, Gm7285, Snf8, Itgam, Arhgef28, Gm15743, Chchd1, Erf, Zfp280d, A530058N18Rik, Gm10913, Angpt1, Fance, Gm12094, Gm9774, Gspt1, 9530062K07Rik, Gm44609, Inha, Rps19-ps5, Gm8317, Sorcs3, Cops3, Sar1a, Gm5459, Col6a5, Rpl30-ps9, Eml3, Adck1, Tsen34, Chmp6, Gm6776, Gm11843, Lmbr1, Gm44703, Gm4997, Chmp7, Eif3c, Coasy, Zic5, Gm11599, Rps6ka1, Rpl14-ps1, Loxl3, Traip, Pdlim7, Dnajb11, Mdn1, Ccdc34, Rps6kl1, Rpl23a, Msl3l2, Gtf2h3, Rps19-ps13, Nubp2, Letm1, Anapc10, Mctp2, Dok3, Lztfl1, Ecsit, Gm25279, Gm36952, Gmeb2, P2ry14, Gskip, Gpank1, Gtf2h5, Postn, Gm19287, Fam174b, Sh3glb2, Gm6429, Fam175a, Hic1, Guf1, Gm26721, Ndp, Cda, Rbm18, Pnpla7, Gm11953, Gm20900, Ctsa, Map3k2, Zfp235, Celsr1, Plppr1, RP23-143D12.3, Gm44694, Gm13226, Inpp5e"
"6","43","Nelfa, Thsd4, Slc25a11, Ercc2, Slc27a3, E130307A14Rik, Nfrkb, Gm15794, Srrt, Pop5, Tle6, Slc11a2, Rad23a, Tnfsf13b, Il4ra, Whamm, Agmo, Rnf150, Ppp2r5d, Gm6807, Fbxl15, Psma5, Acot9, Gm20721, Cars2, Prune2, Mrpl27, Plekhh3, Mfap2, RP23-220P13.2, Rnaseh1, Plekhg5, Ccdc43, Gm40319, Gm9436, Gm38022, Tln2, E130317F20Rik, Vps41, Polr1c, Gm12989, Esco1, Gm12922"
"7","99","Cplx1, Pcp4, Rora, Ramp3, Adarb1, Pdp1, Plcb4, Ptpn4, Prkcd, Ccdc136, Atp2a2, Rgs16, Nefh, Lef1, Shox2, Rgs4, Elmo1, Synpo2, Cit, Amotl1, Ntng1, Vav3, Gabbr2, Plekhg1, Spock1, Rab37, Scrt1, Nrip3, Cpne9, Kcnc2, Gabra4, Hspa12a, Slc24a2, Eps8l2, Snap25, Grm1, Kcna2, Rgs7bp, Tnnt1, Rorb, Gpr153, Pitpnc1, Trnp1, Rims3, Kitl, Ckmt1, Atp6ap2, Clmn, Sptbn1, Ndrg4, Nsmf, Tmem56, Ttll7, Vipr2, Patj, Gm43398, Rap1gds1, Adra1b, Rasd1, Reep2, Opn3, Sncb, 1810041L15Rik, Cdk5r1, Syt7, Rgs8, Shank3, Prkch, Rap1gap, Spock3, Rab6b, Scn4b, Atp2b2, Kcnc1, Tcf7l2, Nrxn3, Zmat4, Mgst3, Xylt2, Chrna4, Plxdc1, Cacng5, Grm4, Ldhb, Gabrd, Cdkl5, Hapln4, Osbpl1a, Rasgef1b, Ildr2, Adarb2, Spock2, Snrpn, Fam20c, Osbpl5, Nrxn1, Nexn, Rab3c, Zic1"
"8","119","4930412C18Rik, Car8, Abca8b, Itgb4, Jade1, Gm45871, Zfp280c, Rnf181, Lyrm7, Erbin, Card10, Gm42770, Ino80c, St3gal2, Gm3571, Sart1, Ano1, Dyrk1b, Tbc1d14, Pde1c, Zfyve16, Tm9sf2, Haus7, Zfp410, Sema3c, Cstb, Fam204a, Tm7sf3, Hmces, Rsbn1, 2410015M20Rik, Ephb1, Eny2, Nkd1, Cdh20, Ctso, Phactr2, Tnip3, Ddah2, Gm15459, Siva1, Cdc42ep2, Rpl29, Hace1, Zfp292, Rpusd3, Gm13422, Ctu1, Rasal2, Particl, Tra2a, Fancm, Nat9, Iqcc, Ralgapa2, Trmt112-ps1, Rnpc3, Arfrp1, Aoc2, 1110051M20Rik, Foxf2, Gm12918, Mrm3, Hilpda, Mief2, Nxt1, Xpo5, Tapt1, Zbtb17, Faf1, Orc5, Gm43118, Cul7, Chtop, Naglu, Arl16, Zbtb43, Gm10268, Sag, Arrdc3, Th, Gmppa, AI606181, Capn12, Ado, Ccne2, Vsir, Galnt11, Gm37421, Timmdc1, Kctd2, Lrrc71, Tmcc1, Zfand1, Spry1, Pdgfra, Gm15210, Klhl12, 2310022A10Rik, Pcna-ps2, Wipf1, Rmnd5b, Arsg, Gm13312, Gm15798, Cep97, Nae1, Tcn2, Cmtr2, Sppl2a, Smyd2, Col27a1, 4930430F08Rik, 1500015A07Rik, Wbp1l, Tmem33, Sil1, Tmem110, Gm13437"
"9","53","Gm13340, Gm13341, mt-Nd3, Gm11512, Gm29216, mt-Co1, Gm28438, Slc1a2, Gm13339, Gm12508, Camk2a, S1pr1, Gemin5, BC048559, Tfcp2l1, Fgfrl1, Gm12155, mt-Co3, Jak3, mt-Tw, Stard8, mt-Ti, mt-Co2, Ptrhd1, mt-Atp6, Mterf2, Kbtbd11, Sept6, Slc9a3r1, Slc15a2, Gm6576, Dlgap3, Slc1a3, mt-Tf, Krcc1, Cspg5, Gm6426, Gm28437, Hapln1, Gm4953, Dtx2, Reg3b, Gm43362, Atf7, mt-Tp, Rhbdl3, 2610524H06Rik, mt-Cytb, Dio2, Gm44254, Cxcl14, Gm43477, Nr2e1"
"10","54","Supt3, Gm4832, Tshz2, Abcd4, Ccdc129, Stac, Gm6069, Satb1, Leng9, Prcp, Gm11978, Smu1, Tmem186, Zfp553, Fggy, Plxna4, Gm8203, Gm44229, Gm7516, Eif2s3x, Zfp143, Gdf10, Exosc2, Efr3a, Nudt17, Gm14015, Psmb10, Lifr, Clpp, Gm44560, Atg13, P3h2, Gm8083, Mrpl21, Vsnl1, Arhgap27, Ppib, Mllt10, Prkrip1, Gm42483, Fbxo46, Gm7117, Gzmm, RP24-284M17.3, Gm14127, Arhgef6, Nol12, Zpr1, Dnajc14, Capn5, Uqcrh-ps2, Tars, Timm50, Map1lc3a"
