,#genes,genes
1,79,"['mt-Tm', 'mt-Tv', 'mt-Tl1', 'Slc6a11', 'Gm13339', 'Cpe', 'mt-Tl2', 'mt-Nd3', 'mt-Tn', 'mt-Ta', 'mt-Tf', 'Aplp1', 'Atp1a2', 'mt-Tc', 'Aldoc', 'Gm28438', 'mt-Tw', 'mt-Th', 'mt-Ti', 'Apoe', 'Ndrg2', 'mt-Te', 'mt-Tp', 'mt-Tq', 'Trf', 'Malat1', 'Mt3', 'Sparcl1', 'Gm29216', 'Scd2', 'Gm6272', 'Sez6', 'Clu', 'Sptbn1', 'Pcp4', 'Cldn11', 'Qk', 'mt-Tr', 'Mt1', 'Atp1b2', 'Apod', 'Rpl38', 'Supt7l', 'Tubb4a', '2010107E04Rik', 'Psap', 'Ppp1r9b', 'Atp5a1', 'mt-Tt', 'Gm10736', 'Rps15', 'Prkcd', 'Cox8a', 'Gm3511', 'mt-Cytb', 'Cox6c', 'Ndufv3', 'Lrrc17', 'Dbi', 'Uba52', 'mt-Nd4', 'Gm28437', 'Rpl37a', 'Rpl38-ps2', 'Gstm1', 'Gm10126', 'Ndufa3', 'Usmg5', 'mt-Co3', 'Bsg', 'Anxa5', 'Laptm4a', 'Eno1b', 'Degs1', 'Gm15427', 'Prdx1', 'Rpl28', 'Gm11410', 'Ttyh2']"
2,101,"['Nap1l5', 'Peg3', 'Sparc', 'Ahi1', 'Resp18', 'Gap43', '6330403K07Rik', 'Scg2', 'Zcchc12', 'Pgrmc1', 'Nnat', 'Hap1', 'Dlk1', 'Peg10', 'Gprasp2', 'Ndn', 'Gnas', 'Celf4', 'Gaa', 'Baiap3', 'Agt', 'Gpx3', 'Impact', 'Asb4', 'Tmem130', 'Irs4', 'Dzank1', 'Usp29', 'Zdbf2', 'Itih3', 'Gpr101', 'A730017C20Rik', 'Gprasp1', 'Pcdh17', 'AW551984', 'Nrsn2', 'Tceal9', 'Ly6h', 'Marcks', 'Wdr6', 'Rpl22l1', 'Dgkk', 'B630019K06Rik', 'Tmem255a', 'Tspyl4', 'Rps27a', 'Zwint', 'Gm9843', 'Slc18a2', 'Gabrg1', 'Igsf1', 'Gabrq', 'Fau', 'Fxyd6', 'Pnck', 'Celf6', 'Gal', 'Unc5d', 'Tubb2a', 'Tuba1b', 'Cd200', 'Pmch', 'Vat1', 'Agrp', 'Parpbp', 'Zcchc18', 'Pcbd1', 'Tmx4', 'Gm15421', 'Camk2d', 'Tmem47', 'Rps5', 'Ngb', 'Canx', 'Vat1l', 'Rps19', 'Podxl2', 'Pja1', 'Gm11478', 'Timp2', 'Gm5525', 'Rps26', 'Rpl8', 'Gm5822', 'Sncg', 'Otp', 'Oprk1', 'Isl1', 'Disp2', 'Nkx2-1', 'Gad2', 'Col23a1', 'Rps16-ps2', 'Hdc', 'Ppp1r17', 'Eef1g', 'Grb10', 'Pomc', 'Scn9a', 'Gpr50', 'Amigo2']"
3,99,"['Nrgn', 'Camk2a', 'Chn1', 'Tmsb4x', 'Ppp3ca', 'Dkk3', 'Prkcb', 'Camk2n1', 'Homer1', 'Atp2b1', 'Ptk2b', 'Psd', 'Olfm1', 'Dgkz', 'Enc1', 'Grin2a', 'Slc24a2', 'Neurod6', 'Mef2c', 'Slc17a7', 'Scn1b', '3110035E14Rik', '1110008P14Rik', 'Ppp3r1', 'Nrn1', 'Hpca', 'Sv2b', 'Calm2', 'Itpr1', 'Zeb2', 'Baiap2', 'Tcf4', 'Cx3cl1', 'Fam131a', 'Kcnab2', 'Zbtb18', 'Ddn', 'Cyfip2', 'Egr1', 'Lamp5', 'Atp1a1', 'Ier5', 'Shank1', 'Camta2', 'Stac2', 'Sorl1', 'Nptx1', 'Atp2b2', 'Tmem178', 'Dlgap1', 'Fam163b', 'Mmp17', 'Wasf1', 'Adgrb2', 'Ano3', 'Satb2', 'Mgll', 'Arpp19', 'Stx1a', 'Gm11549', '9130024F11Rik', 'Fam212b', 'Cplx2', 'Klhl2', 'Atp1b1', 'Slc8a2', 'Fmnl1', 'Ppm1e', 'Osbpl1a', 'Rasgrp1', 'Neurod2', 'Mpped1', 'Asap1', 'Scn8a', 'Sema7a', 'Ndufa4', 'Gm10925', 'Sipa1l1', 'Ctxn1', 'Arhgef25', 'Plk2', 'Bcl11a', 'Camkk2', 'Inf2', 'Mical2', 'Olfml2b', 'Ppp2r2c', 'Golm1', 'Sept9', 'Lrrc8b', 'Bsn', 'Celsr2', 'Igfbp4', 'Dlg2', 'R3hdm2', 'Dio2', 'Ube2ql1', 'Phf24', 'Camk1d']"
4,68,"['Rps8', 'Eef1a1', 'Ndfip1', 'Eid1', 'Gm11353', 'Prkacb', 'Ywhab', 'Rpl19', 'Rpl6', 'Gm37108', 'Rpl17', 'Syt11', 'Tmem30a', 'Pkia', 'Prepl', 'Camta1', 'Matr3', 'Elavl4', 'Arl6ip1', 'Rpsa', 'Gm6969', 'Rps3a1', 'Prkar1a', 'Ddx6', 'Gm15843', 'Rpl13', 'Rpsa-ps2', 'Gm7027', 'Cnbp', 'Rpl6l', 'Rps8-ps1', 'Gabrb3', 'Maged1', 'Zdhhc2', 'Basp1', 'Rpl4', 'Nsg2', 'App', 'Plxnc1', 'Tcaf1', 'Glg1', 'Cox7a2l', 'Itpa', 'Tceal1', 'Flywch1', 'Gm20721', 'Gm5869', 'Ssb', 'Atp6v1a', 'Vcp-rs', 'RP24-142I9.2', 'Rpl14', 'Nub1', 'Chd3os', 'Nedd4', 'Gm17494', 'Psip1', 'Map2k4', 'Ankrd13c', 'Ube2o', 'Rpsa-ps12', 'Gdi1', 'Rpsa-ps4', 'Gm5687', 'Lsm12', 'G3bp2', 'Gdap1', 'Map2']"
5,79,"['Cck', 'Kalrn', 'Actb', 'Snap25', 'Adcy1', 'Cplx1', 'Sptbn2', 'Slc1a2', 'Fkbp1a', 'Spock1', 'Diras2', 'Gpm6b', 'Arf3', 'Syn1', 'Ncdn', 'Nsmf', 'Dnm1', 'Calm3', 'Epn1', 'Fth1', 'Aldoa', 'Ywhaz', 'Trim2', 'Sh3gl2', 'Mast3', 'Snph', 'Stum', 'Rnf187', 'Pip5k1c', 'R3hdm4', 'Dlgap3', 'Gm14630', 'Gpd1', 'Dusp5', 'Prickle1', 'Slc6a17', 'Prkcg', 'C1qtnf4', 'Scg3', 'Gabrd', 'Sgk1', 'Pex5l', 'Scrt1', 'Bzw1', 'Cdkl5', 'Ptms', 'Rab6b', 'Eps15', 'mt-Atp6', 'Glul', 'Hexb', 'Eef1a2', 'Snap91', 'Arhgap39', 'Acap3', 'Arap2', 'Sptan1', 'Hsd11b1', 'Zbtb20', 'Cabp7', 'Nrxn3', 'Gfap', 'Cdk5r1', 'Prdx6', 'Stx1b', 'Ptprj', 'Klhdc3', 'Slc44a1', 'Grina', 'Tmem56', 'Tmem151a', 'Mal', 'Hspa12a', 'Sh3bgrl3', 'Jph3', 'Map6d1', 'Zbtb7b', 'Ppfia2', 'Kcnc2']"
6,58,"['Slc17a6', 'Tcf7l2', 'Cbln2', 'Lhfpl3', 'Cbln4', 'Stmn2', 'Rn18s-rs5', 'Gm26917', 'Timp3', 'Calb2', 'Map1b', 'Zfhx3', 'Nxph1', 'Foxp2', 'Elavl2', 'Lypd6', 'Glra3', 'Rims3', 'Dnm3', 'Bend6', 'Tagln3', 'Psmc5', 'Cbln1', 'Ctxn3', 'Rbms3', 'Cd83', 'Syt4', 'Ube2r2', 'Reep5', 'Nova1', 'Gnl3l', 'Rit2', 'Gm4366', 'Plcxd2', 'Fzd5', 'Rian', 'RP24-91J7.1', 'Lypd6b', 'Mapt', 'Gm15796', 'Fam126b', 'Lhx9', 'Cited1', 'Pak3', 'Pdyn', 'Rufy3', 'Adcyap1', 'Slc36a4', 'Ttc3', 'Gm5075', 'Gm14150', 'Tgoln1', 'Psmc1', 'Gm6061', 'Cxxc4', 'Sos1', 'Ubl3', '2900011O08Rik']"
7,68,"['Adarb1', 'Zic1', 'Map1a', 'Nefh', 'Qdpr', 'Kif1a', 'Rora', 'Mbp', 'Sncb', 'Slc9a3r1', 'Plekhb1', 'Plp1', 'Ramp3', 'Mobp', 'Mgst3', 'Mt2', 'Atp2a2', 'Bcas1', 'Aldh1a1', 'Sez6l2', 'Oaz1', 'Sept4', 'Car2', 'Slc25a5', 'Desi1', 'Uqcr10', 'Cryab', 'Gng3', 'Cops9', 'Rhog', 'Ptpn3', 'Kif1b', 'Cnn3', 'Cnp', 'Hcn2', 'Plekhg1', 'Pla2g7', 'Pacs2', 'Ldhb', 'Stxbp1', 'Sdc4', 'Mlf2', 'Cyp46a1', 'Atp5d', 'Ermn', 'Clip3', 'Aplp2', 'Il33', 'Pkm', 'Chchd10', 'Rab37', 'Mag', 'Ttyh3', 'Vps52', 'Eno1', 'Tanc1', 'Hipk2', 'Asna1', 'Slc3a2', 'Olig1', 'Csrp1', 'Erbin', 'Trnp1', 'Elmo1', 'Myrf', 'Tnnt1', 'Eps8l2', 'Peak1']"
8,19,"['mt-Atp8', 'Calm1', '1700020I14Rik', 'mt-Co1', 'Syt1', 'Cadm2', 'Cacnb4', 'Actr3', 'Pou3f1', 'Khdrbs3', 'Ncald', 'Lpgat1', 'Klf9', 'Kcnq3', 'Efr3a', 'Ntm', 'Kcnb1', 'Rbfox3', 'Scn1a']"
9,28,"['Gm10076', 'Rpl19-ps11', 'Rpl11', 'Rps2', 'Alcam', 'Rps9', 'Gm8606', 'Sdc2', 'Rps16', 'Rasgrf2', 'Rpl9', 'Rcn1', 'Rpl35a', 'Bex4', 'RP23-149L23.1', 'Gm22513', 'Gm5312', 'Tac2', 'Hs6st2', 'Cacybp', 'Spcs2', 'Rpl19-ps9', 'Gm6170', 'Rhbdd2', 'Nudt11', 'Rps3', 'Ptprf', 'Gm6548']"
10,20,"['mt-Rnr1', 'Rock2', 'Mal2', 'Cap1', 'Lingo1', 'Prkca', 'Efhd2', 'Zfp365', 'Fbxw7', '2010300C02Rik', 'Tspan5', 'Nr3c2', 'Celf5', 'Wipf3', 'Kcnh7', 'Gm11407', 'Ppp3cb', '9430020K01Rik', 'Rbfox1', 'Camk4']"
