,#genes,genes
1,223,"['Prkcd', 'Pcp4', 'Rora', 'Adarb1', 'Ramp3', 'Pdp1', 'Ptpn4', 'Zic1', 'Ptpn3', 'Amotl1', 'Cit', 'Tnnt1', 'Atp2a2', 'Nefh', 'Plekhg1', 'Shox2', 'Plcb4', 'Ntng1', 'Synpo2', 'Gabra4', 'Rgs16', 'Ccdc136', 'Atp2b2', 'Grm1', 'Pcp4l1', 'Vav3', 'Rgs4', 'Lef1', 'Kitl', 'Ndrg4', 'Gabrd', 'Patj', 'Elmo1', 'Gpr153', 'Hcn4', 'Rab37', 'Pitpnc1', 'Kcnc2', 'Edil3', 'Nrip3', 'Cpne9', 'Cdk5r1', 'Ildr2', 'Slc6a17', 'Fndc5', 'Mgst3', 'Dlgap3', 'Xylt2', 'Rab6b', 'Rgs8', 'Rap1gds1', 'Gm43398', 'Trnp1', 'Cdkl5', 'Sh3d19', 'Eps8l2', 'Atp1b1', 'Gabbr2', 'Nmnat2', 'Kcnc1', 'Ina', 'Hspa12a', 'Adgrf5', 'Tmem56', 'Scn4b', 'Nrxn3', 'Scrt1', 'Clmn', 'Adarb2', 'Spock3', 'Sema7a', '1810041L15Rik', 'Reep2', 'Fam20c', 'Btbd3', 'Bok', 'Thy1', 'Rcan2', 'Abhd12b', 'Syt9', 'Shank3', 'Tanc1', 'Mb21d2', 'Hspa4l', 'Lrtm2', 'Nefl', 'Gpc1', 'Grm4', 'Vipr2', 'Etv1', 'Nell1', 'Kndc1', 'Ttll7', 'Prkch', 'Lhfp', 'Cacna1g', 'Thsd7a', 'Cacng5', 'Chrna4', 'Ncs1', 'Lrrtm1', 'Tiam1', 'Adra1b', 'Myo5a', 'Atp6ap2', 'Clec2l', 'Ctnnb1', 'Nexn', 'Mapk10', 'Grin1', 'Fign', 'Serinc1', 'Mlf2', 'Gnal', 'Arap2', 'Cd47', 'Hapln4', 'Atp5b', 'Pcsk2', 'Adgrb1', 'Fndc4', 'Kcna2', 'Mrvi1', 'Map6d1', 'Rap1gap', 'Tmem151a', '1700019D03Rik', 'Fam19a4', 'Ppp2r5d', 'Gm3510', 'Wnt9a', 'Galnt9', 'Chst8', 'Lynx1', 'Adora1', 'Hspa8', 'Pik3cd', 'Pitpna', 'Sema5a', 'Got1', 'Fam134b', 'Rasd1', 'Tmem127', 'Opn3', 'Epb41l3', 'Mgat5', 'Nrep', 'Ccdc85a', 'Endou', 'Pde1b', 'Arl4c', 'Plxdc1', 'Tubb3', 'Samd5', 'Hivep3', 'Adgra1', 'Tpd52l1', 'Inpp5a', 'Cacna2d4', 'Slc12a8', 'Grm2', 'Osbpl5', 'Chrnb2', 'Sept6', 'Relt', 'Cdk16', 'Kcnd2', '6430548M08Rik', 'Fem1c', 'Zic3', 'Rell2', 'Cdk19', 'Megf9', 'Adcy8', 'Adamts15', 'Btbd17', 'Zfp804a', 'Diras1', 'Epha8', 'Kctd17', 'Sars', 'Ociad1', 'Gnb1', 'Cdh12', 'BC031181', 'Tsc22d3', 'Eno2', 'Gpr137', 'Pacsin1', 'Robo3', 'Rtn3', 'Rnf152', 'F2r', 'Inpp5j', 'Dbndd1', 'Cthrc1', 'Pcbp4', 'Paqr8', 'Trpc3', 'Mroh1', 'Kcnn3', 'Rorb', 'Gpr4', 'Nav1', 'D630045J12Rik', 'Sema4g', 'Ap2a1', 'Zfhx2', 'Hs6st1', 'B3gat3', 'Cbx4', 'Ankrd34c', 'Sox3', 'Nhsl2', 'Mapre3', 'Letm1', 'Tln2', 'Grin2c', 'Sgpp2', 'St3gal4', 'Fbxo44', 'Sox13', 'Fam110b']"
2,61,"['mt-Tm', 'mt-Tv', 'mt-Tl1', 'Cpe', 'mt-Tf', 'mt-Tn', 'Malat1', 'Slc1a2', 'Aldoc', 'mt-Tl2', 'Atp1a2', 'Gm13339', 'mt-Ta', 'Aplp1', 'Apoe', 'mt-Ti', 'mt-Tw', 'mt-Nd3', 'mt-Tc', 'Sez6', 'Supt7l', 'Ndrg2', 'Sparcl1', 'Mt1', 'Clu', 'mt-Tq', 'mt-Th', 'Gm28438', 'mt-Te', 'mt-Tp', 'Gm6272', 'Kif1a', 'Atp1b2', 'Rps15', 'Mt3', 'mt-Tr', 'mt-Tt', 'Gm28437', 'Gm14303', 'Rpl38', 'Gm10736', 'Mt2', 'Atp5a1', 'Rpl37a', 'mt-Co3', '2010107E04Rik', 'Uba52', 'Gstm1', 'mt-Nd4', 'Kif1b', 'Gm10126', 'mt-Cytb', 'Hsp90aa1', 'Lrrc17', 'Oaz1', 'Gm15427', 'Rpl38-ps2', 'Cox6c', 'Gm3511', 'Ndufa3', 'Slc25a3']"
3,101,"['Nap1l5', 'Peg3', 'Nnat', 'Ahi1', 'Resp18', '6330403K07Rik', 'Peg10', 'Gap43', 'Scg2', 'Dlk1', 'Hap1', 'Zcchc12', 'Ndn', 'Gpx3', 'Gprasp2', 'Asb4', 'Baiap3', 'Celf4', 'Impact', 'Irs4', 'Gaa', 'Ly6h', 'Gnas', 'Gpr101', 'Tmem130', 'Agrp', 'Rpl22l1', 'Gal', 'A730017C20Rik', 'Dzank1', 'AW551984', 'Dgkk', 'Usp29', 'Igsf1', 'Pnck', 'Zdbf2', 'Tmem255a', 'Pcdh17', 'Gprasp1', 'Gabrq', 'Pomc', 'Wdr6', 'Tac1', 'Unc5d', 'Pcbd1', 'Fxyd6', 'Slc18a2', 'Tceal9', 'Rpl11', 'Cartpt', 'Maged1', 'Gpr50', 'Bex1', 'Rpl19-ps11', 'Gm15421', 'Pmch', 'B630019K06Rik', 'Nkx2-1', 'Rps19', 'Cd200', 'Col23a1', 'Esyt3', 'Ngb', 'Rps9', 'Isl1', 'Tmem47', 'Rps27a', 'Gabrg1', 'Pnmal2', 'Celf6', 'Bex2', 'Hdc', 'Rpl14', 'Parpbp', 'Canx', 'Vat1', 'Tmx4', 'Ppp1r17', 'Gm11478', 'Timp2', 'Gm6548', 'Otp', 'Rpl8', 'Hs6st2', 'Rpl10', 'Arxes2', 'Pak3', 'Rps5', 'Tac2', 'Pja1', 'Ncam1', 'Rrad', 'Fndc3a', 'Zcchc18', 'Nkx2-4', 'Bex4', 'Gm36964', 'Rps26', 'Sytl4', 'Scn9a', 'Gabre']"
4,158,"['Mbp', 'Apod', 'Trf', 'Fth1', 'Mobp', 'Scd2', 'Cldn11', 'Qk', 'Plp1', 'Plekhb1', 'Tubb4a', 'Qdpr', 'Bcas1', 'Cryab', 'Cnp', 'Vamp1', 'Mal', 'Car2', 'Sept4', 'Aldh1a1', 'Il33', 'Gprc5b', 'Hcn2', 'Gatm', 'S100b', 'Csrp1', 'Mog', 'Ermn', 'Ndrg1', 'Sez6l2', 'Pllp', 'Mag', 'Ckb', 'Pla2g7', 'Pacs2', 'Gjc3', 'Olig1', 'Erbin', 'Slc12a2', 'Gpr37', 'Pvalb', 'Slc44a1', 'Arhgap23', 'Myrf', 'Litaf', 'Pla2g16', 'Lgi3', 'Cd9', 'Sox10', 'Tspan2', 'Desi1', 'Gm5575', 'Pip4k2a', 'Pex5l', 'Slc38a2', 'Abca2', 'Gltp', 'Slain1', 'Ttyh2', 'S100a16', 'Gna12', 'Klk6', 'Ugt8a', 'Slc6a9', 'Sdc4', 'Gjb1', 'Rdx', 'Aqp4', 'Fth-ps3', 'Rpl28', 'Lpar1', 'Ptma', 'Ppp1r16b', 'Pstpip1', 'Frmd8', 'Tmem88b', 'Sirt2', 'Neat1', 'Dock10', 'Cops9', 'Gal3st1', 'Otud7b', 'Rnf13', 'Opalin', 'Jam3', 'Gng11', 'Ppp1r14a', 'Fa2h', 'Pmp22', 'Cox4i1', 'Nkx2-2', 'Frmd4b', 'Rtkn', 'S1pr5', 'Ado', 'Degs1', 'Evi2a', '5031439G07Rik', 'Fgfr2', 'Aspa', 'Fth-ps2', 'Npc1', 'Arhgef10', 'Gpx4', 'Carhsp1', 'Dnajb2', 'Gm23493', 'Cd82', 'Plekhh1', 'Trim59', 'Mir6240', 'Tjp2', 'Sox2ot', 'Gsn', 'Elovl7', 'Gjc2', 'Gm24270', 'Tmem63a', 'Gab1', 'Zcchc24', 'Fnbp1', 'Tprn', 'Limk1', 'Gpt', 'Esrrg', 'Stxbp3', 'Lamp1', 'Ywhaq', 'Cers2', 'Phldb1', 'Cpox', 'Arl2', 'Efcab14', 'Gm8355', 'Tmbim1', 'Rassf2', 'Anln', 'Pdlim2', 'Pde8a', 'Dbndd2', 'Tmcc3', 'Plrg1', 'Clic4', 'Gm15440', 'Glrx3', 'Pcsk6', 'Hint3', 'Rpl28-ps1', 'Arsg', 'Adamtsl4', 'Anapc2', 'Gm7129', 'Gm8464', 'Prr18', 'Adssl1', 'Appl2', 'Enpp4', 'Ankub1']"
5,161,"['Enpp2', 'Ttr', 'Kl', 'Clic6', 'Igfbp2', 'Igf2', 'Sostdc1', 'Dbi', 'Folr1', 'Trpm3', 'Cox8b', 'Calml4', '1500015O10Rik', 'Ezr', 'Kcne2', 'Cul4b', 'Slc4a5', 'Mir6236', 'Msx1', 'Cldn2', 'Lbp', 'Col9a3', 'Lars2', 'Spint2', 'Tc2n', 'Rbm47', 'Cab39l', 'Prlr', 'Col8a2', 'Otx2', 'Gm45396', 'Sulf1', 'F5', 'Bsg', 'Tpt1', 'Ace', 'Cnn3', 'Sowahc', 'Snora28', 'Snora21', 'Vim', 'Prelp', 'Gpx8', 'Cd63', 'Pifo', 'Zfp185', 'Mdfic', 'Prr32', 'Ppp1r1b', 'Tbc1d9', 'Perp', 'Gm15564', 'Wdr86', 'Fxyd1', 'Gm24245', 'Tmem72', 'Slc13a4', 'Hist1h4h', 'Trpv4', 'Ifi27', 'Drc7', 'Myoc', 'Abhd2', 'Cdkl4', 'Dstn', 'Krt18', 'Cdkn1c', 'Pcolce2', 'Defb11', 'Snora73b', 'Rdh5', 'Col8a1', 'Zfp36l1', 'Mlf1', 'Pcolce', 'Rbp1', 'Sgk3', 'Cox6b2', 'Tmem98', 'Hemk1', 'Fam161a', 'Plxnb2', 'Ddr1', 'Cfap44', 'Gng5', 'Prps2', 'Ahcyl2', 'Stk39', 'Rsph1', 'Trp73', 'Ptpn14', 'Slc4a2', 'Fam84b', 'Efemp2', 'Ccdc146', 'Atp6v0e', 'Car12', 'Rsph4a', 'Gm20501', 'Sh3bgrl', 'Kif9', 'Tpt1-ps6', 'Hist1h2bc', 'Sema3b', 'Spag6l', 'Tpt1-ps3', 'Tubb4b', 'Fam216b', 'Acad8', 'Strip2', 'Wfdc2', 'Phactr2', 'Oca2', 'Metrn', 'Cpt1a', 'Npc2', 'Hist1h4k', 'Serpinh1', 'Manf', 'Slc29a4', 'Tm4sf1', 'Vwa3a', 'Csrp2', 'Tcn2', 'Sntn', 'Kcnj13', 'Acss1', 'Dab2', 'Rnaset2a', 'Cldn1', 'Spag8', 'Col4a4', 'Frem1', 'Slco1c1', 'Mospd1', 'Aebp1', 'Ctsl', 'Tcea3', 'Hspb8', 'Drc3', 'Ctsd', 'Nt5dc1', 'Slc38a3', 'Ephx1', 'Ucma', 'Abca4', 'Pla2g5', 'Slc2a12', 'Tnfaip8', 'Cdr2', 'Arhgap18', 'Myo7a', 'Ldlrap1', 'Smim22', 'Lrrc51', 'Efs', 'Ccdc33', 'Gm15776', 'Morn5', 'Slc12a4', 'Nedd9']"
6,84,"['Eef1a1', 'Pgrmc1', 'Rps8', 'Ndfip1', 'Eid1', 'Gm11353', 'Prkacb', 'Tmem30a', 'Ywhab', 'Syt11', 'Ccni', 'Arl6ip1', 'Pkia', 'App', 'Rpl6', 'Rpl19', 'Camta1', 'Gm37108', 'Sv2a', 'Rpsa', 'Gm20721', 'Rpl17', 'Rpsa-ps2', 'Rps2', 'Elavl4', 'Nsf', 'Prepl', 'Zyg11b', 'Gm6352', 'Sgip1', 'Gm7027', 'Gm6969', 'Bend6', 'Rps3a1', 'Basp1', 'Rpl4', 'Atp6v1a', 'Rpl6l', 'Matr3', 'Prkar1a', 'Glra3', 'Rps8-ps1', 'Gm15843', 'Cnbp', 'Nrsn1', 'Ddx6', 'Rpl13', 'Nedd4', 'Ube2r2', 'Gm5687', 'Itpa', 'Plxnc1', 'Gm7206', 'Gm17494', 'Glg1', 'Psmc5', 'Gm24951', 'Vcp', 'Gm8606', 'Gm5869', 'Zdhhc2', 'Pdia3', 'Psip1', 'Gm13623', 'Ssb', 'Cox7a2l', 'Hnrnpa0', 'Gm5075', 'Gdi1', 'Tceal1', 'Gm6745', 'Gdap1', 'Rpsa-ps12', 'RP24-142I9.2', 'Rprd1a', 'Sfxn1', 'Ankrd13c', 'Nap1l2', 'Gm6767', 'Nub1', 'Ar', 'Nsa2', 'Fkbp3', 'Pfdn4']"
7,129,"['Tcf7l2', 'Slc17a6', 'Hlf', 'Cbln4', 'Ctxn3', 'Cbln1', 'Cbln2', 'Calb2', 'Rims3', 'Foxp1', 'Foxp2', 'Lypd6', 'Stmn2', 'Timp3', 'Elavl2', 'Map1b', 'Lhfpl3', 'Zfhx3', 'Uchl1', 'Wnt4', 'Camk2n2', 'Nxph1', 'Stmn1', 'Plcxd2', 'Stxbp6', 'Rab3c', 'Ddah1', 'Rgs17', 'Tagln3', 'Lypd6b', 'Lhx9', 'Dnm3', 'Rbms3', 'Syt4', 'Snhg11', 'Pdyn', 'Zfp423', 'Fzd5', 'Reep5', 'Dynll2', 'Cd59a', 'Lsamp', 'Hivep1', 'Rian', 'Mapt', 'Nwd2', 'Irx2', 'Tmem132c', 'Ttc3', 'Gbx2', 'Htr7', 'RP24-91J7.1', 'Rcn2', 'Atxn1', 'Tubb5', 'Gsk3b', 'Slitrk6', 'Snhg14', 'Cds2', 'Kcnk3', 'Klf6', 'Pcdh10', 'Gm1821', 'Gabra3', 'Kcnj5', 'Fkbp4', 'Syndig1l', 'Acsl3', 'Dusp26', 'Tmod2', 'Kif21a', 'Coro2a', 'B4galt5', 'Suco', 'Paip2', 'Reep1', 'Rnf11', 'Slc29a1', 'Megf11', 'Fam63b', 'Cachd1', 'Gm2694', 'Kif26b', 'Crebrf', 'Cd44', 'Slc36a4', 'Creg1', 'Hdac9', 'Tespa1', 'Mir124-2hg', 'Igf1', 'Eif2s2', 'Lgr5', 'Rsrc1', 'Wnt3', 'Gm5844', 'Cmtm7', 'Dnm1l', 'Fam210b', 'Gm20604', 'Clint1', 'Snx8', 'Cntn1', 'Gm15459', 'Larp1', 'Gm45884', 'Klhl29', 'Zfp106', 'Cited2', 'Mme', 'Ctxn2', 'Tle1', 'Gcc2', 'Ncam2', 'Inpp5f', 'Gm3756', 'Shoc2', 'Arid4a', 'Selenom', 'Snrk', 'Arxes1', 'Map7d2', 'Car8', 'Dnajc6', 'Chd6', 'Axin2', 'Dstyk', 'Ttyh1', 'Itsn1']"
8,52,"['Gm24447', 'Rnu5g', 'Gm23624', 'Gm26035', 'mt-Rnr2', 'mt-Rnr1', 'Rn7s1', 'Gm23287', 'Gm26461', 'Gm25106', 'Gm24265', 'Gm22513', 'Rnu2-10', 'Gm22122', 'Gm23345', 'Gm24407', 'Gm25937', 'Rn7s2', 'Gm24146', 'Rny3', 'Gm23445', 'Gm23971', 'Gm25890', 'Gm24105', 'Gm24497', 'Rn7sk', 'Gm26444', 'Gm26331', 'Gm26316', 'Gm22614', 'Gm23973', 'Gm26505', 'Rpph1', 'Snora30', 'Elob', 'Tob1', 'Gm25179', 'Gm25679', 'Gm22739', 'Prkab2', 'Gm24514', 'Gm24305', 'Gm25682', 'Gm23153', 'Gm11837', 'Rpl13a', 'Gm22249', 'Gm13342', 'Jazf1', 'Gm25939', 'Gm23240', 'Gm23238']"
9,37,"['Camk2a', 'Snap25', 'Cck', 'Ddn', 'Ppp3ca', 'Actb', 'Kalrn', 'Tmsb4x', 'Psd', 'Enc1', 'Chn1', 'Prkcb', 'Sptbn2', 'Ptk2b', 'Adcy1', 'Hpca', 'Slc17a7', 'Arf3', 'Calm2', 'Fkbp1a', 'Neurod6', 'Dgkz', 'Itpr1', 'Camta2', 'Grin2a', 'Nptx1', 'Fam163b', 'Cnih2', 'Crym', 'Wasf1', 'Zeb2', 'Stum', 'Epn1', 'Mmp17', 'Slc8a2', 'Klhl2', 'Adgrb2']"
10,69,"['Camk2n1', 'Nrgn', 'Mef2c', 'Homer1', 'Dkk3', '1110008P14Rik', '3110035E14Rik', 'Egr1', 'Sv2b', 'Lamp5', 'Atp1a1', 'Baiap2', 'Arpp19', 'Fam131a', 'Fam81a', 'Tcf4', 'Stac2', 'Cyfip2', 'Ttc9b', 'Dlgap1', 'Gm11549', 'Ier5', 'Cplx2', 'Satb2', 'Stx1a', 'Pou3f1', 'Osbpl1a', 'Pip5k1c', 'Khdrbs3', '9430020K01Rik', 'Camkk2', 'Efhd2', 'Dclk1', 'Camk2g', 'Sorl1', 'Serpini1', 'Clstn1', 'Ano3', 'Tbr1', 'Dusp3', 'Mpped1', 'Tmem178', 'Ephx4', 'Rapgef4', 'Gria3', 'Hs3st2', 'Fam212b', 'Ipcef1', 'Sipa1l1', 'Plcb1', 'Hcn1', 'Fbxw7', 'Bsn', 'R3hdm1', 'Fmnl1', 'Plk2', 'Dlg2', 'Phyhip', '9130024F11Rik', 'Satb1', 'Cort', 'Igfbp4', 'Kcnj4', 'Rprml', 'Mical2', 'Epop', 'Ube2ql1', 'Cacng3', 'Bcl11a']"
