,#genes,genes
1,155,"['Cbln1', 'Selenom', 'Cbln3', 'Ckb', 'Gabra6', 'Nrep', 'Zic1', 'Gm2694', 'Atp1a1', 'Neurod1', 'Calb2', 'Chn2', 'Cnpy1', 'Grin2c', 'Shf', 'Fat2', 'Adcy1', 'Zbtb18', 'Tmem132a', 'Grm4', 'Diras2', 'Hpcal1', 'Ddx5', 'Gabrd', 'Stmn2', 'H3f3b', 'Rnf112', 'Trim62', 'Kcnc3', 'Sphkap', 'Cacna1a', 'Mtcl1', 'Kcnc1', 'Gm47283', 'Syt2', 'Appl2', 'Kcnt1', 'Ubb', 'Mir124a-1hg', 'Adamts10', 'Ank1', 'Cadm3', 'Plch2', 'Snrk', 'Sorl1', 'Adam11', 'Crtam', 'Dusp5', 'Mmp24', 'Dgkd', 'Mpp3', 'Cerk', 'Sh3gl2', 'Smg1', 'Il16', 'Tspan9', 'Car4', 'Pxn', 'Dpysl4', 'Bmp1', 'Il20rb', 'Ablim1', 'Clip3', 'Ndrg3', 'Wscd2', 'Aifm3', 'Pitpnm1', 'Prune2', 'Camkk2', 'Ypel3', 'Abhd16a', 'Cadps2', 'En2', 'St8sia5', 'Tesc', 'Ppfia4', 'Reln', 'Rps6ka1', 'Kcnk3', 'Gm49980', 'Megf11', 'Kcnd2', 'Scn2b', 'Pcbp4', 'Tle2', 'Ajm1', 'Mybpc3', 'Shisa8', 'Tspan4', 'Tmem178', 'Dot1l', 'Ifitm10', 'Ndst3', 'Porcn', 'Rgl3', 'Epb41', 'Hnrnpa2b1', 'Arhgap26', 'Oip5os1', 'Olfm3', 'Usp3', 'Kcnk1', 'Ccnl2', 'Tmem266', 'Cdh15', 'Sh3glb2', 'Srgap2', 'Zfp219', 'Tmem240', 'Bcl2l15', 'Trim3', 'Paxx', 'Paxbp1', 'Tagln3', 'Hnrnpu', 'Mapk12', 'Rbm3', 'Slc16a11', 'Sptb', 'Ackr1', 'Chd7', 'Tecpr1', 'Cox14', 'H1f0', 'Plk5', 'Snhg20', 'Uncx', 'Hnrnpm', 'Coro2b', 'Tmem145', 'Mprip', 'Dipk2a', 'Ap2a2', 'Arhgef7', 'Mtch2', 'Akap8', 'Gabarapl2', 'Btg1', 'Stap2', 'Zbtb46', 'St6galnac4', 'Inpp5j', 'Crhr1', 'Mus81', 'Ltbp2', 'Pkd1', 'Wnt7a', 'Ptpn22', 'Ccdc28b', 'Fndc10', 'Stat2', 'Lncppara', 'Barhl2', 'Boc', 'Smarcd2']"
2,296,"['Fth1', 'Mbp', 'Mobp', 'Plp1', 'Trf', 'Plekhb1', 'S100b', 'Sparc', 'Scd2', 'Cnp', 'Mag', 'Tpt1', 'Qdpr', 'Cryab', 'Bcas1', 'Dbndd2', 'Mal', 'Aplp1', 'Car2', 'Cldn11', 'Pacs2', 'Mog', 'Ndrg1', 'Tubb4a', 'Qk', 'Selenop', 'Gatm', 'Apod', 'Ermn', 'Hcn2', 'Ppp1r14a', 'Gng11', 'Kcnj10', 'Ugt8a', 'Klk6', 'Gsn', 'Csrp1', 'Pllp', 'Tspan2', 'Gpr37', 'Lamp1', 'Gm42418', 'Prr18', 'Scd1', 'Tuba1a', 'Fa2h', 'Olig1', 'Hmgcs1', 'Agt', 'Cd81', 'Tmem88b', 'Gltp', 'Pdlim2', 'Cmtm5', 'Stmn4', 'Hapln2', 'Ptma', 'Tppp3', 'Rnf13', 'Tsc22d4', 'Gjc2', 'Anln', 'Gjb1', 'Efnb3', 'Rhob', 'Slc44a1', 'Prdx1', 'Gna12', 'Evi2a', 'Psat1', 'Sec11c', 'Pip4k2a', 'Fez1', 'Rhog', 'Opalin', 'Slain1', 'S100a16', 'Tmem63a', 'Cers2', 'Actb', 'Slc48a1', 'Grb14', 'Pmp22', 'Trp53inp2', 'Slc12a2', 'Rnd2', 'Aspa', 'Malat1', 'Litaf', 'Myrf', 'Plaat3', 'Endod1', 'Serpinb1a', 'Slc6a9', 'Taldo1', 'Anxa5', 'Sccpdh', 'Sirt2', 'Josd2', 'Sox10', 'Neat1', 'Clic4', 'Lpar1', 'Aqp4', 'Sez6l2', 'Syt11', 'Nkx6-2', 'Tmbim1', 'Sypl', 'Carhsp1', 'Plekhh1', 'Golga7', 'Phldb1', 'Gal3st1', 'Itgb4', 'Epb41l3', 'Tmem229a', 'Efcab14', 'Desi1', 'Tmem151a', 'Kif5b', 'Enpp6', 'Pex5l', 'Ttyh2', 'Gjc3', 'Fgfr2', 'Rap1a', 'Erbin', 'Jam3', '2810468N07Rik', 'Npc2', 'Sox2ot', 'Frmd8', 'Adssl1', 'Agpat4', 'Efhd1', 'Pkp4', 'Arsg', 'Phlda3', 'Spg20', 'Slc38a2', 'Lars2', 'Car14', 'Tmeff1', 'Wscd1', 'Plin3', 'Gstm7', 'Gab1', '5031439G07Rik', 'Cpox', 'Tmcc3', 'Cd82', 'Elovl1', 'Cd59a', 'Phgdh', 'Tmeff2', 'Trim59', 'Il33', 'Prr5l', 'Rnf7', 'Wnk1', 'Tmem125', 'Cpd', 'Atp1b3', 'S1pr5', 'Tnfaip6', 'Tmem98', 'S100a13', 'Bin1', 'Tmem189', 'Aatk', 'Plcl1', 'Sema4d', 'Slc4a2', 'Mid1ip1', 'Arhgap23', 'Tmbim6', 'Lrrn1', 'Arhgef10', 'Ado', 'Scarb2', 'Msmo1', 'Plxnb3', 'Cdk18', 'Secisbp2l', 'Cdc42ep2', 'Gpr62', 'Cyp27a1', 'Idi1', 'Rftn1', 'Hepacam', 'Shisa4', 'Lamp2', 'Ptprd', 'Pfdn2', 'Npc1', 'Rnf130', 'Slco3a1', 'Olig2', 'Inf2', 'Fdps', 'Unc5b', 'Pde8a', 'Reep3', 'Myo1d', 'Trak2', 'Arrdc3', 'Cyp51', 'Dcaf17', 'Rhou', 'Elovl5', 'Fdft1', 'Sec14l5', 'Dock10', 'Elovl7', 'Oxsr1', 'Cdc37l1', 'Enpp4', 'Lap3', 'Epb41l2', 'Nmral1', 'Bnip3l', 'Emilin2', 'Aif1l', 'March8', 'Rhoa', 'Magt1', 'Rab31', 'Zdhhc20', 'Aven', 'Rcbtb1', 'Cdr2', 'Tgfa', 'Dip2a', 'Ddr1', 'Fnta', 'Map7', 'Eml1', 'Kif13b', 'Vamp3', 'Galnt6', 'Smim1', 'Klhl4', 'Degs1', 'Mob3b', 'Adamtsl4', 'Sptssa', 'Dnajb2', 'Tkt', 'Bpgm', 'Serinc5', 'Nfasc', 'Tspan15', 'Gamt', 'Nde1', 'Dusp3', 'Plekhg3', 'Insc', 'Eef1d', 'Sqle', 'Rdx', 'B3galt5', 'Daam2', 'Kcnk13', 'Otud7b', 'Stxbp3', 'Ermp1', 'Slc25a1', 'Micall1', 'Fam234a', 'Adipor2', 'Plod1', 'Rasgrp3', 'Prrg1', 'Sox8', 'Rffl', 'Sh3glb1', '1700063D05Rik', 'Ctss', 'Sc5d', 'Pigz', 'Carns1', 'Fbxo32', 'Fah', 'Anp32b', 'Selenok', 'Cat', '1700047M11Rik', 'Pls1', 'Nipa1', 'Nipal4', 'Syngr2', 'Nkx2-9', 'D16Ertd472e', 'Cyp2j12', 'Dock5']"
3,60,"['Pcp2', 'Pvalb', 'Gng13', 'Rgs8', 'Itpr1', 'Sbk1', 'Dgkz', 'Nptx1', 'Lhx1os', 'Inpp5a', 'Metrn', 'Homer3', 'Fam107a', 'Sptbn2', 'Car8', 'Ppp1r17', 'Arhgef33', 'Icmt', 'Cnr1', 'Calb1', 'Nsg1', 'Gria4', 'Garnl3', 'Asph', 'Ppp1cc', 'Kcng4', 'Grid2', 'Kit', 'Slc1a6', 'Washc2', 'Slc1a3', 'Dner', 'Atp2a3', 'Fam107b', 'Iltifb', 'Rnf19b', 'Gdf10', 'Clec2l', 'Hes3', 'Col18a1', 'Csdc2', 'Shisa6', 'Ptprr', 'Zfp385c', 'Mtss1', 'Strip2', 'Lingo3', 'Syndig1', 'Trpc3', 'Psd2', 'Pde5a', 'Gm5083', 'Tuba8', 'Atl2', 'Bcar1', 'Cep76', 'Nrk', 'Stk17b', 'Cacna2d2', 'Rmdn3']"
4,59,"['Prkcd', 'Tnnt1', 'Nsmf', 'Rasgrp1', 'Tcf7l2', 'Pdp1', 'Adarb1', 'Ntng1', 'Amotl1', 'Synpo2', 'Ramp3', 'Atp2b1', 'Plekhg1', 'Ptpn3', 'Bok', 'Shox2', 'Kcnc2', 'Ptpn4', 'Cit', 'Gabra4', 'Dlgap3', 'Gbx2', 'Rgs16', 'Ildr2', 'Ccdc136', 'Slc24a2', 'Zdhhc22', 'Rasd1', 'AI593442', 'Rgs7bp', 'Nrip3', 'Adra1b', 'Shisal1', 'Ogfrl1', 'Zmat4', 'Slitrk6', 'Elmo1', 'Trnp1', 'Hlf', 'Pakap', 'Lef1', 'Zfhx3', 'Chrna4', 'Nell1', 'Vipr2', 'Rap1gap', 'Atp2a1', 'Pitpnc1', 'Foxp2', 'Lrtm2', 'Zfp804a', 'Clmn', 'Sptbn1', 'Samd5', 'Kctd17', 'Adarb2', 'Tafa4', 'Nexn', 'Abhd12b']"
5,35,"['Nrgn', 'Ctxn1', 'Hpcal4', 'Basp1', 'Enc1', 'Icam5', 'Chn1', 'Snca', 'Ptk2b', 'Camkv', 'Pde2a', 'Dynll1', 'Cpne6', 'Ak5', 'Pde1a', 'Pld3', 'Syt5', 'Foxg1', 'Arf3', '2010300C02Rik', 'Chst1', 'Rprml', 'Fam131a', 'Mmd', 'Kcnip2', 'Egr3', 'Celf5', 'Thra', 'Adgrb2', 'Chrm1', 'Nell2', 'Plppr4', 'Miat', 'Sub1', 'Syt16']"
6,18,"['Ly6h', 'Nptxr', 'Gda', 'Ccn3', 'Lypd1', 'Nsg2', 'Tubb2a', 'Lmo3', 'Pcdh8', 'Pgrmc1', 'Myh7', 'Syn2', 'Dbpht2', 'Ptprn', 'Caly', 'Mapk1', 'Syt17', 'Cadm1']"
7,22,"['Camk2n1', 'Mef2c', 'Cck', 'Stx1a', 'Syt1', 'Cx3cl1', 'Slc30a3', 'Lmo4', 'Lingo1', 'Zfp365', 'Arpp21', 'Kcnh3', 'Calm1', 'Kalrn', 'Mal2', 'Ngef', 'Atp2b4', 'Kcnf1', 'Kcnj4', 'Epop', 'Cacng3', 'Kcnv1']"
8,31,"['Cst3', 'Bc1', 'Rplp1', 'Rps29', 'Rpl41', 'Rps2', 'Rps21', 'Rpl37', 'Rpl9', 'Rps23', 'Rps27', 'Rps19', 'Rps14', 'Rpl17', 'Rps28', 'Rpl37a', 'Rpl35a', 'Rpl10', 'Rps26', 'Rps15', 'Rpl13', 'Rpl12', 'Rps8', 'Rpl18a', 'Rps18', 'Rpl21', 'Rps16', 'Rpl39', 'Rpl27a', 'Rpl19', 'Rps5']"
9,36,"['Olfm1', 'Rtn1', 'Gpm6a', 'Slc17a7', 'Meg3', 'Snhg11', 'Calm2', 'Gria2', 'Vamp2', 'Tspan7', 'Itpka', 'Baiap2', 'Dlgap1', 'Cacnb3', 'Rasgef1a', 'Sv2b', 'Ldha', 'Clstn1', 'Psd3', 'Dnm1', 'Bsn', 'Atp6v1g2', 'Aldoa', 'Mical2', 'Cnksr2', 'Cyfip2', 'Slc25a22', 'Kifc2', 'Pgm2l1', 'Cdk17', 'Gprin1', 'Pianp', 'Car11', 'Cap2', 'Celf2', 'Adgrl1']"
10,102,"['Ttr', 'Enpp2', 'Ecrg4', 'Car12', 'Clic6', 'Kl', '2900040C04Rik', 'Calml4', 'Folr1', 'Kcne2', 'Cldn2', 'Wfdc2', 'Lbp', 'F5', 'Kcnj13', 'Tmem72', 'Krt18', 'Sostdc1', 'Prlr', 'Ace', 'Col9a3', 'Sulf1', 'Steap1', 'Slc4a5', 'Abca4', 'Ezr', 'Aqp1', 'Col8a2', 'Dynlrb2', 'Msx1', 'Prr32', 'Trpv4', 'Spint2', 'Rsph1', 'Pifo', 'Fam183b', 'Slc16a8', 'Mia', 'Cfap126', 'Otx2', 'Wdr86', 'Lgals3bp', 'Gm19935', 'Mlf1', '1110017D15Rik', 'Cab39l', 'Rdh5', 'Drc7', 'Col8a1', 'Ccdc153', 'Hemk1', 'Cldn1', 'Gm20501', 'Slc31a1', 'Rarres2', 'Cox8b', 'Foxj1', '2410004P03Rik', 'Spag6l', 'Vwa3a', 'Mdfic', 'Csrp2', 'Enkur', 'Slco1c1', 'Crb2', 'Zfp185', 'Dnah6', '1700094D03Rik', 'Acaa2', 'Fhad1', 'Slc2a12', 'Cabcoco1', 'Cfap65', 'Wfikkn2', 'Abhd2', '1700007K13Rik', 'Ccdc113', 'Smim5', 'Stra6', 'Lratd2', 'Zmynd10', 'Smpdl3a', 'Prdm16os', 'Ppp1r36', 'Rsph4a', 'Serhl', 'Dmkn', 'Tmem107', '1700088E04Rik', 'Baiap2l1', 'Ak8', 'Ninj1', 'St6galnac2', 'Tekt1', 'Drc3', 'Lrrc51', 'Pih1d2', 'Paqr5', 'Ubxn10', 'Spef2', 'Cul4b', 'Efhc1']"
